epoch,y_m,x_m,n_sat,n_los,n_nlos,blocked_ratio,low_elevation_blocked_ratio,mean_elevation_los_deg,mean_elevation_nlos_deg,expected_nlos_bias_m,route_weight_delta_log,particle_blocked_mean,particle_blocked_std,particle_shadow_contrast,route_backend,particle_backend
0,-240.0,0.0,10,6,4,0.4,0.4,41.0,31.0,16.5,-1.5925000000000002,0.4458333333333333,0.130636795054924,0.29301711040356787,cuda_bvh_batch,cuda_bvh_batch
1,-233.2394366197183,0.31692332708286514,10,4,6,0.6,0.8,48.5,29.333333333333332,23.1,-2.4699999999999998,0.5499999999999999,0.11726039399558573,0.21320071635561044,cuda_bvh_batch,cuda_bvh_batch
2,-226.4788732394366,0.6239446473647148,10,3,7,0.7,0.8,48.666666666666664,32.0,23.1,-2.73,0.6666666666666666,0.10865337342004415,0.16298006013006625,cuda_bvh_batch,cuda_bvh_batch
3,-219.71830985915494,0.9114713340437591,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7208333333333333,0.0934485895500242,0.12963966180350178,cuda_bvh_batch,cuda_bvh_batch
4,-212.95774647887325,1.1705198539948865,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7854166666666665,0.0676682573704655,0.08615587145311258,cuda_bvh_batch,cuda_bvh_batch
5,-206.19718309859155,1.3929964508197923,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.78125,0.06969053618199057,0.08920388631294793,cuda_bvh_batch,cuda_bvh_batch
6,-199.43661971830986,1.571950027560407,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7479166666666667,0.09787233038788624,0.13085994035149134,cuda_bvh_batch,cuda_bvh_batch
7,-192.67605633802816,1.7017893279647465,10,4,6,0.6,0.8,47.0,30.333333333333332,26.400000000000002,-2.4212499999999997,0.7333333333333334,0.08740073734751266,0.11918282365569907,cuda_bvh_batch,cuda_bvh_batch
8,-185.9154929577465,1.7784576306564552,10,3,7,0.7,0.8,50.666666666666664,31.142857142857142,26.400000000000002,-2.7787500000000005,0.7145833333333332,0.08895125850087165,0.12447989527818776,cuda_bvh_batch,cuda_bvh_batch
9,-179.1549295774648,1.7995594980334375,10,3,7,0.7,0.8,54.0,29.714285714285715,31.900000000000002,-2.8600000000000003,0.7166666666666667,0.0687184270936277,0.09588617733994563,cuda_bvh_batch,cuda_bvh_batch
10,-172.3943661971831,1.7644356197312452,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7687499999999999,0.07946762967816941,0.10337252641062689,cuda_bvh_batch,cuda_bvh_batch
11,-165.6338028169014,1.6741834122292132,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7833333333333332,0.05892556509887899,0.0752241256581434,cuda_bvh_batch,cuda_bvh_batch
12,-158.8732394366197,1.5316227309817119,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7916666666666666,0.034359213546813865,0.04340111184860699,cuda_bvh_batch,cuda_bvh_batch
13,-152.11267605633805,1.3412077663705713,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7770833333333332,0.04672429477501213,0.06012777879894323,cuda_bvh_batch,cuda_bvh_batch
14,-145.35211267605632,1.1088878762166556,10,3,7,0.7,1.0,62.666666666666664,26.0,34.1,-3.07125,0.7687499999999999,0.06505206248331667,0.08462056908398917,cuda_bvh_batch,cuda_bvh_batch
15,-138.59154929577466,0.8419217030234674,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7520833333333333,0.08162307510066558,0.10852929653274093,cuda_bvh_batch,cuda_bvh_batch
16,-131.83098591549296,0.5486503837055161,10,4,6,0.6,0.8,47.0,30.333333333333332,26.400000000000002,-2.4212499999999997,0.7041666666666666,0.08154327412825389,0.11580109935373335,cuda_bvh_batch,cuda_bvh_batch
17,-125.07042253521126,0.2382369376756007,10,3,7,0.7,0.8,50.666666666666664,31.142857142857142,26.400000000000002,-2.7787500000000005,0.7125,0.07252872993970506,0.10179470868730535,cuda_bvh_batch,cuda_bvh_batch
18,-118.30985915492958,-0.07962002410568149,10,3,7,0.7,0.8,54.0,29.714285714285715,31.900000000000002,-2.8600000000000003,0.6999999999999998,0.07071067811865478,0.10101525445522114,cuda_bvh_batch,cuda_bvh_batch
19,-111.5492957746479,-0.39498932419462846,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7479166666666667,0.10204080746882051,0.13643339160176557,cuda_bvh_batch,cuda_bvh_batch
20,-104.7887323943662,-0.6980175100762231,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7854166666666668,0.07902948640996109,0.1006210967553881,cuda_bvh_batch,cuda_bvh_batch
21,-98.02816901408451,-0.9792367171249182,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.8083333333333332,0.07021791477646966,0.08686752343480783,cuda_bvh_batch,cuda_bvh_batch
22,-91.26760563380282,-1.2298604841912482,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7999999999999999,0.057735026918962595,0.07216878364870324,cuda_bvh_batch,cuda_bvh_batch
23,-84.50704225352112,-1.4420582793013466,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7708333333333334,0.08650224788344457,0.1122191323893335,cuda_bvh_batch,cuda_bvh_batch
24,-77.74647887323943,-1.6092001581412965,10,3,7,0.7,1.0,62.666666666666664,26.0,34.1,-3.07125,0.7333333333333334,0.07993052538854535,0.10899617098438001,cuda_bvh_batch,cuda_bvh_batch
25,-70.98591549295776,-1.7260639111746723,10,4,6,0.6,0.8,47.0,30.333333333333332,26.400000000000002,-2.4212499999999997,0.6666666666666666,0.08740073734751265,0.13110110602126898,cuda_bvh_batch,cuda_bvh_batch
26,-64.22535211267606,-1.7889982272531915,10,3,7,0.7,0.8,50.666666666666664,31.142857142857142,26.400000000000002,-2.7787500000000005,0.6979166666666666,0.09893091725486473,0.1417517620368211,cuda_bvh_batch,cuda_bvh_batch
27,-57.46478873239437,-1.796036775808628,10,3,7,0.7,0.8,54.0,29.714285714285715,31.900000000000002,-2.8600000000000003,0.6958333333333333,0.10399986645290574,0.14946088592034357,cuda_bvh_batch,cuda_bvh_batch
28,-50.70422535211267,-1.7469596432224213,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.6916666666666668,0.0812232862067414,0.11743125716637308,cuda_bvh_batch,cuda_bvh_batch
29,-43.94366197183098,-1.6433002038445002,10,3,7,0.7,1.0,60.666666666666664,26.857142857142858,34.1,-3.0225,0.7229166666666665,0.054922609693600306,0.0759736387692454,cuda_bvh_batch,cuda_bvh_batch
30,-37.18309859154931,-1.4882972109820358,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.75625,0.060917464655056056,0.08055201937858653,cuda_bvh_batch,cuda_bvh_batch
31,-30.422535211267615,-1.2867936047354933,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.78125,0.060056397105831584,0.07687218829546442,cuda_bvh_batch,cuda_bvh_batch
32,-23.66197183098592,-1.0450851983472977,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7791666666666667,0.05758447900452191,0.0739052136956431,cuda_bvh_batch,cuda_bvh_batch
