epoch,error_2d,error_3d,est_x,est_y,est_z
0,53.852061,57.197082,-3961781.538621,3348953.268437,3698311.796883
1,53.959075,57.194338,-3961781.815233,3348953.347691,3698311.962827
2,47.710490,48.244950,-3961802.475150,3348975.705266,3698314.673490
3,52.802002,53.709872,-3961789.128399,3348959.685716,3698314.138062
4,53.536743,55.264519,-3961785.857384,3348956.684982,3698313.668316
5,53.655941,55.996503,-3961784.069563,3348955.272881,3698312.879963
6,53.594552,56.246579,-3961783.297938,3348954.753899,3698312.371671
7,53.662902,56.469822,-3961782.921518,3348954.406000,3698312.202523
8,53.687698,56.552539,-3961782.752624,3348954.271734,3698312.178618
9,53.399800,56.506463,-3961782.421681,3348954.199478,3698311.383582
10,53.434635,56.643924,-3961782.159772,3348953.984714,3698311.311031
11,53.433691,56.578876,-3961782.252122,3348954.081030,3698311.459255
12,53.538430,56.737374,-3961782.162395,3348953.891697,3698311.415078
13,53.549881,56.774083,-3961782.068113,3348953.829485,3698311.437383
14,53.661840,56.925671,-3961781.960473,3348953.645864,3698311.480063
15,53.671688,56.970979,-3961781.851708,3348953.570816,3698311.478613
16,53.706407,56.826987,-3961782.123427,3348953.805020,3698311.894364
17,53.667208,56.740112,-3961782.186804,3348953.915500,3698311.989836
18,53.737873,56.779216,-3961782.192448,3348953.883611,3698312.159537
19,53.705413,56.749177,-3961782.216235,3348953.918462,3698312.099260
20,53.623077,56.679008,-3961782.242304,3348953.992522,3698311.963875
21,53.740421,56.763925,-3961782.287106,3348953.922879,3698312.117650
22,53.720842,56.684633,-3961782.383006,3348954.036128,3698312.238731
23,53.777641,56.705740,-3961782.429696,3348954.032849,3698312.368494
24,53.799471,56.745303,-3961782.362730,3348953.974778,3698312.390117
25,53.963176,56.992057,-3961782.146054,3348953.662381,3698312.410241
26,54.114084,57.151768,-3961782.059763,3348953.482487,3698312.574178
27,54.345373,57.149163,-3961782.403465,3348953.617338,3698313.294224
28,54.309257,56.887547,-3961782.850255,3348954.040287,3698313.722163
29,54.407545,56.965091,-3961782.876668,3348953.976018,3698313.846066
30,62.343666,62.484751,-3961793.443674,3348957.837504,3698335.270859
31,65.829205,68.090691,-3961801.871123,3348961.830411,3698345.360955
32,56.888083,56.965289,-3961792.685304,3348959.181593,3698322.586822
33,54.962159,55.885031,-3961788.095967,3348957.210398,3698316.981799
34,54.528969,56.093846,-3961785.818983,3348955.939924,3698315.328728
35,62.345133,62.693039,-3961795.273486,3348959.090070,3698336.311470
36,65.783782,68.403376,-3961802.886168,3348962.566472,3698345.927127
37,56.451654,56.530598,-3961792.817602,3348959.606814,3698322.026381
38,54.475144,55.626858,-3961787.391945,3348957.073720,3698315.887450
39,62.335945,62.787475,-3961795.960910,3348959.580117,3698336.718534
40,65.675216,68.406862,-3961803.144151,3348962.860808,3698346.055501
41,56.751231,56.800905,-3961793.151218,3348959.637742,3698322.692296
42,55.035235,55.965742,-3961787.989379,3348957.098967,3698317.111764
43,54.443921,56.163737,-3961785.347214,3348955.670642,3698314.983842
44,54.738598,56.491658,-3961784.762859,3348955.210327,3698315.725040
45,54.819250,56.676238,-3961784.403208,3348954.895134,3698315.662210
46,54.773044,56.717845,-3961784.151453,3348954.754082,3698315.480756
47,54.566150,56.554709,-3961784.059803,3348954.871781,3698315.232293
48,54.503532,56.584461,-3961783.819556,3348954.746702,3698315.018909
49,54.252680,56.396202,-3961783.754499,3348954.887626,3698314.624469
50,54.233199,56.191646,-3961784.161181,3348955.265590,3698315.043309
51,54.267554,56.012720,-3961784.669232,3348955.668788,3698315.568523
52,54.208970,55.904906,-3961784.838778,3348955.839877,3698315.589907
53,54.289579,55.930202,-3961784.984706,3348955.881137,3698315.771798
54,54.105103,55.730404,-3961785.108489,3348956.112211,3698315.580227
55,54.167991,55.750639,-3961785.162887,3348956.133286,3698315.797510
56,54.199055,55.845410,-3961785.023598,3348955.967865,3698315.630531
57,54.293993,55.907234,-3961785.044185,3348955.934618,3698315.855597
58,54.644983,56.151386,-3961785.286303,3348955.823626,3698316.408277
