epoch,error_2d,error_3d,est_x,est_y,est_z,gt_x,gt_y,gt_z
0,53.852061,57.197082,-3961781.538621,3348953.268437,3698311.796883,-3961767.630000,3349008.712000,3698309.780000
1,53.958920,57.194761,-3961781.813853,3348953.346871,3698311.962086,-3961767.630000,3349008.712000,3698309.780000
2,47.301391,49.671772,-3961808.840269,3348981.734051,3698316.197860,-3961767.630000,3349008.712000,3698309.780000
3,53.470434,56.119277,-3961783.367995,3348954.899826,3698312.216942,-3961767.630000,3349008.712000,3698309.780000
4,53.576468,56.076470,-3961783.549235,3348955.023973,3698312.737061,-3961767.630000,3349008.712000,3698309.780000
5,53.601183,56.413169,-3961782.827554,3348954.441106,3698312.259950,-3961767.630000,3349008.712000,3698309.780000
6,53.553223,56.395918,-3961782.821722,3348954.450437,3698312.102491,-3961767.630000,3349008.712000,3698309.780000
7,53.672160,56.542121,-3961782.764948,3348954.283902,3698312.130926,-3961767.630000,3349008.712000,3698309.780000
8,53.700699,56.554144,-3961782.776072,3348954.277836,3698312.206840,-3961767.630000,3349008.712000,3698309.780000
9,53.323647,56.524042,-3961782.246219,3348954.128070,3698311.168566,-3961767.630000,3349008.712000,3698309.780000
10,53.452213,56.668888,-3961782.132635,3348953.952101,3698311.325934,-3961767.630000,3349008.712000,3698309.780000
11,53.465666,56.493367,-3961782.520460,3348954.247865,3698311.632769,-3961767.630000,3349008.712000,3698309.780000
12,53.571513,56.750894,-3961782.211876,3348953.892017,3698311.454003,-3961767.630000,3349008.712000,3698309.780000
13,53.566141,56.751040,-3961782.151223,3348953.877337,3698311.504643,-3961767.630000,3349008.712000,3698309.780000
14,53.694507,56.936170,-3961782.006340,3348953.648633,3698311.533268,-3961767.630000,3349008.712000,3698309.780000
15,53.682129,56.954004,-3961781.908973,3348953.604600,3698311.524682,-3961767.630000,3349008.712000,3698309.780000
16,53.754831,56.692376,-3961782.539935,3348954.067850,3698312.175046,-3961767.630000,3349008.712000,3698309.780000
17,53.676306,56.671631,-3961782.367207,3348954.039127,3698312.096363,-3961767.630000,3349008.712000,3698309.780000
18,53.766815,56.754210,-3961782.311371,3348953.945559,3698312.256834,-3961767.630000,3349008.712000,3698309.780000
19,53.704594,56.714593,-3961782.306834,3348953.979706,3698312.127684,-3961767.630000,3349008.712000,3698309.780000
20,53.610030,56.638101,-3961782.323363,3348954.056918,3698311.971228,-3961767.630000,3349008.712000,3698309.780000
21,53.777895,56.752776,-3961782.399504,3348953.968491,3698312.206412,-3961767.630000,3349008.712000,3698309.780000
22,53.732121,56.623150,-3961782.555202,3348954.151428,3698312.341940,-3961767.630000,3349008.712000,3698309.780000
23,53.800567,56.682255,-3961782.538265,3348954.090479,3698312.446651,-3961767.630000,3349008.712000,3698309.780000
24,53.804918,56.748920,-3961782.364433,3348953.971922,3698312.399222,-3961767.630000,3349008.712000,3698309.780000
25,53.987489,57.074763,-3961782.001463,3348953.536541,3698312.360367,-3961767.630000,3349008.712000,3698309.780000
26,54.147118,57.179952,-3961782.059450,3348953.455343,3698312.615442,-3961767.630000,3349008.712000,3698309.780000
27,54.437037,57.050534,-3961782.848341,3348953.864780,3698313.646271,-3961767.630000,3349008.712000,3698309.780000
28,54.336869,56.723503,-3961783.344652,3348954.373422,3698314.013726,-3961767.630000,3349008.712000,3698309.780000
29,54.426284,56.969830,-3961782.913620,3348953.983636,3698313.876178,-3961767.630000,3349008.712000,3698309.780000
30,67.985603,74.464470,-3961811.103226,3348966.784867,3698353.336302,-3961767.630000,3349008.712000,3698309.780000
31,67.990404,74.486652,-3961811.132818,3348966.803621,3698353.362725,-3961767.630000,3349008.712000,3698309.780000
32,54.225877,56.762994,-3961782.988309,3348954.206005,3698313.685943,-3961767.630000,3349008.712000,3698309.780000
33,54.089382,56.489330,-3961783.415141,3348954.615111,3698313.704336,-3961767.630000,3349008.712000,3698309.780000
34,54.245763,56.544415,-3961783.623621,3348954.643181,3698314.027089,-3961767.630000,3349008.712000,3698309.780000
35,67.795115,74.474946,-3961811.474113,3348967.176585,3698353.357753,-3961767.630000,3349008.712000,3698309.780000
36,67.880110,74.503866,-3961811.348529,3348967.045390,3698353.408086,-3961767.630000,3349008.712000,3698309.780000
37,53.641010,56.497928,-3961782.403839,3348954.254003,3698312.621854,-3961767.630000,3349008.712000,3698309.780000
38,53.555816,56.540987,-3961782.150092,3348954.127076,3698312.336614,-3961767.630000,3349008.712000,3698309.780000
39,67.764257,74.419707,-3961811.384981,3348967.169612,3698353.346322,-3961767.630000,3349008.712000,3698309.780000
40,67.715440,74.355479,-3961811.308829,3348967.187001,3698353.329646,-3961767.630000,3349008.712000,3698309.780000
41,53.993533,56.670918,-3961782.673707,3348954.187515,3698313.295723,-3961767.630000,3349008.712000,3698309.780000
42,54.176890,56.723050,-3961782.922397,3348954.229716,3698313.695065,-3961767.630000,3349008.712000,3698309.780000
43,54.115316,56.675588,-3961782.962805,3348954.279677,3698313.541586,-3961767.630000,3349008.712000,3698309.780000
44,54.832724,56.611631,-3961784.565645,3348955.039515,3698315.889421,-3961767.630000,3349008.712000,3698309.780000
45,54.834484,56.752262,-3961784.201981,3348954.746065,3698315.599492,-3961767.630000,3349008.712000,3698309.780000
46,54.763029,56.744027,-3961784.040543,3348954.686738,3698315.423560,-3961767.630000,3349008.712000,3698309.780000
47,54.531208,56.509398,-3961784.095727,3348954.928954,3698315.218374,-3961767.630000,3349008.712000,3698309.780000
48,54.491125,56.608136,-3961783.715975,3348954.685067,3698314.958133,-3961767.630000,3349008.712000,3698309.780000
