variant,city,run,n_windows,route_actual_pct,route_pred_pct,route_abs_error_pp,window_mae_pp,window_pearson_r
baseline_no_solver_state,nagoya,run1,26,11.511770308885563,44.89210963670024,33.38033932781468,42.87795658469309,-0.018397270180843934
baseline_no_solver_state,nagoya,run2,32,16.172947070355043,19.49943152198462,3.3264844516295753,21.265977040670556,0.23860658724900824
baseline_no_solver_state,nagoya,run3,18,7.8656049718391925,15.946686495805887,8.081081523966695,17.609918084386596,-0.4193048763431672
baseline_no_solver_state,tokyo,run1,39,10.918385977725032,20.596454101980637,9.678068124255605,19.621860070888022,0.013505732800796717
baseline_no_solver_state,tokyo,run2,31,29.018058690744923,17.52633972541918,11.491718965325742,26.41579058493431,0.21534506181420315
baseline_no_solver_state,tokyo,run3,51,24.011112581029238,15.632431806125567,8.378680774903671,24.416168250844564,0.01054707514454103
baseline_no_solver_state_aggregate,,,197,17.899032007348264,21.343415088094282,,25.068062667988176,0.006821082085766531
treatment_with_curated_six,nagoya,run1,26,11.511770308885563,11.136802742921635,0.374967565963928,2.001094672117257,0.9882613223608646
treatment_with_curated_six,nagoya,run2,32,16.172947070355043,15.128054838638509,1.0448922317165348,2.281214203521029,0.9939063065644616
treatment_with_curated_six,nagoya,run3,18,7.8656049718391925,9.252848280635765,1.387243308796573,2.6825682668404376,0.9684031883986394
treatment_with_curated_six,tokyo,run1,39,10.918385977725032,10.1622563637052,0.7561296140198319,3.8688471855998525,0.8902640002083976
treatment_with_curated_six,tokyo,run2,31,29.018058690744923,25.623317610328147,3.3947410804167752,8.548388006943023,0.9328271436080404
treatment_with_curated_six,tokyo,run3,51,24.011112581029238,25.636791333893992,1.6256787528647543,7.834385718545313,0.8850628398673407
treatment_with_curated_six_aggregate,,,197,17.899032007348264,17.563591470084912,,5.052338915311687,0.9250713433237344
curated_six_only,nagoya,run1,26,11.511770308885563,10.021258771119715,1.4905115377658475,2.374784118876996,0.9905919730396949
curated_six_only,nagoya,run2,32,16.172947070355043,14.69095919771291,1.481987872642133,3.7625393028776486,0.9642311158285602
curated_six_only,nagoya,run3,18,7.8656049718391925,10.373980954394048,2.5083759825548553,3.5035132912774696,0.9569060543285283
curated_six_only,tokyo,run1,39,10.918385977725032,9.739391975736398,1.1789940019886345,2.574440918949501,0.9700240475816347
curated_six_only,tokyo,run2,31,29.018058690744923,27.520378983393755,1.4976797073511676,6.708231444841773,0.9404934936112359
curated_six_only,tokyo,run3,51,24.011112581029238,25.79910922196652,1.7879966409372834,7.408561452104544,0.8924219674790366
curated_six_only_aggregate,,,197,17.899032007348264,17.70827804545518,,4.763610237508384,0.9265870596185338
