epoch_index,gps_week,tow,exact_base,interpolated_base,initial_valid,initial_status,initial_sats,initial_ratio,initial_pdop,initial_baseline_m,initial_residual_rms,initial_residual_abs_max,initial_update_rows,initial_suppressed_outliers,initial_has_glonass_icb_diag,initial_glonass_icb_l1,initial_glonass_icb_l2,initial_glonass_icb_l1_sigma,initial_glonass_icb_l2_sigma,initial_glonass_icb_l1_rows,initial_glonass_icb_l2_rows,initial_has_alt_lambda,initial_alt_lambda_rank,initial_alt_lambda_cost_ratio,initial_alt_lambda_x,initial_alt_lambda_y,initial_alt_lambda_z,initial_alt_lambda_dx,initial_alt_lambda_dy,initial_alt_lambda_dz,initial_alt_lambda_dnorm,initial_alt_lambda_candidates,final_valid,final_status,final_sats,final_ratio,final_pdop,final_baseline_m,final_residual_rms,final_residual_abs_max,final_update_rows,final_suppressed_outliers,final_has_glonass_icb_diag,final_glonass_icb_l1,final_glonass_icb_l2,final_glonass_icb_l1_sigma,final_glonass_icb_l2_sigma,final_glonass_icb_l1_rows,final_glonass_icb_l2_rows,final_has_alt_lambda,final_alt_lambda_rank,final_alt_lambda_cost_ratio,final_alt_lambda_x,final_alt_lambda_y,final_alt_lambda_z,final_alt_lambda_dx,final_alt_lambda_dy,final_alt_lambda_dz,final_alt_lambda_dnorm,final_alt_lambda_candidates,spp_valid,spp_sats,spp_pdop,candidate_vs_spp_m,candidate_jump_m,last_output_dt_s,nonfixed_jump_guard_m,drift_from_fixed_m,height_from_fixed_m,dt_since_fixed_s,fixed_drift_guard_m,fixed_height_guard_m,spp_replacement_used,output_added,rejection_reason
0,2325,550380.000,1,0,1,3,23,0.000000,2.000000,9384.365505,0.735770,2.717921,50,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,23,0.000000,2.000000,9384.365505,0.735770,2.717921,50,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,26,1.155572,5.572307,inf,nan,10000.000000,nan,nan,nan,nan,nan,0,1,none
1,2325,550380.200,0,1,1,3,23,0.000000,2.000000,9384.380367,0.735530,2.731435,50,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,23,0.000000,2.000000,9384.380367,0.735530,2.731435,50,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,26,1.155577,5.631126,0.017701,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
2,2325,550380.400,0,1,1,3,23,0.000000,2.000000,9384.392395,0.730088,2.719914,50,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,23,0.000000,2.000000,9384.392395,0.730088,2.719914,50,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,26,1.155581,5.817063,0.027500,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
3,2325,550380.600,0,1,1,3,23,0.000000,2.000000,9384.399816,0.744806,2.681480,50,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,23,0.000000,2.000000,9384.399816,0.744806,2.681480,50,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,26,1.155585,5.847818,0.024298,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
4,2325,550380.800,0,1,1,4,23,5.307750,2.000000,9384.611670,0.744628,2.701442,50,0,0,nan,nan,nan,nan,0,0,1,2,5.307750,-3810241.940447,3567866.675803,3652891.096547,-0.028829,0.029080,0.015279,0.043706,2:5.3077:-3810241.9404:3567866.6758:3652891.0965:-0.0288:0.0291:0.0153:0.0437|3:5.7165:-3810241.8956:3567866.6261:3652891.0677:0.0160:-0.0206:-0.0136:0.0295|4:5.8538:-3810242.0289:3567866.3501:3652890.2727:-0.1173:-0.2966:-0.8086:0.8692,1,4,23,5.307750,2.000000,9384.611670,0.744628,2.701442,50,0,0,nan,nan,nan,nan,0,0,1,2,5.307750,-3810241.940447,3567866.675803,3652891.096547,-0.028829,0.029080,0.015279,0.043706,2:5.3077:-3810241.9404:3567866.6758:3652891.0965:-0.0288:0.0291:0.0153:0.0437|3:5.7165:-3810241.8956:3567866.6261:3652891.0677:0.0160:-0.0206:-0.0136:0.0295|4:5.8538:-3810242.0289:3567866.3501:3652890.2727:-0.1173:-0.2966:-0.8086:0.8692,1,26,1.155589,5.429338,0.598736,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
5,2325,550381.000,1,0,1,4,23,5.314297,2.000000,9384.610756,0.724557,2.662878,50,0,0,nan,nan,nan,nan,0,0,1,2,5.314297,-3810241.937055,3567866.669590,3652891.095603,-0.028831,0.029082,0.015280,0.043709,2:5.3143:-3810241.9371:3567866.6696:3652891.0956:-0.0288:0.0291:0.0153:0.0437|3:5.8289:-3810241.8922:3567866.6199:3652891.0667:0.0160:-0.0206:-0.0136:0.0295|4:5.8409:-3810242.0255:3567866.3439:3652890.2717:-0.1173:-0.2966:-0.8086:0.8693,1,4,23,5.314297,2.000000,9384.610756,0.724557,2.662878,50,0,0,nan,nan,nan,nan,0,0,1,2,5.314297,-3810241.937055,3567866.669590,3652891.095603,-0.028831,0.029082,0.015280,0.043709,2:5.3143:-3810241.9371:3567866.6696:3652891.0956:-0.0288:0.0291:0.0153:0.0437|3:5.8289:-3810241.8922:3567866.6199:3652891.0667:0.0160:-0.0206:-0.0136:0.0295|4:5.8409:-3810242.0255:3567866.3439:3652890.2717:-0.1173:-0.2966:-0.8086:0.8693,1,26,1.155594,5.626788,0.007144,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
6,2325,550381.200,0,1,1,4,23,5.427666,2.000000,9384.610708,0.727877,2.589939,50,0,0,nan,nan,nan,nan,0,0,1,2,5.427666,-3810241.941548,3567866.675211,3652891.097330,-0.028833,0.029084,0.015281,0.043712,2:5.4277:-3810241.9415:3567866.6752:3652891.0973:-0.0288:0.0291:0.0153:0.0437|3:5.9742:-3810242.0300:3567866.3495:3652890.2734:-0.1173:-0.2967:-0.8086:0.8693|4:5.9755:-3810241.8967:3567866.6255:3652891.0684:0.0160:-0.0207:-0.0136:0.0295,1,4,23,5.427666,2.000000,9384.610708,0.727877,2.589939,50,0,0,nan,nan,nan,nan,0,0,1,2,5.427666,-3810241.941548,3567866.675211,3652891.097330,-0.028833,0.029084,0.015281,0.043712,2:5.4277:-3810241.9415:3567866.6752:3652891.0973:-0.0288:0.0291:0.0153:0.0437|3:5.9742:-3810242.0300:3567866.3495:3652890.2734:-0.1173:-0.2967:-0.8086:0.8693|4:5.9755:-3810241.8967:3567866.6255:3652891.0684:0.0160:-0.0207:-0.0136:0.0295,1,26,1.155598,5.511112,0.007396,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
7,2325,550381.400,0,1,1,4,23,5.509780,2.000000,9384.611411,0.732203,2.562691,50,0,0,nan,nan,nan,nan,0,0,1,2,5.509780,-3810241.943552,3567866.678689,3652891.098799,-0.028835,0.029086,0.015283,0.043715,2:5.5098:-3810241.9436:3567866.6787:3652891.0988:-0.0288:0.0291:0.0153:0.0437|3:6.0341:-3810242.0320:3567866.3529:3652890.2749:-0.1172:-0.2967:-0.8087:0.8693|4:6.0765:-3810241.8987:3567866.6290:3652891.0699:0.0160:-0.0207:-0.0136:0.0295,1,4,23,5.509780,2.000000,9384.611411,0.732203,2.562691,50,0,0,nan,nan,nan,nan,0,0,1,2,5.509780,-3810241.943552,3567866.678689,3652891.098799,-0.028835,0.029086,0.015283,0.043715,2:5.5098:-3810241.9436:3567866.6787:3652891.0988:-0.0288:0.0291:0.0153:0.0437|3:6.0341:-3810242.0320:3567866.3529:3652890.2749:-0.1172:-0.2967:-0.8087:0.8693|4:6.0765:-3810241.8987:3567866.6290:3652891.0699:0.0160:-0.0207:-0.0136:0.0295,1,26,1.155602,5.520790,0.004272,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
8,2325,550381.600,0,1,1,4,23,5.654709,2.000000,9384.611120,0.735850,2.483789,50,0,0,nan,nan,nan,nan,0,0,1,2,5.654709,-3810241.942967,3567866.677864,3652891.097725,-0.028838,0.029088,0.015284,0.043719,2:5.6547:-3810241.9430:3567866.6779:3652891.0977:-0.0288:0.0291:0.0153:0.0437|3:6.1908:-3810242.0314:3567866.3520:3652890.2737:-0.1172:-0.2967:-0.8087:0.8694|4:6.2308:-3810241.8981:3567866.6281:3652891.0688:0.0160:-0.0207:-0.0136:0.0295,1,4,23,5.654709,2.000000,9384.611120,0.735850,2.483789,50,0,0,nan,nan,nan,nan,0,0,1,2,5.654709,-3810241.942967,3567866.677864,3652891.097725,-0.028838,0.029088,0.015284,0.043719,2:5.6547:-3810241.9430:3567866.6779:3652891.0977:-0.0288:0.0291:0.0153:0.0437|3:6.1908:-3810242.0314:3567866.3520:3652890.2737:-0.1172:-0.2967:-0.8087:0.8694|4:6.2308:-3810241.8981:3567866.6281:3652891.0688:0.0160:-0.0207:-0.0136:0.0295,1,26,1.155606,5.556784,0.001479,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
9,2325,550381.800,0,1,1,4,23,5.642193,2.000000,9384.611282,0.751960,2.408726,50,0,0,nan,nan,nan,nan,0,0,1,2,5.642193,-3810241.939007,3567866.672635,3652891.097121,-0.028840,0.029090,0.015285,0.043722,2:5.6422:-3810241.9390:3567866.6726:3652891.0971:-0.0288:0.0291:0.0153:0.0437|3:6.1438:-3810242.0274:3567866.3468:3652890.2731:-0.1172:-0.2968:-0.8087:0.8694|4:6.2189:-3810241.8941:3567866.6229:3652891.0682:0.0160:-0.0207:-0.0136:0.0295,1,4,23,5.642193,2.000000,9384.611282,0.751960,2.408726,50,0,0,nan,nan,nan,nan,0,0,1,2,5.642193,-3810241.939007,3567866.672635,3652891.097121,-0.028840,0.029090,0.015285,0.043722,2:5.6422:-3810241.9390:3567866.6726:3652891.0971:-0.0288:0.0291:0.0153:0.0437|3:6.1438:-3810242.0274:3567866.3468:3652890.2731:-0.1172:-0.2968:-0.8087:0.8694|4:6.2189:-3810241.8941:3567866.6229:3652891.0682:0.0160:-0.0207:-0.0136:0.0295,1,26,1.155611,5.424766,0.006590,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
