epoch_index,gps_week,tow,exact_base,interpolated_base,initial_valid,initial_status,initial_sats,initial_ratio,initial_pdop,initial_baseline_m,initial_residual_rms,initial_residual_abs_max,initial_update_rows,initial_suppressed_outliers,initial_has_glonass_icb_diag,initial_glonass_icb_l1,initial_glonass_icb_l2,initial_glonass_icb_l1_sigma,initial_glonass_icb_l2_sigma,initial_glonass_icb_l1_rows,initial_glonass_icb_l2_rows,initial_has_alt_lambda,initial_alt_lambda_rank,initial_alt_lambda_cost_ratio,initial_alt_lambda_x,initial_alt_lambda_y,initial_alt_lambda_z,initial_alt_lambda_dx,initial_alt_lambda_dy,initial_alt_lambda_dz,initial_alt_lambda_dnorm,initial_alt_lambda_candidates,final_valid,final_status,final_sats,final_ratio,final_pdop,final_baseline_m,final_residual_rms,final_residual_abs_max,final_update_rows,final_suppressed_outliers,final_has_glonass_icb_diag,final_glonass_icb_l1,final_glonass_icb_l2,final_glonass_icb_l1_sigma,final_glonass_icb_l2_sigma,final_glonass_icb_l1_rows,final_glonass_icb_l2_rows,final_has_alt_lambda,final_alt_lambda_rank,final_alt_lambda_cost_ratio,final_alt_lambda_x,final_alt_lambda_y,final_alt_lambda_z,final_alt_lambda_dx,final_alt_lambda_dy,final_alt_lambda_dz,final_alt_lambda_dnorm,final_alt_lambda_candidates,spp_valid,spp_sats,spp_pdop,candidate_vs_spp_m,candidate_jump_m,last_output_dt_s,nonfixed_jump_guard_m,drift_from_fixed_m,height_from_fixed_m,dt_since_fixed_s,fixed_drift_guard_m,fixed_height_guard_m,spp_replacement_used,output_added,rejection_reason
0,2324,177000.000,1,0,1,3,22,0.000000,2.000000,172.403368,0.509548,1.641285,60,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,22,0.000000,2.000000,172.403368,0.509548,1.641285,60,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,42,0.770734,3.669749,inf,nan,10000.000000,nan,nan,nan,nan,nan,0,1,none
1,2324,177000.200,0,1,1,3,22,0.000000,2.000000,172.403601,0.488344,1.545260,60,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,22,0.000000,2.000000,172.403601,0.488344,1.545260,60,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,42,0.770728,3.587194,0.002804,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
2,2324,177000.400,0,1,1,3,22,0.000000,2.000000,172.405822,0.469130,1.469684,60,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,22,0.000000,2.000000,172.405822,0.469130,1.469684,60,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,42,0.770722,3.614520,0.008351,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
3,2324,177000.600,0,1,1,3,22,0.000000,2.000000,172.409210,0.460014,1.517548,60,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,22,0.000000,2.000000,172.409210,0.460014,1.517548,60,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,42,0.770716,3.469013,0.015522,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
4,2324,177000.800,0,1,1,4,22,33.976472,2.000000,172.176534,0.444117,1.434594,60,0,0,nan,nan,nan,nan,0,0,1,2,33.976472,-3961765.538912,3349009.234814,3698311.491104,-0.038891,-0.000223,0.022821,0.045093,2:33.9765:-3961765.5389:3349009.2348:3698311.4911:-0.0389:-0.0002:0.0228:0.0451|3:34.5873:-3961765.5343:3349009.2828:3698311.4858:-0.0343:0.0478:0.0175:0.0614|4:36.5101:-3961765.4835:3349009.2348:3698311.4429:0.0166:-0.0002:-0.0254:0.0303,1,4,22,33.976472,2.000000,172.176534,0.444117,1.434594,60,0,0,nan,nan,nan,nan,0,0,1,2,33.976472,-3961765.538912,3349009.234814,3698311.491104,-0.038891,-0.000223,0.022821,0.045093,2:33.9765:-3961765.5389:3349009.2348:3698311.4911:-0.0389:-0.0002:0.0228:0.0451|3:34.5873:-3961765.5343:3349009.2828:3698311.4858:-0.0343:0.0478:0.0175:0.0614|4:36.5101:-3961765.4835:3349009.2348:3698311.4429:0.0166:-0.0002:-0.0254:0.0303,1,42,0.770710,3.135290,0.375905,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
5,2324,177001.000,1,0,1,4,22,35.439616,2.000000,172.179257,0.421190,1.346850,60,0,0,nan,nan,nan,nan,0,0,1,2,35.439616,-3961765.535525,3349009.234247,3698311.491154,-0.038892,-0.000223,0.022821,0.045093,2:35.4396:-3961765.5355:3349009.2342:3698311.4912:-0.0389:-0.0002:0.0228:0.0451|3:36.1311:-3961765.5309:3349009.2822:3698311.4858:-0.0343:0.0478:0.0175:0.0614|4:37.9298:-3961765.4801:3349009.2343:3698311.4430:0.0166:-0.0002:-0.0254:0.0303,1,4,22,35.439616,2.000000,172.179257,0.421190,1.346850,60,0,0,nan,nan,nan,nan,0,0,1,2,35.439616,-3961765.535525,3349009.234247,3698311.491154,-0.038892,-0.000223,0.022821,0.045093,2:35.4396:-3961765.5355:3349009.2342:3698311.4912:-0.0389:-0.0002:0.0228:0.0451|3:36.1311:-3961765.5309:3349009.2822:3698311.4858:-0.0343:0.0478:0.0175:0.0614|4:37.9298:-3961765.4801:3349009.2343:3698311.4430:0.0166:-0.0002:-0.0254:0.0303,1,42,0.770704,2.972482,0.003435,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
6,2324,177001.200,0,1,1,4,22,34.678723,2.000000,172.174732,0.433577,1.347839,60,0,0,nan,nan,nan,nan,0,0,1,2,34.678723,-3961765.541133,3349009.236185,3698311.490887,-0.038892,-0.000223,0.022822,0.045094,2:34.6787:-3961765.5411:3349009.2362:3698311.4909:-0.0389:-0.0002:0.0228:0.0451|3:35.0479:-3961765.5366:3349009.2842:3698311.4856:-0.0343:0.0478:0.0175:0.0614|4:36.9991:-3961765.4857:3349009.2362:3698311.4427:0.0166:-0.0002:-0.0254:0.0303,1,4,22,34.678723,2.000000,172.174732,0.433577,1.347839,60,0,0,nan,nan,nan,nan,0,0,1,2,34.678723,-3961765.541133,3349009.236185,3698311.490887,-0.038892,-0.000223,0.022822,0.045094,2:34.6787:-3961765.5411:3349009.2362:3698311.4909:-0.0389:-0.0002:0.0228:0.0451|3:35.0479:-3961765.5366:3349009.2842:3698311.4856:-0.0343:0.0478:0.0175:0.0614|4:36.9991:-3961765.4857:3349009.2362:3698311.4427:0.0166:-0.0002:-0.0254:0.0303,1,42,0.770698,2.944015,0.005939,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
7,2324,177001.400,0,1,1,4,22,33.506944,2.000000,172.173154,0.448178,1.349843,60,0,0,nan,nan,nan,nan,0,0,1,2,33.506944,-3961765.544165,3349009.237506,3698311.492199,-0.038893,-0.000223,0.022822,0.045095,2:33.5069:-3961765.5442:3349009.2375:3698311.4922:-0.0389:-0.0002:0.0228:0.0451|3:34.1212:-3961765.5396:3349009.2855:3698311.4869:-0.0343:0.0478:0.0175:0.0613|4:35.9343:-3961765.4887:3349009.2375:3698311.4440:0.0166:-0.0002:-0.0254:0.0303,1,4,22,33.506944,2.000000,172.173154,0.448178,1.349843,60,0,0,nan,nan,nan,nan,0,0,1,2,33.506944,-3961765.544165,3349009.237506,3698311.492199,-0.038893,-0.000223,0.022822,0.045095,2:33.5069:-3961765.5442:3349009.2375:3698311.4922:-0.0389:-0.0002:0.0228:0.0451|3:34.1212:-3961765.5396:3349009.2855:3698311.4869:-0.0343:0.0478:0.0175:0.0613|4:35.9343:-3961765.4887:3349009.2375:3698311.4440:0.0166:-0.0002:-0.0254:0.0303,1,42,0.770692,2.934488,0.003557,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
8,2324,177001.600,0,1,1,4,22,32.003151,2.000000,172.172977,0.452181,1.375753,60,0,0,nan,nan,nan,nan,0,0,1,2,32.003151,-3961765.544585,3349009.238122,3698311.492385,-0.038894,-0.000223,0.022823,0.045096,2:32.0032:-3961765.5446:3349009.2381:3698311.4924:-0.0389:-0.0002:0.0228:0.0451|3:32.6237:-3961765.5400:3349009.2861:3698311.4871:-0.0343:0.0478:0.0175:0.0613|4:34.3717:-3961765.4891:3349009.2381:3698311.4442:0.0166:-0.0002:-0.0254:0.0303,1,4,22,32.003151,2.000000,172.172977,0.452181,1.375753,60,0,0,nan,nan,nan,nan,0,0,1,2,32.003151,-3961765.544585,3349009.238122,3698311.492385,-0.038894,-0.000223,0.022823,0.045096,2:32.0032:-3961765.5446:3349009.2381:3698311.4924:-0.0389:-0.0002:0.0228:0.0451|3:32.6237:-3961765.5400:3349009.2861:3698311.4871:-0.0343:0.0478:0.0175:0.0613|4:34.3717:-3961765.4891:3349009.2381:3698311.4442:0.0166:-0.0002:-0.0254:0.0303,1,42,0.770686,2.885511,0.000768,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
9,2324,177001.800,0,1,1,4,22,32.634330,2.000000,172.176082,0.459769,1.406190,60,0,0,nan,nan,nan,nan,0,0,1,2,32.634330,-3961765.540570,3349009.235351,3698311.492557,-0.038895,-0.000223,0.022824,0.045098,2:32.6343:-3961765.5406:3349009.2354:3698311.4926:-0.0389:-0.0002:0.0228:0.0451|3:33.3852:-3961765.5360:3349009.2833:3698311.4872:-0.0343:0.0478:0.0175:0.0613|4:34.9634:-3961765.4851:3349009.2354:3698311.4444:0.0166:-0.0002:-0.0254:0.0303,1,4,22,32.634330,2.000000,172.176082,0.459769,1.406190,60,0,0,nan,nan,nan,nan,0,0,1,2,32.634330,-3961765.540570,3349009.235351,3698311.492557,-0.038895,-0.000223,0.022824,0.045098,2:32.6343:-3961765.5406:3349009.2354:3698311.4926:-0.0389:-0.0002:0.0228:0.0451|3:33.3852:-3961765.5360:3349009.2833:3698311.4872:-0.0343:0.0478:0.0175:0.0613|4:34.9634:-3961765.4851:3349009.2354:3698311.4444:0.0166:-0.0002:-0.0254:0.0303,1,42,0.770680,2.809042,0.004883,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
