epoch,gps_tow,satellite_count,gt_x,gt_y,gt_z,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_1k,est_x_pf_1k,est_y_pf_1k,est_z_pf_1k,error_2d_pf3d_1k,est_x_pf3d_1k,est_y_pf3d_1k,est_z_pf3d_1k,error_2d_pf3d_bvh_1k,est_x_pf3d_bvh_1k,est_y_pf3d_bvh_1k,est_z_pf3d_bvh_1k
0,0.000000,8,-3955386.147872,3354340.183124,3700298.010380,32.872351,-3955387.704569,3354335.197877,3700336.585434,32.872351,-3955387.704569,3354335.197877,3700336.585434,26.258002,-3955388.079178,3354342.221768,3700332.343227,20.868705,-3955394.709412,3354349.931336,3700332.817444,20.868705,-3955394.709412,3354349.931336,3700332.817444
1,1.000000,8,-3955389.381781,3354336.369749,3700298.010380,13.577384,-3955396.113120,3354335.105230,3700316.491810,13.597887,-3955396.114821,3354335.110713,3700316.524332,15.928429,-3955393.324501,3354342.214821,3700322.356359,23.931392,-3955391.982667,3354363.482294,3700329.952749,23.931392,-3955391.982667,3354363.482294,3700329.952749
2,2.000000,8,-3955392.615690,3354332.556373,3700298.010380,13.568102,-3955405.880314,3354326.015219,3700302.267290,12.537826,-3955405.580869,3354327.163770,3700301.385043,18.462086,-3955399.894380,3354329.127187,3700321.271284,30.169819,-3955394.125816,3354364.540073,3700337.118927,30.169819,-3955394.125816,3354364.540073,3700337.118927
3,3.000000,8,-3955395.849599,3354328.742998,3700298.010380,31.366608,-3955387.695586,3354337.094853,3700333.283863,17.771190,-3955392.993449,3354332.641069,3700319.316992,13.008423,-3955401.484053,3354331.540019,3700318.304609,40.437348,-3955388.011208,3354361.029557,3700342.512333,40.437348,-3955388.011208,3354361.029557,3700342.512333
4,4.000000,8,-3955399.083508,3354324.929622,3700298.010380,27.997097,-3955385.814982,3354326.242551,3700323.740332,25.063180,-3955387.497040,3354327.489708,3700321.435361,15.193005,-3955399.608310,3354327.348574,3700318.035851,50.012141,-3955383.517460,3354360.342570,3700347.260473,50.012141,-3955383.517460,3354360.342570,3700347.260473
5,5.000000,8,-3955402.317417,3354321.116247,3700298.010380,11.069830,-3955395.659826,3354309.367392,3700301.271071,16.323145,-3955392.815252,3354315.252455,3700310.072403,9.732089,-3955403.799911,3354323.818774,3700311.983496,54.047464,-3955386.522920,3354358.825046,3700352.979080,54.047464,-3955386.522920,3354358.825046,3700352.979080
6,6.000000,8,-3955405.551326,3354317.302871,3700298.010380,21.675258,-3955407.057503,3354344.817879,3700321.873860,15.105107,-3955403.992679,3354333.949705,3700312.711968,13.979952,-3955407.357688,3354322.770531,3700318.351323,55.752339,-3955387.839369,3354358.305149,3700351.452700,55.752339,-3955387.839369,3354358.305149,3700351.452700
7,7.000000,8,-3955408.785235,3354313.489496,3700298.010380,66.749425,-3955416.659134,3354311.461093,3700383.158543,36.169373,-3955410.336605,3354316.957399,3700344.958668,15.731377,-3955410.431841,3354319.842757,3700320.665505,58.116828,-3955388.945670,3354355.555423,3700352.094546,58.116828,-3955388.945670,3354355.555423,3700352.094546
8,8.000000,8,-3955412.019144,3354309.676120,3700298.010380,6.492605,-3955416.108638,3354312.250181,3700309.396339,23.671234,-3955416.388708,3354314.764229,3700331.884021,13.154797,-3955410.379538,3354318.321429,3700314.301340,55.532996,-3955392.881132,3354349.004619,3700349.992228,55.532996,-3955392.881132,3354349.004619,3700349.992228
9,9.000000,8,-3955415.253053,3354305.862745,3700298.010380,38.282107,-3955416.824842,3354303.395694,3700344.724510,32.090689,-3955417.068133,3354305.887214,3700338.501829,16.595453,-3955409.638273,3354313.487620,3700315.276139,46.214612,-3955400.723103,3354339.855684,3700342.533904,46.214612,-3955400.723103,3354339.855684,3700342.533904
10,10.000000,8,-3955418.486962,3354302.049369,3700298.010380,23.041329,-3955430.442632,3354287.478862,3700314.113994,27.731221,-3955427.142316,3354294.686673,3700330.559397,15.720209,-3955406.525177,3354309.290195,3700305.219455,34.134512,-3955410.159854,3354330.980205,3700331.869027,34.134512,-3955410.159854,3354330.980205,3700331.869027
11,11.000000,8,-3955421.720871,3354298.235994,3700298.010380,44.702825,-3955407.745804,3354317.444440,3700345.954837,31.924510,-3955416.673539,3354305.503920,3700336.403014,23.799904,-3955404.731726,3354311.843105,3700307.933844,39.347401,-3955409.308034,3354331.808242,3700331.950400,39.347401,-3955409.308034,3354331.808242,3700331.950400
12,12.000000,8,-3955424.954780,3354294.422618,3700298.010380,33.717170,-3955424.616626,3354314.303390,3700344.003764,31.363538,-3955423.103761,3354310.073439,3700339.334424,22.800211,-3955408.214423,3354307.814506,3700305.874005,43.032428,-3955408.528283,3354329.991397,3700330.965693,43.032428,-3955408.528283,3354329.991397,3700330.965693
13,13.000000,8,-3955422.730080,3354292.535976,3700302.071327,18.010300,-3955431.161466,3354279.262973,3700289.391629,14.975746,-3955429.659503,3354293.008243,3700323.813588,20.775425,-3955407.100008,3354306.327854,3700302.958613,32.749147,-3955412.916378,3354324.084948,3700326.320206,32.749147,-3955412.916378,3354324.084948,3700326.320206
14,14.000000,8,-3955420.505381,3354290.649333,3700306.132274,33.236444,-3955411.078705,3354280.940058,3700255.566934,4.189197,-3955420.683217,3354286.515089,3700301.082170,17.860161,-3955410.657065,3354305.708179,3700308.274547,30.002198,-3955412.183596,3354321.382889,3700326.109185,30.002198,-3955412.183596,3354321.382889,3700326.109185
15,15.000000,8,-3955418.280681,3354288.762691,3700310.193221,14.867833,-3955412.375495,3354289.496578,3700324.792982,1.131058,-3955415.332035,3354285.012730,3700307.585874,19.298085,-3955409.195796,3354303.288845,3700300.616299,28.464247,-3955411.955543,3354320.282882,3700326.720108,28.464247,-3955411.955543,3354320.282882,3700326.720108
16,16.000000,8,-3955416.055982,3354286.876048,3700314.254169,23.115702,-3955430.739211,3354272.899730,3700301.871742,15.931553,-3955425.467489,3354277.147377,3700304.488379,21.830210,-3955410.736588,3354301.230168,3700297.794437,28.106015,-3955411.977654,3354320.268486,3700327.341532,28.106015,-3955411.977654,3354320.268486,3700327.341532
17,17.000000,8,-3955413.831282,3354284.989406,3700318.315116,33.045952,-3955440.280353,3354283.822956,3700366.388055,19.216658,-3955433.982480,3354277.059258,3700322.868593,25.334566,-3955411.185589,3354297.966409,3700295.168796,28.294051,-3955411.304621,3354319.830444,3700330.384067,28.294051,-3955411.304621,3354319.830444,3700330.384067
18,18.000000,8,-3955411.606582,3354283.102763,3700322.376063,5.414444,-3955417.114884,3354291.916241,3700334.902299,8.642949,-3955424.537302,3354283.159984,3700326.603053,27.699367,-3955409.153427,3354298.746227,3700298.531953,26.652569,-3955411.132481,3354316.659772,3700329.963073,26.652569,-3955411.132481,3354316.659772,3700329.963073
19,19.000000,8,-3955409.381883,3354281.216121,3700326.437010,13.029876,-3955414.483002,3354272.500488,3700314.819220,11.034171,-3955418.581979,3354275.556228,3700323.870660,34.956609,-3955407.484196,3354294.554737,3700290.907375,28.439981,-3955410.630289,3354316.274812,3700329.028543,28.439981,-3955410.630289,3354316.274812,3700329.028543
