scope,scope_id,epochs,reference_coverage,pass_0p5,pass_1m,pass_3m,error_p50_m,error_p95_m,error_p99_m,mode_evaluated,mode_accepted,mode_abstention_rate,mode_multimodal_rate,mode_mean_distance_p95_m,mode_counterfactual_emissions,mode_counterfactual_improved_rate,mode_counterfactual_error_delta_mean_m,mode_counterfactual_error_delta_p95_m,doppler_diagnostic_epochs,doppler_update_rate,doppler_known_rows_mean,doppler_unknown_rows_mean,doppler_clock_groups_mean,doppler_clock_fit_rms_p95_mps,doppler_clock_drift_span_p95_mps,ffbsi_available,ffbsi_applied,ffbsi_abstention_rate,ffbsi_correction_p95_m,ffbsi_counterfactual_epochs,ffbsi_improved_rate,ffbsi_error_delta_mean_m,ffbsi_error_delta_p95_m,evaluation_role,ms_per_epoch,runtime_scope
pooled,all,58598,1.0,0.0,0.0,0.0,43.38246832929683,151.7304303826659,246.0767467830876,58571,792,0.9864779498386573,0.04244421300643663,0.057568411642856754,792,0.4861111111111111,0.04150931343455901,2.1272511585290084,0,,,,,,,58571,35969,0.38589062846801314,1.7444818193597431,35969,0.5060190719786483,-0.011889905371986602,0.793779286673131,diagnostic,58.475440309825466,mean_of_measured_full_runs
pooled_holdout,all_after_development,57398,1.0,0.0,0.0,0.0,43.955183263730845,153.6847036578583,246.5181179555498,57371,790,0.9862299768175559,0.04305311045650241,0.06149602709845345,790,0.4860759493670886,0.03907745096052933,2.1180480241200588,0,,,,,,,57371,34943,0.3909292151086786,1.756473352863872,34943,0.5066250751223421,-0.012364187451295488,0.8029675013518773,holdout,58.475440309825466,mean_of_measured_full_runs
run,nagoya_run1,7583,1.0,0.0,0.0,0.0,45.19013150431528,220.8778620399898,252.05387608124965,7566,80,0.9894263811789585,0.0344964314036479,0.038220950778813864,80,0.4375,0.04359050895608263,2.2279855516113316,0,,,,,,,7566,5296,0.30002643404705265,1.831449763527895,5296,0.5152945619335347,-0.027697491024395702,0.8566980966204216,diagnostic,49.82964660424346,measured_full_run
run_holdout,nagoya_run1_after_development,7383,1.0,0.0,0.0,0.0,47.132828902609496,223.24045671690328,252.29112598689198,7366,80,0.9891392886234048,0.03489003529731197,0.038930395196847045,80,0.4375,0.04359050895608263,2.2279855516113316,0,,,,,,,7366,5119,0.3050502307901167,1.8487063193823683,5119,0.5167024809533112,-0.029245327340098003,0.8650039242021527,holdout,49.82964660424346,full_run_average_proxy
run,nagoya_run2,9438,1.0,0.0,0.0,0.0,41.81403140626273,133.19353153177613,219.69554828049195,9429,117,0.9875914731148584,0.035634743875278395,0.035306109212604415,117,0.4017094017094017,0.1885581117192433,1.9069489548854943,0,,,,,,,9429,5916,0.3725739739102768,1.7311827808819829,5916,0.49137931034482757,0.0002781021068639115,0.7566316447619457,diagnostic,64.29898086461627,measured_full_run
run_holdout,nagoya_run2_after_development,9238,1.0,0.0,0.0,0.0,43.177714909866125,134.22559034879077,220.94641077277498,9229,115,0.987539278361686,0.035865207498103804,0.036655679154674874,115,0.4,0.17440964425912087,1.576771096852722,0,,,,,,,9229,5742,0.3778307508939214,1.7377409038263891,5742,0.49129223267154304,0.0005555413889704453,0.7650196053922949,holdout,64.29898086461627,full_run_average_proxy
run,nagoya_run3,5201,1.0,0.0,0.0,0.0,41.023408727765485,113.3501646750278,156.16539570989386,5201,61,0.9882714862526437,0.04018457988848299,0.05078060702790567,61,0.45901639344262296,0.23545369294597895,2.197870773379421,0,,,,,,,5201,3598,0.30820995962314934,1.9125351867785865,3598,0.5202890494719289,-0.022737681017487577,0.8507658157958236,diagnostic,51.3838534896996,measured_full_run
run_holdout,nagoya_run3_after_development,5001,1.0,0.0,0.0,0.0,42.15950657248258,114.16128223894134,156.46983759413158,5001,61,0.9878024395120976,0.041591681663667265,0.053605901742824175,61,0.45901639344262296,0.23545369294597895,2.197870773379421,0,,,,,,,5001,3408,0.3185362927414517,1.9378931358770977,3408,0.5267018779342723,-0.026864394004584978,0.8836794661749987,holdout,51.3838534896996,full_run_average_proxy
run,tokyo_run1,11924,1.0,0.0,0.0,0.0,65.2838541474487,229.5267481702567,282.6910172240816,11923,226,0.9810450390002516,0.05392938018954961,0.15435887679076843,226,0.5176991150442478,0.07297931659844001,2.1872464938895,0,,,,,,,11923,6487,0.4559255221001426,2.07178955133512,6487,0.5067057191305688,-0.0076220883875164,1.0413139468538073,diagnostic,75.13883875380527,measured_full_run
run_holdout,tokyo_run1_after_development,11724,1.0,0.0,0.0,0.0,65.75850111916492,230.9726026073111,283.06833056601494,11723,226,0.9807216582785976,0.0545935340783076,0.16371332651243034,226,0.5176991150442478,0.07297931659844001,2.1872464938895,0,,,,,,,11723,6325,0.4604623389917256,2.082723933767889,6325,0.5067193675889328,-0.007588800037936697,1.0474360828927947,holdout,75.13883875380527,full_run_average_proxy
run,tokyo_run2,9151,1.0,0.0,0.0,0.0,30.4805983703166,81.9188396386661,109.77822197624229,9151,129,0.9859031799803301,0.04382034750300513,0.04990749557642189,129,0.5271317829457365,-0.06491098101635502,1.7884474068875504,0,,,,,,,9151,5450,0.40443667358758606,1.5820289915855879,5450,0.5108256880733945,-0.018841959579676704,0.6339859978707288,diagnostic,58.52221617310891,measured_full_run
run_holdout,tokyo_run2_after_development,8951,1.0,0.0,0.0,0.0,30.817090664231586,82.72292953160967,109.94664476140812,8951,129,0.9855882024354821,0.044576025025136856,0.05250852174589446,129,0.5271317829457365,-0.06491098101635502,1.7884474068875504,0,,,,,,,8951,5303,0.4075522288012513,1.5990528096217556,5303,0.5108429191023949,-0.018999756918774535,0.6411499735908953,holdout,58.52221617310891,full_run_average_proxy
run,tokyo_run3,15301,1.0,0.0,0.0,0.0,37.6454854599697,71.05934017368347,91.91927220616527,15301,179,0.9883014182079602,0.041565910724789226,0.03781084189378053,179,0.5027932960893855,-0.08466842356038938,1.6548320277656203,0,,,,,,,15301,9222,0.3972942944905562,1.4700957487365458,9222,0.5011927998265019,-0.005279115435265254,0.6622148855851286,diagnostic,51.679105973479246,measured_full_run
run_holdout,tokyo_run3_after_development,15101,1.0,0.0,0.0,0.0,37.88847407550601,71.2611251436017,92.00800921179426,15101,179,0.9881464803655388,0.04205019535130124,0.0407176247577366,179,0.5027932960893855,-0.08466842356038938,1.6548320277656203,0,,,,,,,15101,9046,0.40096682338917955,1.4788956851078976,9046,0.5005527304886137,-0.004998470502353333,0.6652509326958196,holdout,51.679105973479246,full_run_average_proxy
blocked_span,nagoya_run1_seg0,100,1.0,0.0,0.0,0.0,20.84364159571595,26.341421038943693,27.523584413537023,100,0,1.0,0.02,0.00965480805348222,0,,,,0,,,,,,,100,84,0.16000000000000003,1.21615409058554,84,0.4880952380952381,-0.004184305642909571,0.6854772908672921,development,49.82964660424346,full_run_average_proxy
blocked_span,nagoya_run2_seg983,100,1.0,0.0,0.0,0.0,44.91322052867141,62.899889659706204,70.59113494393658,100,1,0.99,0.06,0.20379897555531123,1,0.0,1.0826352077532064,1.0826352077532064,0,,,,,,,100,64,0.36,1.9085449021022525,64,0.34375,0.13339163733735593,0.8756939362525319,holdout,64.29898086461627,full_run_average_proxy
blocked_span,nagoya_run3_seg235,100,1.0,0.0,0.0,0.0,33.234619392481534,36.21238572241031,37.48944345016996,100,1,0.99,0.03,0.031126636261427844,1,0.0,2.5287506745271067,2.5287506745271067,0,,,,,,,100,80,0.19999999999999996,1.551973061435186,80,0.2875,0.21493234978769746,0.7551499089258278,holdout,51.3838534896996,full_run_average_proxy
blocked_span,tokyo_run1_seg1463,100,1.0,0.0,0.0,0.0,48.16012816420627,56.99248319504861,59.24186852672947,100,3,0.97,0.08,0.15186501217378176,3,0.3333333333333333,0.6209577615403935,1.8176582096593874,0,,,,,,,100,36,0.64,1.6813964941836863,36,0.75,-0.16201154597699366,0.3356789115897758,holdout,75.13883875380527,full_run_average_proxy
blocked_span,tokyo_run2_seg808,100,1.0,0.0,0.0,0.0,33.26651282751847,46.1611133837496,48.28861097601648,100,4,0.96,0.09,0.44296422065067054,4,0.5,0.39975626359805627,1.3977804908085516,0,,,,,,,100,51,0.49,2.4775998433362374,51,0.6078431372549019,-0.12676646620060666,0.5143178464445199,holdout,58.52221617310891,full_run_average_proxy
blocked_span,tokyo_run3_seg774,100,1.0,0.0,0.0,0.0,33.117009074511785,39.83986494623904,41.128075301895485,100,4,0.96,0.05,0.21817578370007645,4,0.25,-0.04879202242452596,0.8037653256536732,0,,,,,,,100,59,0.41000000000000003,1.6068318217574606,59,0.6101694915254238,-0.07743363332467144,0.397770783095192,holdout,51.679105973479246,full_run_average_proxy
