blocked_mass,blocked_positive_frac,blocked_positive_frac_gt5,blocked_positive_mean_residual,cb_disagreement_m,disagreement_m,epoch,max_weighted_blocked_frac,mean_weighted_blocked_frac,n_sat_blocked_gt_005,n_sat_blocked_gt_010,rationale,robust_mean_abs_residual,robust_mean_residual,robust_p95_abs_residual,robust_positive_frac,robust_positive_frac_gt5,satellite_count,score,segment_label,strategy,style,use_blocked
0.531250,0.970588,0.970588,17.572294,2.460025,10.602718,0,0.406250,0.059028,2.000000,1.000000,always robust,18.223999,9.752566,30.029086,0.777778,0.666667,9.000000,0.000000,tokyo_run2_seg808,always_robust,constant,False
0.484375,0.967742,0.967742,19.771987,21.185612,41.920367,1,0.359375,0.053819,2.000000,2.000000,always robust,18.786978,10.159917,28.718595,0.777778,0.666667,9.000000,0.000000,tokyo_run2_seg808,always_robust,constant,False
0.531250,0.970588,0.970588,17.130889,39.397316,99.373427,2,0.375000,0.053125,2.000000,1.000000,always robust,16.890252,8.522012,28.708179,0.800000,0.700000,10.000000,0.000000,tokyo_run2_seg808,always_robust,constant,False
0.437500,1.000000,1.000000,17.186551,37.865558,96.108884,3,0.343750,0.048611,2.000000,1.000000,always robust,17.597710,8.864220,29.691522,0.777778,0.666667,9.000000,0.000000,tokyo_run2_seg808,always_robust,constant,False
0.343750,0.909091,0.909091,18.037899,35.933557,92.147079,4,0.250000,0.042969,2.000000,1.000000,always robust,17.391532,9.231612,27.110679,0.750000,0.625000,8.000000,0.000000,tokyo_run2_seg808,always_robust,constant,False
0.359375,1.000000,1.000000,18.469936,35.868690,89.627663,5,0.296875,0.039931,2.000000,1.000000,always robust,18.757630,11.041589,31.935216,0.777778,0.666667,9.000000,0.000000,tokyo_run2_seg808,always_robust,constant,False
0.187500,1.000000,1.000000,14.839357,37.188505,89.456199,6,0.171875,0.020833,1.000000,1.000000,always robust,17.731220,9.020163,30.008705,0.777778,0.666667,9.000000,0.000000,tokyo_run2_seg808,always_robust,constant,False
0.187500,1.000000,1.000000,10.266447,36.979176,90.126186,7,0.187500,0.018750,1.000000,1.000000,always robust,19.270731,8.513586,37.849670,0.700000,0.700000,10.000000,0.000000,tokyo_run2_seg808,always_robust,constant,False
0.343750,1.000000,1.000000,13.732775,37.246124,88.748390,8,0.281250,0.034375,2.000000,1.000000,always robust,19.828874,8.816941,36.448580,0.700000,0.700000,10.000000,0.000000,tokyo_run2_seg808,always_robust,constant,False
0.328125,1.000000,1.000000,16.695185,34.912730,86.209212,9,0.265625,0.032812,2.000000,1.000000,always robust,20.278086,9.195076,35.543553,0.700000,0.700000,10.000000,0.000000,tokyo_run2_seg808,always_robust,constant,False
