extensibility_param_count,extensibility_proxy,mean_blocked_epoch_frac,mean_outlier_rate_pct,mean_p95,mean_rms_2d,parameters,pf_rms_wins,readability_branch_count,readability_loc,readability_proxy,required_features,strategy,style
0,100.000000,0.000000,38.666667,108.987553,93.170594,,2,0,10,85.000000,,always_robust,constant
0,100.000000,1.000000,3.666667,91.306699,69.816047,,2,0,10,85.000000,,always_blocked,constant
1,98.000000,0.550000,9.666667,93.423837,68.565905,disagreement_threshold_m,3,0,17,70.500000,disagreement_m,disagreement_gate,oop-threshold
3,94.000000,0.386667,13.666667,99.849885,74.486142,"disagreement_threshold_m,cb_disagreement_threshold_m,blocked_ceiling",3,2,41,14.500000,"disagreement_m,cb_disagreement_m,mean_weighted_blocked_frac",clock_veto_gate,pipeline-veto
9,114.000000,0.023333,38.666667,108.987553,92.503755,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m",2,9,73,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual",dual_mode_regime_gate,regime-branch
11,110.000000,0.023333,38.666667,108.987553,92.503755,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,close_satellite_max,close_p95_abs_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m",2,1,78,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual,robust_p95_abs_residual,satellite_count",quality_veto_regime_gate,regime-quality-veto
13,122.000000,0.033333,38.666667,108.987553,92.183287,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,close_satellite_max,close_p95_abs_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m,enter_confirm_epochs,exit_confirm_epochs",2,6,94,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual,robust_p95_abs_residual,satellite_count",hysteresis_quality_veto_regime_gate,stateful-hysteresis
14,128.000000,0.036667,38.666667,108.987553,92.067314,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,close_satellite_max,close_p95_abs_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m,enter_confirm_close_epochs,enter_confirm_far_epochs,exit_confirm_epochs",2,9,97,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual,robust_p95_abs_residual,satellite_count",mode_aware_hysteresis_quality_veto_regime_gate,stateful-branch-hysteresis
15,134.000000,0.040000,38.666667,108.987553,91.948343,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,close_satellite_max,close_p95_abs_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m,enter_confirm_close_epochs,enter_confirm_far_epochs,exit_confirm_close_epochs,exit_confirm_far_epochs",2,9,110,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual,robust_p95_abs_residual,satellite_count",branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-exit-hysteresis
18,152.000000,0.040000,38.666667,108.987553,91.948343,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,close_satellite_max,close_p95_abs_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m,enter_confirm_close_epochs,enter_confirm_far_epochs,exit_confirm_close_epochs,exit_confirm_far_epochs,close_rescue_satellite_max,close_rescue_p95_abs_residual_max_m,close_rescue_cb_min_m",2,12,126,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual,robust_p95_abs_residual,satellite_count",rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-hysteresis
22,176.000000,0.040000,38.666667,108.987553,91.948343,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,close_satellite_max,close_p95_abs_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m,enter_confirm_close_epochs,enter_confirm_far_epochs,exit_confirm_close_epochs,exit_confirm_far_epochs,close_rescue_satellite_max,close_rescue_p95_abs_residual_max_m,close_rescue_cb_min_m,negative_exit_disagreement_min_m,negative_exit_cb_min_m,negative_exit_p95_abs_residual_min_m,negative_exit_hits_required",2,16,148,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual,robust_p95_abs_residual,satellite_count",negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-negative-exit
