city,run,variant,ppc_pct,pass_m,total_m,n_gated
tokyo,run1,base,56.673548,5847.5449,10317.9439,7793
tokyo,run1,r15ga,56.670157,5847.1950,10317.9439,7832
tokyo,run1,r20ga,56.708291,5851.1296,10317.9439,7834
tokyo,run1,psig1,56.532711,5833.0134,10317.9439,7808
tokyo,run1,psig2,56.673548,5847.5449,10317.9439,7793
tokyo,run1,psig05,56.673548,5847.5449,10317.9439,7793
tokyo,run1,psig3,56.673548,5847.5449,10317.9439,7793
tokyo,run1,holdrlx,56.366319,5815.8452,10317.9439,7829
tokyo,run1,holdvrlx,56.673548,5847.5449,10317.9439,7793
tokyo,run1,psig1_holdrlx,56.673548,5847.5449,10317.9439,7793
tokyo,run1,csig1,56.650742,5845.1918,10317.9439,7801
tokyo,run1,minobs6,56.673548,5847.5449,10317.9439,7793
tokyo,run1,nobds,56.673548,5847.5449,10317.9439,7793
tokyo,run1,em10,56.667614,5846.9326,10317.9439,7798
tokyo,run1,r12ga,56.673548,5847.5449,10317.9439,7793
tokyo,run1,noglo,56.673548,5847.5449,10317.9439,7793
tokyo,run1,csig05,56.673548,5847.5449,10317.9439,7793
tokyo,run1,arfilt,56.673548,5847.5449,10317.9439,7793
tokyo,run1,rout30,56.673548,5847.5449,10317.9439,7793
tokyo,run1,rout20,56.673548,5847.5449,10317.9439,7795
tokyo,run1,rout100,56.673548,5847.5449,10317.9439,7793
tokyo,run1,mb5k,56.673548,5847.5449,10317.9439,7793
tokyo,run1,minar5,56.673548,5847.5449,10317.9439,7793
tokyo,run1,csig05_psig1,56.500995,5829.7410,10317.9439,7816
tokyo,run1,csig05_holdrlx,56.673548,5847.5449,10317.9439,7793
tokyo,run1,csig01,56.656470,5845.7828,10317.9439,7801
tokyo,run1,csig05_nobds,56.673548,5847.5449,10317.9439,7794
tokyo,run1,csig05_psig1_holdrlx,56.673548,5847.5449,10317.9439,7793
tokyo,run1,csig05_holdvrlx,56.673548,5847.5449,10317.9439,7793
tokyo,run1,csig05_em10,56.686126,5848.8426,10317.9439,7794
tokyo,run1,csig01_holdrlx,56.673548,5847.5449,10317.9439,7793
tokyo,run1,csig05_psig1_holdvrlx,56.673548,5847.5449,10317.9439,7793
tokyo,run1,csig01_psig1_holdrlx,56.673548,5847.5449,10317.9439,7797
tokyo,run1,csig05_holdrlx_em10,56.686126,5848.8426,10317.9439,7800
tokyo,run1,psig1_holdvrlx,56.355092,5814.6868,10317.9439,7850
tokyo,run1,csig05_nobds_holdrlx,56.673548,5847.5449,10317.9439,7793
tokyo,run1,csig01_holdvrlx,56.518250,5831.5213,10317.9439,7802
tokyo,run1,csig005,56.751886,5855.6277,10317.9439,7797
tokyo,run1,csig01_nobds,56.645111,5844.6108,10317.9439,7797
tokyo,run1,nobds_holdrlx,56.553792,5835.1885,10317.9439,7857
tokyo,run1,csig01_psig1,56.676377,5847.8368,10317.9439,7800
tokyo,run1,csig005_holdrlx,56.673548,5847.5449,10317.9439,7793
tokyo,run1,csig005_psig1,56.673548,5847.5449,10317.9439,7796
tokyo,run1,csig005_nobds,56.683228,5848.5437,10317.9439,7798
tokyo,run1,csig005_em10,56.770541,5857.5526,10317.9439,7797
tokyo,run1,csig0001,56.673548,5847.5449,10317.9439,7796
tokyo,run1,csig00005,56.680740,5848.2870,10317.9439,7795
tokyo,run1,nopostflt,56.673548,5847.5449,10317.9439,7793
tokyo,run1,csig05_nopostflt,56.673548,5847.5449,10317.9439,7793
tokyo,run1,csig005_nopostflt,56.751886,5855.6277,10317.9439,7797
tokyo,run1,iono_iflc,53.751470,5546.0465,10317.9439,7816
