city,run,variant,ppc_pct,pass_m,total_m,n_gated
tokyo,run1,base,56.832608,5863.9566,10317.9439,7798
tokyo,run1,r15ga,56.821169,5862.7764,10317.9439,7835
tokyo,run1,r20ga,56.848812,5865.6285,10317.9439,7837
tokyo,run1,psig1,56.691771,5849.4251,10317.9439,7812
tokyo,run1,psig2,56.832608,5863.9566,10317.9439,7798
tokyo,run1,psig05,56.832608,5863.9566,10317.9439,7798
tokyo,run1,psig3,56.832608,5863.9566,10317.9439,7798
tokyo,run1,holdrlx,56.525379,5832.2569,10317.9439,7833
tokyo,run1,holdvrlx,56.832608,5863.9566,10317.9439,7798
tokyo,run1,psig1_holdrlx,56.832608,5863.9566,10317.9439,7798
tokyo,run1,csig1,56.809803,5861.6036,10317.9439,7803
tokyo,run1,minobs6,56.832608,5863.9566,10317.9439,7798
tokyo,run1,nobds,56.832608,5863.9566,10317.9439,7798
tokyo,run1,em10,56.826674,5863.3443,10317.9439,7803
tokyo,run1,r12ga,56.832608,5863.9566,10317.9439,7798
tokyo,run1,noglo,56.832608,5863.9566,10317.9439,7798
tokyo,run1,csig05,56.832608,5863.9566,10317.9439,7798
tokyo,run1,arfilt,56.832608,5863.9566,10317.9439,7798
tokyo,run1,rout30,56.832608,5863.9566,10317.9439,7798
tokyo,run1,rout20,56.832608,5863.9566,10317.9439,7800
tokyo,run1,rout100,56.832608,5863.9566,10317.9439,7798
tokyo,run1,mb5k,56.832608,5863.9566,10317.9439,7798
tokyo,run1,minar5,56.832608,5863.9566,10317.9439,7798
tokyo,run1,csig05_psig1,56.660056,5846.1528,10317.9439,7820
tokyo,run1,csig05_holdrlx,56.832608,5863.9566,10317.9439,7798
tokyo,run1,csig01,56.815530,5862.1945,10317.9439,7805
tokyo,run1,csig05_nobds,56.832608,5863.9566,10317.9439,7799
tokyo,run1,csig05_psig1_holdrlx,56.832608,5863.9566,10317.9439,7798
tokyo,run1,csig05_holdvrlx,56.832608,5863.9566,10317.9439,7798
tokyo,run1,csig05_em10,56.845186,5865.2544,10317.9439,7799
tokyo,run1,csig01_holdrlx,56.832608,5863.9566,10317.9439,7798
tokyo,run1,csig05_psig1_holdvrlx,56.832608,5863.9566,10317.9439,7798
tokyo,run1,csig01_psig1_holdrlx,56.832608,5863.9566,10317.9439,7802
tokyo,run1,csig05_holdrlx_em10,56.845186,5865.2544,10317.9439,7805
tokyo,run1,psig1_holdvrlx,56.514153,5831.0986,10317.9439,7854
tokyo,run1,csig05_nobds_holdrlx,56.832608,5863.9566,10317.9439,7798
tokyo,run1,csig01_holdvrlx,56.657656,5845.9052,10317.9439,7807
tokyo,run1,csig005,56.910946,5872.0395,10317.9439,7801
tokyo,run1,csig01_nobds,56.804171,5861.0225,10317.9439,7801
tokyo,run1,nobds_holdrlx,56.712852,5851.6002,10317.9439,7860
tokyo,run1,csig01_psig1,56.835438,5864.2486,10317.9439,7805
tokyo,run1,csig005_holdrlx,56.832608,5863.9566,10317.9439,7798
tokyo,run1,csig005_psig1,56.832608,5863.9566,10317.9439,7801
tokyo,run1,csig005_nobds,56.842288,5864.9554,10317.9439,7802
