city,run,variant,ppc_pct,pass_m,total_m,n_gated
tokyo,run1,base,56.991912,5880.3935,10317.9439,7849
tokyo,run1,r15ga,57.028231,5884.1409,10317.9439,7871
tokyo,run1,r20ga,57.088950,5890.4058,10317.9439,7871
tokyo,run1,psig1,56.864991,5867.2979,10317.9439,7863
tokyo,run1,psig2,56.991912,5880.3935,10317.9439,7849
tokyo,run1,psig05,56.991912,5880.3935,10317.9439,7849
tokyo,run1,psig3,56.991912,5880.3935,10317.9439,7849
tokyo,run1,holdrlx,56.697162,5849.9814,10317.9439,7884
tokyo,run1,holdvrlx,56.991912,5880.3935,10317.9439,7849
tokyo,run1,psig1_holdrlx,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig1,56.974502,5878.5971,10317.9439,7854
tokyo,run1,minobs6,56.991912,5880.3935,10317.9439,7849
tokyo,run1,nobds,56.991912,5880.3935,10317.9439,7849
tokyo,run1,em10,56.985978,5879.7812,10317.9439,7854
tokyo,run1,r12ga,56.991912,5880.3935,10317.9439,7849
tokyo,run1,noglo,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig05,56.991912,5880.3935,10317.9439,7849
tokyo,run1,arfilt,56.991912,5880.3935,10317.9439,7849
tokyo,run1,rout30,56.991912,5880.3935,10317.9439,7849
tokyo,run1,rout20,56.991912,5880.3935,10317.9439,7851
tokyo,run1,rout100,56.991912,5880.3935,10317.9439,7849
tokyo,run1,mb5k,56.991912,5880.3935,10317.9439,7849
tokyo,run1,minar5,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig05_psig1,56.882318,5869.0857,10317.9439,7861
tokyo,run1,csig05_holdrlx,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig01,56.965479,5877.6661,10317.9439,7851
tokyo,run1,csig05_nobds,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig05_psig1_holdrlx,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig05_holdvrlx,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig05_em10,57.004490,5881.6913,10317.9439,7850
tokyo,run1,csig01_holdrlx,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig05_psig1_holdvrlx,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig01_psig1_holdrlx,56.991912,5880.3935,10317.9439,7853
tokyo,run1,csig05_holdrlx_em10,57.004490,5881.6913,10317.9439,7856
tokyo,run1,psig1_holdvrlx,56.750551,5855.4900,10317.9439,7904
tokyo,run1,csig05_nobds_holdrlx,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig01_holdvrlx,56.913624,5872.3158,10317.9439,7858
tokyo,run1,csig005,56.984309,5879.6090,10317.9439,7851
tokyo,run1,csig01_nobds,56.965479,5877.6661,10317.9439,7849
tokyo,run1,nobds_holdrlx,56.888459,5869.7193,10317.9439,7911
tokyo,run1,csig01_psig1,56.991912,5880.3935,10317.9439,7855
tokyo,run1,csig005_holdrlx,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig005_psig1,56.991912,5880.3935,10317.9439,7852
tokyo,run1,csig005_nobds,56.936970,5874.7246,10317.9439,7852
tokyo,run1,csig005_em10,57.002965,5881.5339,10317.9439,7852
tokyo,run1,csig0001,56.991912,5880.3935,10317.9439,7852
tokyo,run1,csig00005,56.999105,5881.1356,10317.9439,7851
tokyo,run1,nopostflt,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig05_nopostflt,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig005_nopostflt,56.984309,5879.6090,10317.9439,7851
tokyo,run1,iono_iflc,54.183501,5590.6233,10317.9439,7866
tokyo,run1,csig005_holdvrlx,56.981407,5879.3096,10317.9439,7857
tokyo,run1,csig005_psig1_holdrlx,56.991912,5880.3935,10317.9439,7854
tokyo,run1,csig005_glonassar,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig005_psig1_holdvrlx,56.991912,5880.3935,10317.9439,7854
tokyo,run1,noarfilt,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig05_noarfilt,56.991912,5880.3935,10317.9439,7849
tokyo,run1,r05,56.991912,5880.3935,10317.9439,7849
tokyo,run1,r08,56.991912,5880.3935,10317.9439,7849
tokyo,run1,r10,56.991912,5880.3935,10317.9439,7849
tokyo,run1,csig05_r10,56.970180,5878.1512,10317.9439,7850
tokyo,run1,csig005_r10,56.979662,5879.1296,10317.9439,7851
tokyo,run1,csig005_minar3,56.991912,5880.3935,10317.9439,7849
tokyo,run1,mb1k,56.991912,5880.3935,10317.9439,7849
tokyo,run1,mb50k,56.991912,5880.3935,10317.9439,7849
tokyo,run1,modeauto,56.991912,5880.3935,10317.9439,7849
tokyo,run1,modestatic,56.431362,5822.5563,10317.9439,7882
tokyo,run1,onlyG,56.991912,5880.3935,10317.9439,7849
tokyo,run1,psig01,56.803351,5860.9379,10317.9439,7890
tokyo,run1,psig005,56.379681,5817.2239,10317.9439,7896
tokyo,run1,csig005_psig01,56.991912,5880.3935,10317.9439,7850
tokyo,run1,onlyG_holdrlx,56.947807,5875.8428,10317.9439,7891
tokyo,run1,onlyG_csig05,56.991912,5880.3935,10317.9439,7849
tokyo,run1,onlyG_csig005,56.921144,5873.0917,10317.9439,7849
tokyo,run1,onlyG_psig1,56.852820,5866.0421,10317.9439,7864
tokyo,run1,onlyG_holdvrlx,55.911472,5768.9143,10317.9439,7933
tokyo,run1,onlyG_r05,56.991912,5880.3935,10317.9439,7849
tokyo,run1,onlyG_csig01,56.948226,5875.8861,10317.9439,7850
tokyo,run1,onlyG_em10,56.996784,5880.8962,10317.9439,7853
tokyo,run1,onlyG_psig1_csig05,56.873365,5868.1619,10317.9439,7863
tokyo,run1,onlyG_psig1_holdrlx,56.991912,5880.3935,10317.9439,7849
tokyo,run1,oGc005hr,56.996600,5880.8772,10317.9439,7851
tokyo,run1,oGc005p1,56.991912,5880.3935,10317.9439,7849
tokyo,run1,oGc005p1hr,57.112174,5892.8020,10317.9439,7888
tokyo,run1,oGc01p1,56.870327,5867.8484,10317.9439,7857
tokyo,run1,c005p1,56.991912,5880.3935,10317.9439,7849
tokyo,run1,c005p1hr,57.084638,5889.9609,10317.9439,7870
tokyo,run1,arfm05,56.991912,5880.3935,10317.9439,7849
tokyo,run1,prsurv,56.995460,5880.7596,10317.9439,7850
tokyo,run1,oGc0001p1,56.991912,5880.3935,10317.9439,7849
tokyo,run1,oGc00005p1,56.991912,5880.3935,10317.9439,7849
tokyo,run1,oGc005p05,56.863175,5867.1105,10317.9439,7865
tokyo,run1,oGc005p2,57.048875,5886.2709,10317.9439,7854
tokyo,run1,oGc005p1ar3,56.991912,5880.3935,10317.9439,7849
tokyo,run1,nobdsc005p1,56.995559,5880.7698,10317.9439,7849
tokyo,run1,ratio12,56.991912,5880.3935,10317.9439,7849
tokyo,run1,ratio12oG,56.991912,5880.3935,10317.9439,7850
tokyo,run1,mlc2,57.049189,5886.3033,10317.9439,7861
tokyo,run1,mlc2oG,57.064969,5887.9315,10317.9439,7863
tokyo,run1,em5,56.967988,5877.9250,10317.9439,7864
tokyo,run1,ionest,56.991912,5880.3935,10317.9439,7849
tokyo,run1,all_psig,56.864991,5867.2979,10317.9439,7863
tokyo,run1,all_hold,56.697162,5849.9814,10317.9439,7884
tokyo,run1,all_new,56.974502,5878.5971,10317.9439,7854
tokyo,run2,base,83.879790,6001.3160,7154.6627,7841
tokyo,run2,r15ga,83.971917,6007.9074,7154.6627,7890
tokyo,run2,r20ga,83.922700,6004.3861,7154.6627,7891
tokyo,run2,psig1,83.885314,6001.7112,7154.6627,7853
tokyo,run2,psig2,83.879790,6001.3160,7154.6627,7841
tokyo,run2,psig05,83.879790,6001.3160,7154.6627,7841
tokyo,run2,psig3,83.879790,6001.3160,7154.6627,7841
tokyo,run2,holdrlx,80.580713,5765.2782,7154.6627,8016
tokyo,run2,holdvrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,psig1_holdrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig1,83.879790,6001.3160,7154.6627,7841
tokyo,run2,minobs6,83.879790,6001.3160,7154.6627,7841
tokyo,run2,nobds,83.879790,6001.3160,7154.6627,7841
tokyo,run2,em10,83.894297,6002.3540,7154.6627,7865
tokyo,run2,r12ga,83.879790,6001.3160,7154.6627,7841
tokyo,run2,noglo,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig05,83.879790,6001.3160,7154.6627,7841
tokyo,run2,arfilt,83.879790,6001.3160,7154.6627,7841
tokyo,run2,rout30,83.879790,6001.3160,7154.6627,7841
tokyo,run2,rout20,83.879790,6001.3160,7154.6627,7841
tokyo,run2,rout100,83.879790,6001.3160,7154.6627,7841
tokyo,run2,mb5k,83.879790,6001.3160,7154.6627,7841
tokyo,run2,minar5,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig05_psig1,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig05_holdrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig01,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig05_nobds,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig05_psig1_holdrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig05_holdvrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig05_em10,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig01_holdrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig05_psig1_holdvrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig01_psig1_holdrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig05_holdrlx_em10,83.879790,6001.3160,7154.6627,7841
tokyo,run2,psig1_holdvrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig05_nobds_holdrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig01_holdvrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig005,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig01_nobds,83.879790,6001.3160,7154.6627,7841
tokyo,run2,nobds_holdrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig01_psig1,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig005_holdrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig005_psig1,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig005_nobds,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig005_em10,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig0001,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig00005,83.879790,6001.3160,7154.6627,7841
tokyo,run2,nopostflt,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig05_nopostflt,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig005_nopostflt,83.879790,6001.3160,7154.6627,7841
tokyo,run2,iono_iflc,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig005_holdvrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig005_psig1_holdrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig005_glonassar,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig005_psig1_holdvrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,noarfilt,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig05_noarfilt,83.879790,6001.3160,7154.6627,7841
tokyo,run2,r05,83.879790,6001.3160,7154.6627,7841
tokyo,run2,r08,83.879790,6001.3160,7154.6627,7841
tokyo,run2,r10,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig05_r10,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig005_r10,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig005_minar3,83.879790,6001.3160,7154.6627,7841
tokyo,run2,mb1k,83.879790,6001.3160,7154.6627,7841
tokyo,run2,mb50k,83.879790,6001.3160,7154.6627,7841
tokyo,run2,modeauto,83.879790,6001.3160,7154.6627,7841
tokyo,run2,modestatic,83.879790,6001.3160,7154.6627,7841
tokyo,run2,onlyG,83.879790,6001.3160,7154.6627,7841
tokyo,run2,psig01,83.879790,6001.3160,7154.6627,7841
tokyo,run2,psig005,83.879790,6001.3160,7154.6627,7841
tokyo,run2,csig005_psig01,83.879790,6001.3160,7154.6627,7841
tokyo,run2,onlyG_holdrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,onlyG_csig05,83.879790,6001.3160,7154.6627,7841
tokyo,run2,onlyG_csig005,83.879790,6001.3160,7154.6627,7841
tokyo,run2,onlyG_psig1,83.879790,6001.3160,7154.6627,7841
tokyo,run2,onlyG_holdvrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,onlyG_r05,83.879790,6001.3160,7154.6627,7841
tokyo,run2,onlyG_csig01,83.879790,6001.3160,7154.6627,7841
tokyo,run2,onlyG_em10,83.879790,6001.3160,7154.6627,7841
tokyo,run2,onlyG_psig1_csig05,83.879790,6001.3160,7154.6627,7841
tokyo,run2,onlyG_psig1_holdrlx,83.879790,6001.3160,7154.6627,7841
tokyo,run2,oGc005hr,83.050170,5941.9595,7154.6627,7911
tokyo,run2,oGc005p1,83.879790,6001.3160,7154.6627,7841
tokyo,run2,oGc005p1hr,82.955029,5935.1525,7154.6627,7908
tokyo,run2,oGc01p1,83.879790,6001.3160,7154.6627,7841
tokyo,run2,c005p1,83.879790,6001.3160,7154.6627,7841
tokyo,run2,c005p1hr,82.745731,5920.1779,7154.6627,7934
tokyo,run2,arfm05,83.879790,6001.3160,7154.6627,7841
tokyo,run2,prsurv,83.879790,6001.3160,7154.6627,7846
tokyo,run2,oGc0001p1,83.879790,6001.3160,7154.6627,7841
tokyo,run2,oGc00005p1,83.765775,5993.1586,7154.6627,7963
tokyo,run2,oGc005p05,83.928072,6004.7704,7154.6627,7853
tokyo,run2,oGc005p2,83.743153,5991.5401,7154.6627,7848
tokyo,run2,oGc005p1ar3,83.879790,6001.3160,7154.6627,7841
tokyo,run2,nobdsc005p1,83.879790,6001.3160,7154.6627,7842
tokyo,run2,ratio12,83.875122,6000.9821,7154.6627,7888
tokyo,run2,ratio12oG,83.827649,5997.5855,7154.6627,7885
tokyo,run2,mlc2,83.903703,6003.0269,7154.6627,7879
tokyo,run2,mlc2oG,83.904701,6003.0983,7154.6627,7895
tokyo,run2,em5,83.991262,6009.2915,7154.6627,7891
tokyo,run2,ionest,83.879790,6001.3160,7154.6627,7841
tokyo,run2,all_psig,83.885314,6001.7112,7154.6627,7853
tokyo,run2,all_hold,80.580713,5765.2782,7154.6627,8016
tokyo,run2,all_new,83.879790,6001.3160,7154.6627,7841
tokyo,run3,base,79.383323,12958.3874,16323.8159,14630
tokyo,run3,r15ga,79.383323,12958.3874,16323.8159,14630
tokyo,run3,r20ga,79.383323,12958.3874,16323.8159,14630
tokyo,run3,psig1,79.383323,12958.3874,16323.8159,14630
tokyo,run3,psig2,79.383323,12958.3874,16323.8159,14630
tokyo,run3,psig05,79.362721,12955.0245,16323.8159,14630
tokyo,run3,psig3,79.333181,12950.2025,16323.8159,14630
tokyo,run3,holdrlx,79.383323,12958.3874,16323.8159,14630
tokyo,run3,holdvrlx,78.982069,12892.8876,16323.8159,14634
tokyo,run3,psig1_holdrlx,79.383323,12958.3874,16323.8159,14630
tokyo,run3,csig1,79.383323,12958.3874,16323.8159,14630
tokyo,run3,minobs6,79.383323,12958.3874,16323.8159,14630
tokyo,run3,nobds,79.383323,12958.3874,16323.8159,14630
tokyo,run3,em10,79.383323,12958.3874,16323.8159,14630
tokyo,run3,r12ga,79.383323,12958.3874,16323.8159,14630
tokyo,run3,noglo,79.383323,12958.3874,16323.8159,14630
tokyo,run3,csig05,79.383323,12958.3874,16323.8159,14630
tokyo,run3,arfilt,79.383323,12958.3874,16323.8159,14630
tokyo,run3,rout30,79.383323,12958.3874,16323.8159,14630
tokyo,run3,rout20,79.382980,12958.3316,16323.8159,14630
tokyo,run3,rout100,79.383323,12958.3874,16323.8159,14630
tokyo,run3,mb5k,79.383323,12958.3874,16323.8159,14630
tokyo,run3,minar5,79.383323,12958.3874,16323.8159,14630
tokyo,run3,csig05_psig1,79.383323,12958.3874,16323.8159,14630
tokyo,run3,csig05_holdrlx,79.383323,12958.3874,16323.8159,14630
tokyo,run3,csig01,79.383323,12958.3874,16323.8159,14630
tokyo,run3,csig05_nobds,79.383323,12958.3874,16323.8159,14630
tokyo,run3,csig05_psig1_holdrlx,79.383323,12958.3874,16323.8159,14630
tokyo,run3,csig05_holdvrlx,79.383323,12958.3874,16323.8159,14630
tokyo,run3,csig05_em10,79.383323,12958.3874,16323.8159,14630
tokyo,run3,csig01_holdrlx,79.383323,12958.3874,16323.8159,14630
tokyo,run3,csig05_psig1_holdvrlx,79.346056,12952.3042,16323.8159,14631
tokyo,run3,csig01_psig1_holdrlx,79.383323,12958.3874,16323.8159,14630
tokyo,run3,csig05_holdrlx_em10,79.383323,12958.3874,16323.8159,14630
tokyo,run3,psig1_holdvrlx,79.242042,12935.3252,16323.8159,14632
tokyo,run3,csig05_nobds_holdrlx,79.368610,12955.9858,16323.8159,14630
tokyo,run3,csig01_holdvrlx,79.383660,12958.4426,16323.8159,14648
tokyo,run3,csig005,79.378738,12957.6391,16323.8159,14630
tokyo,run3,csig01_nobds,79.383323,12958.3874,16323.8159,14631
tokyo,run3,nobds_holdrlx,79.234418,12934.0806,16323.8159,14630
tokyo,run3,csig01_psig1,79.375535,12957.1162,16323.8159,14636
tokyo,run3,csig005_holdrlx,79.288249,12942.8679,16323.8159,14642
tokyo,run3,csig005_psig1,79.354079,12953.6137,16323.8159,14631
tokyo,run3,csig005_nobds,79.384928,12958.6495,16323.8159,14630
tokyo,run3,csig005_em10,79.388809,12959.2831,16323.8159,14633
tokyo,run3,csig0001,79.383323,12958.3874,16323.8159,14632
tokyo,run3,csig00005,79.383323,12958.3874,16323.8159,14630
tokyo,run3,nopostflt,79.383323,12958.3874,16323.8159,14630
tokyo,run3,csig05_nopostflt,79.383323,12958.3874,16323.8159,14630
