city,run,variant,ppc_pct,pass_m,total_m,n_gated
tokyo,run1,base,57.211436,5903.0439,10317.9439,7897
tokyo,run1,r15ga,57.226758,5904.6247,10317.9439,7918
tokyo,run1,r20ga,57.270497,5909.1377,10317.9439,7917
tokyo,run1,psig1,57.063024,5887.7308,10317.9439,7911
tokyo,run1,psig2,57.211436,5903.0439,10317.9439,7897
tokyo,run1,psig05,57.211436,5903.0439,10317.9439,7897
tokyo,run1,psig3,57.211436,5903.0439,10317.9439,7897
tokyo,run1,holdrlx,56.944304,5875.4813,10317.9439,7931
tokyo,run1,holdvrlx,57.211436,5903.0439,10317.9439,7897
tokyo,run1,psig1_holdrlx,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig1,57.200279,5901.8927,10317.9439,7902
tokyo,run1,minobs6,57.211436,5903.0439,10317.9439,7897
tokyo,run1,nobds,57.211436,5903.0439,10317.9439,7897
tokyo,run1,em10,57.192924,5901.1338,10317.9439,7901
tokyo,run1,r12ga,57.211436,5903.0439,10317.9439,7897
tokyo,run1,noglo,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig05,57.211436,5903.0439,10317.9439,7897
tokyo,run1,arfilt,57.211436,5903.0439,10317.9439,7897
tokyo,run1,rout30,57.211436,5903.0439,10317.9439,7897
tokyo,run1,rout20,57.211436,5903.0439,10317.9439,7899
tokyo,run1,rout100,57.211436,5903.0439,10317.9439,7897
tokyo,run1,mb5k,57.211436,5903.0439,10317.9439,7897
tokyo,run1,minar5,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig05_psig1,57.101842,5891.7360,10317.9439,7909
tokyo,run1,csig05_holdrlx,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig01,57.185091,5900.3256,10317.9439,7899
tokyo,run1,csig05_nobds,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig05_psig1_holdrlx,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig05_holdvrlx,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig05_em10,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig01_holdrlx,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig05_psig1_holdvrlx,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig01_psig1_holdrlx,57.211436,5903.0439,10317.9439,7901
tokyo,run1,csig05_holdrlx_em10,57.211436,5903.0439,10317.9439,7901
tokyo,run1,psig1_holdvrlx,56.999008,5881.1256,10317.9439,7950
tokyo,run1,csig05_nobds_holdrlx,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig01_holdvrlx,57.172996,5899.0777,10317.9439,7904
tokyo,run1,csig005,57.203833,5902.2594,10317.9439,7899
tokyo,run1,csig01_nobds,57.185091,5900.3256,10317.9439,7897
tokyo,run1,nobds_holdrlx,57.121200,5893.7334,10317.9439,7954
tokyo,run1,csig01_psig1,57.211436,5903.0439,10317.9439,7902
tokyo,run1,csig005_holdrlx,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig005_psig1,57.211436,5903.0439,10317.9439,7900
tokyo,run1,csig005_nobds,57.156494,5897.3750,10317.9439,7900
tokyo,run1,csig005_em10,57.209911,5902.8865,10317.9439,7899
tokyo,run1,csig0001,57.211436,5903.0439,10317.9439,7900
tokyo,run1,csig00005,57.218628,5903.7860,10317.9439,7899
tokyo,run1,nopostflt,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig05_nopostflt,57.211436,5903.0439,10317.9439,7897
tokyo,run1,csig005_nopostflt,57.203833,5902.2594,10317.9439,7899
