city,run,variant,ppc_pct,pass_m,total_m,n_gated
tokyo,run1,base,57.928521,5977.0323,10317.9439,7951
tokyo,run1,r15ga,57.943842,5978.6131,10317.9439,7972
tokyo,run1,r20ga,57.987581,5983.1261,10317.9439,7971
tokyo,run1,psig1,57.780109,5961.7192,10317.9439,7965
tokyo,run1,holdrlx,57.661388,5949.4697,10317.9439,7985
tokyo,run1,csig1,57.917364,5975.8811,10317.9439,7956
tokyo,run1,minobs6,57.928521,5977.0323,10317.9439,7951
tokyo,run1,nobds,57.928521,5977.0323,10317.9439,7951
tokyo,run1,em10,57.910008,5975.1222,10317.9439,7955
tokyo,run1,noglo,57.928521,5977.0323,10317.9439,7951
tokyo,run1,csig05,57.928521,5977.0323,10317.9439,7951
tokyo,run1,arfilt,57.928521,5977.0323,10317.9439,7951
tokyo,run1,rout30,57.928521,5977.0323,10317.9439,7951
tokyo,run1,rout20,57.928521,5977.0323,10317.9439,7952
tokyo,run1,rout100,57.928521,5977.0323,10317.9439,7951
tokyo,run1,mb5k,57.928521,5977.0323,10317.9439,7951
tokyo,run1,minar5,57.928521,5977.0323,10317.9439,7951
tokyo,run1,csig05_psig1,57.818927,5965.7244,10317.9439,7963
tokyo,run1,csig05_holdrlx,57.928521,5977.0323,10317.9439,7951
tokyo,run1,csig01,57.902175,5974.3140,10317.9439,7953
tokyo,run1,csig05_nobds,57.928521,5977.0323,10317.9439,7951
tokyo,run1,csig05_psig1_holdrlx,57.928521,5977.0323,10317.9439,7951
tokyo,run1,csig05_holdvrlx,57.928521,5977.0323,10317.9439,7951
tokyo,run1,csig05_em10,57.928521,5977.0323,10317.9439,7951
tokyo,run1,csig01_holdrlx,57.928521,5977.0323,10317.9439,7951
tokyo,run1,csig05_psig1_holdvrlx,57.928521,5977.0323,10317.9439,7951
tokyo,run1,csig01_psig1_holdrlx,57.928521,5977.0323,10317.9439,7955
tokyo,run1,csig05_holdrlx_em10,57.928521,5977.0323,10317.9439,7955
tokyo,run1,psig1_holdvrlx,57.716092,5955.1140,10317.9439,8004
tokyo,run1,csig05_nobds_holdrlx,57.928521,5977.0323,10317.9439,7951
tokyo,run1,csig01_holdvrlx,57.890080,5973.0660,10317.9439,7956
tokyo,run1,csig005,57.920917,5976.2477,10317.9439,7953
tokyo,run1,csig01_nobds,57.902175,5974.3140,10317.9439,7951
