city,run,variant,ppc_pct,pass_m,total_m,n_gated
tokyo,run1,base,59.547853,6144.1140,10317.9439,7985
tokyo,run1,r15ga,59.577396,6147.1623,10317.9439,8006
tokyo,run1,r20ga,59.628782,6152.4643,10317.9439,8005
tokyo,run1,psig1,59.399441,6128.8010,10317.9439,7999
tokyo,run1,holdrlx,59.280512,6116.5300,10317.9439,8019
tokyo,run1,csig1,59.536696,6142.9628,10317.9439,7989
tokyo,run1,minobs6,59.547853,6144.1140,10317.9439,7985
tokyo,run1,nobds,59.547853,6144.1140,10317.9439,7985
tokyo,run1,em10,59.529340,6142.2040,10317.9439,7989
tokyo,run1,noglo,59.547853,6144.1140,10317.9439,7985
tokyo,run1,csig05,59.547853,6144.1140,10317.9439,7985
tokyo,run1,arfilt,59.547853,6144.1140,10317.9439,7985
tokyo,run1,rout30,59.547853,6144.1140,10317.9439,7985
tokyo,run1,rout20,59.547853,6144.1140,10317.9439,7986
tokyo,run1,rout100,59.547853,6144.1140,10317.9439,7985
tokyo,run1,mb5k,59.547853,6144.1140,10317.9439,7985
tokyo,run1,minar5,59.547853,6144.1140,10317.9439,7985
tokyo,run1,csig05_psig1,59.438259,6132.8062,10317.9439,7997
tokyo,run1,csig05_holdrlx,59.547853,6144.1140,10317.9439,7985
tokyo,run1,csig01,59.521507,6141.3957,10317.9439,7987
tokyo,run1,csig05_nobds,59.547853,6144.1140,10317.9439,7985
tokyo,run1,csig05_psig1_holdrlx,59.547853,6144.1140,10317.9439,7985
tokyo,run1,csig05_holdvrlx,59.547853,6144.1140,10317.9439,7985
tokyo,run1,csig05_em10,59.547853,6144.1140,10317.9439,7985
tokyo,run1,csig01_holdrlx,59.547853,6144.1140,10317.9439,7985
tokyo,run1,csig05_psig1_holdvrlx,59.547853,6144.1140,10317.9439,7985
tokyo,run1,csig01_psig1_holdrlx,59.547853,6144.1140,10317.9439,7989
tokyo,run1,csig05_holdrlx_em10,59.547853,6144.1140,10317.9439,7989
tokyo,run1,psig1_holdvrlx,59.335424,6122.1958,10317.9439,8038
tokyo,run1,csig05_nobds_holdrlx,59.547853,6144.1140,10317.9439,7985
tokyo,run1,csig01_holdvrlx,59.509412,6140.1478,10317.9439,7990
tokyo,run1,csig005,59.540249,6143.3295,10317.9439,7987
tokyo,run1,csig01_nobds,59.521507,6141.3957,10317.9439,7985
tokyo,run1,nobds_holdrlx,59.457408,6134.7820,10317.9439,8038
tokyo,run1,csig01_psig1,59.547853,6144.1140,10317.9439,7990
tokyo,run1,csig005_holdrlx,59.547853,6144.1140,10317.9439,7985
tokyo,run1,csig005_psig1,59.547853,6144.1140,10317.9439,7988
