city,run,variant,ppc_pct,pass_m,total_m,n_gated
tokyo,run1,base,61.249228,6319.6610,10317.9439,8057
tokyo,run1,r15ga,61.278771,6322.7093,10317.9439,8078
tokyo,run1,r20ga,61.322510,6327.2222,10317.9439,8077
tokyo,run1,psig1,61.100816,6304.3480,10317.9439,8071
tokyo,run1,holdrlx,60.981888,6292.0770,10317.9439,8091
tokyo,run1,csig1,61.238071,6318.5098,10317.9439,8061
tokyo,run1,minobs6,61.249228,6319.6610,10317.9439,8057
tokyo,run1,nobds,61.249228,6319.6610,10317.9439,8057
tokyo,run1,em10,61.230716,6317.7509,10317.9439,8061
tokyo,run1,noglo,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig05,61.249228,6319.6610,10317.9439,8057
tokyo,run1,arfilt,61.249228,6319.6610,10317.9439,8057
tokyo,run1,rout30,61.249228,6319.6610,10317.9439,8057
tokyo,run1,rout20,61.249228,6319.6610,10317.9439,8058
tokyo,run1,rout100,61.249228,6319.6610,10317.9439,8057
tokyo,run1,mb5k,61.249228,6319.6610,10317.9439,8057
tokyo,run1,minar5,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig05_psig1,61.139634,6308.3532,10317.9439,8069
tokyo,run1,csig05_holdrlx,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig01,61.222883,6316.9427,10317.9439,8059
tokyo,run1,csig05_nobds,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig05_psig1_holdrlx,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig05_holdvrlx,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig05_em10,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig01_holdrlx,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig05_psig1_holdvrlx,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig01_psig1_holdrlx,61.249228,6319.6610,10317.9439,8061
tokyo,run1,csig05_holdrlx_em10,61.249228,6319.6610,10317.9439,8061
tokyo,run1,psig1_holdvrlx,61.036800,6297.7428,10317.9439,8110
tokyo,run1,csig05_nobds_holdrlx,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig01_holdvrlx,61.210788,6315.6948,10317.9439,8062
tokyo,run1,csig005,61.241625,6318.8765,10317.9439,8059
tokyo,run1,csig01_nobds,61.222883,6316.9427,10317.9439,8057
tokyo,run1,nobds_holdrlx,61.158784,6310.3290,10317.9439,8110
tokyo,run1,csig01_psig1,61.249228,6319.6610,10317.9439,8062
tokyo,run1,csig005_holdrlx,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig005_psig1,61.249228,6319.6610,10317.9439,8060
tokyo,run1,csig005_nobds,61.194286,6313.9921,10317.9439,8060
tokyo,run1,csig005_em10,61.247703,6319.5036,10317.9439,8059
tokyo,run1,csig0001,61.249228,6319.6610,10317.9439,8060
tokyo,run1,csig00005,61.256421,6320.4031,10317.9439,8059
tokyo,run1,nopostflt,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig05_nopostflt,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig005_nopostflt,61.241625,6318.8765,10317.9439,8059
tokyo,run1,iono_iflc,58.636784,6050.1105,10317.9439,8070
tokyo,run1,csig005_holdvrlx,61.258774,6320.6459,10317.9439,8065
tokyo,run1,csig005_psig1_holdrlx,61.249228,6319.6610,10317.9439,8061
tokyo,run1,csig005_glonassar,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig005_psig1_holdvrlx,61.249228,6319.6610,10317.9439,8062
tokyo,run1,noarfilt,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig05_noarfilt,61.249228,6319.6610,10317.9439,8057
tokyo,run1,r05,61.249228,6319.6610,10317.9439,8057
tokyo,run1,r08,61.249228,6319.6610,10317.9439,8057
tokyo,run1,r10,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig05_r10,61.249228,6319.6610,10317.9439,8057
tokyo,run1,csig005_r10,61.236978,6318.3970,10317.9439,8058
tokyo,run1,mb1k,61.249228,6319.6610,10317.9439,8057
tokyo,run1,mb50k,61.249228,6319.6610,10317.9439,8057
tokyo,run1,modeauto,61.249228,6319.6610,10317.9439,8057
tokyo,run1,modestatic,60.702074,6263.2060,10317.9439,8087
tokyo,run1,onlyG,61.249228,6319.6610,10317.9439,8057
tokyo,run1,psig01,61.100325,6304.2973,10317.9439,8094
tokyo,run1,psig005,60.562955,6248.8517,10317.9439,8096
tokyo,run1,csig005_psig01,61.249228,6319.6610,10317.9439,8058
tokyo,run1,onlyG_holdrlx,61.187864,6313.3295,10317.9439,8094
tokyo,run1,onlyG_csig05,61.249228,6319.6610,10317.9439,8057
tokyo,run1,onlyG_csig005,61.178460,6312.3592,10317.9439,8057
tokyo,run1,onlyG_psig1,61.064754,6300.6271,10317.9439,8069
tokyo,run1,onlyG_holdvrlx,60.162169,6207.4989,10317.9439,8130
tokyo,run1,onlyG_r05,61.249228,6319.6610,10317.9439,8057
tokyo,run1,onlyG_csig01,61.205631,6315.1626,10317.9439,8058
tokyo,run1,onlyG_em10,61.246460,6319.3754,10317.9439,8060
tokyo,run1,onlyG_psig1_csig05,61.130681,6307.4294,10317.9439,8071
tokyo,run1,onlyG_psig1_holdrlx,61.249228,6319.6610,10317.9439,8057
tokyo,run1,oGc005hr,61.265941,6321.3855,10317.9439,8057
tokyo,run1,oGc005p1,61.249228,6319.6610,10317.9439,8057
tokyo,run1,oGc005p1hr,61.335372,6328.5493,10317.9439,8088
tokyo,run1,oGc01p1,61.117324,6306.0512,10317.9439,8063
tokyo,run1,c005p1,61.249228,6319.6610,10317.9439,8057
tokyo,run1,c005p1hr,61.307837,6325.7082,10317.9439,8078
tokyo,run1,arfm05,61.249228,6319.6610,10317.9439,8057
tokyo,run1,prsurv,61.251960,6319.9429,10317.9439,8058
tokyo,run1,oGc0001p1,61.249228,6319.6610,10317.9439,8057
tokyo,run1,oGc00005p1,61.249228,6319.6610,10317.9439,8057
tokyo,run1,oGc005p05,61.110957,6305.3942,10317.9439,8072
tokyo,run1,oGc005p2,61.299140,6324.8108,10317.9439,8060
tokyo,run1,nobdsc005p1,61.252875,6320.0373,10317.9439,8057
tokyo,run1,ratio12,61.249228,6319.6610,10317.9439,8057
tokyo,run1,ratio12oG,61.249228,6319.6610,10317.9439,8057
tokyo,run1,mlc2,61.249228,6319.6610,10317.9439,8057
tokyo,run1,mlc2oG,61.249228,6319.6610,10317.9439,8057
tokyo,run1,em5,61.255559,6320.3142,10317.9439,8068
tokyo,run1,ionest,61.249228,6319.6610,10317.9439,8057
tokyo,run1,em3,61.230716,6317.7509,10317.9439,8061
tokyo,run1,em7,61.230716,6317.7509,10317.9439,8061
tokyo,run1,em5oG,61.246460,6319.3754,10317.9439,8060
tokyo,run1,em5c005p1,61.249228,6319.6610,10317.9439,8057
tokyo,run1,mlc1oG,61.249228,6319.6610,10317.9439,8057
tokyo,run1,em5mlc2oG,61.246460,6319.3754,10317.9439,8060
tokyo,run1,mlc1,61.253683,6320.1207,10317.9439,8057
tokyo,run1,mlc1oGc005,61.249228,6319.6610,10317.9439,8057
tokyo,run1,mlc1oGp1,61.145844,6308.9938,10317.9439,8094
tokyo,run1,mlc1oGc005p1,61.249228,6319.6610,10317.9439,8057
tokyo,run1,em3oG,61.286512,6323.5079,10317.9439,8066
tokyo,run1,em3mlc1oG,61.125420,6306.8866,10317.9439,8059
tokyo,run1,mlc1c005p1,61.252875,6320.0373,10317.9439,8057
tokyo,run1,mlc1oGc0001,61.227427,6317.4116,10317.9439,8061
tokyo,run1,mlc1oGc005em3,61.249228,6319.6610,10317.9439,8057
tokyo,run1,mlc1oGc005r12,61.249228,6319.6610,10317.9439,8057
tokyo,run1,mlc1nobds,61.249228,6319.6610,10317.9439,8057
tokyo,run1,mlc1c005,61.249228,6319.6610,10317.9439,8057
tokyo,run1,mlc1r10,61.253683,6320.1207,10317.9439,8063
tokyo,run1,mlc1psig005,60.670678,6259.9665,10317.9439,8099
tokyo,run1,mlc1c005r10,61.249228,6319.6610,10317.9439,8057
tokyo,run1,mlc2nobds,61.249228,6319.6610,10317.9439,8057
tokyo,run1,mlc1r10c005p1,61.274806,6322.3001,10317.9439,8060
tokyo,run1,mlc1r10oG,61.249228,6319.6610,10317.9439,8057
tokyo,run1,mlc1r10oGc005,61.249228,6319.6610,10317.9439,8057
