city,run,window_index,epoch_count,eff_db_p10_mean,eff_db_p10_min,eff_db_p50_mean,eff_db_p90_mean,eff_db_max_mean,eff_db_max_max,eff_db_mean_mean,usable_count_mean,usable_count_min,marginal_count_mean,nlos_at_high_elev_count_mean,nlos_at_high_elev_count_max,gain_db_mean_mean,elev_deg_p50_mean
nagoya,run2,0,30,-11.225260407250541,-15.806135625579337,-4.189638124304578,-1.4320127739135122,-0.5462501780050828,-0.5418609061475084,-6.882799942581281,7.0,7,15.266666666666667,0.0,0,-5.245373041996486,38.08950263899801
nagoya,run2,1,30,-21.623609100682746,-34.53925506732779,-4.108943661865751,-1.4074898842191992,-0.555473020285926,-0.5509801556685382,-8.747700080559241,7.0,7,13.666666666666666,0.0,0,-5.346803537731584,38.51261924633271
nagoya,run2,2,30,-19.04969050896845,-35.17117181999397,-4.09128526546018,-1.34089761041221,-0.5648976220908841,-0.5603036959723492,-7.661105211313325,7.0,7,14.8,0.2,3,-4.8632430108775955,39.34110375921807
nagoya,run2,3,30,-30.02981966708086,-31.64475341296923,-6.400261319616334,-1.3204705362743485,-0.5745604066504842,-0.569851214885692,-11.18932798425245,7.0,7,12.0,3.0,3,-4.832778419982298,39.526359468693016
nagoya,run2,4,30,-31.317947608616258,-33.16366971795165,-6.472051379661968,-1.2293972109603926,-0.5844419834240516,-0.5796282952971539,-13.592530846102608,5.333333333333333,5,10.466666666666667,3.7,4,-4.572923002965353,40.2289923515604
nagoya,run2,5,30,-21.195459591240695,-34.76739585453475,-3.895306450427024,-1.3091648719057796,-0.5945798686033658,-0.5896238760660033,-7.8735489832929115,7.0,7,13.866666666666667,0.16666666666666666,2,-4.852375236016224,39.740251353284144
nagoya,run2,6,30,-28.70217977291391,-35.37352322531284,-3.8473534368111943,-1.2081634256293627,-0.6049637169224119,-0.5999123056476909,-10.504569359388793,6.633333333333334,6,11.533333333333333,0.43333333333333335,1,-4.991771803344332,40.1808611188432
nagoya,run2,7,30,-26.313729655259177,-35.00385625143435,-3.9167227239188653,-1.1471549304477056,-0.6185201209169502,-0.610402082083476,-9.137121772148223,5.8,5,11.0,1.1666666666666667,3,-4.525898436660182,41.36673954966487
nagoya,run2,8,25,-29.349791362096052,-36.0136545245251,-11.047376688524066,-1.3859991355734231,-0.6696351211787405,-0.62116230599193,-13.550648514443068,4.68,1,8.16,2.24,6,-4.596645246469212,41.045627196193934
nagoya,run2,9,30,-35.2233566392968,-38.164301455325386,-26.626053498747766,-1.7750189238808594,-0.6376287537751623,-0.6322151233923822,-21.970047551766335,2.966666666666667,2,3.933333333333333,4.666666666666667,6,-4.911536618255398,42.78892045559795
nagoya,run2,10,30,-34.680323592609774,-36.95291159172187,-28.211532715765397,-1.6374716973691117,-0.6488773862136007,-0.643413450974049,-22.38030809757008,3.0,3,4.0,5.4,8,-4.8235805114307295,41.25086344173898
nagoya,run2,11,30,-33.470835119723375,-34.46265576583715,-27.662378594295653,-1.6224949445402692,-0.660328887381198,-0.6547566979952137,-21.74266875264303,3.0,3,4.0,6.033333333333333,7,-4.348285358259639,43.767395336021075
nagoya,run2,12,30,-34.08815535971568,-37.86964956700281,-26.896816231664506,-1.282968853437187,-0.6636318716304007,-0.6546976097803269,-20.49789039258203,3.7,3,4.8,5.5,8,-4.438079832771472,43.405876155252486
nagoya,run2,13,30,-31.664326325190142,-34.343913869188604,-27.31162837110005,-5.498089964803091,-1.8622722222192651,-0.6539794728128728,-23.041958417268862,1.4333333333333333,0,2.9,7.233333333333333,9,-3.6493371496475935,45.51278738809198
nagoya,run2,14,30,-31.078811196850168,-36.180887974096414,-27.495875325290466,-6.674485192851901,-0.6536891038144064,-0.6534251034789955,-24.248967867423804,1.0,1,2.0,8.5,9,-3.3558609743169114,45.77647125688189
