city,run,window_index,epoch_count,eff_db_p10_mean,eff_db_p10_min,eff_db_p50_mean,eff_db_p90_mean,eff_db_max_mean,eff_db_max_max,eff_db_mean_mean,usable_count_mean,usable_count_min,marginal_count_mean,nlos_at_high_elev_count_mean,nlos_at_high_elev_count_max,gain_db_mean_mean,elev_deg_p50_mean
tokyo,run1,0,30,-15.437889389613614,-29.06717633604409,-4.0005136163694734,-0.19554966707505667,-0.04468437754759152,-0.04389989712879133,-5.7177802297282545,7.0,7,15.166666666666666,0.16666666666666666,1,-5.22041754196309,39.60812548497957
tokyo,run1,1,30,-28.453665259031837,-34.3949449675216,-4.531421706496334,-0.1936125979870701,-0.043111227471795764,-0.04239645851610844,-9.933006580667628,7.0,7,12.766666666666667,1.3666666666666667,4,-5.153723814929753,39.421204725013006
tokyo,run1,2,30,-15.807104314213706,-34.66446188552756,-3.6563335629279754,-0.1753441031837952,-0.0416923856962459,-0.041059170801486744,-6.5697789966630475,7.0,7,15.333333333333334,0.0,0,-4.573125803221928,41.01810874206396
tokyo,run1,3,30,-12.718561998577737,-35.78823513160854,-3.5906172509856393,-0.16646409533574455,-0.040434200006089376,-0.03987180439286603,-5.782907536109188,7.0,7,15.533333333333333,0.4,1,-4.213172843986724,41.42918725926369
tokyo,run1,4,30,-26.36923535435795,-35.789043494970365,-3.768117196575958,-0.18518093775447056,-0.03932938101836724,-0.03884720955156594,-8.097159522681594,7.0,7,16.0,0.0,0,-4.74116537063481,40.3429948157913
tokyo,run1,5,30,-16.034185186598048,-35.76221098870657,-3.634214723649152,-0.13831736177019882,-0.03837034469302662,-0.037939613619473955,-6.198519269197876,6.366666666666666,5,14.066666666666666,0.7,3,-3.7244748202114764,42.953581468943895
tokyo,run1,6,30,-20.71581282356781,-42.38472136710285,-4.042733684595499,-0.15170109835600182,-0.03753598949059614,-0.037183311032245765,-7.695298508982812,6.433333333333334,5,13.933333333333334,1.1666666666666667,4,-4.066911262271261,41.408260953927076
tokyo,run1,7,30,-16.024261932608525,-31.495745839973754,-3.6077937319317304,-0.15107722808231472,-0.036880971017565954,-0.0366309995925372,-6.17586927232607,6.933333333333334,5,15.1,0.3333333333333333,2,-3.8937633744113485,41.499676335859476
tokyo,run1,8,30,-32.13367377512153,-39.0773221200371,-3.899143350640895,-0.15671486211316615,-0.03641975920616844,-0.036248692963763596,-10.240366547467955,7.0,7,13.0,1.3333333333333333,2,-4.248730492461157,41.075860965661896
tokyo,run1,9,30,-26.117583735183015,-42.75204766645406,-3.7952100625508636,-0.15172446887197197,-0.036567514702448164,-0.03603570505418596,-8.7610516389585,6.966666666666667,6,12.733333333333333,0.9666666666666667,2,-4.4935149459187125,41.20030064972064
tokyo,run1,10,30,-20.27622668032292,-35.30611399529839,-3.771500438103224,-0.174399819023128,-0.03599951287937001,-0.035987271720156436,-7.320540828520945,7.0,7,14.6,0.3333333333333333,2,-5.141239429598802,40.90225820599991
tokyo,run1,11,30,-20.2100341590996,-38.225174299094306,-3.1383024396247166,-0.12022011805861707,-0.03604050417158738,-0.03599608457224825,-6.877865637981977,6.9,6,12.9,0.8,2,-3.8410716356306986,44.875681873986686
tokyo,run1,12,30,-29.01132641276889,-32.66123036049503,-3.692810061046534,-0.13556468950783232,-0.03622819723645057,-0.03611541136475482,-9.703078857434628,7.0,7,12.0,2.033333333333333,3,-4.472142038262514,41.45743015504234
tokyo,run1,13,30,-29.282275681322613,-30.971834268763683,-4.011585520501774,-0.14546787293543276,-0.03626882979442434,-0.035463159517566095,-9.971857929027417,7.0,7,12.0,2.7,3,-3.982410761271426,41.068614546813166
tokyo,run1,14,30,-21.828012409961275,-35.69843807776718,-3.4986677563409674,-0.12672248927369853,-0.03410330591557047,-0.03285088030409706,-8.15810934245917,7.0,7,12.766666666666667,1.2666666666666666,3,-3.947332195343013,43.624994955059684
tokyo,run1,15,30,-30.068055020890103,-33.93897862428205,-3.1462767291378784,-0.10907651701227446,-0.031540073099925875,-0.030327912243616337,-10.382209634706891,7.0,7,11.066666666666666,1.7333333333333334,3,-3.7607761254057337,44.632781966868976
tokyo,run1,16,30,-32.33090994315118,-35.82181175312072,-3.5279067181865917,-0.12505003543854482,-0.029073760959832093,-0.027925538871573466,-12.533691370936065,6.933333333333334,6,10.566666666666666,2.2333333333333334,4,-4.046668052836897,42.647970315386395
tokyo,run1,17,30,-22.972002588034954,-32.62817460662987,-3.1364264249384615,-0.13025370878077755,-0.02930401782430264,-0.025665561327579946,-8.558717618084536,6.233333333333333,3,10.566666666666666,1.7,4,-3.0789388184527957,46.07176177236861
tokyo,run1,18,29,-19.53097519701426,-33.637760254437495,-2.347516968601751,-0.04981709885451871,-0.024574930418637154,-0.023463121458949902,-7.274603765609422,4.482758620689655,3,6.724137931034483,1.6206896551724137,4,-2.185916112266596,58.918664954467474
tokyo,run1,19,30,-25.51876588089751,-32.165651386784646,-2.9536434395395617,-0.059957434084067646,-0.023034852372614392,-0.021412566136806643,-9.125340484673194,4.333333333333333,3,6.866666666666666,1.7,4,-2.4500285281112375,55.702813999499966
tokyo,run1,20,30,-30.013194260531023,-31.510610004651976,-4.693515232298211,-0.08464423893051735,-0.021165517587209203,-0.019477156946253873,-12.616321466882889,4.933333333333334,4,7.733333333333333,3.533333333333333,5,-2.7402022157636385,49.24231528151449
tokyo,run1,21,30,-27.790530224603625,-33.68464370563476,-4.047220111463749,-0.08694219973255596,-0.019370554472653245,-0.017668171656726465,-11.101664480904342,4.633333333333334,2,7.433333333333334,2.566666666666667,4,-2.7796716589115205,53.75486089689671
tokyo,run1,22,29,-26.880924892119566,-33.78022900745046,-5.450298192998689,-0.24104388160419107,-0.145264660725188,-0.016090742648655586,-10.859106801050364,4.482758620689655,0,7.068965517241379,2.1379310344827585,6,-3.0505408459326855,53.41064248444612
tokyo,run1,23,29,-28.78034662558143,-33.437892091786,-8.971228301636385,-0.1497948052168144,-0.025699375820160266,-0.014461465337626725,-13.679547447271851,3.8275862068965516,1,3.9310344827586206,3.0689655172413794,6,-1.6028071377729207,68.45606305674677
tokyo,run1,24,30,-24.99214095629569,-29.80759186175042,-0.6956603221944918,-0.03323435017393305,-0.013693140153025867,-0.012993261583958788,-9.514639237533832,4.0,4,4.0,1.8666666666666667,3,-0.8678138407084343,75.553903950795
tokyo,run1,25,30,-26.789204593293217,-29.606858774112887,-11.526505783882518,-0.03303008583135637,-0.012285445010751248,-0.011642322406713562,-12.932894997254323,3.033333333333333,3,3.033333333333333,2.9,5,-0.6888473782067039,75.83816944836462
tokyo,run1,26,30,-22.898604971540813,-29.449360993404007,-6.404243064165597,-0.03712326239278432,-0.01099063975161173,-0.010402925104368268,-9.744089850954172,3.3666666666666667,2,4.3,2.466666666666667,6,-1.1551348244991455,71.68312880571737
tokyo,run1,27,30,-29.498773569846477,-30.264205109636187,-2.692590072790073,-0.058867029988319955,-0.009817882800437697,-0.009288475085957175,-11.094788232194961,4.9,3,6.666666666666667,3.7333333333333334,5,-1.9439945814013098,64.26431012832543
tokyo,run1,28,30,-28.2800649020216,-30.227813473644233,-2.596246457718882,-0.06012712219461888,-0.008762547283694156,-0.008289266304890996,-10.128690270849335,5.0,5,7.0,3.433333333333333,5,-1.7625286546877184,64.72416668094074
tokyo,run1,29,30,-29.380607129908547,-30.49904376003424,-2.76687488509586,-0.06498888267945022,-0.007823412986529454,-0.0074070554757785945,-10.697093074703444,5.033333333333333,5,7.033333333333333,3.3666666666666667,4,-1.9824466100569786,63.44225333866984
tokyo,run1,30,30,-29.484038550690386,-30.16338325379222,-1.0789981818893082,-0.06456466298736582,-0.0070012601445817325,-0.0066400671930166525,-8.55010716263479,5.866666666666666,5,7.733333333333333,2.3666666666666667,3,-1.9920263545539814,64.13135426208149
tokyo,run1,31,30,-24.057569006322062,-29.75245902404802,-1.4426747234339918,-0.11697213244695796,-0.0062898892731694,-0.005981165635235542,-7.739168419902321,5.533333333333333,5,7.433333333333334,1.9666666666666666,4,-2.3603805411144423,65.96880717510999
tokyo,run1,32,30,-21.763192126409,-29.58471128257449,-2.88619634085236,-0.1223855543273831,-0.005691032541664896,-0.005438475174077501,-7.3450642889917095,6.266666666666667,5,10.9,1.8666666666666667,4,-3.555596812024233,48.155066254105265
tokyo,run1,33,30,-17.480014313640556,-27.981537409979513,-2.814874425967001,-0.16557350604160792,-0.005210446402835297,-0.00501738603256515,-6.123895597478539,5.433333333333334,5,10.4,1.2666666666666666,3,-3.694866293449235,48.33161137310954
tokyo,run1,34,30,-16.259716193091474,-28.108332753568234,-3.028239088441011,-0.1127696426316504,-0.004850466608186311,-0.004712690777214029,-6.072388760764793,6.033333333333333,5,11.233333333333333,1.1333333333333333,3,-3.7340951099711415,46.2678717830428
tokyo,run1,35,30,-17.303506981279078,-32.633533242380416,-3.3369477103359544,-0.0897321874055128,-0.007330201339926485,-0.004519398645183369,-7.109086290300899,5.166666666666667,4,8.366666666666667,1.9,6,-2.2176640551286644,61.08307107875658
