city,run,epoch,gps_tow,sat_count,los_count,nlos_count,nlos_at_high_elev_count,elev_deg_p50,elev_deg_max,eff_db_p10,eff_db_p25,eff_db_p50,eff_db_p75,eff_db_p90,eff_db_max,eff_db_mean,usable_count,marginal_count,gain_db_mean
nagoya,run2,0,555720.0,19,19,0,0,36.98911585574058,69.88257023453929,-10.79175775994388,-8.094443105822979,-4.4009489825361525,-2.384803580966003,-1.5188463353312622,-0.5418609061475084,-6.401138640289548,7,16,-6.401138640289548
nagoya,run2,5,555721.0,19,19,0,0,36.99579496634725,69.8771547154958,-10.792600595423899,-8.094450303738986,-4.399608636244502,-2.384876661915,-1.5187229231762756,-0.5421613280881883,-6.401248635861426,7,16,-6.401248635861426
nagoya,run2,10,555722.0,19,19,0,0,37.00247428268414,69.87173636737133,-10.793443795869486,-8.09445791955736,-4.398268572603055,-2.3849499571622808,-1.5185996678714921,-0.5424619949308456,-6.401358866074766,7,16,-6.401358866074766
nagoya,run2,15,555723.0,19,19,0,0,37.00915380470759,69.86631519255073,-10.794287361324038,-8.094465953328275,-4.396928791551106,-2.385023466702542,-1.5184765694150169,-0.5427629066869831,-6.401469330950125,7,16,-6.401469330950125
nagoya,run2,20,555724.0,19,19,0,0,37.01583353237371,69.86089119341688,-10.795131291831392,-8.09447440510202,-4.395589293028034,-2.385097190530468,-1.5183536278050969,-0.543064063368153,-6.401580030508161,7,16,-6.401580030508161
nagoya,run2,25,555725.0,19,19,0,0,37.02251346563879,69.85546437235227,-10.795975587435409,-8.094483274928859,-4.394250076973197,-2.3851711286407498,-1.5182308430398517,-0.5433654649858666,-6.401690964769517,7,16,-6.401690964769517
nagoya,run2,30,555726.0,19,19,0,0,37.029193604459,69.85003473173836,-10.796820248179628,-8.09449256285917,-4.392911143326012,-2.385245281028098,-1.5181082151175274,-0.5436671115516317,-6.401802133754875,7,16,-6.401802133754875
nagoya,run2,35,555727.0,19,19,0,0,37.03587395102453,69.84460228273201,-10.797665272035692,-8.094502270345053,-4.391572491578316,-2.3853196481190717,-1.5179857448480518,-0.5439690025891574,-6.401913537460678,7,16,-6.401913537460678
nagoya,run2,40,555728.0,19,19,0,0,37.04255449858968,69.83916700137917,-10.798510665264468,-8.094512393232487,-4.390234123012381,-2.385394228612892,-1.517863429794271,-0.5442711395735509,-6.402025175980562,7,15,-6.402025175980562
nagoya,run2,45,555729.0,19,19,0,0,37.04923525381254,69.83372891639071,-10.799356421692723,-8.09452293577679,-4.3888960362248985,-2.3854690237998164,-1.517741272389748,-0.5445735210527464,-6.402137049262422,7,15,-6.402137049262422
nagoya,run2,50,555730.0,20,20,0,0,35.95213973684575,69.8282880213646,-13.743635220729164,-9.421691236359239,-4.6176869075264975,-2.403722321670183,-1.6239996407748747,-0.544876147526186,-7.065022255345381,7,15,-7.065022255345381
nagoya,run2,55,555731.0,20,20,0,0,35.95757835684167,69.82284432744964,-13.74555075867634,-9.423481027967355,-4.61656277583554,-2.404195819106103,-1.6238675625857564,-0.5451790185172042,-7.065485649007241,7,15,-7.065485649007241
nagoya,run2,60,555732.0,20,20,0,0,35.963017195778576,69.8173978177878,-13.747466824303913,-9.425271378066942,-4.6154388307889835,-2.4046695001830787,-1.6237356528972764,-0.5454821351074026,-7.065949501226035,7,15,-7.065949501226035
nagoya,run2,65,555733.0,20,20,0,0,35.96845625502748,69.8119485085789,-13.749383424217065,-9.427062292058439,-4.614315071886979,-2.4051433662666986,-1.6236039153830002,-0.5457854965389867,-7.066413814078804,7,15,-7.066413814078804
nagoya,run2,70,555734.0,19,19,0,0,37.082642119223365,69.8064963954642,-10.803590683921419,-8.094581925574825,-4.382209831667724,-2.3858462141010723,-1.5171328378385909,-0.5460891031981852,-6.402699937629692,7,15,-6.402699937629692
nagoya,run2,75,555735.0,19,19,0,0,37.08932409659295,69.80104147876119,-10.804438633435511,-8.09459497725512,-4.380873438862974,-2.3859222941149048,-1.5170116214481348,-0.5463929552110903,-6.402813220633622,7,15,-6.402813220633622
nagoya,run2,80,555736.0,20,20,0,0,35.98477475743498,69.79558377334662,-13.755136392088998,-9.432438401116674,-4.61094491196334,-2.4065660711385193,-1.6232097208757357,-0.5466970518925238,-7.067809508830692,7,15,-7.067809508830692
nagoya,run2,85,555737.0,20,20,0,0,35.99021470627402,69.79012329036205,-13.757055097646052,-9.434231565633697,-4.609821896102339,-2.4070406772423363,-1.6230786643125374,-0.5470013927646347,-7.0682756591001406,7,15,-7.0682756591001406
nagoya,run2,90,555738.0,19,19,0,0,37.10937128988636,69.78465999333878,-10.806984671967689,-8.094636649983507,-4.376865944895832,-2.3861518218102087,-1.5166489139496675,-0.5473059800036689,-6.403154477603837,7,15,-6.403154477603837
nagoya,run2,95,555739.0,19,19,0,0,37.116054104175774,69.77919391305223,-10.80783408508236,-8.094651377950047,-4.375530675601436,-2.3862287595204834,-1.5165283239818346,-0.5476108120377379,-6.403268699356495,7,15,-6.403268699356495
nagoya,run2,100,555740.0,19,19,0,0,37.12273710668989,69.77372504098003,-10.808683862942152,-8.094666523208796,-4.374195691209113,-2.386305910606974,-1.5164078916970598,-0.5479158894855521,-6.403383157235076,7,15,-6.403383157235076
nagoya,run2,105,555741.0,19,19,0,0,37.12942032581141,69.7682534007982,-10.80953400399279,-8.094682090214146,-4.3728609859799095,-2.3863832769565008,-1.5162876170144592,-0.5482212111695115,-6.403497849561781,7,15,-6.403497849561781
nagoya,run2,110,555742.0,19,19,0,0,37.13610374755177,69.7627789702377,-10.810384512967387,-8.094698074734437,-4.371526562639277,-2.3864608570666195,-1.516167498333384,-0.5485267784754537,-6.403612776971793,7,15,-6.403612776971793
nagoya,run2,115,555743.0,19,19,0,0,37.142787374101516,69.75730176042202,-10.811235387832603,-8.09471447822968,-4.370192420680835,-2.386538651365556,-1.5160475364647261,-0.5488325909260714,-6.403727939462544,7,15,-6.403727939462544
nagoya,run2,120,555744.0,19,19,0,0,37.149471203182024,69.75182176495179,-10.81208663071244,-8.094731299342012,-4.368858560490442,-2.386616659414396,-1.5159277305937884,-0.5491386490222145,-6.403843337078975,7,15,-6.403843337078975
nagoya,run2,125,555745.0,19,19,0,0,37.156155248695065,69.74633901082501,-10.812938236957368,-8.094748542411589,-4.367524979225676,-2.386694882705653,-1.5158080823189062,-0.549444951399174,-6.403958969228237,7,15,-6.403958969228237
nagoya,run2,130,555746.0,19,19,0,0,37.16283947993324,69.74085347027712,-10.813790210296586,-8.094766201675975,-4.3661916829438985,-2.3867733189103713,-1.515688590902253,-0.5497514997513008,-6.404074837655709,7,15,-6.404074837655709
nagoya,run2,135,555747.0,19,19,0,0,37.16952392528135,69.73536516702492,-10.814642549169257,-8.094784281592794,-4.364858665913808,-2.3868519699136934,-1.5155692562653331,-0.5500582928966637,-6.404190940682455,7,15,-6.404190940682455
nagoya,run2,140,555748.0,19,19,0,0,37.1762085846956,69.7298741034307,-10.815495253618986,-8.0948027822152,-4.363525928076798,-2.3869308357102708,-1.5154500784067417,-0.5503653308460896,-6.40430727832966,7,15,-6.40430727832966
nagoya,run2,145,555749.0,19,19,0,0,37.18289343917918,69.7243802675942,-10.816348324762442,-8.094821700657821,-4.362193473151644,-2.387009915035402,-1.5153310573752694,-0.550672614408199,-6.404423851752662,7,15,-6.404423851752662
nagoya,run2,150,555750.0,19,19,0,0,37.18957856749819,69.71888344610296,-10.817201866276973,-8.094841040029849,-4.360861285374008,-2.387089213122522,-1.5152121636949443,-0.5509801556685382,-6.4045406620308265,7,15,-6.4045406620308265
nagoya,run2,155,555751.0,19,19,0,0,37.19626429128975,69.71338048708006,-10.81805720811802,-8.094860749705425,-4.3595293006138345,-2.387168755699678,-1.5150930360627062,-0.5512881312035806,-6.40465776523358,7,15,-6.40465776523358
nagoya,run2,160,555752.0,18,18,0,0,38.469003440781385,69.70787672607761,-10.111023142851275,-6.836517785135463,-4.117162252874316,-2.360315380853183,-1.4088160462178563,-0.5515962425851839,-6.03193380019551,7,15,-6.03193380019551
nagoya,run2,165,555753.0,19,19,0,0,37.209635686245605,69.7023718623072,-12.160912584843807,-8.09490150482315,-4.356866306265736,-2.3873284316085925,-1.514855896483847,-0.5519045067057434,-6.757825730864729,7,15,-6.757825730864729
nagoya,run2,170,555754.0,19,19,0,0,37.21632156289515,69.69686423803019,-12.162948681706144,-8.094922520164685,-4.355535255572818,-2.387408581518885,-1.5147376594327728,-0.5522130164984064,-6.758254321129037,7,15,-6.758254321129037
nagoya,run2,175,555755.0,19,19,0,0,37.223007634349095,69.69135385558543,-12.164986102076831,-8.09494395364202,-4.354204487429464,-2.3874889449283336,-1.514619579197137,-0.5525217719755642,-6.758683399020643,7,15,-6.758683399020643
