city,run,window_index,epoch_count,eff_db_p10_mean,eff_db_p10_min,eff_db_p50_mean,eff_db_p90_mean,eff_db_max_mean,eff_db_max_max,eff_db_mean_mean,usable_count_mean,usable_count_min,marginal_count_mean,nlos_at_high_elev_count_mean,nlos_at_high_elev_count_max,gain_db_mean_mean,elev_deg_p50_mean
nagoya,run3,0,30,-11.785130050445407,-12.921655724103436,-2.953526338600295,-1.2354828023305413,-1.2129554698340386,-1.2105202608278671,-6.174587322970102,8.0,8,13.633333333333333,0.0,0,-6.174587322970102,45.35766110390738
nagoya,run3,1,30,-12.61031903311348,-13.359641174668084,-3.0213431732758713,-1.2250621244604174,-1.206129809776787,-1.1995249145505347,-6.356953953909693,7.966666666666667,7,13.9,0.0,0,-6.356953953909693,44.89869525783241
nagoya,run3,2,30,-15.901882955144798,-29.438619263016555,-3.0319011128198894,-1.221459584367134,-1.1915748000130422,-1.1842089537711677,-6.871026184416967,7.833333333333333,7,12.833333333333334,0.4,2,-6.227848079841804,46.0266612871443
nagoya,run3,3,30,-10.954959536281024,-13.421566448922189,-2.7755741536948983,-1.2045267547504883,-1.1764236018843826,-1.1691645583577122,-5.905025797975282,8.0,8,13.766666666666667,0.0,0,-5.905025797975282,46.576910018130675
nagoya,run3,4,30,-12.55519019856595,-13.510349406879708,-2.8132528209048484,-1.1967809722787508,-1.1613931673105407,-1.1541521942361217,-6.187568133058724,8.0,8,13.3,0.0,0,-6.187568133058724,46.31309447407515
nagoya,run3,5,30,-13.083327247596653,-13.72475905031166,-2.854913279560312,-1.188910871060812,-1.146518455011873,-1.139408281986099,-6.482645706117432,8.3,8,13.166666666666666,0.0,0,-6.482645706117432,46.0574259344048
nagoya,run3,6,30,-12.471787678144954,-16.929201851092078,-2.278763115366162,-1.1784689672376774,-1.1318912652322184,-1.1248959919801833,-5.613289231490303,8.733333333333333,7,11.3,0.0,0,-5.613289231490303,50.35354400109257
nagoya,run3,7,30,-24.1152370453584,-32.899555264757105,-2.6427207079754838,-1.1713981616570102,-1.1174970339152677,-1.110592698174986,-7.898766740101661,8.666666666666666,7,11.366666666666667,0.13333333333333333,1,-6.050437985522906,47.57531615803733
nagoya,run3,8,30,-21.13950273785458,-29.837680457365344,-2.513195563723853,-1.15846143728322,-1.1032248390568073,-1.0963706160161288,-7.194584365827309,8.066666666666666,7,10.433333333333334,0.2,1,-5.673369469612412,48.51196851129611
nagoya,run3,9,30,-14.732334345080895,-25.681107203155527,-2.298029137472386,-1.1502671099946087,-1.0890786320890267,-1.082278990106183,-5.963705111727744,8.766666666666667,8,11.466666666666667,0.0,0,-5.3803717783944105,50.20507368938175
nagoya,run3,10,30,-17.82123698846308,-29.926289201001996,-2.3186176877897386,-1.138706580232449,-1.0750761726106142,-1.0683814138085506,-6.432739680922833,8.466666666666667,8,10.966666666666667,0.3,1,-4.932989431172584,50.00786089321596
nagoya,run3,11,30,-22.30652784426197,-33.57421279811674,-2.5938689437884306,-1.134340953093573,-1.063196328674366,-1.0546350488542042,-7.72728689605775,6.366666666666666,5,8.666666666666666,0.26666666666666666,1,-5.979853773624628,48.88669616120655
nagoya,run3,12,30,-11.041892014697087,-15.388177997352402,-2.8885364939545415,-1.1110447760245041,-1.0475888499930452,-1.0410168048865212,-5.053817336917166,6.366666666666666,6,9.7,0.0,0,-4.989714772814602,46.09084732039816
nagoya,run3,13,30,-11.449322009463815,-15.075718646636087,-2.191540631459678,-1.0968204358904727,-1.0340445889481844,-1.0275473450875832,-5.42414548364459,6.866666666666666,6,9.066666666666666,0.0,0,-5.42414548364459,51.09581061632598
nagoya,run3,14,30,-18.378738277589772,-33.750879246191104,-3.1230148108318145,-1.1110516965678434,-1.0206736296457255,-1.0142809154197274,-7.482458978481221,6.433333333333334,5,8.733333333333333,0.4,2,-5.97706159808384,48.91546115650463
nagoya,run3,15,30,-14.452660726871164,-27.74425050466737,-2.680949984491974,-1.09635544794322,-1.0119375449048822,-1.0011808126950115,-6.591377272639821,7.233333333333333,5,9.766666666666667,0.43333333333333335,3,-5.216765773028322,51.324645413078024
nagoya,run3,16,30,-13.316788798310137,-27.550924330409735,-2.65568627436852,-1.1111392806788138,-0.9944911357983923,-0.9882669816439853,-6.166177769194173,7.933333333333334,6,10.933333333333334,0.06666666666666667,1,-6.037209515225919,47.75352662415279
