city,run,epoch,gps_tow,sat_count,los_count,nlos_count,nlos_at_high_elev_count,elev_deg_p50,elev_deg_max,eff_db_p10,eff_db_p25,eff_db_p50,eff_db_p75,eff_db_p90,eff_db_max,eff_db_mean,usable_count,marginal_count,gain_db_mean
tokyo,run1,0,187470.0,22,22,0,0,33.60076066013994,83.86535596082474,-17.36614748433117,-11.601239890372863,-5.1492570842580285,-1.2431347845429515,-0.23188831018294453,-0.04549173256946812,-7.982961006591538,7,16,-7.982961006591538
tokyo,run1,5,187471.0,21,21,0,0,35.98395489827418,83.8688744801824,-17.132994776600142,-9.243186175790658,-4.606413335514846,-1.1942900312699078,-0.22993095279139264,-0.04543447699501684,-7.535119340992951,7,16,-7.535119340992951
tokyo,run1,10,187472.0,21,21,0,0,35.99171777853514,83.87238446250633,-17.134455839609892,-9.24589218247866,-4.604797521119156,-1.1939913521150134,-0.22988597316729212,-0.045377393319786005,-7.535337839821709,7,16,-7.535337839821709
tokyo,run1,15,187473.0,21,21,0,0,35.99948081812497,83.87588589217687,-17.13591685609926,-9.248599065334826,-4.60318213219045,-1.1936927586077348,-0.22984100506727428,-0.045320481556807,-7.5355567566414425,7,16,-7.5355567566414425
tokyo,run1,20,187474.0,21,21,0,0,36.007244016977474,83.87937875357483,-17.137377825984952,-9.251306824833705,-4.6015671686011554,-1.1933942507461763,-0.2297960484892453,-0.04526374171911222,-7.5357760916661425,7,16,-7.5357760916661425
tokyo,run1,25,187475.0,22,22,0,0,33.63193009843797,83.88286303108171,-17.38911407720168,-11.593476512526793,-5.142289611185221,-1.2425703864742097,-0.23173320370313813,-0.045207173819731244,-7.985128872468042,7,16,-7.985128872468042
tokyo,run1,30,187476.0,21,21,0,0,36.02277089220532,83.88633870907958,-17.421872274454195,-9.256724975660184,-4.598338516930982,-1.1927974919526254,-0.22970616989075804,-0.04515077787170054,-7.601592308129689,7,16,-7.601592308129689
tokyo,run1,35,187477.0,20,20,0,0,37.75492738098834,83.88980577195171,-18.42758440966755,-7.1439829553089815,-4.259794301736594,-1.108652920718523,-0.21507237148638386,-0.04509455388805664,-7.11049825010821,7,16,-7.11049825010821
tokyo,run1,40,187478.0,21,21,0,0,36.03829840368768,83.89326420408266,-17.43178042769893,-9.262146638763527,-4.59511156508987,-1.1922010757192316,-0.229616337355056,-0.0450385018818357,-7.601911860016953,7,16,-7.601911860016953
tokyo,run1,45,187479.0,21,21,0,0,36.046062397858364,83.89671398985824,-17.144681973439386,-9.264858788610088,-4.593498726287173,-1.1919029960578826,-0.2295714383555134,-0.04498262186607885,-7.536879047385734,7,16,-7.536879047385734
