city,run,method,n_particles,n_ref_epochs,n_pf_epochs,coverage_pct,honest_ppc_pct,honest_pass_m,honest_total_m,ms_per_epoch,rbpf_velocity_kf,position_update,defer_epoch_resample,deferred_resample_epochs,pr_weight_mode,pr_weight_ref_cn0,pr_weight_min,pr_weight_max,pr_prefit_gate_m,pr_prefit_gate_min_sats,pr_prefit_gate_keep_best,pr_prefit_ref,pr_prefit_epochs,pr_prefit_sats_kept,pr_prefit_sats_dropped,pr_skip_statuses,pr_skipped_epochs,pr_gmm,pr_gmm_epochs,pr_gaussian_epochs,pr_gmm_w_los,pr_gmm_mu_nlos_m,pr_gmm_sigma_nlos_m,pr_gmm_hybrid_loose_sigma_m,pr_gmm_clock_quantile,dd_carrier_afv,dd_epochs_attempted,dd_epochs_applied,dd_pairs_total,rbpf_kf_gate_active,rbpf_kf_gate_min_dd_pairs,rbpf_kf_gate_min_ess_ratio,rbpf_kf_gate_max_spread_m,rbpf_kf_attempted,rbpf_kf_applied,rbpf_kf_skip_min_dd_pairs,rbpf_kf_skip_min_ess_ratio,rbpf_kf_skip_max_spread,hybrid_pu,hybrid_sigma_m,hybrid_attempted,hybrid_applied,hybrid_lookup_missing,rtkdiag_pf,rtkdiag_candidate_sigma_m,rtkdiag_candidate_ratio_min,rtkdiag_candidate_residual_rms_max,rtkdiag_candidate_emit_max_diff_m,rtkdiag_candidate_recenter_max_shift_m,rtkdiag_candidate_select_mode,rtkdiag_candidate_emit_mode,rtkdiag_candidate_run_index_policy,rtkdiag_candidate_block_labels,rtkdiag_candidate_block_labels_by_run,rtkdiag_candidate_labels,rtkdiag_pf_evaluated,rtkdiag_pf_gate_pass,rtkdiag_pf_candidate_options_total,rtkdiag_pf_candidate_missing,rtkdiag_pf_pu_applied,rtkdiag_pf_recenter_applied,rtkdiag_pf_recenter_skipped,rtkdiag_pf_emit_pf_estimate,rtkdiag_pf_emit_candidate,rtkdiag_pf_emit_skipped_pf_drift,rtkdiag_pf_selected_counts,fgo_lambda,fgo_windows_attempted,fgo_windows_solved,fgo_windows_applied,fgo_n_fixed_total,fgo_epochs_replaced,tdcp_smoother,tdcp_pairs_attempted,tdcp_pairs_accepted,tdcp_pairs_rejected_min_sats,tdcp_pairs_rejected_postfit,zupt,zupt_evaluated,zupt_static,zupt_rewritten,zupt_no_imu,imu_tc,imu_tc_evaluated,imu_tc_anchor_resets,imu_tc_anchor_resets_static,imu_tc_pu_applied,imu_tc_pu_skipped_no_imu,imu_tc_pu_skipped_no_anchor,imu_tc_pu_skipped_dr_too_long,imu_tc_pu_skipped_disagreement,imu_tc_emit_pf_estimate,imu_tc_emit_skipped_pf_drift,imu_tc_avg_dr_seconds,ins_tc,ins_tc_aligned_at_epoch,ins_tc_yaw_initialized_at_epoch,ins_tc_evaluated,ins_tc_pu_applied,ins_tc_pu_skipped_not_aligned,ins_tc_pu_skipped_no_yaw,ins_tc_pu_skipped_dr_too_long,ins_tc_pu_skipped_disagreement,ins_tc_particle_imu_initialized,ins_tc_particle_imu_predict_used,ins_tc_recenter_applied,ins_tc_recenter_skipped,ins_tc_recenter_avg_shift_m,ins_tc_motion_predict_used,ins_tc_obs_status_4_used,ins_tc_obs_status_3_used,ins_tc_emit_pf_estimate,ins_tc_emit_skipped_pf_drift,ins_tc_final_acc_bias_norm,ins_tc_final_gyro_bias_norm_dps,ins_tc_final_pos_sigma_m
tokyo,run1,RBPF-velKF+DD+gate+hybrid,2000,11951,11845,99.11304493347836,39.462949906407616,4071.7650332535795,10317.943901584624,0.953119704692474,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,11845,0.7,15.0,30.0,5.0,0.35,1,11845,1875,9514,1,15,0.02,-1.0,11845,0,11845,0,0,1,1.0,11845,11304,541,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bm,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run1,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,11951,11845,99.11304493347836,57.059893828459536,5887.407835524202,10317.943901584624,1.4496684754515006,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,11845,0.7,15.0,30.0,5.0,0.35,1,11845,1875,9514,1,15,0.02,-1.0,11845,0,11845,0,0,1,1.0,11845,11304,541,1,0.02,2.5,1.4,0.4,10000.0,hybrid_anchor,candidate,phase11bm,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,t1tight,t1tight2,nobds,csig05,noglo,csig05hr,csig05hvr,csig05psh,csig01hr,c5p1hvr,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGp1hr,oGc005p1,c005p1,oGc00005p1,oGc0001p1,mlc2oG,mlc1oGc005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,rtkout5,rtkout3,rtkout1,rtkout2,rtkout4,rtkout3c005",11845,8089,197543,0,8089,8089,0,0,8089,0,"c005ga:80,c005hr:112,c005p1:77,c5nbhr:25,c5p1hvr:163,csig01hr:164,csig05:74,csig05hr:381,csig05hvr:209,csig05psh:81,mlc1c005r10:135,mlc1nobds:167,mlc1oGc005em3:120,mlc1oGc005p1:161,mlc1oGc005r12:112,mlc2oG:151,nobds:101,noglo:87,oGc00005p1:489,oGc0001p1:261,oGc005p1:250,oGc05:40,oGp1hr:749,onlyG:63,r05:160,r15:249,r15g:110,r15g10:20,r15g15:43,r15g20:36,r15nh:434,r20:120,r20g:37,r20g10:62,r20g15:68,r20g20:73,r20g40:25,r25:364,r25g:17,r25g10:73,r25g15:90,r25g20:41,r30:78,r30g:42,rtkout1:307,rtkout2:296,rtkout3:467,rtkout3c005:141,rtkout4:139,rtkout5:78,t1tight:70,t1tight2:197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run2,RBPF-velKF+DD+gate+hybrid,2000,9151,9106,99.50825046443012,71.52269810031815,5117.207799890938,7154.662695629173,0.9633933075137278,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,9106,0.7,15.0,30.0,5.0,0.35,1,9106,1551,9462,1,15,0.02,-1.0,9106,0,9106,0,0,1,1.0,9106,8842,264,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bm,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run2,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,9151,9106,99.50825046443012,84.53431048874404,6048.144777545509,7154.662695629173,1.3446931445154153,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,9106,0.7,15.0,30.0,5.0,0.35,1,9106,1551,9462,1,15,0.02,-1.0,9106,0,9106,0,0,1,1.0,9106,8842,264,1,0.02,1.7,10.0,0.4,10000.0,score,candidate,phase11bm,,,"r15,r20,r25,r15nh,r20g,r15g,r25g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,oGc005p1,c005p1,oGc01p1,oGc0001p1,em5,mlc1oG,mlc1oGc005p1,mlc1oGc005,mlc1c005r10,rtkout5,rtkout2,rtkout4,rtkout5em3,rtkout3c005",9106,8060,176795,0,8060,8060,0,0,8060,0,"c005p1:118,em5:780,mlc1c005r10:279,mlc1oG:915,mlc1oGc005:341,mlc1oGc005p1:289,oGc0001p1:1154,oGc005p1:256,oGc01p1:202,r15:320,r15g:284,r15g10:199,r15g15:171,r15g20:46,r15nh:340,r20:68,r20g:49,r20g10:106,r20g15:21,r20g20:69,r20g40:51,r25:253,r25g:80,r25g10:68,r25g15:33,r25g20:68,rtkout2:390,rtkout3c005:248,rtkout4:244,rtkout5:178,rtkout5em3:440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run3,RBPF-velKF+DD+gate+hybrid,2000,15301,15291,99.93464479445788,59.709390445420524,9746.850991817115,16323.81593432371,1.0116499717471026,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,15291,0.7,15.0,30.0,5.0,0.35,1,15291,2689,18027,1,15,0.02,-1.0,15291,0,15291,0,0,1,1.0,15291,14853,438,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bm,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run3,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,15301,15291,99.93464479445788,78.88796979717335,12877.526984015458,16323.81593432371,1.5675407555338001,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,15291,0.7,15.0,30.0,5.0,0.35,1,15291,2689,18027,1,15,0.02,-1.0,15291,0,15291,0,0,1,1.0,15291,14853,438,1,0.02,1.0,50.0,0.4,10000.0,score,candidate,phase11bm,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,csig1,csig05hr,csig05ps,csig01,csig05hvr,csig05psh,csig05em,csig01hr,c1p1hr,c5hrem,r05,c005ga,oGr05,oGem10,oGc01p1,mlc2oG,mlc1oG,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1oGc005em3,mlc1oGc005r12,mlc1r10,rtkout1,rtkout2,rtkout4,rtkout3c005",15291,14787,577420,0,14787,14787,0,0,14787,0,"c005ga:142,c1p1hr:113,c5hrem:223,csig01:373,csig01hr:217,csig05:99,csig05em:83,csig05hr:170,csig05hvr:485,csig05ps:192,csig05psh:236,csig1:113,em10:89,em3mlc1oG:319,holdrlx:2496,mlc1oG:129,mlc1oGc005:115,mlc1oGc005em3:95,mlc1oGc005p1:164,mlc1oGc005r12:84,mlc1r10:414,mlc2oG:310,nobds:8,oGc01p1:108,oGem10:80,oGr05:133,psig1:392,psig1hr:2001,psig2:756,r05:124,r12ga:136,r15:5,r15g:9,r15g10:221,r15g15:130,r15g20:38,r15ga:78,r15nh:574,r20:38,r20g:67,r20g10:55,r20g15:22,r20g20:23,r20ga:113,r25:22,r25g:63,r25g10:52,r25g15:20,r25g20:7,r30:135,r30g:6,rtkout1:826,rtkout2:596,rtkout3c005:365,rtkout4:427,t3tight:496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
nagoya,run1,RBPF-velKF+DD+gate+hybrid,2000,7651,7538,98.52306887988499,53.91901668122852,2405.3850916373776,4461.107118956035,0.8944575807030747,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,7538,0.7,15.0,30.0,5.0,0.35,1,7538,1273,7612,1,15,0.02,-1.0,7538,0,7538,0,0,1,1.0,7538,7265,273,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bm,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
nagoya,run1,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,7651,7538,98.52306887988499,63.77119482886004,2844.9013123535983,4461.107118956035,1.2618702394395087,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,7538,0.7,15.0,30.0,5.0,0.35,1,7538,1273,7612,1,15,0.02,-1.0,7538,0,7538,0,0,1,1.0,7538,7265,273,1,0.02,1.0,1.0,0.4,10000.0,nrows,candidate,phase11bm,,,"r15,r20,r25,r15nh,r20g,r15g,r25g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,n1loose,n1loose2,n1loose3,r15ga,em10,csig1,rout20,csig05ps,c5nbhr,c005hr,r05,oGp1,oGp1c05,oGc01,oGc005p1,c005p1,em5,em3,mlc1oGc005p1,em3mlc1oG,mlc1c005p1,mlc1r10,rtkout10,rtkout7,rtkout2,rtkout4,rtkout5em3,rtkout3c005",7538,4963,135637,0,4963,4963,0,0,4963,0,"c005hr:87,c005p1:48,c5nbhr:53,csig05ps:124,csig1:11,em10:231,em3:16,em3mlc1oG:85,em5:17,mlc1c005p1:34,mlc1oGc005p1:17,mlc1r10:76,n1loose:29,n1loose2:5,n1loose3:21,oGc005p1:30,oGc01:21,oGp1:9,oGp1c05:1,r05:8,r15:1,r15g:2,r15g15:11,r15g20:5,r15ga:3315,r15nh:278,r20:22,r20g:2,r20g15:17,r20g40:6,r25:84,r25g:4,r25g15:4,r25g20:61,rout20:9,rtkout10:7,rtkout2:1,rtkout3c005:3,rtkout4:15,rtkout5em3:169,rtkout7:24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
nagoya,run2,RBPF-velKF+DD+gate+hybrid,2000,9451,9426,99.73547772722463,21.535238128963552,1021.0248295192391,4741.181979994103,0.878945043507735,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,9426,0.7,15.0,30.0,5.0,0.35,1,9426,1457,7829,1,15,0.02,-1.0,9426,0,9426,0,0,1,1.0,9426,9171,255,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bm,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
nagoya,run2,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,9451,9426,99.73547772722463,36.990940340840396,1753.8077976702943,4741.181979994103,1.253674077014337,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,9426,0.7,15.0,30.0,5.0,0.35,1,9426,1457,7829,1,15,0.02,-1.0,9426,0,9426,0,0,1,1.0,9426,9171,255,1,0.02,1.0,50.0,0.4,10000.0,score,candidate,phase11bm,,,"r15,r20,r25,r15nh,r20g,r15g,r25g,r20g20,r20g40,r15g20,r25g20,n2loose,n2loose2,n2loose3,r20ga,nobds,csig05,csig1,csig01,csig01hr,csig005,onlyG,oGc005,oGr05,mlc1oG,mlc1oGc005,mlc1c005,rtkout5,rtkout3,rtkout2,rtkout4,rtkout5c005,rtkout3c005",9426,8870,169905,0,8870,8870,0,0,8870,0,"csig005:65,csig01:122,csig01hr:207,csig05:51,csig1:109,mlc1c005:101,mlc1oG:1717,mlc1oGc005:282,n2loose:301,n2loose2:222,n2loose3:265,nobds:376,oGc005:84,oGr05:551,onlyG:216,r15:152,r15g:71,r15g20:675,r15nh:216,r20:46,r20g:43,r20g20:128,r20g40:35,r20ga:328,r25:214,r25g:35,r25g20:75,rtkout2:458,rtkout3:250,rtkout3c005:229,rtkout4:767,rtkout5:203,rtkout5c005:276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
