city,run,method,n_particles,n_ref_epochs,n_pf_epochs,coverage_pct,honest_ppc_pct,honest_pass_m,honest_total_m,ms_per_epoch,rbpf_velocity_kf,position_update,defer_epoch_resample,deferred_resample_epochs,pr_weight_mode,pr_weight_ref_cn0,pr_weight_min,pr_weight_max,pr_prefit_gate_m,pr_prefit_gate_min_sats,pr_prefit_gate_keep_best,pr_prefit_ref,pr_prefit_epochs,pr_prefit_sats_kept,pr_prefit_sats_dropped,pr_skip_statuses,pr_skipped_epochs,pr_gmm,pr_gmm_epochs,pr_gaussian_epochs,pr_gmm_w_los,pr_gmm_mu_nlos_m,pr_gmm_sigma_nlos_m,pr_gmm_hybrid_loose_sigma_m,pr_gmm_clock_quantile,dd_carrier_afv,dd_epochs_attempted,dd_epochs_applied,dd_pairs_total,rbpf_kf_gate_active,rbpf_kf_gate_min_dd_pairs,rbpf_kf_gate_min_ess_ratio,rbpf_kf_gate_max_spread_m,rbpf_kf_attempted,rbpf_kf_applied,rbpf_kf_skip_min_dd_pairs,rbpf_kf_skip_min_ess_ratio,rbpf_kf_skip_max_spread,hybrid_pu,hybrid_sigma_m,hybrid_attempted,hybrid_applied,hybrid_lookup_missing,rtkdiag_pf,rtkdiag_candidate_sigma_m,rtkdiag_candidate_ratio_min,rtkdiag_candidate_residual_rms_max,rtkdiag_candidate_emit_max_diff_m,rtkdiag_candidate_recenter_max_shift_m,rtkdiag_candidate_select_mode,rtkdiag_candidate_emit_mode,rtkdiag_candidate_run_index_policy,rtkdiag_candidate_block_labels,rtkdiag_candidate_block_labels_by_run,rtkdiag_candidate_labels,rtkdiag_pf_evaluated,rtkdiag_pf_gate_pass,rtkdiag_pf_candidate_options_total,rtkdiag_pf_candidate_missing,rtkdiag_pf_pu_applied,rtkdiag_pf_recenter_applied,rtkdiag_pf_recenter_skipped,rtkdiag_pf_emit_pf_estimate,rtkdiag_pf_emit_candidate,rtkdiag_pf_emit_skipped_pf_drift,rtkdiag_pf_selected_counts,fgo_lambda,fgo_windows_attempted,fgo_windows_solved,fgo_windows_applied,fgo_n_fixed_total,fgo_epochs_replaced,tdcp_smoother,tdcp_pairs_attempted,tdcp_pairs_accepted,tdcp_pairs_rejected_min_sats,tdcp_pairs_rejected_postfit,zupt,zupt_evaluated,zupt_static,zupt_rewritten,zupt_no_imu,imu_tc,imu_tc_evaluated,imu_tc_anchor_resets,imu_tc_anchor_resets_static,imu_tc_pu_applied,imu_tc_pu_skipped_no_imu,imu_tc_pu_skipped_no_anchor,imu_tc_pu_skipped_dr_too_long,imu_tc_pu_skipped_disagreement,imu_tc_emit_pf_estimate,imu_tc_emit_skipped_pf_drift,imu_tc_avg_dr_seconds,ins_tc,ins_tc_aligned_at_epoch,ins_tc_yaw_initialized_at_epoch,ins_tc_evaluated,ins_tc_pu_applied,ins_tc_pu_skipped_not_aligned,ins_tc_pu_skipped_no_yaw,ins_tc_pu_skipped_dr_too_long,ins_tc_pu_skipped_disagreement,ins_tc_particle_imu_initialized,ins_tc_particle_imu_predict_used,ins_tc_recenter_applied,ins_tc_recenter_skipped,ins_tc_recenter_avg_shift_m,ins_tc_motion_predict_used,ins_tc_obs_status_4_used,ins_tc_obs_status_3_used,ins_tc_emit_pf_estimate,ins_tc_emit_skipped_pf_drift,ins_tc_final_acc_bias_norm,ins_tc_final_gyro_bias_norm_dps,ins_tc_final_pos_sigma_m
tokyo,run1,RBPF-velKF+DD+gate+hybrid,2000,11951,11845,99.11304493347836,39.462949906407616,4071.7650332535795,10317.943901584624,0.9023160897368316,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,11845,0.7,15.0,30.0,5.0,0.35,1,11845,1875,9514,1,15,0.02,-1.0,11845,0,11845,0,0,1,1.0,11845,11304,541,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bn,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run1,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,11951,11845,99.11304493347836,58.209204701776024,6005.993086687809,10317.943901584624,1.3337891552803285,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,11845,0.7,15.0,30.0,5.0,0.35,1,11845,1875,9514,1,15,0.02,-1.0,11845,0,11845,0,0,1,1.0,11845,11304,541,1,0.02,2.5,1.4,0.4,10000.0,hybrid_anchor,candidate,phase11bn,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,t1tight,t1tight2,nobds,csig05,noglo,csig05hr,csig05hvr,csig05psh,csig01hr,c5p1hvr,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGp1hr,oGc005p1,c005p1,oGc00005p1,oGc0001p1,mlc2oG,mlc1oGc005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,rtkout5,rtkout3,rtkout1",11845,8057,188818,0,8057,8057,0,0,8057,0,"c005ga:91,c005hr:116,c005p1:78,c5nbhr:25,c5p1hvr:172,csig01hr:178,csig05:93,csig05hr:429,csig05hvr:241,csig05psh:91,mlc1c005r10:154,mlc1nobds:170,mlc1oGc005em3:130,mlc1oGc005p1:169,mlc1oGc005r12:120,mlc2oG:153,nobds:102,noglo:89,oGc00005p1:518,oGc0001p1:282,oGc005p1:270,oGc05:41,oGp1hr:757,onlyG:63,r05:167,r15:262,r15g:114,r15g10:23,r15g15:43,r15g20:36,r15nh:446,r20:144,r20g:39,r20g10:65,r20g15:72,r20g20:74,r20g40:25,r25:366,r25g:19,r25g10:75,r25g15:94,r25g20:41,r30:79,r30g:42,rtkout1:320,rtkout3:556,rtkout5:111,t1tight:80,t1tight2:232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run2,RBPF-velKF+DD+gate+hybrid,2000,9151,9106,99.50825046443012,71.52269810031815,5117.207799890938,7154.662695629173,0.9034518584078834,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,9106,0.7,15.0,30.0,5.0,0.35,1,9106,1551,9462,1,15,0.02,-1.0,9106,0,9106,0,0,1,1.0,9106,8842,264,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bn,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run2,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,9151,9106,99.50825046443012,84.48234137385401,6044.426562669223,7154.662695629173,1.2501429912363982,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,9106,0.7,15.0,30.0,5.0,0.35,1,9106,1551,9462,1,15,0.02,-1.0,9106,0,9106,0,0,1,1.0,9106,8842,264,1,0.02,1.7,10.0,0.4,10000.0,score,candidate,phase11bn,,,"r15,r20,r25,r15nh,r20g,r15g,r25g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,oGc005p1,c005p1,oGc01p1,oGc0001p1,em5,mlc1oG,mlc1oGc005p1,mlc1oGc005,mlc1c005r10,rtkout5,rtkout5em3",9106,8037,161726,0,8037,8037,0,0,8037,0,"c005p1:128,em5:795,mlc1c005r10:347,mlc1oG:1003,mlc1oGc005:417,mlc1oGc005p1:299,oGc0001p1:1187,oGc005p1:317,oGc01p1:210,r15:420,r15g:369,r15g10:217,r15g15:212,r15g20:46,r15nh:344,r20:85,r20g:52,r20g10:118,r20g15:45,r20g20:73,r20g40:51,r25:255,r25g:80,r25g10:72,r25g15:34,r25g20:69,rtkout5:253,rtkout5em3:539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run3,RBPF-velKF+DD+gate+hybrid,2000,15301,15291,99.93464479445788,59.709390445420524,9746.850991817115,16323.81593432371,0.9676389634396293,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,15291,0.7,15.0,30.0,5.0,0.35,1,15291,2689,18027,1,15,0.02,-1.0,15291,0,15291,0,0,1,1.0,15291,14853,438,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bn,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run3,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,15301,15291,99.93464479445788,79.66934223411936,13005.076782384063,16323.81593432371,1.4519501000520476,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,15291,0.7,15.0,30.0,5.0,0.35,1,15291,2689,18027,1,15,0.02,-1.0,15291,0,15291,0,0,1,1.0,15291,14853,438,1,0.02,1.0,50.0,0.4,10000.0,score,candidate,phase11bn,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,csig1,csig05hr,csig05ps,csig01,csig05hvr,csig05psh,csig05em,csig01hr,c1p1hr,c5hrem,r05,c005ga,oGr05,oGem10,oGc01p1,mlc2oG,mlc1oG,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1oGc005em3,mlc1oGc005r12,mlc1r10,rtkout1",15291,14787,545015,0,14787,14787,0,0,14787,0,"c005ga:150,c1p1hr:119,c5hrem:243,csig01:405,csig01hr:235,csig05:120,csig05em:96,csig05hr:186,csig05hvr:516,csig05ps:222,csig05psh:278,csig1:128,em10:100,em3mlc1oG:342,holdrlx:2587,mlc1oG:144,mlc1oGc005:123,mlc1oGc005em3:99,mlc1oGc005p1:182,mlc1oGc005r12:95,mlc1r10:454,mlc2oG:331,nobds:8,oGc01p1:156,oGem10:116,oGr05:147,psig1:424,psig1hr:2078,psig2:873,r05:145,r12ga:154,r15:5,r15g:12,r15g10:460,r15g15:140,r15g20:40,r15ga:93,r15nh:581,r20:40,r20g:67,r20g10:67,r20g15:23,r20g20:26,r20ga:127,r25:22,r25g:63,r25g10:57,r25g15:23,r25g20:7,r30:140,r30g:6,rtkout1:965,t3tight:567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
nagoya,run1,RBPF-velKF+DD+gate+hybrid,2000,7651,7538,98.52306887988499,53.91901668122852,2405.3850916373776,4461.107118956035,0.8449540184412926,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,7538,0.7,15.0,30.0,5.0,0.35,1,7538,1273,7612,1,15,0.02,-1.0,7538,0,7538,0,0,1,1.0,7538,7265,273,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bn,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
nagoya,run1,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,7651,7538,98.52306887988499,63.74264930718324,2843.6278660539315,4461.107118956035,1.1824101220636485,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,7538,0.7,15.0,30.0,5.0,0.35,1,7538,1273,7612,1,15,0.02,-1.0,7538,0,7538,0,0,1,1.0,7538,7265,273,1,0.02,1.0,1.0,0.4,10000.0,nrows,candidate,phase11bn,,,"r15,r20,r25,r15nh,r20g,r15g,r25g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,n1loose,n1loose2,n1loose3,r15ga,em10,csig1,rout20,csig05ps,c5nbhr,c005hr,r05,oGp1,oGp1c05,oGc01,oGc005p1,c005p1,em5,em3,mlc1oGc005p1,em3mlc1oG,mlc1c005p1,mlc1r10,rtkout10,rtkout7,rtkout5em3",7538,4962,127215,0,4962,4962,0,0,4962,0,"c005hr:88,c005p1:48,c5nbhr:53,csig05ps:124,csig1:13,em10:231,em3:16,em3mlc1oG:86,em5:17,mlc1c005p1:34,mlc1oGc005p1:17,mlc1r10:77,n1loose:29,n1loose2:5,n1loose3:25,oGc005p1:30,oGc01:21,oGp1:9,oGp1c05:1,r05:8,r15:1,r15g:3,r15g15:12,r15g20:5,r15ga:3315,r15nh:279,r20:22,r20g:2,r20g15:17,r20g40:6,r25:84,r25g:4,r25g15:4,r25g20:61,rout20:9,rtkout10:7,rtkout5em3:175,rtkout7:24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
nagoya,run2,RBPF-velKF+DD+gate+hybrid,2000,9451,9426,99.73547772722463,21.535238128963552,1021.0248295192391,4741.181979994103,0.8342076121512686,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,9426,0.7,15.0,30.0,5.0,0.35,1,9426,1457,7829,1,15,0.02,-1.0,9426,0,9426,0,0,1,1.0,9426,9171,255,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bn,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
nagoya,run2,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,9451,9426,99.73547772722463,38.71966078437263,1835.7695798235186,4741.181979994103,1.175426858718968,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,9426,0.7,15.0,30.0,5.0,0.35,1,9426,1457,7829,1,15,0.02,-1.0,9426,0,9426,0,0,1,1.0,9426,9171,255,1,0.02,1.0,50.0,0.4,10000.0,score,candidate,phase11bn,,,"r15,r20,r25,r15nh,r20g,r15g,r25g,r20g20,r20g40,r15g20,r25g20,n2loose,n2loose2,n2loose3,r20ga,nobds,csig05,csig1,csig01,csig01hr,csig005,onlyG,oGc005,oGr05,mlc1oG,mlc1oGc005,mlc1c005,rtkout5,rtkout3,rtkout5c005",9426,8862,153325,0,8862,8862,0,0,8862,0,"csig005:81,csig01:131,csig01hr:238,csig05:60,csig1:131,mlc1c005:134,mlc1oG:1742,mlc1oGc005:316,n2loose:321,n2loose2:297,n2loose3:392,nobds:412,oGc005:100,oGr05:601,onlyG:233,r15:161,r15g:81,r15g20:742,r15nh:227,r20:57,r20g:53,r20g20:181,r20g40:41,r20ga:359,r25:230,r25g:57,r25g20:81,rtkout3:336,rtkout5:399,rtkout5c005:668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
