city,run,method,n_particles,n_ref_epochs,n_pf_epochs,coverage_pct,honest_ppc_pct,honest_pass_m,honest_total_m,ms_per_epoch,rbpf_velocity_kf,position_update,defer_epoch_resample,deferred_resample_epochs,pr_weight_mode,pr_weight_ref_cn0,pr_weight_min,pr_weight_max,pr_prefit_gate_m,pr_prefit_gate_min_sats,pr_prefit_gate_keep_best,pr_prefit_ref,pr_prefit_epochs,pr_prefit_sats_kept,pr_prefit_sats_dropped,pr_skip_statuses,pr_skipped_epochs,pr_gmm,pr_gmm_epochs,pr_gaussian_epochs,pr_gmm_w_los,pr_gmm_mu_nlos_m,pr_gmm_sigma_nlos_m,pr_gmm_hybrid_loose_sigma_m,pr_gmm_clock_quantile,dd_carrier_afv,dd_epochs_attempted,dd_epochs_applied,dd_pairs_total,rbpf_kf_gate_active,rbpf_kf_gate_min_dd_pairs,rbpf_kf_gate_min_ess_ratio,rbpf_kf_gate_max_spread_m,rbpf_kf_attempted,rbpf_kf_applied,rbpf_kf_skip_min_dd_pairs,rbpf_kf_skip_min_ess_ratio,rbpf_kf_skip_max_spread,hybrid_pu,hybrid_sigma_m,hybrid_attempted,hybrid_applied,hybrid_lookup_missing,rtkdiag_pf,rtkdiag_candidate_sigma_m,rtkdiag_candidate_ratio_min,rtkdiag_candidate_residual_rms_max,rtkdiag_candidate_emit_max_diff_m,rtkdiag_candidate_recenter_max_shift_m,rtkdiag_candidate_select_mode,rtkdiag_candidate_emit_mode,rtkdiag_candidate_run_index_policy,rtkdiag_candidate_block_labels,rtkdiag_candidate_block_labels_by_run,rtkdiag_candidate_labels,rtkdiag_pf_evaluated,rtkdiag_pf_gate_pass,rtkdiag_pf_candidate_options_total,rtkdiag_pf_candidate_missing,rtkdiag_pf_pu_applied,rtkdiag_pf_recenter_applied,rtkdiag_pf_recenter_skipped,rtkdiag_pf_emit_pf_estimate,rtkdiag_pf_emit_candidate,rtkdiag_pf_emit_skipped_pf_drift,rtkdiag_pf_selected_counts,fgo_lambda,fgo_windows_attempted,fgo_windows_solved,fgo_windows_applied,fgo_n_fixed_total,fgo_epochs_replaced,tdcp_smoother,tdcp_pairs_attempted,tdcp_pairs_accepted,tdcp_pairs_rejected_min_sats,tdcp_pairs_rejected_postfit,zupt,zupt_evaluated,zupt_static,zupt_rewritten,zupt_no_imu,imu_tc,imu_tc_evaluated,imu_tc_anchor_resets,imu_tc_anchor_resets_static,imu_tc_pu_applied,imu_tc_pu_skipped_no_imu,imu_tc_pu_skipped_no_anchor,imu_tc_pu_skipped_dr_too_long,imu_tc_pu_skipped_disagreement,imu_tc_emit_pf_estimate,imu_tc_emit_skipped_pf_drift,imu_tc_avg_dr_seconds,ins_tc,ins_tc_aligned_at_epoch,ins_tc_yaw_initialized_at_epoch,ins_tc_evaluated,ins_tc_pu_applied,ins_tc_pu_skipped_not_aligned,ins_tc_pu_skipped_no_yaw,ins_tc_pu_skipped_dr_too_long,ins_tc_pu_skipped_disagreement,ins_tc_particle_imu_initialized,ins_tc_particle_imu_predict_used,ins_tc_recenter_applied,ins_tc_recenter_skipped,ins_tc_recenter_avg_shift_m,ins_tc_motion_predict_used,ins_tc_obs_status_4_used,ins_tc_obs_status_3_used,ins_tc_emit_pf_estimate,ins_tc_emit_skipped_pf_drift,ins_tc_final_acc_bias_norm,ins_tc_final_gyro_bias_norm_dps,ins_tc_final_pos_sigma_m
tokyo,run1,RBPF-velKF+DD+gate+hybrid,2000,11951,11845,99.11304493347836,39.462949906407616,4071.7650332535795,10317.943901584624,0.8183458141051626,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,11845,0.7,15.0,30.0,5.0,0.35,1,11845,1875,9514,1,15,0.02,-1.0,11845,0,11845,0,0,1,1.0,11845,11304,541,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bu,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005,rtkout3oG,rtkout3em3,rtkout3minobs3,rtkout1oG,rtkout1c005,rtkout1em3,rtkout1minobs3,rtkout1c005oG,rtkout10minobs3,rtkout5oGc005,rtkout1c005em3,rtkout1oGc005em3,rtkout3c005oG,rtkout3c005em3,rtkout5c005em3,rtkout3oGem3,rtkout1minobs4,rtkout1minobs6,rtkout1mlc1,rtkout3mlc1,rtkout5mlc1,rtkout3mlc1oG,rtkout3mlc1c005,rtkout1mlc1c005,rtkout5mlc1c005oG",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run1,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,11951,11845,99.11304493347836,64.08446217822731,6612.198857181709,10317.943901584624,1.090654382838346,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,11845,0.7,15.0,30.0,5.0,0.35,1,11845,1875,9514,1,15,0.02,-1.0,11845,0,11845,0,0,1,1.0,11845,11304,541,1,0.02,2.5,1.4,0.4,10000.0,score,candidate,phase11bu,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,t1tight,t1tight2,nobds,csig05,noglo,csig05hr,csig05hvr,csig05psh,csig01hr,c5p1hvr,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGp1hr,oGc005p1,c005p1,oGc00005p1,oGc0001p1,mlc2oG,mlc1oGc005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,rtkout5,rtkout3,rtkout1,rtkout3oG,rtkout1c005oG,rtkout3c005oG,rtkout3oGem3,rtkout3mlc1c005",11845,8279,203377,0,8279,8279,0,0,8279,0,"c005ga:15,c005hr:113,c005p1:63,c5nbhr:114,c5p1hvr:226,csig01hr:137,csig05:32,csig05hr:210,csig05hvr:251,csig05psh:144,mlc1c005r10:51,mlc1nobds:443,mlc1oGc005em3:89,mlc1oGc005p1:102,mlc1oGc005r12:151,mlc2oG:346,nobds:28,noglo:63,oGc00005p1:160,oGc0001p1:305,oGc005p1:87,oGc05:34,oGp1hr:1484,onlyG:20,r05:63,r15:180,r15g:66,r15g10:25,r15g15:65,r15g20:45,r15nh:272,r20:31,r20g:152,r20g10:49,r20g15:4,r20g20:28,r20g40:29,r25:47,r25g:14,r25g10:20,r25g15:17,r25g20:12,r30:78,r30g:41,rtkout1:286,rtkout1c005oG:132,rtkout3:247,rtkout3c005oG:438,rtkout3mlc1c005:206,rtkout3oG:109,rtkout3oGem3:44,rtkout5:184,t1tight:202,t1tight2:525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run2,RBPF-velKF+DD+gate+hybrid,2000,9151,9106,99.50825046443012,71.52269810031815,5117.207799890938,7154.662695629173,0.8751173951050855,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,9106,0.7,15.0,30.0,5.0,0.35,1,9106,1551,9462,1,15,0.02,-1.0,9106,0,9106,0,0,1,1.0,9106,8842,264,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bu,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005,rtkout3oG,rtkout3em3,rtkout3minobs3,rtkout1oG,rtkout1c005,rtkout1em3,rtkout1minobs3,rtkout1c005oG,rtkout10minobs3,rtkout5oGc005,rtkout1c005em3,rtkout1oGc005em3,rtkout3c005oG,rtkout3c005em3,rtkout5c005em3,rtkout3oGem3,rtkout1minobs4,rtkout1minobs6,rtkout1mlc1,rtkout3mlc1,rtkout5mlc1,rtkout3mlc1oG,rtkout3mlc1c005,rtkout1mlc1c005,rtkout5mlc1c005oG",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run2,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,9151,9106,99.50825046443012,84.48234137385401,6044.426562669223,7154.662695629173,1.1382370395289294,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,9106,0.7,15.0,30.0,5.0,0.35,1,9106,1551,9462,1,15,0.02,-1.0,9106,0,9106,0,0,1,1.0,9106,8842,264,1,0.02,1.7,10.0,0.4,10000.0,score,candidate,phase11bu,,,"r15,r20,r25,r15nh,r20g,r15g,r25g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,oGc005p1,c005p1,oGc01p1,oGc0001p1,em5,mlc1oG,mlc1oGc005p1,mlc1oGc005,mlc1c005r10,rtkout5,rtkout5em3",9106,8037,161726,0,8037,8037,0,0,8037,0,"c005p1:128,em5:795,mlc1c005r10:347,mlc1oG:1003,mlc1oGc005:417,mlc1oGc005p1:299,oGc0001p1:1187,oGc005p1:317,oGc01p1:210,r15:420,r15g:369,r15g10:217,r15g15:212,r15g20:46,r15nh:344,r20:85,r20g:52,r20g10:118,r20g15:45,r20g20:73,r20g40:51,r25:255,r25g:80,r25g10:72,r25g15:34,r25g20:69,rtkout5:253,rtkout5em3:539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run3,RBPF-velKF+DD+gate+hybrid,2000,15301,15291,99.93464479445788,59.709390445420524,9746.850991817115,16323.81593432371,0.9151849673163056,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,15291,0.7,15.0,30.0,5.0,0.35,1,15291,2689,18027,1,15,0.02,-1.0,15291,0,15291,0,0,1,1.0,15291,14853,438,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bu,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005,rtkout3oG,rtkout3em3,rtkout3minobs3,rtkout1oG,rtkout1c005,rtkout1em3,rtkout1minobs3,rtkout1c005oG,rtkout10minobs3,rtkout5oGc005,rtkout1c005em3,rtkout1oGc005em3,rtkout3c005oG,rtkout3c005em3,rtkout5c005em3,rtkout3oGem3,rtkout1minobs4,rtkout1minobs6,rtkout1mlc1,rtkout3mlc1,rtkout5mlc1,rtkout3mlc1oG,rtkout3mlc1c005,rtkout1mlc1c005,rtkout5mlc1c005oG",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
tokyo,run3,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,15301,15291,99.93464479445788,79.91433583863994,13045.06908743687,16323.81593432371,1.3797909799946426,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,15291,0.7,15.0,30.0,5.0,0.35,1,15291,2689,18027,1,15,0.02,-1.0,15291,0,15291,0,0,1,1.0,15291,14853,438,1,0.02,1.0,50.0,0.4,10000.0,score,candidate,phase11bu,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,csig1,csig05hr,csig05ps,csig01,csig05hvr,csig05psh,csig05em,csig01hr,c1p1hr,c5hrem,r05,c005ga,oGr05,oGem10,oGc01p1,mlc2oG,mlc1oG,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1oGc005em3,mlc1oGc005r12,mlc1r10,rtkout1,rtkout5oGc005,rtkout5mlc1c005oG",15291,14788,565708,0,14788,14788,0,0,14788,0,"c005ga:148,c1p1hr:118,c5hrem:240,csig01:380,csig01hr:223,csig05:85,csig05em:91,csig05hr:182,csig05hvr:506,csig05ps:179,csig05psh:217,csig1:123,em10:99,em3mlc1oG:339,holdrlx:2582,mlc1oG:144,mlc1oGc005:101,mlc1oGc005em3:93,mlc1oGc005p1:175,mlc1oGc005r12:69,mlc1r10:451,mlc2oG:331,nobds:8,oGc01p1:146,oGem10:115,oGr05:147,psig1:419,psig1hr:2075,psig2:867,r05:145,r12ga:146,r15:5,r15g:12,r15g10:394,r15g15:138,r15g20:39,r15ga:92,r15nh:575,r20:40,r20g:67,r20g10:63,r20g15:19,r20g20:24,r20ga:126,r25:22,r25g:63,r25g10:45,r25g15:23,r25g20:7,r30:140,r30g:6,rtkout1:886,rtkout5mlc1c005oG:140,rtkout5oGc005:385,t3tight:533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
nagoya,run1,RBPF-velKF+DD+gate+hybrid,2000,7651,7538,98.52306887988499,53.91901668122852,2405.3850916373776,4461.107118956035,0.8203117532097643,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,7538,0.7,15.0,30.0,5.0,0.35,1,7538,1273,7612,1,15,0.02,-1.0,7538,0,7538,0,0,1,1.0,7538,7265,273,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bu,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005,rtkout3oG,rtkout3em3,rtkout3minobs3,rtkout1oG,rtkout1c005,rtkout1em3,rtkout1minobs3,rtkout1c005oG,rtkout10minobs3,rtkout5oGc005,rtkout1c005em3,rtkout1oGc005em3,rtkout3c005oG,rtkout3c005em3,rtkout5c005em3,rtkout3oGem3,rtkout1minobs4,rtkout1minobs6,rtkout1mlc1,rtkout3mlc1,rtkout5mlc1,rtkout3mlc1oG,rtkout3mlc1c005,rtkout1mlc1c005,rtkout5mlc1c005oG",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
nagoya,run1,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,7651,7538,98.52306887988499,63.74264930718324,2843.6278660539315,4461.107118956035,1.0564697280715936,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,7538,0.7,15.0,30.0,5.0,0.35,1,7538,1273,7612,1,15,0.02,-1.0,7538,0,7538,0,0,1,1.0,7538,7265,273,1,0.02,1.0,1.0,0.4,10000.0,nrows,candidate,phase11bu,,,"r15,r20,r25,r15nh,r20g,r15g,r25g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,n1loose,n1loose2,n1loose3,r15ga,em10,csig1,rout20,csig05ps,c5nbhr,c005hr,r05,oGp1,oGp1c05,oGc01,oGc005p1,c005p1,em5,em3,mlc1oGc005p1,em3mlc1oG,mlc1c005p1,mlc1r10,rtkout10,rtkout7,rtkout5em3",7538,4962,127215,0,4962,4962,0,0,4962,0,"c005hr:88,c005p1:48,c5nbhr:53,csig05ps:124,csig1:13,em10:231,em3:16,em3mlc1oG:86,em5:17,mlc1c005p1:34,mlc1oGc005p1:17,mlc1r10:77,n1loose:29,n1loose2:5,n1loose3:25,oGc005p1:30,oGc01:21,oGp1:9,oGp1c05:1,r05:8,r15:1,r15g:3,r15g15:12,r15g20:5,r15ga:3315,r15nh:279,r20:22,r20g:2,r20g15:17,r20g40:6,r25:84,r25g:4,r25g15:4,r25g20:61,rout20:9,rtkout10:7,rtkout5em3:175,rtkout7:24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
nagoya,run2,RBPF-velKF+DD+gate+hybrid,2000,9451,9426,99.73547772722463,21.535238128963552,1021.0248295192391,4741.181979994103,0.7995478490238297,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,9426,0.7,15.0,30.0,5.0,0.35,1,9426,1457,7829,1,15,0.02,-1.0,9426,0,9426,0,0,1,1.0,9426,9171,255,0,0.02,1.5,1.8,0.4,10000.0,residual,pf,phase11bu,,,"r15,r20,r25,r30,r15nh,r20g,r15g,r25g,r30g,r20g20,r20g40,r15g20,r25g20,r20g15,r15g15,r25g15,r20g10,r15g10,r25g10,n1loose,n1loose2,n1loose3,n2loose,n2loose2,n2loose3,n3tight,n3tight2,t1tight,t1tight2,t3tight,r15ga,r20ga,em10,psig1,holdrlx,r12ga,psig2,psig1hr,nobds,csig05,noglo,csig1,rout30,rout20,csig05hr,csig05ps,csig01,rout100,csig05nb,csig05hvr,csig05psh,csig05em,csig01hr,c5p1hvr,c1p1hr,c5hrem,csig005,c5nbhr,c005hr,r05,c005ga,onlyG,oGc05,oGc005,oGp1,oGp1hr,oGp1c05,oGr05,oGc01,oGem10,oGc005p1,c005p1,oGc01p1,oGc00005p1,oGc0001p1,nobdsc005p1,em5,mlc2oG,mlc1oG,em3,mlc1oGc005p1,em3mlc1oG,mlc1oGc005,mlc1c005p1,mlc1oGc005em3,mlc1oGc005r12,mlc1nobds,mlc1c005r10,mlc1r10,mlc1c005,rtkout5,rtkout10,rtkout3,rtkout7,rtkout1,rtkout2,rtkout4,rtkout5c005,rtkout5em3,rtkout3c005,rtkout3oG,rtkout3em3,rtkout3minobs3,rtkout1oG,rtkout1c005,rtkout1em3,rtkout1minobs3,rtkout1c005oG,rtkout10minobs3,rtkout5oGc005,rtkout1c005em3,rtkout1oGc005em3,rtkout3c005oG,rtkout3c005em3,rtkout5c005em3,rtkout3oGem3,rtkout1minobs4,rtkout1minobs6,rtkout1mlc1,rtkout3mlc1,rtkout5mlc1,rtkout3mlc1oG,rtkout3mlc1c005,rtkout1mlc1c005,rtkout5mlc1c005oG",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
nagoya,run2,RBPF-velKF+DD+gate+hybrid+rtkdiag_pf,2000,9451,9426,99.73547772722463,39.119631857998314,1854.7329362914484,4741.181979994103,1.0741039447220817,1,0,0,0,raw,45.0,0.25,1.5,0.0,6,0,pf,0,0,0,,0,0,0,9426,0.7,15.0,30.0,5.0,0.35,1,9426,1457,7829,1,15,0.02,-1.0,9426,0,9426,0,0,1,1.0,9426,9171,255,1,0.02,1.0,50.0,0.4,10000.0,score,candidate,phase11bu,,,"r15,r20,r25,r15nh,r20g,r15g,r25g,r20g20,r20g40,r15g20,r25g20,n2loose,n2loose2,n2loose3,r20ga,nobds,csig05,csig1,csig01,csig01hr,csig005,onlyG,oGc005,oGr05,mlc1oG,mlc1oGc005,mlc1c005,rtkout5,rtkout3,rtkout5c005,rtkout1c005,rtkout5c005em3,rtkout5mlc1c005oG",9426,8898,167554,0,8898,8898,0,0,8898,0,"csig005:74,csig01:125,csig01hr:193,csig05:54,csig1:120,mlc1c005:127,mlc1oG:1729,mlc1oGc005:252,n2loose:273,n2loose2:281,n2loose3:386,nobds:392,oGc005:98,oGr05:549,onlyG:228,r15:141,r15g:69,r15g20:704,r15nh:223,r20:49,r20g:45,r20g20:178,r20g40:40,r20ga:342,r25:225,r25g:52,r25g20:78,rtkout1c005:109,rtkout3:322,rtkout5:389,rtkout5c005:283,rtkout5c005em3:559,rtkout5mlc1c005oG:209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
