city,run,method,n_particles,n_ref_epochs,n_pf_epochs,coverage_pct,honest_ppc_pct,honest_pass_m,honest_total_m,ms_per_epoch,rbpf_velocity_kf,position_update,dd_carrier_afv,dd_epochs_attempted,dd_epochs_applied,dd_pairs_total,rbpf_kf_gate_active,rbpf_kf_gate_min_dd_pairs,rbpf_kf_gate_min_ess_ratio,rbpf_kf_gate_max_spread_m,rbpf_kf_attempted,rbpf_kf_applied,rbpf_kf_skip_min_dd_pairs,rbpf_kf_skip_min_ess_ratio,rbpf_kf_skip_max_spread
tokyo,run1,RBPF-velKF,20000,11951,11861,99.24692494351937,0.0,0.0,10317.943901584624,1.1060667274206193,1,0,0,0,0,0,0,-1,-1.0,-1.0,0,0,0,0,0
tokyo,run1,RBPF-velKF+DD,20000,11951,11861,99.24692494351937,0.0,0.0,10317.943901584624,1.826334875741286,1,0,1,11861,1875,9514,0,-1,-1.0,-1.0,0,0,0,0,0
tokyo,run1,RBPF-velKF+DD+gate,20000,11951,11861,99.24692494351937,0.0,0.0,10317.943901584624,1.2060901855685722,1,0,1,11861,1875,9514,1,4,0.02,-1.0,11861,1467,10394,0,0
tokyo,run1,RBPF-velKF+DD+gate+PU,20000,11951,11861,99.24692494351937,0.0,0.0,10317.943901584624,1.10880603828337,1,1,1,11861,1875,9514,1,4,0.02,-1.0,11861,1467,10394,0,0
tokyo,run2,RBPF-velKF,20000,9151,9106,99.50825046443012,0.0,0.0,7154.662695629173,1.0246343239714357,1,0,0,0,0,0,0,-1,-1.0,-1.0,0,0,0,0,0
tokyo,run2,RBPF-velKF+DD,20000,9151,9106,99.50825046443012,0.0,0.0,7154.662695629173,1.707334711618129,1,0,1,9106,1551,9462,0,-1,-1.0,-1.0,0,0,0,0,0
tokyo,run2,RBPF-velKF+DD+gate,20000,9151,9106,99.50825046443012,0.0,0.0,7154.662695629173,1.5056635708360555,1,0,1,9106,1551,9462,1,4,0.02,-1.0,9106,1298,7808,0,0
tokyo,run2,RBPF-velKF+DD+gate+PU,20000,9151,9106,99.50825046443012,0.0,0.0,7154.662695629173,1.4692377876161027,1,1,1,9106,1551,9462,1,4,0.02,-1.0,9106,1298,7808,0,0
tokyo,run3,RBPF-velKF,20000,15301,15292,99.94118031501209,0.0,0.0,16323.81593432371,1.0534152249562505,1,0,0,0,0,0,0,-1,-1.0,-1.0,0,0,0,0,0
tokyo,run3,RBPF-velKF+DD,20000,15301,15292,99.94118031501209,0.0,0.0,16323.81593432371,1.7834390171356753,1,0,1,15292,2689,18027,0,-1,-1.0,-1.0,0,0,0,0,0
tokyo,run3,RBPF-velKF+DD+gate,20000,15301,15292,99.94118031501209,0.0,0.0,16323.81593432371,1.121535733518301,1,0,1,15292,2689,18027,1,4,0.02,-1.0,15292,2447,12845,0,0
tokyo,run3,RBPF-velKF+DD+gate+PU,20000,15301,15292,99.94118031501209,0.0,0.0,16323.81593432371,1.0696889690042863,1,1,1,15292,2689,18027,1,4,0.02,-1.0,15292,2447,12845,0,0
nagoya,run1,RBPF-velKF,20000,7651,7541,98.562279440596,0.0,0.0,4461.107118956035,0.8014213122926902,1,0,0,0,0,0,0,-1,-1.0,-1.0,0,0,0,0,0
nagoya,run1,RBPF-velKF+DD,20000,7651,7541,98.562279440596,0.0,0.0,4461.107118956035,1.4389130192270465,1,0,1,7541,1273,7612,0,-1,-1.0,-1.0,0,0,0,0,0
nagoya,run1,RBPF-velKF+DD+gate,20000,7651,7541,98.562279440596,0.0,0.0,4461.107118956035,0.9687874684963184,1,0,1,7541,1273,7612,1,4,0.02,-1.0,7541,1188,6353,0,0
nagoya,run1,RBPF-velKF+DD+gate+PU,20000,7651,7541,98.562279440596,0.0,0.0,4461.107118956035,0.9289313882513758,1,1,1,7541,1273,7612,1,4,0.02,-1.0,7541,1188,6353,0,0
nagoya,run2,RBPF-velKF,20000,9451,9431,99.78838218177971,0.0,0.0,4741.181979994103,0.8417918802954059,1,0,0,0,0,0,0,-1,-1.0,-1.0,0,0,0,0,0
nagoya,run2,RBPF-velKF+DD,20000,9451,9431,99.78838218177971,0.0,0.0,4741.181979994103,1.3900050054188862,1,0,1,9431,1457,7829,0,-1,-1.0,-1.0,0,0,0,0,0
nagoya,run2,RBPF-velKF+DD+gate,20000,9451,9431,99.78838218177971,0.0,0.0,4741.181979994103,0.8397832163128153,1,0,1,9431,1457,7829,1,4,0.02,-1.0,9431,1158,8273,0,0
nagoya,run2,RBPF-velKF+DD+gate+PU,20000,9451,9431,99.78838218177971,0.0,0.0,4741.181979994103,0.9555622845727766,1,1,1,9431,1457,7829,1,4,0.02,-1.0,9431,1158,8273,0,0
nagoya,run3,RBPF-velKF,20000,5201,5201,100.0,0.0,0.0,3327.9642467955387,0.8795068315374458,1,0,0,0,0,0,0,-1,-1.0,-1.0,0,0,0,0,0
nagoya,run3,RBPF-velKF+DD,20000,5201,5201,100.0,0.0,0.0,3327.9642467955387,1.4963330197996978,1,0,1,5201,791,3982,0,-1,-1.0,-1.0,0,0,0,0,0
nagoya,run3,RBPF-velKF+DD+gate,20000,5201,5201,100.0,0.0,0.0,3327.9642467955387,1.0900104378017554,1,0,1,5201,791,3982,1,4,0.02,-1.0,5201,603,4598,0,0
nagoya,run3,RBPF-velKF+DD+gate+PU,20000,5201,5201,100.0,0.0,0.0,3327.9642467955387,1.1395750715225574,1,1,1,5201,791,3982,1,4,0.02,-1.0,5201,603,4598,0,0
