city,run,method,n_particles,n_ref_epochs,n_pf_epochs,coverage_pct,honest_ppc_pct,honest_pass_m,honest_total_m,ms_per_epoch,rbpf_velocity_kf,position_update,dd_carrier_afv,dd_epochs_attempted,dd_epochs_applied,dd_pairs_total,rbpf_kf_gate_active,rbpf_kf_gate_min_dd_pairs,rbpf_kf_gate_min_ess_ratio,rbpf_kf_gate_max_spread_m,rbpf_kf_attempted,rbpf_kf_applied,rbpf_kf_skip_min_dd_pairs,rbpf_kf_skip_min_ess_ratio,rbpf_kf_skip_max_spread,hybrid_pu,hybrid_sigma_m,hybrid_attempted,hybrid_applied,hybrid_lookup_missing
tokyo,run1,RBPF-velKF+DD,20000,11951,11861,99.24692494351937,0.0,0.0,10317.943901584624,1.0389840387895575,1,0,1,11861,1875,9514,0,-1,-1.0,-1.0,0,0,0,0,0,0,1.0,0,0,0
tokyo,run1,RBPF-velKF+DD+gate,20000,11951,11861,99.24692494351937,0.0,0.0,10317.943901584624,0.6706433084858324,1,0,1,11861,1875,9514,1,4,0.02,-1.0,11861,1467,10394,0,0,0,1.0,0,0,0
tokyo,run1,PF-PR+hybrid,20000,11951,11861,99.24692494351937,39.462949906407616,4071.7650332535795,10317.943901584624,0.2604796778561117,0,0,0,0,0,0,0,-1,-1.0,-1.0,0,0,0,0,0,1,1.0,11861,11305,556
tokyo,run1,RBPF-velKF+DD+hybrid,20000,11951,11861,99.24692494351937,39.462949906407616,4071.7650332535795,10317.943901584624,1.0673697097117836,1,0,1,11861,1875,9514,0,-1,-1.0,-1.0,0,0,0,0,0,1,1.0,11861,11305,556
tokyo,run1,RBPF-velKF+DD+gate+hybrid,20000,11951,11861,99.24692494351937,39.462949906407616,4071.7650332535795,10317.943901584624,0.6989034883237935,1,0,1,11861,1875,9514,1,4,0.02,-1.0,11861,1467,10394,0,0,1,1.0,11861,11305,556
tokyo,run2,RBPF-velKF+DD,20000,9151,9106,99.50825046443012,0.0,0.0,7154.662695629173,1.341976549181013,1,0,1,9106,1551,9462,0,-1,-1.0,-1.0,0,0,0,0,0,0,1.0,0,0,0
tokyo,run2,RBPF-velKF+DD+gate,20000,9151,9106,99.50825046443012,0.0,0.0,7154.662695629173,0.9303320931391813,1,0,1,9106,1551,9462,1,4,0.02,-1.0,9106,1298,7808,0,0,0,1.0,0,0,0
tokyo,run2,PF-PR+hybrid,20000,9151,9106,99.50825046443012,71.52269810031815,5117.207799890938,7154.662695629173,0.37706720911423774,0,0,0,0,0,0,0,-1,-1.0,-1.0,0,0,0,0,0,1,1.0,9106,8842,264
tokyo,run2,RBPF-velKF+DD+hybrid,20000,9151,9106,99.50825046443012,71.52269810031815,5117.207799890938,7154.662695629173,1.386169323629366,1,0,1,9106,1551,9462,0,-1,-1.0,-1.0,0,0,0,0,0,1,1.0,9106,8842,264
tokyo,run2,RBPF-velKF+DD+gate+hybrid,20000,9151,9106,99.50825046443012,71.52269810031815,5117.207799890938,7154.662695629173,0.9528698007998158,1,0,1,9106,1551,9462,1,4,0.02,-1.0,9106,1298,7808,0,0,1,1.0,9106,8842,264
