city,run,method,n_particles,n_ref_epochs,n_pf_epochs,coverage_pct,honest_ppc_pct,honest_pass_m,honest_total_m,ms_per_epoch,rbpf_velocity_kf,position_update,dd_carrier_afv,dd_epochs_attempted,dd_epochs_applied,dd_pairs_total,rbpf_kf_gate_active,rbpf_kf_gate_min_dd_pairs,rbpf_kf_gate_min_ess_ratio,rbpf_kf_gate_max_spread_m,rbpf_kf_attempted,rbpf_kf_applied,rbpf_kf_skip_min_dd_pairs,rbpf_kf_skip_min_ess_ratio,rbpf_kf_skip_max_spread,hybrid_pu,hybrid_sigma_m,hybrid_attempted,hybrid_applied,hybrid_lookup_missing,fgo_lambda,fgo_windows_attempted,fgo_windows_solved,fgo_windows_applied,fgo_n_fixed_total,fgo_epochs_replaced,tdcp_smoother,tdcp_pairs_attempted,tdcp_pairs_accepted,tdcp_pairs_rejected_min_sats,tdcp_pairs_rejected_postfit,zupt,zupt_evaluated,zupt_static,zupt_rewritten,zupt_no_imu,imu_tc,imu_tc_evaluated,imu_tc_anchor_resets,imu_tc_anchor_resets_static,imu_tc_pu_applied,imu_tc_pu_skipped_no_imu,imu_tc_pu_skipped_no_anchor,imu_tc_pu_skipped_dr_too_long,imu_tc_pu_skipped_disagreement,imu_tc_emit_pf_estimate,imu_tc_emit_skipped_pf_drift,imu_tc_avg_dr_seconds
tokyo,run1,RBPF-velKF+DD+gate+hybrid,20000,11951,11861,99.24692494351937,39.462949906407616,4071.7650332535795,10317.943901584624,0.8414570379890134,1,0,1,11861,1875,9514,1,15,0.02,-1.0,11861,0,11861,0,0,1,1.0,11861,11305,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
tokyo,run1,RBPF-velKF+DD+gate+hybrid+imu_tc,20000,11951,11861,99.24692494351937,39.462949906407616,4071.7650332535795,10317.943901584624,1.040299071152768,1,0,1,11861,1875,9514,1,15,0.02,-1.0,11861,0,11861,0,0,1,1.0,11861,11305,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11861,7144,4580,8950,0,4,2833,74,4,4158,8.662507347509438
tokyo,run2,RBPF-velKF+DD+gate+hybrid,20000,9151,9106,99.50825046443012,71.52269810031815,5117.207799890938,7154.662695629173,0.9658388564779998,1,0,1,9106,1551,9462,1,15,0.02,-1.0,9106,0,9106,0,0,1,1.0,9106,8842,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
tokyo,run2,RBPF-velKF+DD+gate+hybrid+imu_tc,20000,9151,9106,99.50825046443012,70.49413252588963,5043.617402437216,7154.662695629173,1.1134774536332135,1,0,1,9106,1551,9462,1,15,0.02,-1.0,9106,0,9106,0,0,1,1.0,9106,8842,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9106,6556,3659,8084,0,4,964,54,495,1792,3.1211508723790375
tokyo,run3,RBPF-velKF+DD+gate+hybrid,20000,15301,15292,99.94118031501209,59.709390445420524,9746.850991817115,16323.81593432371,1.1885222477235218,1,0,1,15292,2689,18027,1,15,0.02,-1.0,15292,0,15292,0,0,1,1.0,15292,14853,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
tokyo,run3,RBPF-velKF+DD+gate+hybrid+imu_tc,20000,15301,15292,99.94118031501209,59.69289626121691,9744.158511547848,16323.81593432371,1.1137977334493618,1,0,1,15292,2689,18027,1,15,0.02,-1.0,15292,0,15292,0,0,1,1.0,15292,14853,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15292,8743,5201,11454,0,4,3724,110,75,6036,7.094572294453754
nagoya,run1,RBPF-velKF+DD+gate+hybrid,20000,7651,7541,98.562279440596,53.91901668122852,2405.3850916373776,4461.107118956035,0.7843815133335214,1,0,1,7541,1273,7612,1,15,0.02,-1.0,7541,0,7541,0,0,1,1.0,7541,7266,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
nagoya,run1,RBPF-velKF+DD+gate+hybrid+imu_tc,20000,7651,7541,98.562279440596,53.637942361085585,2392.8460651319238,4461.107118956035,0.9848723840005493,1,0,1,7541,1273,7612,1,15,0.02,-1.0,7541,0,7541,0,0,1,1.0,7541,7266,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7541,5043,3617,5909,0,4,1572,56,54,2170,9.616973899590402
nagoya,run2,RBPF-velKF+DD+gate+hybrid,20000,9451,9431,99.78838218177971,21.535238128963552,1021.0248295192391,4741.181979994103,1.0096822214931922,1,0,1,9431,1457,7829,1,15,0.02,-1.0,9431,0,9431,0,0,1,1.0,9431,9171,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
nagoya,run2,RBPF-velKF+DD+gate+hybrid+imu_tc,20000,9451,9431,99.78838218177971,21.535238128963552,1021.0248295192391,4741.181979994103,1.5258952316997627,1,0,1,9431,1457,7829,1,15,0.02,-1.0,9431,0,9431,0,0,1,1.0,9431,9171,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9431,4335,3456,5509,0,4,3886,32,146,4691,28.54494752187186
