city,run,config,systems,weight_scale,segment_id,start_index,end_index,start_time,end_time,n_epochs,duration_s,mean_error_2d,max_error_2d
nagoya,run1,"G,E","G,E",-,0,1069,1069,550593.799999,550593.799999,1,0.000000,354.794530,354.794530
nagoya,run1,"G,E","G,E",-,1,1089,1090,550612.600000,550612.799999,2,0.199999,132.208055,155.467949
nagoya,run1,"G,E","G,E",-,2,1111,1114,550618.399999,550619.000000,4,0.600001,145.849615,183.271659
nagoya,run1,"G,E","G,E",-,3,1141,1142,550624.400000,550624.599999,2,0.199999,121.915122,122.049774
nagoya,run1,"G,E","G,E",-,4,1153,1153,550626.799999,550626.799999,1,0.000000,120.572921,120.572921
nagoya,run1,"G,E","G,E",-,5,1157,1157,550627.599999,550627.599999,1,0.000000,103.199404,103.199404
nagoya,run1,"G,E","G,E",-,6,1192,1193,550634.599999,550634.800000,2,0.200001,143.774588,172.797117
nagoya,run1,"G,E","G,E",-,7,1200,1202,550636.199999,550636.600000,3,0.400001,183.134197,185.446393
nagoya,run1,"G,E","G,E",-,8,1209,1209,550638.000000,550638.000000,1,0.000000,101.366351,101.366351
nagoya,run1,"G,E","G,E",-,9,1212,1215,550638.600000,550639.199999,4,0.599999,105.945280,108.985124
nagoya,run1,"G,E","G,E",-,10,1234,1236,550643.000000,550643.399999,3,0.399999,101.328384,102.161568
nagoya,run1,"G,E","G,E",-,11,1239,1247,550644.000000,550645.600000,9,1.600000,2372.072146,20124.716802
nagoya,run1,"G,E","G,E",-,12,1248,1249,550647.199999,550647.399999,2,0.200000,131.626541,159.912785
nagoya,run1,"G,E","G,E",-,13,1252,1256,550648.000000,550648.800000,5,0.800000,108.432647,122.096390
nagoya,run1,"G,E","G,E",-,14,1652,1662,550728.000000,550730.000000,11,2.000000,120.225616,135.218450
nagoya,run1,"G,E","G,E",-,15,1669,1669,550731.399999,550731.399999,1,0.000000,104.922626,104.922626
nagoya,run1,"G,E","G,E",-,16,1698,1698,550737.200000,550737.200000,1,0.000000,119.593760,119.593760
nagoya,run1,"G,E","G,E",-,17,1700,1704,550737.600000,550738.399999,5,0.799999,114.914582,116.011044
nagoya,run1,"G,E","G,E",-,18,1708,1708,550739.200000,550739.200000,1,0.000000,126.543660,126.543660
nagoya,run1,"G,E","G,E",-,19,1724,1732,550742.399999,550744.000000,9,1.600001,111.954018,115.053380
nagoya,run1,"G,E","G,E",-,20,1735,1746,550744.599999,550746.799999,12,2.200000,123.890284,141.999799
nagoya,run1,"G,E","G,E",-,21,1748,1748,550747.200000,550747.200000,1,0.000000,118.887199,118.887199
nagoya,run1,"G,E","G,E",-,22,1750,1750,550747.599999,550747.599999,1,0.000000,140.387277,140.387277
nagoya,run1,"G,E","G,E",-,23,1754,1754,550748.400000,550748.400000,1,0.000000,119.349836,119.349836
nagoya,run1,"G,E","G,E",-,24,1756,1760,550748.800000,550749.599999,5,0.799999,136.022268,143.813733
nagoya,run1,"G,E","G,E",-,25,1766,1769,550750.800000,550751.400000,4,0.600000,106.012244,106.736946
nagoya,run1,"G,E","G,E",-,26,1857,1865,550769.000000,550770.600000,9,1.600000,104.700720,105.572115
nagoya,run1,"G,E","G,E",-,27,1885,1889,550774.600000,550775.399999,5,0.799999,100.532794,100.885467
nagoya,run1,"G,E","G,E",-,28,1895,1908,550776.600000,550779.200000,14,2.600000,101.620627,101.789292
nagoya,run1,"G,E","G,E",-,29,1913,1915,550780.200000,550780.600000,3,0.400000,101.810210,101.899712
nagoya,run1,"G,E","G,E",-,30,1917,1917,550781.000000,550781.000000,1,0.000000,101.827686,101.827686
nagoya,run1,"G,E","G,E",-,31,1919,1921,550781.399999,550781.799999,3,0.400000,101.990458,102.035442
nagoya,run1,"G,E","G,E",-,32,1985,1992,550794.600000,550796.000000,8,1.400000,101.436303,101.513555
nagoya,run1,"G,E","G,E",-,33,1995,1999,550796.600000,550797.399999,5,0.799999,100.210996,100.376805
nagoya,run1,"G,E","G,E",-,34,2128,2172,550823.199999,550832.000000,45,8.800001,103.073126,103.699448
nagoya,run1,"G,E","G,E",-,35,2234,2247,550844.399999,550847.000000,14,2.600001,111.992835,112.889381
nagoya,run1,"G,E","G,E",-,36,2249,2254,550847.399999,550848.399999,6,1.000000,110.881678,110.989179
nagoya,run1,"G,E","G,E",-,37,2256,2308,550848.799999,550859.200000,53,10.400001,114.749163,129.160905
nagoya,run1,"G,E","G,E",-,38,2310,2320,550859.600000,550861.600000,11,2.000000,113.859676,124.420348
nagoya,run1,"G,E","G,E",-,39,2351,2354,550867.799999,550868.400000,4,0.600001,109.021191,110.061147
nagoya,run1,"G,E","G,E",-,40,2361,2370,550869.800000,550871.599999,10,1.799999,110.843056,113.147358
nagoya,run1,"G,E","G,E",-,41,2372,2372,550872.000000,550872.000000,1,0.000000,100.561132,100.561132
nagoya,run1,"G,E","G,E",-,42,2383,2384,550874.199999,550874.400000,2,0.200001,100.827878,101.050373
nagoya,run1,"G,E","G,E",-,43,2387,2387,550875.000000,550875.000000,1,0.000000,101.489723,101.489723
nagoya,run1,"G,E","G,E",-,44,2393,2401,550876.199999,550877.800000,9,1.600001,108.860191,113.404679
nagoya,run1,"G,E","G,E",-,45,2403,2405,550878.199999,550878.600000,3,0.400001,101.100467,102.092617
nagoya,run1,"G,E","G,E",-,46,2407,2407,550879.000000,550879.000000,1,0.000000,100.630195,100.630195
nagoya,run1,"G,E","G,E",-,47,2424,2440,550882.399999,550885.600000,17,3.200001,111.609103,116.008554
nagoya,run1,"G,E","G,E",-,48,2450,2504,550887.600000,550898.399999,55,10.799999,127.325263,178.988661
nagoya,run1,"G,E","G,E",-,49,2516,2528,550900.799999,550903.200000,13,2.400001,111.297679,114.248823
nagoya,run1,"G,E","G,E",-,50,2530,2531,550903.600000,550903.799999,2,0.199999,111.286179,112.431995
nagoya,run1,"G,E","G,E",-,51,2536,2537,550904.799999,550905.000000,2,0.200001,137.600625,138.451300
nagoya,run1,"G,E","G,E",-,52,2539,2539,550905.399999,550905.399999,1,0.000000,139.737576,139.737576
nagoya,run1,"G,E","G,E",-,53,2562,2564,550910.000000,550910.399999,3,0.399999,101.141528,101.681497
nagoya,run1,"G,E","G,E",-,54,2568,2569,550911.200000,550911.399999,2,0.199999,105.864067,106.818069
nagoya,run1,"G,E","G,E",-,55,2571,2578,550911.799999,550913.200000,8,1.400001,104.491006,106.059142
nagoya,run1,"G,E","G,E",-,56,2580,2587,550913.600000,550915.000000,8,1.400000,112.240303,128.506865
nagoya,run1,"G,E","G,E",-,57,2589,2589,550915.399999,550915.399999,1,0.000000,112.322923,112.322923
nagoya,run1,"G,E","G,E",-,58,2593,2603,550916.200000,550918.200000,11,2.000000,103.134084,105.154553
nagoya,run1,"G,E","G,E",-,59,2605,2620,550918.600000,550921.600000,16,3.000000,117.375758,140.702709
nagoya,run1,"G,E","G,E",-,60,2622,2637,550922.000000,550925.000000,16,3.000000,142.166717,152.851410
nagoya,run1,"G,E","G,E",-,61,2651,2651,550927.799999,550927.799999,1,0.000000,102.054800,102.054800
nagoya,run1,"G,E","G,E",-,62,2653,2658,550928.199999,550929.199999,6,1.000000,115.764377,175.844497
nagoya,run1,"G,E","G,E",-,63,2662,2687,550930.000000,550935.000000,26,5.000000,135.173173,178.336696
nagoya,run1,"G,E","G,E",-,64,3346,3347,551066.800000,551067.000000,2,0.200000,20127.106480,20127.108042
nagoya,run1,"G,E","G,E",-,65,3354,3359,551068.399999,551069.399999,6,1.000000,20127.137553,20127.145530
nagoya,run1,"G,E","G,E",-,66,3360,3362,551070.800000,551071.199999,3,0.399999,20127.171784,20127.175095
nagoya,run1,"G,E","G,E",-,67,3368,3371,551072.399999,551073.000000,4,0.600001,104.048898,104.839772
nagoya,run1,"G,E","G,E",-,68,3374,3382,551073.600000,551075.200000,9,1.600000,113.134800,117.903271
nagoya,run1,"G,E","G,E",-,69,3393,3394,551077.399999,551077.600000,2,0.200001,133.559219,134.511447
nagoya,run1,"G,E","G,E",-,70,3399,3451,551078.600000,551089.000000,53,10.400000,192.508091,587.292189
nagoya,run1,"G,E","G,E",-,71,3453,3453,551089.399999,551089.399999,1,0.000000,379.152433,379.152433
nagoya,run1,"G,E","G,E",-,72,3458,3466,551090.399999,551092.000000,9,1.600001,254.083024,295.101570
nagoya,run1,"G,E","G,E",-,73,3479,3479,551094.600000,551094.600000,1,0.000000,229.985734,229.985734
nagoya,run1,"G,E","G,E",-,74,3515,3515,551101.800000,551101.800000,1,0.000000,119.656504,119.656504
nagoya,run1,"G,E","G,E",-,75,3517,3519,551102.200000,551102.600000,3,0.400000,283.989815,286.111378
nagoya,run1,"G,E","G,E",-,76,4273,4273,551253.399999,551253.399999,1,0.000000,105.127933,105.127933
nagoya,run1,"G,E","G,E",-,77,4277,4278,551254.200000,551254.399999,2,0.199999,104.900191,105.481074
nagoya,run1,"G,E","G,E",-,78,4280,4280,551254.799999,551254.799999,1,0.000000,104.490332,104.490332
nagoya,run1,"G,E","G,E",-,79,4405,4411,551279.799999,551281.000000,7,1.200001,104.543448,106.159454
nagoya,run1,"G,E","G,E",-,80,4609,4610,551320.600000,551320.799999,2,0.199999,20128.568749,20128.568762
nagoya,run1,"G,E","G,E",-,81,4619,4629,551322.600000,551324.600000,11,2.000000,3769.764370,20128.569225
nagoya,run1,"G,E","G,E",-,82,4630,4634,551329.000000,551329.799999,5,0.799999,12118.051151,20128.559188
nagoya,run1,"G,E","G,E",-,83,4635,4642,551331.000000,551332.399999,8,1.399999,10144.329666,20128.543034
nagoya,run1,"G,E","G,E",-,84,4644,4646,551332.799999,551333.200000,3,0.400001,13467.868918,20128.521976
nagoya,run1,"G,E","G,E",-,85,4653,4653,551334.600000,551334.600000,1,0.000000,101.448222,101.448222
nagoya,run1,"G,E","G,E",-,86,4663,4676,551336.600000,551339.200000,14,2.600000,113.865169,115.818522
nagoya,run1,"G,E","G,E",-,87,4678,4678,551339.600000,551339.600000,1,0.000000,100.511088,100.511088
nagoya,run2,"G,E","G,E",-,0,1245,1245,555969.000000,555969.000000,1,0.000000,100.256676,100.256676
nagoya,run2,"G,E","G,E",-,1,1247,1248,555969.400000,555969.599999,2,0.199999,20126.058646,20126.058927
nagoya,run2,"G,E","G,E",-,2,1249,1253,555974.400000,555975.199999,5,0.799999,12175.083270,20126.075694
nagoya,run2,"G,E","G,E",-,3,1978,1985,556120.600000,556122.000000,8,1.400000,117.367084,124.272625
nagoya,run2,"G,E","G,E",-,4,1993,1993,556123.600000,556123.600000,1,0.000000,113.778298,113.778298
