city,run,config,systems,weight_scale,epoch_index,gps_tow,n_sat,error_2d,error_3d,est_x,est_y,est_z
nagoya,run1,"G,E","G,E",-,0,550380.000000,12,36.060022,55.274657,-3810285.119570,3567860.585074,3652924.865755
nagoya,run1,"G,E","G,E",-,1,550380.200000,12,35.756550,55.376382,-3810285.212837,3567861.055668,3652924.994281
nagoya,run1,"G,E","G,E",-,2,550380.400000,12,35.407068,55.373295,-3810285.265402,3567861.515575,3652924.995504
nagoya,run1,"G,E","G,E",-,3,550380.600000,12,35.519959,55.327821,-3810285.185671,3567861.327691,3652924.993985
nagoya,run1,"G,E","G,E",-,4,550380.800000,12,35.352902,55.448083,-3810285.254146,3567861.624725,3652925.148022
nagoya,run1,"G,E","G,E",-,5,550381.000000,12,35.195242,55.567952,-3810285.339789,3567861.912131,3652925.275311
nagoya,run1,"G,E","G,E",-,6,550381.199999,12,34.851180,55.733459,-3810285.499559,3567862.477213,3652925.415128
nagoya,run1,"G,E","G,E",-,7,550381.399999,12,34.862604,55.729413,-3810285.470722,3567862.454310,3652925.442323
nagoya,run1,"G,E","G,E",-,8,550381.600000,12,34.873519,55.714051,-3810285.452043,3567862.427948,3652925.437854
nagoya,run1,"G,E","G,E",-,9,550381.800000,12,34.936761,55.602584,-3810285.372253,3567862.268576,3652925.338258
nagoya,run1,"G,E","G,E",-,10,550382.000000,12,35.045901,55.497827,-3810285.276032,3567862.050538,3652925.261605
nagoya,run1,"G,E","G,E",-,11,550382.200000,12,35.322996,55.427148,-3810285.171636,3567861.634119,3652925.220178
nagoya,run1,"G,E","G,E",-,12,550382.399999,12,35.998342,55.035454,-3810284.777938,3567860.457222,3652924.887618
nagoya,run1,"G,E","G,E",-,13,550382.600000,12,35.443841,55.402374,-3810285.146397,3567861.459616,3652925.185652
nagoya,run1,"G,E","G,E",-,14,550382.799999,12,35.714023,55.152999,-3810284.952815,3567860.929226,3652924.940490
nagoya,run1,"G,E","G,E",-,15,550383.000000,12,35.886672,55.189234,-3810284.962354,3567860.728383,3652924.952495
nagoya,run1,"G,E","G,E",-,16,550383.200000,12,36.160352,54.997874,-3810284.813081,3567860.231622,3652924.739294
nagoya,run1,"G,E","G,E",-,17,550383.399999,12,35.674787,55.295182,-3810285.065408,3567861.084347,3652925.054587
nagoya,run1,"G,E","G,E",-,18,550383.600000,12,35.659549,55.386823,-3810285.152654,3567861.174229,3652925.107392
nagoya,run1,"G,E","G,E",-,19,550383.799999,12,35.638943,55.444326,-3810285.163853,3567861.235851,3652925.196478
nagoya,run1,"G,E","G,E",-,20,550384.000000,12,35.731787,55.346083,-3810285.060917,3567861.038917,3652925.135395
nagoya,run1,"G,E","G,E",-,21,550384.200000,13,28.847942,44.917409,-3810280.152535,3567863.467750,3652914.257180
nagoya,run1,"G,E","G,E",-,22,550384.400000,13,28.412196,44.350664,-3810279.898271,3567863.733343,3652913.612850
nagoya,run1,"G,E","G,E",-,23,550384.599999,14,43.209449,43.209879,-3810265.184148,3567831.759791,3652901.083657
nagoya,run1,"G,E","G,E",-,24,550384.799999,14,42.720582,42.730247,-3810265.478830,3567832.594572,3652901.211555
nagoya,run1,"G,E","G,E",-,25,550385.000000,14,42.783690,42.789768,-3810265.389032,3567832.435074,3652901.133675
nagoya,run1,"G,E","G,E",-,26,550385.200000,14,42.381058,42.412474,-3810265.769699,3567833.286665,3652901.494744
nagoya,run1,"G,E","G,E",-,27,550385.400000,13,27.743148,43.716095,-3810279.672760,3567864.318671,3652912.809897
nagoya,run1,"G,E","G,E",-,28,550385.599999,13,28.392691,43.648556,-3810279.496992,3567863.333783,3652912.848657
nagoya,run1,"G,E","G,E",-,29,550385.799999,13,27.948626,44.042884,-3810279.788417,3567864.197470,3652913.248877
nagoya,run1,"G,E","G,E",-,30,550386.000000,13,28.115770,44.043182,-3810279.756973,3567863.958183,3652913.274797
nagoya,run1,"G,E","G,E",-,31,550386.200000,12,36.086001,55.063202,-3810284.841603,3567860.372131,3652924.836111
nagoya,run1,"G,E","G,E",-,32,550386.400000,12,35.912302,55.010073,-3810284.833197,3567860.565575,3652924.795988
nagoya,run1,"G,E","G,E",-,33,550386.599999,12,35.335413,55.268737,-3810285.071243,3567861.507817,3652925.071543
nagoya,run1,"G,E","G,E",-,34,550386.799999,12,34.977703,55.296049,-3810285.128758,3567861.993968,3652925.113564
nagoya,run1,"G,E","G,E",-,35,550387.000000,12,35.710099,54.824214,-3810284.705294,3567860.694873,3652924.679385
nagoya,run1,"G,E","G,E",-,36,550387.200000,12,36.326056,54.594628,-3810284.426809,3567859.701224,3652924.466817
nagoya,run1,"G,E","G,E",-,37,550387.400000,12,35.524967,55.104391,-3810284.910236,3567861.137008,3652924.950325
nagoya,run1,"G,E","G,E",-,38,550387.599999,12,35.317393,55.298775,-3810285.135420,3567861.561347,3652925.046910
nagoya,run1,"G,E","G,E",-,39,550387.799999,12,35.300708,55.255664,-3810285.108091,3567861.552769,3652925.010312
nagoya,run1,"G,E","G,E",-,40,550388.000000,12,35.182149,55.476115,-3810285.277759,3567861.864413,3652925.198355
nagoya,run1,"G,E","G,E",-,41,550388.199999,13,27.420215,44.366984,-3810280.154633,3567865.200142,3652913.355663
nagoya,run1,"G,E","G,E",-,42,550388.400000,13,27.373200,44.282227,-3810280.114524,3567865.217692,3652913.257169
nagoya,run1,"G,E","G,E",-,43,550388.599999,13,27.901665,44.051243,-3810279.908901,3567864.337178,3652913.074116
nagoya,run1,"G,E","G,E",-,44,550388.800000,13,27.548576,44.345510,-3810280.152967,3567865.025526,3652913.303348
