epoch,gps_tow,sat_id,system_id,weight,los_gt,los_wls,los_pf,los_pf3d_bvh,residual_truth_ref,residual_wls,residual_pf,residual_pf3d_bvh
0,555916.600000,G10,0,46.250000,True,True,True,True,37.354222,5.918691,3.221180,13.307173
0,555916.600000,G12,0,46.594000,True,True,True,True,5.418819,29.135501,28.775050,39.050969
0,555916.600000,G15,0,42.688000,True,True,True,True,-63.225306,-22.809448,-21.992250,-11.807637
0,555916.600000,G23,0,48.031000,True,True,True,True,-8.780284,-32.622695,-34.196278,-23.773637
0,555916.600000,G24,0,44.406000,True,True,True,True,-45.575700,2.795184,1.095399,10.775333
0,555916.600000,G25,0,44.375000,True,True,True,True,43.172827,13.682878,14.037508,24.804398
0,555916.600000,G32,0,19.656000,True,True,True,True,63.523140,9.056302,6.547741,16.648693
1,555916.800000,G10,0,43.969000,True,True,True,True,35.914209,12.322675,8.733415,18.886816
1,555916.800000,G12,0,46.438000,True,True,True,True,4.068953,24.969102,28.253552,38.399219
1,555916.800000,G15,0,42.969000,True,True,True,True,-64.680734,-20.550207,-24.113653,-14.366140
1,555916.800000,G23,0,47.969000,True,True,True,True,-10.194511,-33.995866,-30.664138,-20.260019
1,555916.800000,G24,0,44.531000,True,True,True,True,-46.939490,2.819678,0.510646,10.301953
1,555916.800000,G25,0,44.375000,True,True,True,True,41.732418,15.623276,16.534017,26.838469
1,555916.800000,G28,0,20.125000,True,True,True,True,86.390433,-0.318372,-13.035775,-2.907618
2,555917.000000,G10,0,44.500000,True,True,True,True,36.020514,12.203096,9.145782,20.363551
2,555917.000000,G12,0,46.563000,True,True,True,True,4.246124,24.988645,27.423133,39.775238
2,555917.000000,G15,0,43.406000,True,True,True,True,-64.520839,-20.419729,-25.207068,-12.391607
2,555917.000000,G23,0,48.000000,True,True,True,True,-10.055270,-34.086783,-30.447264,-18.883553
2,555917.000000,G24,0,46.000000,True,True,True,True,-46.835232,2.748176,-0.975739,11.313174
2,555917.000000,G25,0,44.313000,True,True,True,True,41.907603,15.698271,17.059910,29.032679
2,555917.000000,G28,0,20.594000,True,True,True,True,86.432379,-0.297817,-10.537738,0.411716
3,555917.199999,G10,0,46.313000,True,True,True,True,35.800020,11.548951,10.321997,19.348866
3,555917.199999,G12,0,46.313000,True,True,True,True,4.093467,24.671055,28.780814,38.529381
3,555917.199999,G15,0,43.000000,True,True,True,True,-64.684824,-20.130170,-23.791121,-13.041614
3,555917.199999,G23,0,46.031000,True,True,True,True,-10.228057,-34.824223,-28.771893,-19.801633
3,555917.199999,G24,0,46.813000,True,True,True,True,-47.020357,2.548236,-0.738832,9.157331
3,555917.199999,G25,0,44.094000,True,True,True,True,41.713428,15.378811,19.571133,29.301171
3,555917.199999,G28,0,20.469000,True,True,True,True,86.302218,-0.306310,-7.111570,2.675066
4,555917.399999,G10,0,46.906000,True,True,True,True,35.345984,11.467392,8.989702,19.578983
4,555917.399999,G12,0,44.469000,True,True,True,True,3.660354,24.611394,27.225327,38.389436
4,555917.399999,G15,0,41.531000,True,True,True,True,-65.014805,-20.175590,-24.693789,-11.455999
4,555917.399999,G23,0,45.188000,True,True,True,True,-10.643916,-34.791151,-30.242105,-20.415676
4,555917.399999,G24,0,47.031000,True,True,True,True,-47.401931,2.407036,-2.450184,9.724160
4,555917.399999,G25,0,44.313000,True,True,True,True,41.261436,15.397136,18.728204,29.658378
4,555917.399999,G28,0,20.656000,True,True,True,True,85.270060,-0.860633,-7.324530,4.459309
5,555917.600000,G10,0,47.438000,True,True,True,True,35.779360,11.362239,9.716504,17.540384
5,555917.600000,G12,0,44.625000,True,True,True,True,4.204601,25.092447,28.121160,36.914596
5,555917.600000,G15,0,42.250000,True,True,True,True,-64.578610,-20.166699,-22.394515,-11.694322
5,555917.600000,G23,0,46.250000,True,True,True,True,-10.171911,-34.397481,-30.074757,-22.699348
5,555917.600000,G24,0,47.375000,True,True,True,True,-46.892610,2.428364,-1.118083,8.410395
5,555917.600000,G25,0,43.344000,True,True,True,True,41.712432,15.733228,19.894479,28.405050
5,555917.600000,G28,0,20.000000,True,True,True,True,86.375964,-0.640531,-4.127753,4.692728
6,555917.800000,G10,0,48.000000,True,True,True,True,35.761909,11.461783,9.751791,19.918798
6,555917.800000,G12,0,45.750000,True,True,True,True,4.208848,25.111432,27.662747,39.374722
6,555917.800000,G15,0,42.000000,True,True,True,True,-64.597674,-20.310601,-22.638470,-8.813429
6,555917.800000,G23,0,46.938000,True,True,True,True,-10.218730,-34.194992,-30.443670,-20.127755
6,555917.800000,G24,0,47.156000,True,True,True,True,-46.868960,2.123799,-1.307311,10.057610
6,555917.800000,G25,0,41.375000,True,True,True,True,41.764440,16.168488,19.685379,32.084932
6,555917.800000,G28,0,20.563000,True,True,True,True,85.871302,-0.488490,-4.061782,8.986248
7,555918.000000,G10,0,48.125000,True,True,True,True,36.177522,11.572483,9.894761,15.876421
7,555918.000000,G12,0,46.219000,True,True,True,True,4.627642,25.116411,26.195917,35.968652
7,555918.000000,G15,0,42.469000,True,True,True,True,-64.170813,-20.179208,-23.862115,-11.976125
7,555918.000000,G23,0,47.406000,True,True,True,True,-9.797155,-34.115426,-31.488408,-23.933675
7,555918.000000,G24,0,47.438000,True,True,True,True,-46.439849,2.031830,-1.548473,6.544408
7,555918.000000,G25,0,40.688000,True,True,True,True,42.215632,16.472207,18.076654,28.579921
7,555918.000000,G28,0,20.094000,True,True,True,True,85.604154,-0.503713,-4.788400,4.236985
8,555918.199999,G10,0,47.406000,True,True,True,True,36.339151,11.830225,11.366945,17.796327
8,555918.199999,G12,0,46.219000,True,True,True,True,4.758856,24.857472,28.128620,37.749557
8,555918.199999,G15,0,42.906000,True,True,True,True,-63.967690,-20.160602,-21.922245,-8.873436
8,555918.199999,G23,0,47.656000,True,True,True,True,-9.593923,-34.206845,-29.385522,-22.511864
