epoch,gps_tow,satellite_count,truth_x,truth_y,truth_z,truth_cb,wls_x,wls_y,wls_z,wls_cb,pf_x,pf_y,pf_z,pf_cb,pf3d_bvh_x,pf3d_bvh_y,pf3d_bvh_z,pf3d_bvh_cb
0,555916.600000,7,-3810136.390000,3567844.145000,3653021.869000,113970.429314,-3810200.535411,3567799.012412,3653075.089819,114006.918991,-3810200.742080,3567797.592921,3653072.184877,114006.519197,-3810200.699601,3567797.982779,3653071.421695,113996.144548
1,555916.800000,7,-3810135.899000,3567843.647000,3653022.862000,113963.800715,-3810178.603505,3567788.907354,3653063.731657,113977.870785,-3810194.527590,3567800.275180,3653071.424050,113994.093881,-3810194.894643,3567801.018539,3653071.523336,113984.503286
2,555917.000000,7,-3810135.408000,3567843.151000,3653023.853000,113955.641438,-3810177.977505,3567788.222677,3653064.495333,113969.648482,-3810192.262422,3567800.631526,3653070.866812,113985.162728,-3810192.969007,3567799.810570,3653070.713149,113973.239928
3,555917.199999,7,-3810134.921000,3567842.664000,3653024.832000,113947.828568,-3810176.957807,3567786.730855,3653064.781505,113961.102127,-3810191.006241,3567800.554766,3653069.838193,113974.804117,-3810190.461971,3567798.931904,3653068.762468,113963.910090
4,555917.399999,7,-3810134.435000,3567842.181000,3653025.797000,113940.241697,-3810176.511543,3567786.436895,3653065.668262,113953.212329,-3810189.158761,3567799.425650,3653069.224692,113966.565820,-3810187.336275,3567795.873302,3653067.593978,113952.446583
5,555917.600000,7,-3810133.950000,3567841.709000,3653026.752000,113931.753731,-3810176.918325,3567786.610270,3653066.877752,113945.847311,-3810186.668850,3567796.551503,3653068.248095,113954.828260,-3810185.431871,3567793.306222,3653066.720182,113943.731920
6,555917.800000,7,-3810133.470000,3567841.239000,3653027.701000,113923.734753,-3810176.268789,3567786.521701,3653067.391112,113937.661226,-3810185.306512,3567795.703096,3653068.824215,113946.266738,-3810183.701163,3567792.596524,3653065.385547,113931.545260
7,555918.000000,7,-3810132.994000,3567840.774000,3653028.644000,113915.289301,-3810175.374617,3567785.955656,3653067.836674,113929.107645,-3810183.215544,3567794.574818,3653070.337462,113938.131270,-3810183.591278,3567791.744254,3653066.133749,113927.134214
8,555918.199999,7,-3810132.526000,3567840.317000,3653029.573000,113907.078119,-3810174.182735,3567785.115505,3653068.641927,113920.481364,-3810182.791096,3567794.592292,3653070.024097,113928.025006,-3810181.226063,3567789.348999,3653065.272454,113914.623097
9,555918.399999,7,-3810132.064000,3567839.866000,3653030.484000,113899.343924,-3810173.131054,3567784.462265,3653069.659480,113912.078837,-3810181.506721,3567793.085831,3653070.211835,113921.461593,-3810181.327868,3567788.905118,3653065.783664,113907.747350
10,555918.600000,7,-3810131.612000,3567839.420000,3653031.381000,113890.740039,-3810171.884630,3567783.858250,3653070.609336,113903.477946,-3810182.634624,3567793.295652,3653071.639260,113912.786998,-3810179.660103,3567786.595142,3653067.357813,113900.102986
11,555918.800000,7,-3810131.166000,3567838.982000,3653032.263000,113882.309100,-3810170.286224,3567783.057289,3653071.237012,113894.425950,-3810182.278663,3567792.291238,3653072.850497,113905.036055,-3810176.265136,3567785.352398,3653068.081480,113887.769025
12,555919.000000,7,-3810130.732000,3567838.551000,3653033.126000,113874.149041,-3810169.849675,3567782.723028,3653072.669591,113886.459554,-3810181.286810,3567791.247434,3653073.440843,113896.547719,-3810175.494082,3567784.836168,3653067.488545,113880.087464
