method,bucket,count,mean_residual,mean_abs_residual,p05,p50,p95,positive_frac,negative_frac
truth_ref,all,602,5.547478,39.515446,-62.097040,4.808959,86.280672,0.543189,0.456811
truth_ref,los_gt,559,-1.062669,35.518220,-63.191108,0.295533,73.902527,0.508050,0.491950
truth_ref,nlos_gt,43,91.479377,91.479377,83.303166,95.495742,96.851334,1.000000,0.000000
wls,all,602,1.066445,18.442931,-33.652966,3.059961,34.462629,0.611296,0.388704
wls,los_gt,559,0.341084,19.054222,-33.826411,2.806398,34.541737,0.581395,0.418605
wls,nlos_gt,43,10.496148,10.496148,0.644525,15.735328,16.844742,1.000000,0.000000
pf,all,602,1.782626,20.715505,-35.299287,6.343136,35.101484,0.556478,0.443522
pf,los_gt,559,-0.872155,19.517100,-35.652923,1.095399,28.121906,0.522361,0.477639
pf,nlos_gt,43,36.294776,36.294776,18.070720,38.924263,58.077565,1.000000,0.000000
pf3d_bvh,all,602,11.867695,23.483171,-23.839079,13.545907,45.575114,0.661130,0.338870
pf3d_bvh,los_gt,559,9.123478,21.632452,-24.400053,10.057610,37.588262,0.635063,0.364937
pf3d_bvh,nlos_gt,43,47.542519,47.542519,28.978079,46.801661,72.796687,1.000000,0.000000
