epoch,gps_tow,sat_id,system_id,weight,los_gt,los_wls,los_pf,los_pf3d_bvh,residual_truth_ref,residual_wls,residual_pf,residual_pf3d_bvh
0,187762.600000,G05,0,43.500000,True,True,True,True,32.249103,-2.224401,-4.342715,7.116654
0,187762.600000,G06,0,44.813000,True,True,True,True,-59.413840,-31.127317,-31.045194,-19.982818
0,187762.600000,G07,0,34.875000,True,True,True,True,-22.777098,9.717566,8.821566,19.373689
0,187762.600000,G11,0,49.938000,True,True,True,True,-16.284193,-5.107350,-6.924726,4.053052
0,187762.600000,G13,0,38.875000,True,True,True,True,46.397418,30.148791,30.511580,42.406863
0,187762.600000,G19,0,21.813000,True,True,True,True,-29.719254,-34.930628,-32.793305,-20.866693
0,187762.600000,G20,0,45.688000,True,True,True,True,2.689077,-4.894869,-7.465376,3.528627
0,187762.600000,G29,0,38.813000,True,True,True,True,44.033420,-0.735921,-2.979510,8.420786
0,187762.600000,G30,0,42.750000,True,True,True,True,-2.810140,29.238088,29.489370,40.444880
1,187762.800000,G05,0,43.375000,True,True,True,True,31.650126,-2.689729,-3.790562,6.652380
1,187762.800000,G06,0,45.125000,True,True,True,True,-60.009600,-31.576013,-32.277220,-21.980496
1,187762.800000,G07,0,34.125000,True,True,True,True,-23.250517,10.589780,7.597801,17.184096
1,187762.800000,G11,0,49.875000,True,True,True,True,-16.914820,-4.975536,-6.626307,2.871019
1,187762.800000,G13,0,42.000000,True,True,True,True,45.793536,28.224706,29.826259,41.393124
1,187762.800000,G19,0,20.688000,True,True,True,True,-29.228185,-36.199264,-34.155558,-21.709548
1,187762.800000,G20,0,45.500000,True,True,True,True,2.144074,-4.451287,-6.726482,2.760314
1,187762.800000,G29,0,39.063000,True,True,True,True,43.465504,-0.953227,-2.765960,7.866539
1,187762.800000,G30,0,42.438000,True,True,True,True,-3.344753,29.019638,27.921572,38.240862
2,187763.000000,G05,0,43.313000,True,True,True,True,29.296653,-3.877970,-3.809855,6.445561
