epoch,gps_tow,satellite_count,gt_x,gt_y,gt_z,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_10k,est_x_pf_10k,est_y_pf_10k,est_z_pf_10k,error_2d_pf3d_10k,est_x_pf3d_10k,est_y_pf3d_10k,est_z_pf3d_10k,error_2d_pf3d_bvh_10k,est_x_pf3d_bvh_10k,est_y_pf3d_bvh_10k,est_z_pf3d_bvh_10k
0,187470.000000,9,-3961767.630000,3349008.712000,3698309.780000,53.852061,-3961781.538621,3348953.268437,3698311.796883,53.852061,-3961781.538621,3348953.268437,3698311.796883,54.496165,-3961781.358145,3348951.507651,3698308.569133,40.245909,-3961780.788251,3348971.104915,3698318.427694,40.245909,-3961780.788251,3348971.104915,3698318.427694
1,187470.199999,9,-3961767.630000,3349008.712000,3698309.780000,53.958920,-3961781.813853,3348953.346871,3698311.962086,53.959075,-3961781.815233,3348953.347691,3698311.962827,52.629566,-3961780.848475,3348953.453085,3698308.648864,25.746966,-3961786.147751,3349003.216259,3698342.063824,25.746966,-3961786.147751,3349003.216259,3698342.063824
2,187470.399999,8,-3961767.630000,3349008.712000,3698309.780000,47.301391,-3961808.840269,3348981.734051,3698316.197860,47.710490,-3961802.475150,3348975.705266,3698314.673490,50.727465,-3961783.254364,3348957.119172,3698308.157793,27.664980,-3961792.521494,3349002.056257,3698342.287227,27.664980,-3961792.521494,3349002.056257,3698342.287227
3,187470.600000,9,-3961767.630000,3349008.712000,3698309.780000,53.470434,-3961783.367995,3348954.899826,3698312.216942,52.802002,-3961789.128399,3348959.685716,3698314.138062,50.913968,-3961781.567254,3348955.740276,3698307.786378,31.748848,-3961794.452608,3348996.414457,3698339.914317,31.748848,-3961794.452608,3348996.414457,3698339.914317
4,187470.800000,9,-3961767.630000,3349008.712000,3698309.780000,53.576468,-3961783.549235,3348955.023973,3698312.737061,53.536743,-3961785.857384,3348956.684982,3698313.668316,52.390916,-3961783.576935,3348955.525369,3698309.084620,33.767601,-3961794.687944,3348993.304050,3698338.272452,33.767601,-3961794.687944,3348993.304050,3698338.272452
5,187471.000000,9,-3961767.630000,3349008.712000,3698309.780000,53.601183,-3961782.827554,3348954.441106,3698312.259950,53.655941,-3961784.069563,3348955.272881,3698312.879963,52.402283,-3961784.034345,3348955.966943,3698309.809510,34.116146,-3961792.985393,3348991.088025,3698335.893882,34.116146,-3961792.985393,3348991.088025,3698335.893882
6,187471.199999,9,-3961767.630000,3349008.712000,3698309.780000,53.553223,-3961782.821722,3348954.450437,3698312.102491,53.594552,-3961783.297938,3348954.753899,3698312.371671,52.156438,-3961784.027411,3348956.320759,3698310.075327,34.246247,-3961792.511350,3348990.244213,3698334.814591,34.246247,-3961792.511350,3348990.244213,3698334.814591
7,187471.399999,9,-3961767.630000,3349008.712000,3698309.780000,53.672160,-3961782.764948,3348954.283902,3698312.130926,53.662902,-3961782.921518,3348954.406000,3698312.202523,52.581936,-3961786.058788,3348957.183411,3698310.484722,34.536757,-3961791.724209,3348989.135461,3698333.848121,34.536757,-3961791.724209,3348989.135461,3698333.848121
8,187471.600000,9,-3961767.630000,3349008.712000,3698309.780000,53.700699,-3961782.776072,3348954.277836,3698312.206840,53.687698,-3961782.752624,3348954.271734,3698312.178618,52.651213,-3961784.644027,3348956.137600,3698310.188266,34.932125,-3961791.931200,3348988.291819,3698332.771731,34.932125,-3961791.931200,3348988.291819,3698332.771731
9,187471.800000,9,-3961767.630000,3349008.712000,3698309.780000,53.323647,-3961782.246219,3348954.128070,3698311.168566,53.399800,-3961782.421681,3348954.199478,3698311.383582,53.844294,-3961785.131836,3348954.918051,3698309.794523,34.609388,-3961790.888907,3348987.717882,3698331.622229,34.609388,-3961790.888907,3348987.717882,3698331.622229
