epoch,gps_tow,satellite_count,gt_x,gt_y,gt_z,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_10k,est_x_pf_10k,est_y_pf_10k,est_z_pf_10k,error_2d_pf3d_bvh_10k,est_x_pf3d_bvh_10k,est_y_pf3d_bvh_10k,est_z_pf3d_bvh_10k
0,555916.600000,7,-3810136.390000,3567844.145000,3653021.869000,84.103667,-3810200.535411,3567799.012412,3653075.089819,84.103667,-3810200.535411,3567799.012412,3653075.089819,84.431600,-3810200.742080,3567797.592921,3653072.184877,83.680521,-3810206.514810,3567803.118256,3653075.627943
1,555916.800000,7,-3810135.899000,3567843.647000,3653022.862000,78.425693,-3810178.603505,3567788.907354,3653063.731657,78.425453,-3810178.609217,3567788.912236,3653063.735546,78.597198,-3810194.527590,3567800.275180,3653071.424050,78.759448,-3810203.733250,3567807.366785,3653076.896858
2,555917.000000,7,-3810135.408000,3567843.151000,3653023.853000,78.439933,-3810177.977505,3567788.222677,3653064.495333,78.173075,-3810175.472456,3567786.646863,3653063.034654,76.573037,-3810192.262422,3567800.631526,3653070.866812,78.045180,-3810199.583845,3567804.758763,3653075.532739
3,555917.199999,7,-3810134.921000,3567842.664000,3653024.832000,78.790871,-3810176.957807,3567786.730855,3653064.781505,78.595209,-3810174.503610,3567785.123273,3653063.386530,75.222507,-3810191.006241,3567800.554766,3653069.838193,78.233532,-3810196.522836,3567801.944982,3653074.828722
4,555917.399999,7,-3810134.435000,3567842.181000,3653025.797000,78.620233,-3810176.511543,3567786.436895,3653065.668262,78.599871,-3810174.166191,3567784.673616,3653064.281748,74.617839,-3810189.158761,3567799.425650,3653069.224692,77.794118,-3810192.157881,3567799.198319,3653074.140701
5,555917.600000,7,-3810133.950000,3567841.709000,3653026.752000,78.546462,-3810176.918325,3567786.610270,3653066.877752,78.560962,-3810174.553884,3567784.787959,3653065.483815,75.052390,-3810186.668850,3567796.551503,3653068.248095,76.869273,-3810188.150617,3567796.870214,3653072.484894
6,555917.800000,7,-3810133.470000,3567841.239000,3653027.701000,77.995642,-3810176.268789,3567786.521701,3653067.391112,78.108245,-3810174.472658,3567785.032169,3653066.374241,74.837244,-3810185.306512,3567795.703096,3653068.824215,76.357087,-3810186.595783,3567796.046774,3653072.479151
7,555918.000000,7,-3810132.994000,3567840.774000,3653028.644000,77.719363,-3810175.374617,3567785.955656,3653067.836674,77.770122,-3810174.037723,3567784.889642,3653067.087718,74.843426,-3810183.215544,3567794.574818,3653070.337462,75.709702,-3810186.171855,3567795.880172,3653072.169962
8,555918.199999,7,-3810132.526000,3567840.317000,3653029.573000,77.692613,-3810174.182735,3567785.115505,3653068.641927,77.658943,-3810173.221134,3567784.385663,3653067.996458,74.053872,-3810182.791096,3567794.592292,3653070.024097,75.220346,-3810183.477196,3567794.153372,3653071.501344
9,555918.399999,7,-3810132.064000,3567839.866000,3653030.484000,77.661005,-3810173.131054,3567784.462265,3653069.659480,77.617544,-3810172.318416,3567783.837163,3653069.054607,74.313156,-3810181.506721,3567793.085831,3653070.211835,74.624757,-3810180.648274,3567791.647035,3653068.734927
10,555918.600000,7,-3810131.612000,3567839.420000,3653031.381000,77.492884,-3810171.884630,3567783.858250,3653070.609336,77.465186,-3810171.212001,3567783.318187,3653070.079763,74.667963,-3810182.634624,3567793.295652,3653071.639260,75.226600,-3810178.849234,3567789.322200,3653068.610643
11,555918.800000,7,-3810131.166000,3567838.982000,3653032.263000,77.236419,-3810170.286224,3567783.057289,3653071.237012,77.229907,-3810169.865353,3567782.707228,3653070.906490,75.284524,-3810182.278663,3567792.291238,3653072.850497,74.271072,-3810177.758568,3567789.312297,3653068.556904
