epoch,gps_tow,satellite_count,gt_x,gt_y,gt_z,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_10k,est_x_pf_10k,est_y_pf_10k,est_z_pf_10k,error_2d_pf3d_bvh_10k,est_x_pf3d_bvh_10k,est_y_pf3d_bvh_10k,est_z_pf3d_bvh_10k
0,553847.000000,8,-3811517.453000,3566752.238000,3652663.939000,66.837046,-3811564.154164,3566704.960810,3652674.216791,66.837046,-3811564.154164,3566704.960810,3652674.216791,66.650052,-3811563.430689,3566704.216257,3652670.310744,67.091082,-3811564.641254,3566704.677562,3652670.260318
1,553847.200000,8,-3811518.855000,3566750.750000,3652663.978000,67.258955,-3811565.871704,3566703.059476,3652673.120091,67.258890,-3811565.872043,3566703.059888,3652673.120510,61.216556,-3811562.079406,3566707.638144,3652671.565062,63.380866,-3811563.275809,3566705.833392,3652671.846556
2,553847.399999,7,-3811520.258000,3566749.251000,3652663.998000,69.376059,-3811587.231616,3566719.722163,3652663.737201,68.879037,-3811584.292400,3566716.732728,3652664.487403,62.735555,-3811566.290072,3566706.409726,3652666.446082,63.230335,-3811567.041263,3566706.433411,3652667.835139
3,553847.600000,8,-3811521.675000,3566747.744000,3652664.031000,67.639815,-3811572.414559,3566702.600363,3652669.722437,67.514805,-3811576.581119,3566706.734507,3652669.190789,62.834262,-3811567.443438,3566704.521195,3652666.120091,62.948031,-3811568.622323,3566705.502310,3652665.596918
4,553847.799999,8,-3811523.098000,3566746.229000,3652664.062000,70.428449,-3811563.562010,3566688.402406,3652667.860927,69.621328,-3811568.362333,3566693.577254,3652669.198573,61.323060,-3811566.738414,3566703.089378,3652666.775319,63.519813,-3811569.765969,3566702.922045,3652668.713646
5,553848.000000,8,-3811524.524000,3566744.706000,3652664.090000,69.381088,-3811565.966130,3566689.101557,3652668.445993,69.465921,-3811566.608299,3566689.521257,3652668.470881,60.754479,-3811566.460728,3566700.809318,3652667.501163,62.573857,-3811569.281936,3566700.924889,3652668.185768
6,553848.200000,8,-3811525.958000,3566743.176000,3652664.120000,68.057986,-3811568.744913,3566690.543979,3652669.726871,68.318312,-3811567.693742,3566689.221009,3652668.708204,58.718955,-3811565.187325,3566699.568951,3652666.922360,64.295089,-3811573.863150,3566699.960597,3652669.239653
7,553848.399999,8,-3811527.398000,3566741.637000,3652664.144000,67.973232,-3811572.708891,3566691.106944,3652668.032840,68.081633,-3811571.078556,3566689.502624,3652667.387003,57.171403,-3811566.079793,3566699.575098,3652666.027107,61.926606,-3811573.299781,3566699.789550,3652668.807009
8,553848.600000,8,-3811528.848000,3566740.088000,3652664.173000,68.366836,-3811573.980098,3566688.868038,3652667.895595,68.333957,-3811573.168048,3566688.157905,3652667.202765,55.711479,-3811566.403643,3566698.955024,3652665.372323,61.269509,-3811573.752369,3566698.217156,3652668.776762
9,553848.799999,8,-3811530.307000,3566738.533000,3652664.201000,68.503096,-3811574.542856,3566686.338804,3652667.690512,68.468546,-3811574.270008,3566686.113908,3652667.221135,55.287933,-3811568.857538,3566698.898860,3652666.104238,60.549919,-3811574.683151,3566697.151109,3652668.665068
10,553849.000000,8,-3811531.772000,3566736.974000,3652664.235000,68.651785,-3811574.670901,3566683.454040,3652667.866882,68.596658,-3811574.723406,3566683.537730,3652667.501172,55.124938,-3811570.945946,3566698.135771,3652665.875739,59.544803,-3811576.129735,3566696.975439,3652670.144995
11,553849.200000,8,-3811533.243000,3566735.406000,3652664.267000,68.496226,-3811576.046634,3566682.042178,3652668.237989,68.496826,-3811575.731158,3566681.726324,3652667.727894,54.947196,-3811571.111598,3566695.589892,3652664.337947,58.228169,-3811577.672696,3566697.281451,3652671.183341
12,553849.399999,8,-3811534.719000,3566733.832000,3652664.297000,68.506984,-3811578.383217,3566681.234299,3652668.837549,68.500450,-3811577.616399,3566680.522974,3652668.073083,53.383337,-3811570.554735,3566694.259561,3652662.943927,57.629779,-3811577.638448,3566695.152557,3652671.019480
13,553849.600000,8,-3811536.204000,3566732.253000,3652664.332000,68.521935,-3811580.370661,3566680.098604,3652669.280459,68.515333,-3811579.604979,3566679.387969,3652668.511882,51.913492,-3811570.999992,3566693.716700,3652663.390140,56.497000,-3811577.401713,3566693.593897,3652671.422105
14,553849.799999,8,-3811537.696000,3566730.666000,3652664.373000,68.636240,-3811582.289367,3566678.758591,3652669.708914,68.618921,-3811581.606770,3566678.137834,3652668.999974,52.058377,-3811572.008005,3566691.477674,3652663.234742,55.617854,-3811579.285692,3566693.515277,3652671.407964
15,553850.000000,8,-3811539.195000,3566729.063000,3652664.408000,68.464871,-3811583.901122,3566677.528160,3652670.291946,68.482636,-3811583.329767,3566676.957185,3652669.607291,51.662653,-3811572.431046,3566689.419009,3652663.444672,54.416958,-3811580.052030,3566692.978357,3652673.039734
16,553850.200000,8,-3811540.697000,3566727.452000,3652664.435000,68.120846,-3811585.364999,3566676.393943,3652670.898278,68.168104,-3811584.870498,3566675.851634,3652670.248082,50.862120,-3811573.681547,3566688.662235,3652663.254649,53.709929,-3811580.340301,3566691.225057,3652672.630254
17,553850.399999,7,-3811542.209000,3566725.843000,3652664.475000,57.100878,-3811601.415405,3566706.143355,3652704.915163,62.197358,-3811589.200917,3566685.872644,3652682.332897,50.034706,-3811575.069299,3566688.077376,3652664.229005,51.952095,-3811581.711581,3566691.852742,3652673.139418
18,553850.600000,8,-3811543.728000,3566724.229000,3652664.524000,67.519292,-3811589.229672,3566674.851707,3652672.862996,66.792525,-3811591.248909,3566677.874689,3652676.398153,48.946171,-3811576.631488,3566687.989081,3652664.673854,51.012117,-3811582.600571,3566690.889252,3652672.531953
19,553850.799999,8,-3811545.251000,3566722.600000,3652664.566000,67.385364,-3811591.052425,3566673.705063,3652673.436598,67.286157,-3811592.050810,3566674.814767,3652674.799044,48.529846,-3811577.974601,3566686.780795,3652665.720425,50.229431,-3811582.593408,3566688.954166,3652672.283486
20,553851.000000,8,-3811546.777000,3566720.966000,3652664.604000,67.261758,-3811592.812210,3566672.462168,3652673.800169,67.256276,-3811593.173568,3566672.823012,3652674.283679,48.166902,-3811580.516151,3566686.608817,3652667.412453,50.148553,-3811584.581028,3566687.827770,3652672.371677
21,553851.200000,8,-3811548.311000,3566719.323000,3652664.648000,67.293196,-3811594.027283,3566670.466258,3652673.417748,67.278135,-3811594.345448,3566670.796148,3652673.834808,46.957406,-3811581.589659,3566686.186237,3652667.643258,49.496529,-3811585.444674,3566686.482674,3652672.577715
22,553851.399999,8,-3811549.850000,3566717.674000,3652664.693000,67.754358,-3811595.281263,3566667.892601,3652672.677858,67.677056,-3811595.653230,3566668.359063,3652673.195535,45.585784,-3811582.234778,3566685.587446,3652667.920378,48.754115,-3811586.642019,3566685.509389,3652672.483927
23,553851.600000,8,-3811551.395000,3566716.012000,3652664.731000,68.015686,-3811596.841867,3566665.859524,3652672.319522,67.963967,-3811597.068791,3566666.154292,3652672.676868,43.871120,-3811582.846669,3566685.385917,3652667.747950,48.573397,-3811588.512343,3566684.404815,3652673.016074
24,553851.799999,8,-3811552.945000,3566714.345000,3652664.767000,67.983892,-3811598.691320,3566664.530090,3652672.791381,67.972158,-3811598.610452,3566664.470052,3652672.716353,42.842851,-3811583.713844,3566684.484183,3652667.656656,47.816619,-3811588.667542,3566682.525029,3652672.820143
25,553852.000000,8,-3811554.505000,3566712.679000,3652664.818000,68.301496,-3811600.893918,3566663.018842,3652673.165240,68.246932,-3811600.602200,3566662.820775,3652672.918131,41.754341,-3811584.786949,3566683.838585,3652667.327828,46.392129,-3811589.107751,3566681.805218,3652673.099930
26,553852.200000,8,-3811556.068000,3566711.005000,3652664.866000,68.394861,-3811603.095218,3566661.734916,3652672.999789,68.385371,-3811602.752877,3566661.443695,3652672.838119,40.030477,-3811585.126631,3566683.393145,3652667.834311,45.898903,-3811589.008960,3566679.403453,3652673.186023
27,553852.399999,8,-3811557.637000,3566709.321000,3652664.911000,68.464650,-3811604.820678,3566660.054528,3652672.657256,68.459517,-3811604.651246,3566659.916289,3652672.639629,38.324781,-3811586.093616,3566683.474597,3652668.128538,45.125985,-3811589.656319,3566677.962763,3652673.162801
28,553852.600000,8,-3811559.214000,3566707.632000,3652664.961000,68.584441,-3811605.709420,3566657.591872,3652672.336029,68.551727,-3811605.919378,3566657.827695,3652672.501636,37.861352,-3811587.256593,3566682.053338,3652668.723862,44.742782,-3811589.991537,3566675.777535,3652673.239643
29,553852.799999,8,-3811560.798000,3566705.934000,3652665.013000,68.616856,-3811606.595417,3566655.283718,3652672.556904,68.578061,-3811606.892869,3566655.592181,3652672.648287,36.525194,-3811588.519692,3566681.880264,3652669.195012,44.358277,-3811591.660449,3566674.550361,3652672.638966
30,553853.000000,8,-3811562.385000,3566704.228000,3652665.058000,68.753518,-3811607.948466,3566653.178953,3652672.363074,68.712292,-3811608.152109,3566653.419188,3652672.520625,35.814515,-3811589.698247,3566680.762349,3652669.216810,43.131168,-3811593.723606,3566674.755743,3652672.051816
31,553853.200000,8,-3811563.973000,3566702.511000,3652665.093000,68.572878,-3811609.599187,3566651.771672,3652672.600376,68.584354,-3811609.579892,3566651.736227,3652672.559354,35.466749,-3811591.627007,3566679.850686,3652670.066373,42.462474,-3811594.650832,3566673.336703,3652671.855322
32,553853.399999,8,-3811565.567000,3566700.794000,3652665.133000,68.340838,-3811611.557252,3566650.701804,3652673.024509,68.374291,-3811611.298990,3566650.416382,3652672.774690,35.527371,-3811593.655400,3566678.461028,3652670.577313,41.692278,-3811597.153392,3566673.379631,3652671.593778
33,553853.600000,7,-3811567.166000,3566699.077000,3652665.170000,55.458674,-3811627.848746,3566682.824659,3652707.177981,61.530121,-3811615.396197,3566661.133440,3652684.333069,34.694431,-3811595.548961,3566678.359112,3652674.039491,40.201041,-3811599.460915,3566674.323806,3652672.575533
34,553853.799999,8,-3811568.772000,3566697.362000,3652665.212000,67.794873,-3811615.765489,3566648.956848,3652674.402874,66.863540,-3811617.846598,3566652.306365,3652678.074923,33.917964,-3811596.395385,3566677.068737,3652674.438104,39.185375,-3811601.499631,3566674.355900,3652672.697474
35,553854.000000,8,-3811570.383000,3566695.647000,3652665.256000,67.652181,-3811617.189733,3566647.244621,3652674.183488,67.494868,-3811618.506376,3566648.734055,3652675.937692,34.189309,-3811598.683864,3566675.705173,3652675.663221,38.687441,-3811603.665449,3566673.814312,3652672.639285
36,553854.200000,8,-3811571.997000,3566693.927000,3652665.299000,67.444128,-3811619.020644,3566646.098965,3652675.346479,67.413169,-3811619.476045,3566646.560949,3652675.746781,33.520619,-3811599.990126,3566674.738820,3652676.644884,38.023213,-3811606.020293,3566673.690823,3652672.828555
37,553854.399999,8,-3811573.611000,3566692.205000,3652665.335000,67.715650,-3811620.297291,3566643.681203,3652674.823765,67.643024,-3811620.717703,3566644.178110,3652675.308022,33.448170,-3811601.740412,3566673.518916,3652678.424123,36.301866,-3811606.204398,3566672.988762,3652672.546691
