epoch,gps_tow,satellite_count,gt_x,gt_y,gt_z,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_10k,est_x_pf_10k,est_y_pf_10k,est_z_pf_10k,error_2d_pf3d_bvh_10k,est_x_pf3d_bvh_10k,est_y_pf3d_bvh_10k,est_z_pf3d_bvh_10k
0,187790.000000,10,-3961116.317000,3348906.043000,3699102.981000,58.766555,-3961140.744639,3348850.579939,3699101.320143,58.766555,-3961140.744639,3348850.579939,3699101.320143,59.584108,-3961141.476028,3348849.683443,3699098.021656,59.584108,-3961141.476028,3348849.683443,3699098.021656
1,187790.200000,10,-3961114.945000,3348907.195000,3699103.340000,58.357374,-3961140.541146,3348853.015005,3699101.233591,58.357501,-3961140.541792,3348853.015373,3699101.234032,58.370946,-3961139.611256,3348852.084307,3699099.289974,58.370946,-3961139.611256,3348852.084307,3699099.289974
2,187790.399999,10,-3961113.558000,3348908.367000,3699103.706000,58.976920,-3961137.795397,3348852.384851,3699101.182108,58.919668,-3961138.106650,3348852.690855,3699101.273287,59.427874,-3961139.341897,3348852.829578,3699100.247812,59.427874,-3961139.341897,3348852.829578,3699100.247812
3,187790.600000,10,-3961112.153000,3348909.552000,3699104.079000,57.002639,-3961134.332239,3348854.640197,3699102.128476,57.200519,-3961134.610028,3348854.584938,3699102.095305,59.592927,-3961136.836144,3348853.107879,3699101.420476,59.592927,-3961136.836144,3348853.107879,3699101.420476
4,187790.799999,10,-3961110.731000,3348910.748000,3699104.452000,57.811611,-3961133.245165,3348854.978719,3699101.888094,57.685612,-3961133.155349,3348855.076985,3699101.927805,60.323229,-3961137.312903,3348854.793885,3699101.958212,60.323229,-3961137.312903,3348854.793885,3699101.958212
5,187791.000000,10,-3961109.288000,3348911.958000,3699104.824000,57.263049,-3961132.184751,3348857.027069,3699101.503447,57.289245,-3961131.946581,3348856.824058,3699101.502011,60.727875,-3961135.954566,3348855.490368,3699101.724258,60.727875,-3961135.954566,3348855.490368,3699101.724258
6,187791.200000,10,-3961107.826000,3348913.176000,3699105.191000,57.580511,-3961131.542215,3348858.451137,3699101.940925,57.489135,-3961131.163661,3348858.266865,3699101.756733,61.982521,-3961135.888635,3348856.294393,3699103.148849,61.982521,-3961135.888635,3348856.294393,3699103.148849
7,187791.399999,10,-3961106.347000,3348914.410000,3699105.562000,58.064658,-3961130.942558,3348859.805802,3699102.969700,57.932380,-3961130.510360,3348859.616119,3699102.652247,63.471380,-3961135.952756,3348856.944645,3699104.683704,63.471380,-3961135.952756,3348856.944645,3699104.683704
8,187791.600000,10,-3961104.850000,3348915.658000,3699105.938000,58.296944,-3961129.726369,3348861.011119,3699103.670947,58.217538,-3961129.484886,3348860.907535,3699103.459919,64.305596,-3961135.307538,3348857.749995,3699104.825493,64.305596,-3961135.307538,3348857.749995,3699104.825493
9,187791.799999,10,-3961103.334000,3348916.920000,3699106.316000,58.183381,-3961128.951062,3348863.090082,3699105.117885,58.147994,-3961128.551913,3348862.796906,3699104.746063,64.596329,-3961135.090987,3348859.515571,3699104.193075,64.596329,-3961135.090987,3348859.515571,3699104.193075
10,187792.000000,10,-3961101.800000,3348918.193000,3699106.699000,58.882900,-3961129.865991,3348865.370821,3699106.295004,58.732889,-3961129.019783,3348864.879959,3699105.808299,65.419596,-3961135.334975,3348861.126393,3699104.757731,65.419596,-3961135.334975,3348861.126393,3699104.757731
11,187792.200000,10,-3961100.251000,3348919.483000,3699107.083000,58.737959,-3961130.094235,3348868.186848,3699106.941429,58.730759,-3961129.332733,3348867.587681,3699106.566065,67.058780,-3961136.323772,3348862.318398,3699105.202625,67.058780,-3961136.323772,3348862.318398,3699105.202625
12,187792.399999,10,-3961098.679000,3348920.780000,3699107.465000,59.881064,-3961130.311829,3348869.574203,3699109.083521,59.677702,-3961129.615674,3348869.247493,3699108.498492,68.015900,-3961137.040568,3348864.203173,3699105.269893,68.015900,-3961137.040568,3348864.203173,3699105.269893
13,187792.600000,9,-3961097.086000,3348922.091000,3699107.850000,56.040197,-3961115.107142,3348866.463069,3699109.871027,57.059188,-3961120.290461,3348868.811737,3699111.290652,69.452420,-3961136.374301,3348864.478586,3699107.059922,69.452420,-3961136.374301,3348864.478586,3699107.059922
14,187792.799999,9,-3961095.474000,3348923.415000,3699108.240000,56.037855,-3961113.542415,3348867.883541,3699110.516956,56.395892,-3961115.588679,3348868.935167,3699111.442416,70.146433,-3961134.677259,3348864.850887,3699107.489817,70.146433,-3961134.677259,3348864.850887,3699107.489817
15,187793.000000,9,-3961093.844000,3348924.758000,3699108.635000,54.909678,-3961110.045872,3348869.483601,3699111.002196,55.278478,-3961111.408405,3348870.021429,3699111.638760,71.579932,-3961134.448216,3348865.529980,3699108.854914,71.579932,-3961134.448216,3348865.529980,3699108.854914
16,187793.200000,10,-3961092.190000,3348926.113000,3699109.039000,59.890661,-3961122.786633,3348874.827725,3699115.274475,58.981840,-3961118.956857,3348873.015198,3699113.383551,73.007470,-3961133.744722,3348865.861578,3699109.977764,73.007470,-3961133.744722,3348865.861578,3699109.977764
