epoch,gps_tow,satellite_count,gt_x,gt_y,gt_z,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_10k,est_x_pf_10k,est_y_pf_10k,est_z_pf_10k,error_2d_pf3d_bvh_10k,est_x_pf3d_bvh_10k,est_y_pf3d_bvh_10k,est_z_pf3d_bvh_10k
0,177161.600000,9,-3961619.844000,3349310.527000,3698202.506000,55.569669,-3961673.682734,3349283.550816,3698213.578678,55.569669,-3961673.682734,3349283.550816,3698213.578678,55.867012,-3961674.235702,3349284.078575,3698210.410194,55.423096,-3961673.646923,3349284.226608,3698209.777907
1,177161.799999,9,-3961619.661000,3349311.248000,3698201.978000,55.448659,-3961673.548792,3349284.338146,3698214.794485,55.448761,-3961673.549208,3349284.338354,3698214.794966,53.193980,-3961671.576265,3349285.840651,3698212.023941,53.271560,-3961671.669543,3349285.815394,3698212.081902
2,177162.000000,10,-3961619.472000,3349312.003000,3698201.425000,56.055119,-3961673.453975,3349284.331775,3698214.698730,56.013689,-3961673.474051,3349284.400261,3698214.793952,53.673373,-3961669.839317,3349284.427337,3698212.288087,53.552300,-3961671.185318,3349285.869964,3698211.850203
3,177162.200000,9,-3961619.272000,3349312.794000,3698200.847000,56.867573,-3961673.262306,3349283.990251,3698215.538881,56.815303,-3961673.293718,3349284.087869,3698215.494990,52.841775,-3961667.943526,3349284.827465,3698211.427603,56.067381,-3961669.717281,3349282.202222,3698209.496012
4,177162.399999,8,-3961619.063000,3349313.623000,3698200.245000,68.304332,-3961668.018312,3349266.712494,3698191.931780,65.242240,-3961671.004994,3349272.563735,3698201.355626,55.549629,-3961668.381535,3349282.642609,3698210.018233,57.121564,-3961669.610038,3349281.624748,3698210.135689
5,177162.600000,9,-3961618.843000,3349314.489000,3698199.619000,57.597167,-3961672.748578,3349284.641976,3698214.810436,58.365512,-3961671.245440,3349282.397403,3698211.312801,55.222907,-3961667.687047,3349283.546740,3698208.916143,57.495164,-3961669.288405,3349281.897732,3698209.596367
6,177162.799999,9,-3961618.611000,3349315.388000,3698198.970000,57.038279,-3961672.968170,3349286.652955,3698215.666940,57.165508,-3961672.103428,3349285.755362,3698214.307699,55.577085,-3961667.081479,3349283.624968,3698208.671537,58.083684,-3961671.057593,3349283.703833,3698210.849563
7,177163.000000,10,-3961618.371000,3349316.322000,3698198.300000,54.218232,-3961662.593851,3349284.676373,3698223.465597,54.042140,-3961663.748716,3349285.259133,3698221.663544,56.254252,-3961665.950364,3349282.982098,3698212.518069,59.696408,-3961671.565544,3349283.128968,3698211.155134
8,177163.200000,10,-3961618.122000,3349317.286000,3698197.608000,53.723578,-3961661.918667,3349285.739936,3698221.763265,53.846419,-3961662.029047,3349285.728103,3698222.062333,55.887490,-3961665.206284,3349284.325356,3698215.470246,59.434703,-3961669.007153,3349282.559432,3698212.769400
9,177163.399999,10,-3961617.865000,3349318.286000,3698196.899000,53.097840,-3961661.246609,3349287.052056,3698220.231171,53.360125,-3961661.213156,3349286.864809,3698220.930103,56.685263,-3961664.562494,3349284.475527,3698217.885618,58.876352,-3961667.155901,3349283.086425,3698213.148376
10,177163.600000,8,-3961617.606000,3349319.319000,3698196.172000,79.365708,-3961673.374674,3349277.822529,3698258.503034,65.986264,-3961664.133019,3349281.140775,3698239.873056,59.727031,-3961665.236496,3349283.293613,3698221.764734,59.968124,-3961665.385924,3349282.002664,3698215.683260
11,177163.799999,9,-3961617.339000,3349320.381000,3698195.425000,76.838761,-3961670.582217,3349279.660398,3698255.243597,73.867377,-3961668.209470,3349279.792171,3698250.239118,61.128416,-3961664.196769,3349283.310753,3698225.504527,60.485765,-3961663.779930,3349281.954014,3698217.566819
12,177164.000000,9,-3961617.065000,3349321.477000,3698194.659000,77.829106,-3961670.437715,3349280.345417,3698255.879793,77.367625,-3961669.611500,3349280.075673,3698254.875752,62.839332,-3961663.661459,3349283.126618,3698227.770716,61.348313,-3961663.511620,3349282.557060,3698219.423148
13,177164.200000,9,-3961616.786000,3349322.604000,3698193.875000,79.147869,-3961670.649560,3349280.806852,3698256.485719,79.634977,-3961670.502141,3349280.516031,3698257.135275,65.849402,-3961664.160080,3349282.498393,3698231.132028,63.301363,-3961663.647035,3349282.228463,3698221.274811
14,177164.399999,10,-3961616.497000,3349323.757000,3698193.070000,71.930528,-3961665.680705,3349283.928972,3698246.104532,74.126206,-3961666.871986,3349283.703364,3698249.977710,68.126585,-3961665.116084,3349282.594439,3698233.079165,65.277908,-3961663.936375,3349281.963636,3698222.715153
15,177164.600000,10,-3961616.203000,3349324.941000,3698192.245000,71.872071,-3961665.223477,3349285.140429,3698245.326575,73.055668,-3961665.743449,3349285.015635,3698247.510300,70.379374,-3961665.372597,3349282.900718,3698236.154658,67.349618,-3961663.186764,3349281.279063,3698224.766797
16,177164.799999,10,-3961615.901000,3349326.153000,3698191.397000,71.743863,-3961664.998687,3349286.566418,3698244.546444,72.656637,-3961665.233853,3349286.349163,3698246.117117,71.674506,-3961665.414487,3349283.493864,3698237.128343,69.054801,-3961662.849324,3349281.360214,3698226.675461
17,177165.000000,10,-3961615.592000,3349327.391000,3698190.530000,71.683296,-3961664.802918,3349287.886027,3698243.608664,72.443857,-3961664.934925,3349287.675767,3698244.913005,73.280477,-3961665.701066,3349283.854779,3698238.024560,70.470371,-3961663.000572,3349282.154475,3698228.605953
