city,run,segment_label,start_epoch,nlos_fraction,subset_key,method,backend,time_ms_per_epoch,mean_2d,rms_2d,rms_3d,p50,p67,p95,max_2d,outlier_rate_pct,catastrophic_rate_pct,longest_outlier_segment_epochs,longest_outlier_segment_s,n_epochs
tokyo,run1,tokyo_run1_seg1463,1463,0.023529,a5844cfc41fbda08,WLS,WLS,0.010874,54.204655,54.719704,63.886919,54.151417,55.786452,72.804052,82.856232,0.000000,0.000000,0.000000,0.000000,100
tokyo,run1,tokyo_run1_seg1463,1463,0.023529,a5844cfc41fbda08,EKF,EKF,0.032353,54.196976,54.692032,63.061290,54.376822,56.022205,70.589065,78.520957,0.000000,0.000000,0.000000,0.000000,100
tokyo,run1,tokyo_run1_seg1463,1463,0.023529,a5844cfc41fbda08,PF,GPU,1.342250,93.555444,96.016834,96.631568,100.415639,109.632407,115.917789,117.100892,50.000000,0.000000,50.000000,9.799999,100
tokyo,run1,tokyo_run1_seg1463,1463,0.023529,a5844cfc41fbda08,PF+RobustClear,GPU-3D,1.353099,92.372215,94.784062,96.232842,99.741247,108.317451,114.656171,115.339301,50.000000,0.000000,50.000000,9.799999,100
tokyo,run1,tokyo_run1_seg1463,1463,0.023529,a5844cfc41fbda08,PF3D-BVH+BlockedOnly,GPU-3D-BVH,194.794459,145.174539,154.713145,154.893781,145.312562,181.549725,224.382354,231.657074,72.000000,0.000000,72.000000,14.200000,100
tokyo,run1,tokyo_run1_seg1463,1463,0.023529,a5844cfc41fbda08,PF3D-BVH+FullMix,GPU-3D-BVH,191.504806,93.782562,96.149775,96.463432,99.897573,108.154744,117.469733,118.203395,50.000000,0.000000,50.000000,9.799999,100
tokyo,run2,tokyo_run2_seg808,808,0.064935,5dc816ee3fc0ae64,WLS,WLS,0.011158,88.128138,94.547812,124.993398,80.693972,86.590669,194.949288,213.812041,17.000000,0.000000,8.000000,1.400001,100
tokyo,run2,tokyo_run2_seg808,808,0.064935,5dc816ee3fc0ae64,EKF,EKF,0.032407,85.621212,88.796941,111.096609,81.455105,91.920374,135.279292,171.668666,17.000000,0.000000,15.000000,2.800000,100
tokyo,run2,tokyo_run2_seg808,808,0.064935,5dc816ee3fc0ae64,PF,GPU,1.407003,104.084980,107.482215,116.441372,113.780264,126.132883,133.042358,133.713000,59.000000,0.000000,59.000000,11.600000,100
tokyo,run2,tokyo_run2_seg808,808,0.064935,5dc816ee3fc0ae64,PF+RobustClear,GPU-3D,1.407855,100.197013,103.108256,112.999814,108.453505,120.243701,127.096363,128.683579,57.000000,0.000000,57.000000,11.199999,100
tokyo,run2,tokyo_run2_seg808,808,0.064935,5dc816ee3fc0ae64,PF3D-BVH+BlockedOnly,GPU-3D-BVH,347.835794,58.239609,65.113653,68.029861,51.507922,77.577677,105.082532,108.244692,11.000000,0.000000,11.000000,2.000000,100
tokyo,run2,tokyo_run2_seg808,808,0.064935,5dc816ee3fc0ae64,PF3D-BVH+FullMix,GPU-3D-BVH,342.420086,103.214340,106.421090,114.916111,115.023876,123.573912,130.468782,131.170208,61.000000,0.000000,61.000000,12.000000,100
tokyo,run3,tokyo_run3_seg774,774,0.013605,436910dd3dca5c2a,WLS,WLS,0.012072,65.725778,67.171907,71.480329,70.992777,71.772395,74.323698,78.275046,0.000000,0.000000,0.000000,0.000000,100
tokyo,run3,tokyo_run3_seg774,774,0.013605,436910dd3dca5c2a,EKF,EKF,0.033275,66.229815,67.402946,70.641189,70.982406,71.759001,72.896156,76.095943,0.000000,0.000000,0.000000,0.000000,100
tokyo,run3,tokyo_run3_seg774,774,0.013605,436910dd3dca5c2a,PF,GPU,1.480034,97.247886,98.051466,102.131936,101.162524,106.980245,109.398766,110.197739,54.000000,0.000000,54.000000,10.600001,100
tokyo,run3,tokyo_run3_seg774,774,0.013605,436910dd3dca5c2a,PF+RobustClear,GPU-3D,1.463470,100.999915,102.340751,109.580328,106.783655,114.843469,119.473371,119.972764,59.000000,0.000000,59.000000,11.600000,100
tokyo,run3,tokyo_run3_seg774,774,0.013605,436910dd3dca5c2a,PF3D-BVH+BlockedOnly,GPU-3D-BVH,382.047879,50.421980,53.316409,59.420580,52.944800,62.967214,72.400417,73.845235,0.000000,0.000000,0.000000,0.000000,100
tokyo,run3,tokyo_run3_seg774,774,0.013605,436910dd3dca5c2a,PF3D-BVH+FullMix,GPU-3D-BVH,371.598749,97.252024,98.151943,98.306332,100.102695,106.620628,114.899220,116.746501,50.000000,0.000000,50.000000,9.800000,100
nagoya,run1,nagoya_run1_seg0,0,0.006711,938b44fb6b226b9f,WLS,WLS,0.011052,70.877100,72.884473,86.565034,83.113991,83.602897,85.526781,86.207634,0.000000,0.000000,0.000000,0.000000,100
nagoya,run1,nagoya_run1_seg0,0,0.006711,938b44fb6b226b9f,EKF,EKF,0.033461,71.214668,72.966625,86.118966,82.831506,83.550239,85.593544,85.925638,0.000000,0.000000,0.000000,0.000000,100
nagoya,run1,nagoya_run1_seg0,0,0.006711,938b44fb6b226b9f,PF,GPU,1.501096,73.223681,73.438528,86.495156,74.517762,76.793892,80.171565,82.695616,0.000000,0.000000,0.000000,0.000000,100
nagoya,run1,nagoya_run1_seg0,0,0.006711,938b44fb6b226b9f,PF+RobustClear,GPU-3D,1.446816,70.492390,70.790615,84.405552,69.791065,72.913330,81.831671,83.303181,0.000000,0.000000,0.000000,0.000000,100
nagoya,run1,nagoya_run1_seg0,0,0.006711,938b44fb6b226b9f,PF3D-BVH+BlockedOnly,GPU-3D-BVH,198.645438,99.329399,99.393550,105.715169,99.917016,100.935194,101.643470,102.716114,49.000000,0.000000,37.000000,7.200001,100
nagoya,run1,nagoya_run1_seg0,0,0.006711,938b44fb6b226b9f,PF3D-BVH+FullMix,GPU-3D-BVH,196.510323,71.317674,71.610532,83.498925,70.671002,73.060398,81.794869,82.455858,0.000000,0.000000,0.000000,0.000000,100
nagoya,run2,nagoya_run2_seg983,983,0.066667,63e337fab2e5f33f,WLS,WLS,0.011344,81.453320,82.312792,107.880646,77.857503,91.933970,97.717317,98.050847,0.000000,0.000000,0.000000,0.000000,100
nagoya,run2,nagoya_run2_seg983,983,0.066667,63e337fab2e5f33f,EKF,EKF,0.029294,81.748282,82.588305,105.126927,78.299264,92.300831,98.026481,98.432172,0.000000,0.000000,0.000000,0.000000,100
nagoya,run2,nagoya_run2_seg983,983,0.066667,63e337fab2e5f33f,PF,GPU,1.465954,78.627056,78.759039,83.942259,76.132321,78.989827,88.084681,88.878760,0.000000,0.000000,0.000000,0.000000,100
nagoya,run2,nagoya_run2_seg983,983,0.066667,63e337fab2e5f33f,PF+RobustClear,GPU-3D,1.348547,73.947469,74.062776,77.412613,75.074592,76.288202,80.392926,83.852531,0.000000,0.000000,0.000000,0.000000,100
