method,family,clear_nlos_prob,blocked_nlos_prob,n_segments,mean_rms_2d,mean_p95,mean_outlier_rate_pct,mean_catastrophic_rate_pct,mean_time_ms_per_epoch,pf_rms_wins,pf_p95_wins,robust_clear_rms_wins,robust_clear_p95_wins,mean_delta_rms_vs_robust_clear,mean_delta_p95_vs_robust_clear
EKF,EKF,nan,0.000000,2,78.099943,104.087724,8.500000,0.000000,0.029593,2,1,nan,nan,nan,nan
PF,PF,0.000000,nan,2,102.766840,121.220562,56.500000,0.000000,1.384502,0,0,nan,nan,nan,nan
PF+RobustClear(clear=0.000),PF+RobustClear,0.000000,0.000000,2,102.766840,121.220562,56.500000,0.000000,1.288529,0,0,nan,nan,nan,nan
PF+RobustClear(clear=0.001),PF+RobustClear,0.001000,0.000000,2,101.645552,120.983244,55.000000,0.000000,1.246104,2,1,nan,nan,nan,nan
PF+RobustClear(clear=0.002),PF+RobustClear,0.002000,0.000000,2,104.107640,123.523510,58.000000,0.000000,1.422788,0,1,nan,nan,nan,nan
PF+RobustClear(clear=0.005),PF+RobustClear,0.005000,0.000000,2,98.626671,114.127564,54.500000,0.000000,1.388735,2,1,nan,nan,nan,nan
PF+RobustClear(clear=0.010),PF+RobustClear,0.010000,0.000000,2,102.724504,123.284867,58.000000,0.000000,1.336891,1,1,nan,nan,nan,nan
PF3D-BVH+BlockedClear(clear=0.000),PF3D-BVH+BlockedClear,0.000000,0.050000,2,59.215031,88.741474,5.500000,0.000000,346.892800,2,2,2.000000,2.000000,-43.551809,-32.479088
PF3D-BVH+BlockedClear(clear=0.001),PF3D-BVH+BlockedClear,0.001000,0.050000,2,105.258369,126.880905,59.000000,0.000000,357.814983,0,0,0.000000,0.000000,3.612817,5.897661
PF3D-BVH+BlockedClear(clear=0.002),PF3D-BVH+BlockedClear,0.002000,0.050000,2,100.659548,116.400414,57.500000,0.000000,357.132552,1,1,2.000000,2.000000,-3.448092,-7.123096
PF3D-BVH+BlockedClear(clear=0.005),PF3D-BVH+BlockedClear,0.005000,0.050000,2,101.459031,118.237436,57.000000,0.000000,345.651248,1,1,0.000000,1.000000,2.832360,4.109872
PF3D-BVH+BlockedClear(clear=0.010),PF3D-BVH+BlockedClear,0.010000,0.050000,2,102.286516,122.684001,55.500000,0.000000,341.338410,1,1,1.000000,1.000000,-0.437987,-0.600866
WLS,WLS,nan,0.000000,2,80.859860,134.636493,8.500000,0.000000,0.011084,2,1,nan,nan,nan,nan
