method,family,clear_nlos_prob,blocked_nlos_prob,n_segments,mean_rms_2d,mean_p95,mean_outlier_rate_pct,mean_catastrophic_rate_pct,mean_time_ms_per_epoch,pf_rms_wins,pf_p95_wins,robust_clear_rms_wins,robust_clear_p95_wins,mean_delta_rms_vs_robust_clear,mean_delta_p95_vs_robust_clear
EKF,EKF,nan,0.000000,2,78.099943,104.087724,8.500000,0.000000,0.030409,2,1,nan,nan,nan,nan
PF,PF,0.000000,nan,2,102.766840,121.220562,56.500000,0.000000,1.237426,0,0,nan,nan,nan,nan
PF+RobustClear(clear=0),PF+RobustClear,0.000000,0.000000,2,102.766840,121.220562,56.500000,0.000000,1.214901,0,0,nan,nan,nan,nan
PF+RobustClear(clear=0.0001),PF+RobustClear,0.000100,0.000000,2,104.252179,124.178872,56.000000,0.000000,1.185864,1,0,nan,nan,nan,nan
PF+RobustClear(clear=0.0002),PF+RobustClear,0.000200,0.000000,2,106.656688,128.196660,59.500000,0.000000,1.259786,0,0,nan,nan,nan,nan
PF+RobustClear(clear=0.0005),PF+RobustClear,0.000500,0.000000,2,102.229855,122.014208,54.500000,0.000000,1.313383,1,1,nan,nan,nan,nan
PF+RobustClear(clear=0.001),PF+RobustClear,0.001000,0.000000,2,101.645552,120.983244,55.000000,0.000000,1.291064,2,1,nan,nan,nan,nan
PF3D-BVH+BlockedClear(clear=0),PF3D-BVH+BlockedClear,0.000000,0.050000,2,59.215031,88.741474,5.500000,0.000000,343.935862,2,2,2.000000,2.000000,-43.551809,-32.479088
PF3D-BVH+BlockedClear(clear=0.0001),PF3D-BVH+BlockedClear,0.000100,0.050000,2,105.614167,126.627701,60.000000,0.000000,331.912926,1,1,1.000000,1.000000,1.361988,2.448828
PF3D-BVH+BlockedClear(clear=0.0002),PF3D-BVH+BlockedClear,0.000200,0.050000,2,103.337921,123.666555,56.000000,0.000000,332.634018,0,1,2.000000,2.000000,-3.318767,-4.530105
PF3D-BVH+BlockedClear(clear=0.0005),PF3D-BVH+BlockedClear,0.000500,0.050000,2,104.072969,125.769364,60.000000,0.000000,326.959392,0,1,0.000000,1.000000,1.843114,3.755156
PF3D-BVH+BlockedClear(clear=0.001),PF3D-BVH+BlockedClear,0.001000,0.050000,2,105.258369,126.880905,59.000000,0.000000,330.908792,0,0,0.000000,0.000000,3.612817,5.897661
WLS,WLS,nan,0.000000,2,80.859860,134.636493,8.500000,0.000000,0.010666,2,1,nan,nan,nan,nan
