mean_blocked_epoch_frac,mean_catastrophic_rate_pct,mean_outlier_rate_pct,mean_p95,mean_rms_2d,method,n_segments,pf_p95_wins,pf_rms_wins
nan,0.000000,2.833333,88.497052,71.999290,EKF,6,2,4
nan,0.000000,27.166667,97.898790,81.673934,PF,6,0,0
nan,0.000000,27.666667,97.751479,80.017369,PF+RobustClear,6,3,5
1.000000,0.000000,31.666667,123.345785,95.159328,PF-Gated(th=0),6,2,2
0.353333,0.000000,37.000000,118.790172,90.381119,PF-Gated(th=0.001),6,1,4
0.291667,0.000000,35.833333,118.329811,89.948768,PF-Gated(th=0.005),6,1,4
0.245000,0.000000,35.833333,116.365078,90.041215,PF-Gated(th=0.01),6,2,3
0.198333,0.000000,35.333333,113.162341,89.564412,PF-Gated(th=0.02),6,2,3
0.126667,0.000000,33.166667,109.289945,86.804980,PF-Gated(th=0.05),6,2,3
nan,0.000000,31.666667,123.345785,95.159328,PF3D-BVH+BlockedOnly,6,2,2
nan,0.000000,2.833333,98.993025,72.811178,WLS,6,2,4
