mean_blocked_epoch_frac,mean_catastrophic_rate_pct,mean_outlier_rate_pct,mean_p95,mean_rms_2d,method,n_segments,pf_p95_wins,pf_rms_wins
nan,0.000000,5.666667,102.067310,79.596064,EKF,3,1,2
nan,0.000000,37.666667,110.175268,94.764240,PF,3,0,0
nan,0.000000,38.666667,108.987553,93.170594,PF+RobustClear,3,2,2
1.000000,0.000000,3.666667,91.306698,69.816047,PF-Gated(th=0),3,2,2
0.280000,0.000000,38.000000,113.813343,89.329454,PF-Gated(th=0.001),3,1,3
0.196667,0.000000,38.333333,112.904795,90.321828,PF-Gated(th=0.005),3,1,3
0.133333,0.000000,38.666667,110.549375,91.672365,PF-Gated(th=0.01),3,2,2
0.076667,0.000000,38.666667,109.619872,92.838809,PF-Gated(th=0.02),3,2,2
0.013333,0.000000,38.666667,108.987553,93.117788,PF-Gated(th=0.05),3,2,2
nan,0.000000,3.666667,91.306698,69.816047,PF3D-BVH+BlockedOnly,3,2,2
nan,0.000000,5.666667,122.330101,81.344170,WLS,3,1,2
