backend,blocked_epoch_frac,catastrophic_rate_pct,city,gate_threshold,longest_outlier_segment_epochs,longest_outlier_segment_s,max_2d,mean_2d,mean_gate_score,method,n_epochs,nlos_fraction,outlier_rate_pct,p50,p67,p95,rms_2d,rms_3d,run,segment_label,start_epoch,subset_key,time_ms_per_epoch
WLS,nan,0.000000,tokyo,nan,8.000000,1.400001,213.812041,88.128138,nan,WLS,100,0.064935,17.000000,80.693972,86.590669,194.949288,94.547812,124.993398,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,0.010776
EKF,nan,0.000000,tokyo,nan,15.000000,2.800000,171.668666,85.621212,nan,EKF,100,0.064935,17.000000,81.455105,91.920374,135.279292,88.796941,111.096609,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,0.030011
GPU,nan,0.000000,tokyo,nan,59.000000,11.600000,133.713000,104.084980,nan,PF,100,0.064935,59.000000,113.780264,126.132883,133.042358,107.482215,116.441372,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,1.379162
GPU-3D,nan,0.000000,tokyo,nan,57.000000,11.199999,128.683579,100.197013,nan,PF+RobustClear,100,0.064935,57.000000,108.453505,120.243701,127.096363,103.108256,112.999814,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-3D-BVH,nan,0.000000,tokyo,nan,11.000000,2.000000,108.244692,58.239609,nan,PF3D-BVH+BlockedOnly,100,0.064935,11.000000,51.507922,77.577677,105.082532,65.113653,68.029861,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,1.000000,0.000000,tokyo,0.000000,11.000000,2.000000,108.244692,58.239609,0.006858,PF-Gated(th=0),100,0.064935,11.000000,51.507922,77.577677,105.082532,65.113653,68.029861,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.300000,0.000000,tokyo,0.001000,57.000000,11.199999,128.683579,89.594697,0.006858,PF-Gated(th=0.001),100,0.064935,57.000000,106.813982,119.609515,126.502114,97.713668,107.026540,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.250000,0.000000,tokyo,0.005000,57.000000,11.199999,128.683579,91.800103,0.006858,PF-Gated(th=0.005),100,0.064935,57.000000,108.453505,120.243701,127.096363,99.159403,108.802284,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.210000,0.000000,tokyo,0.010000,57.000000,11.199999,128.683579,94.064834,0.006858,PF-Gated(th=0.01),100,0.064935,57.000000,108.453505,120.243701,127.096363,100.293174,110.056309,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.150000,0.000000,tokyo,0.020000,57.000000,11.199999,128.683579,96.625233,0.006858,PF-Gated(th=0.02),100,0.064935,57.000000,108.453505,120.243701,127.096363,101.485426,111.359227,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.030000,0.000000,tokyo,0.050000,57.000000,11.199999,128.683579,99.811696,0.006858,PF-Gated(th=0.05),100,0.064935,57.000000,108.453505,120.243701,127.096363,102.947600,112.811014,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
WLS,nan,0.000000,tokyo,nan,0.000000,0.000000,78.275046,65.725778,nan,WLS,100,0.013605,0.000000,70.992777,71.772395,74.323698,67.171907,71.480329,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,0.011329
EKF,nan,0.000000,tokyo,nan,0.000000,0.000000,76.095943,66.229815,nan,EKF,100,0.013605,0.000000,70.982406,71.759001,72.896156,67.402946,70.641189,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,0.028843
GPU,nan,0.000000,tokyo,nan,54.000000,10.600001,110.197739,97.247886,nan,PF,100,0.013605,54.000000,101.162524,106.980245,109.398766,98.051466,102.131936,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,1.290670
GPU-3D,nan,0.000000,tokyo,nan,59.000000,11.600000,119.972764,100.999915,nan,PF+RobustClear,100,0.013605,59.000000,106.783655,114.843469,119.473371,102.340751,109.580328,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
