epoch,gps_tow,satellite_count,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_10k,est_x_pf_10k,est_y_pf_10k,est_z_pf_10k,error_2d_pf_100k,est_x_pf_100k,est_y_pf_100k,est_z_pf_100k
0,550380.000000,7,83.815865,-3810304.697470,3567825.349116,3652953.484850,83.815865,-3810304.697470,3567825.349116,3652953.484850,82.695616,-3810303.686267,3567824.687956,3652950.256895,83.727896,-3810304.495880,3567824.896813,3652952.517786
1,550380.200000,7,83.549710,-3810304.691839,3567825.701666,3652953.555926,83.549573,-3810304.692046,3567825.702011,3652953.556099,80.048692,-3810302.300569,3567827.094934,3652950.013709,82.798260,-3810304.185567,3567825.889949,3652952.559417
2,550380.400000,7,83.281486,-3810304.653192,3567825.991444,3652953.523813,83.280271,-3810304.660026,3567826.001668,3652953.535303,78.952409,-3810300.349929,3567826.776792,3652948.524001,82.823703,-3810303.800949,3567825.596830,3652952.392185
3,550380.600000,7,83.209905,-3810304.645698,3567826.059045,3652953.492294,83.170398,-3810304.659174,3567826.119727,3652953.506173,77.484856,-3810301.997352,3567829.097700,3652947.994539,83.031655,-3810303.333490,3567825.211030,3652952.568848
4,550380.800000,7,82.898476,-3810304.677011,3567826.474839,3652953.545135,82.917620,-3810304.661774,3567826.438731,3652953.533017,78.221161,-3810303.807873,3567830.165659,3652950.306381,82.742099,-3810303.276431,3567825.421488,3652952.337446
5,550381.000000,7,82.648898,-3810304.702941,3567826.790831,3652953.550935,82.666393,-3810304.686099,3567826.757881,3652953.542807,78.114197,-3810303.833770,3567830.299988,3652950.290612,82.622185,-3810303.199660,3567825.631079,3652952.545951
6,550381.199999,7,82.663404,-3810304.663851,3567826.739021,3652953.517951,82.592929,-3810304.694985,3567826.848329,3652953.537968,78.034920,-3810302.722653,3567830.199536,3652951.012376,82.408231,-3810303.207456,3567825.739629,3652952.229657
7,550381.399999,7,82.672284,-3810304.696673,3567826.759782,3652953.551156,82.585226,-3810304.724987,3567826.883691,3652953.562730,77.983471,-3810303.839068,3567830.081036,3652949.466518,82.525072,-3810302.647125,3567825.057040,3652951.653650
8,550381.600000,7,82.774631,-3810304.654446,3567826.644607,3652953.609472,82.653083,-3810304.709024,3567826.824577,3652953.625436,78.180553,-3810303.401159,3567829.123782,3652948.362233,81.906904,-3810302.433350,3567825.488949,3652951.211975
9,550381.800000,7,82.933119,-3810304.565812,3567826.370035,3652953.523008,82.775655,-3810304.667110,3567826.640388,3652953.590943,77.148668,-3810303.874093,3567831.156144,3652949.578273,81.610984,-3810302.779523,3567826.113148,3652951.427871
10,550382.000000,7,83.015781,-3810304.569420,3567826.275627,3652953.530430,82.887357,-3810304.644009,3567826.488301,3652953.577463,78.009289,-3810304.844486,3567830.915516,3652950.270631,81.624747,-3810302.655518,3567826.154978,3652951.670674
11,550382.200000,7,83.232851,-3810304.464396,3567825.958031,3652953.517108,83.066975,-3810304.571596,3567826.237497,3652953.577200,78.117320,-3810305.910726,3567831.413406,3652950.481012,81.551190,-3810302.902663,3567826.339234,3652951.627214
12,550382.399999,7,83.501790,-3810304.459191,3567825.599798,3652953.452009,83.318338,-3810304.563932,3567825.906103,3652953.526150,78.340464,-3810306.840436,3567831.932468,3652951.194569,81.566288,-3810302.472136,3567826.008543,3652951.399974
13,550382.600000,7,83.134385,-3810304.631773,3567826.185566,3652953.579394,83.202034,-3810304.579907,3567826.063110,3652953.545275,78.928831,-3810306.939799,3567831.645316,3652952.021630,81.466590,-3810302.278585,3567826.048128,3652951.421425
14,550382.799999,7,83.327944,-3810304.584831,3567825.904878,3652953.527237,83.273540,-3810304.602183,3567825.984710,3652953.539788,79.000219,-3810306.857609,3567831.432457,3652951.832370,81.517650,-3810302.555636,3567826.196898,3652951.587298
15,550383.000000,7,83.456941,-3810304.608858,3567825.762010,3652953.530114,83.385154,-3810304.631890,3567825.865869,3652953.543472,80.314228,-3810307.201149,3567830.241354,3652952.322448,81.879872,-3810302.426436,3567825.694104,3652951.576421
16,550383.200000,7,83.675756,-3810304.566626,3567825.450836,3652953.473296,83.558703,-3810304.632276,3567825.644515,3652953.518082,81.190206,-3810305.949142,3567828.404608,3652951.970798,81.595897,-3810302.692620,3567826.112223,3652951.473527
17,550383.399999,7,83.405890,-3810304.557415,3567825.805529,3652953.542881,83.455408,-3810304.552355,3567825.738698,3652953.533076,81.155579,-3810306.230466,3567828.530119,3652951.851170,81.784935,-3810302.706253,3567825.936076,3652951.567810
18,550383.600000,7,83.260185,-3810304.575622,3567825.959669,3652953.480416,83.329353,-3810304.547441,3567825.862357,3652953.479107,81.788390,-3810306.335100,3567827.585377,3652951.338360,81.750735,-3810302.858846,3567826.063854,3652951.597999
19,550383.799999,7,83.412170,-3810304.525461,3567825.755388,3652953.485844,83.376465,-3810304.539528,3567825.807037,3652953.489927,81.605571,-3810306.052349,3567827.476256,3652950.922235,81.614370,-3810303.178077,3567826.500776,3652951.851080
20,550384.000000,7,83.567011,-3810304.477912,3567825.515416,3652953.421896,83.485465,-3810304.527998,3567825.655058,3652953.458629,81.557176,-3810305.348458,3567826.992782,3652950.501708,81.504305,-3810303.439915,3567826.834413,3652952.011573
21,550384.200000,8,55.067982,-3810293.655479,3567843.001103,3652925.731305,60.910594,-3810296.077380,3567839.126345,3652931.242379,80.934793,-3810304.853201,3567827.115439,3652949.660982,79.763638,-3810302.733709,3567827.835480,3652950.413225
22,550384.400000,8,53.741092,-3810293.177557,3567843.949320,3652924.423619,55.089991,-3810293.661156,3567842.921106,3652925.535890,78.958903,-3810305.215044,3567829.417113,3652949.070387,78.435624,-3810302.150073,3567828.362987,3652948.724172
23,550384.599999,9,62.297945,-3810286.088140,3567826.818099,3652917.710694,60.574356,-3810289.049477,3567831.469660,3652919.765993,79.294896,-3810305.777955,3567829.020283,3652948.431626,77.494669,-3810301.195556,3567828.429158,3652947.425191
24,550384.799999,9,61.890628,-3810285.987446,3567827.147905,3652917.362959,61.229639,-3810286.958558,3567828.727594,3652917.823047,78.368865,-3810306.622983,3567830.472554,3652948.184292,76.637086,-3810300.383679,3567828.318384,3652945.800552
25,550385.000000,9,61.874222,-3810285.892182,3567827.076210,3652917.262250,61.499163,-3810286.009310,3567827.556200,3652917.072343,77.591277,-3810306.548128,3567831.271579,3652947.947832,75.441419,-3810299.802316,3567828.844790,3652944.415220
26,550385.200000,9,61.688961,-3810286.003363,3567827.420816,3652917.412785,61.493022,-3810285.664967,3567827.288407,3652916.898427,76.476730,-3810306.364785,3567832.542073,3652947.998539,74.463896,-3810299.065264,3567828.957803,3652942.855459
27,550385.400000,8,51.647189,-3810292.512302,3567845.567737,3652922.440850,56.609868,-3810287.357665,3567834.843465,3652918.391464,75.455653,-3810306.956738,3567833.761538,3652947.213400,73.073285,-3810298.363477,3567829.624776,3652941.366114
28,550385.599999,8,52.672224,-3810292.765838,3567844.631029,3652923.072394,54.793124,-3810289.604234,3567839.150870,3652920.418210,74.290004,-3810306.661028,3567834.879263,3652946.894504,71.926883,-3810298.039927,3567830.302004,3652940.109922
29,550385.799999,8,52.487783,-3810292.936165,3567845.077626,3652923.461040,53.612589,-3810291.017756,3567841.928091,3652921.759478,72.476814,-3810307.075911,3567837.114171,3652946.447240,71.133201,-3810297.540873,3567830.668463,3652939.332711
30,550386.000000,8,52.611696,-3810292.913092,3567844.898553,3652923.423882,53.019528,-3810291.858656,3567843.410919,3652922.425277,71.327200,-3810306.553339,3567837.658808,3652945.047626,70.272703,-3810297.033865,3567830.975779,3652938.226418
31,550386.200000,7,83.543997,-3810304.648623,3567825.580346,3652953.331907,73.896145,-3810300.504928,3567830.994265,3652944.252743,70.505904,-3810307.024664,3567839.053436,3652945.398934,70.989133,-3810297.179823,3567830.560231,3652939.117079
32,550386.400000,7,83.380245,-3810304.699165,3567825.760762,3652953.246586,80.743358,-3810303.489225,3567827.197476,3652950.794325,70.488346,-3810306.766787,3567838.970147,3652945.497892,71.439097,-3810297.596416,3567830.693805,3652940.194970
