backend,blocked_epoch_frac,blocked_threshold,catastrophic_rate_pct,city,disagreement_threshold_m,longest_outlier_segment_epochs,longest_outlier_segment_s,max_2d,mean_2d,mean_blocked_score,mean_disagreement_m,mean_positive_score,method,n_epochs,nlos_fraction,outlier_rate_pct,p50,p67,p95,positive_threshold,rms_2d,rms_3d,run,segment_label,start_epoch,subset_key,time_ms_per_epoch
GPU-hybrid,0.650000,0.000000,0.000000,tokyo,40.000000,57.000000,11.200000,231.657074,138.067042,0.138660,59.888290,0.343838,"PF-RichGate(b=0,p=0,d=40)",100,0.023529,57.000000,145.312562,181.549725,224.382354,0.000000,150.444328,150.690610,run1,tokyo_run1_seg1463,1463,a5844cfc41fbda08,nan
GPU-hybrid,0.990000,0.000000,0.000000,tokyo,40.000000,11.000000,2.000000,108.244692,58.282760,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0,d=40)",100,0.064935,11.000000,52.976277,77.577677,105.082532,0.000000,65.148904,68.090630,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.970000,0.000000,0.000000,tokyo,40.000000,0.000000,0.000000,74.149521,50.617219,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0,d=40)",100,0.013605,0.000000,52.944800,63.429532,72.452105,0.000000,53.565807,59.522063,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.990000,0.000000,0.000000,nagoya,40.000000,37.000000,7.200001,102.716114,99.321167,0.001272,86.577674,0.027898,"PF-RichGate(b=0,p=0,d=40)",100,0.006711,49.000000,99.917016,100.935194,101.643470,0.000000,99.386739,105.767954,run1,nagoya_run1_seg0,0,938b44fb6b226b9f,nan
GPU-hybrid,0.990000,0.000000,0.000000,nagoya,40.000000,0.000000,0.000000,96.934216,90.944015,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0,d=40)",100,0.066667,0.000000,91.072217,92.471764,96.437146,0.000000,91.016258,97.554933,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.980000,0.000000,0.000000,nagoya,40.000000,32.000000,6.199999,147.512511,106.111844,0.038108,99.847337,0.170577,"PF-RichGate(b=0,p=0,d=40)",100,0.019481,58.000000,102.787615,109.247334,140.128790,0.000000,107.323365,110.413254,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
GPU-hybrid,0.440000,0.000000,0.000000,tokyo,60.000000,50.000000,9.799999,231.657074,130.775475,0.138660,59.888290,0.343838,"PF-RichGate(b=0,p=0,d=60)",100,0.023529,50.000000,99.741247,181.549725,224.382354,0.000000,145.027352,145.693823,run1,tokyo_run1_seg1463,1463,a5844cfc41fbda08,nan
GPU-hybrid,0.980000,0.000000,0.000000,tokyo,60.000000,11.000000,2.000000,108.244692,58.556227,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0,d=60)",100,0.064935,11.000000,53.595648,77.577677,105.082532,0.000000,65.314634,68.294381,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.960000,0.000000,0.000000,tokyo,60.000000,0.000000,0.000000,74.149521,50.895508,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0,d=60)",100,0.013605,0.000000,53.528553,63.581649,72.782221,0.000000,53.871146,59.688507,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.990000,0.000000,0.000000,nagoya,60.000000,37.000000,7.200001,102.716114,99.321167,0.001272,86.577674,0.027898,"PF-RichGate(b=0,p=0,d=60)",100,0.006711,49.000000,99.917016,100.935194,101.643470,0.000000,99.386739,105.767954,run1,nagoya_run1_seg0,0,938b44fb6b226b9f,nan
