backend,blocked_epoch_frac,blocked_threshold,catastrophic_rate_pct,city,disagreement_threshold_m,longest_outlier_segment_epochs,longest_outlier_segment_s,max_2d,mean_2d,mean_blocked_score,mean_disagreement_m,mean_positive_score,method,n_epochs,nlos_fraction,outlier_rate_pct,p50,p67,p95,positive_threshold,rms_2d,rms_3d,run,segment_label,start_epoch,subset_key,time_ms_per_epoch
GPU-hybrid,1.000000,0.000000,0.000000,tokyo,0.000000,11.000000,2.000000,108.244692,58.239609,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0,d=0)",100,0.064935,11.000000,51.507922,77.577677,105.082532,0.000000,65.113653,68.029861,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,1.000000,0.000000,0.000000,tokyo,0.000000,0.000000,0.000000,73.845235,50.421980,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0,d=0)",100,0.013605,0.000000,52.944800,62.967214,72.400417,0.000000,53.316409,59.420580,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,1.000000,0.000000,0.000000,nagoya,0.000000,0.000000,0.000000,96.934216,90.945990,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0,d=0)",100,0.066667,0.000000,91.072217,92.471764,96.437146,0.000000,91.018079,97.499021,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,1.000000,0.000000,0.000000,tokyo,5.000000,11.000000,2.000000,108.244692,58.239609,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0,d=5)",100,0.064935,11.000000,51.507922,77.577677,105.082532,0.000000,65.113653,68.029861,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,1.000000,0.000000,0.000000,tokyo,5.000000,0.000000,0.000000,73.845235,50.421980,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0,d=5)",100,0.013605,0.000000,52.944800,62.967214,72.400417,0.000000,53.316409,59.420580,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,1.000000,0.000000,0.000000,nagoya,5.000000,0.000000,0.000000,96.934216,90.945990,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0,d=5)",100,0.066667,0.000000,91.072217,92.471764,96.437146,0.000000,91.018079,97.499021,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,1.000000,0.000000,0.000000,tokyo,10.000000,11.000000,2.000000,108.244692,58.239609,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0,d=10)",100,0.064935,11.000000,51.507922,77.577677,105.082532,0.000000,65.113653,68.029861,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.990000,0.000000,0.000000,tokyo,10.000000,0.000000,0.000000,74.149521,50.456891,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0,d=10)",100,0.013605,0.000000,52.944800,62.967214,72.452105,0.000000,53.363799,59.446767,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,1.000000,0.000000,0.000000,nagoya,10.000000,0.000000,0.000000,96.934216,90.945990,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0,d=10)",100,0.066667,0.000000,91.072217,92.471764,96.437146,0.000000,91.018079,97.499021,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.990000,0.000000,0.000000,tokyo,20.000000,11.000000,2.000000,108.244692,58.282760,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0,d=20)",100,0.064935,11.000000,52.976277,77.577677,105.082532,0.000000,65.148904,68.090630,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.980000,0.000000,0.000000,tokyo,20.000000,0.000000,0.000000,74.149521,50.522455,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0,d=20)",100,0.013605,0.000000,52.944800,62.967214,72.452105,0.000000,53.447519,59.481316,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.990000,0.000000,0.000000,nagoya,20.000000,0.000000,0.000000,96.934216,90.944015,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0,d=20)",100,0.066667,0.000000,91.072217,92.471764,96.437146,0.000000,91.016258,97.554933,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.990000,0.000000,0.000000,tokyo,40.000000,11.000000,2.000000,108.244692,58.282760,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0,d=40)",100,0.064935,11.000000,52.976277,77.577677,105.082532,0.000000,65.148904,68.090630,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.970000,0.000000,0.000000,tokyo,40.000000,0.000000,0.000000,74.149521,50.617219,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0,d=40)",100,0.013605,0.000000,52.944800,63.429532,72.452105,0.000000,53.565807,59.522063,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.990000,0.000000,0.000000,nagoya,40.000000,0.000000,0.000000,96.934216,90.944015,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0,d=40)",100,0.066667,0.000000,91.072217,92.471764,96.437146,0.000000,91.016258,97.554933,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.700000,0.000000,0.000000,tokyo,80.000000,28.000000,5.399999,128.683579,66.332353,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0,d=80)",100,0.064935,28.000000,53.595648,77.577677,127.096363,0.000000,77.251275,83.959427,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.950000,0.000000,0.000000,tokyo,80.000000,1.000000,0.000000,104.887453,51.205930,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0,d=80)",100,0.013605,1.000000,53.528553,63.581649,72.782221,0.000000,54.383664,60.348931,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.000000,0.000000,0.000000,nagoya,80.000000,0.000000,0.000000,83.852531,73.947469,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0,d=80)",100,0.066667,0.000000,75.074592,76.288202,80.392926,0.000000,74.062776,77.412613,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.280000,0.000000,0.000000,tokyo,0.000000,57.000000,11.199999,128.683579,90.029054,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.25,d=0)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.250000,98.235344,107.773775,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
