backend,catastrophic_rate_pct,city,longest_outlier_segment_epochs,longest_outlier_segment_s,max_2d,mean_2d,method,n_epochs,nlos_fraction,outlier_rate_pct,p50,p67,p95,rms_2d,rms_3d,run,segment_label,start_epoch,subset_key,time_ms_per_epoch
WLS,0.000000,tokyo,8.000000,1.400001,213.812041,88.128138,WLS,100,0.064935,17.000000,80.693972,86.590669,194.949288,94.547812,124.993398,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,0.026993
EKF,0.000000,tokyo,15.000000,2.800000,171.668666,85.621212,EKF,100,0.064935,17.000000,81.455105,91.920374,135.279292,88.796941,111.096609,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,0.081616
GPU,0.000000,tokyo,59.000000,11.600000,133.713000,104.084980,PF,100,0.064935,59.000000,113.780264,126.132883,133.042358,107.482215,116.441372,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,1.884548
GPU-3D,0.000000,tokyo,57.000000,11.199999,128.683579,100.197013,PF+RobustClear,100,0.064935,57.000000,108.453505,120.243701,127.096363,103.108256,112.999814,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-3D-BVH,0.000000,tokyo,11.000000,2.000000,108.244692,58.239609,PF3D-BVH+BlockedOnly,100,0.064935,11.000000,51.507922,77.577677,105.082532,65.113653,68.029861,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
WLS,0.000000,tokyo,0.000000,0.000000,78.275046,65.725778,WLS,100,0.013605,0.000000,70.992777,71.772395,74.323698,67.171907,71.480329,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,0.010875
EKF,0.000000,tokyo,0.000000,0.000000,76.095943,66.229815,EKF,100,0.013605,0.000000,70.982406,71.759001,72.896156,67.402946,70.641189,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,0.028269
GPU,0.000000,tokyo,54.000000,10.600001,110.197739,97.247886,PF,100,0.013605,54.000000,101.162524,106.980245,109.398766,98.051466,102.131936,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,1.620304
GPU-3D,0.000000,tokyo,59.000000,11.600000,119.972764,100.999915,PF+RobustClear,100,0.013605,59.000000,106.783655,114.843469,119.473371,102.340751,109.580328,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-3D-BVH,0.000000,tokyo,0.000000,0.000000,73.845235,50.421980,PF3D-BVH+BlockedOnly,100,0.013605,0.000000,52.944800,62.967214,72.400417,53.316409,59.420580,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
WLS,0.000000,nagoya,0.000000,0.000000,98.050847,81.453320,WLS,100,0.066667,0.000000,77.857503,91.933970,97.717317,82.312792,107.880646,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,0.010777
EKF,0.000000,nagoya,0.000000,0.000000,98.432172,81.748282,EKF,100,0.066667,0.000000,78.299264,92.300831,98.026481,82.588305,105.126927,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,0.026891
GPU,0.000000,nagoya,0.000000,0.000000,88.878760,78.627056,PF,100,0.066667,0.000000,76.132321,78.989827,88.084681,78.759039,83.942259,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,1.593548
GPU-3D,0.000000,nagoya,0.000000,0.000000,83.852531,73.947469,PF+RobustClear,100,0.066667,0.000000,75.074592,76.288202,80.392926,74.062776,77.412613,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-3D-BVH,0.000000,nagoya,0.000000,0.000000,96.934216,90.945990,PF3D-BVH+BlockedOnly,100,0.066667,0.000000,91.072217,92.471764,96.437146,91.018079,97.499021,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
