blocked_threshold,disagreement_threshold_m,mean_blocked_epoch_frac,mean_catastrophic_rate_pct,mean_outlier_rate_pct,mean_p95,mean_rms_2d,method,n_segments,pf_rms_wins,positive_threshold,robust_rms_wins
0.000000,80.000000,0.550000,0.000000,9.666667,93.423837,68.565905,"PF-RichGate(b=0,p=0,d=80)",3,3,0.000000,2
0.000000,0.000000,1.000000,0.000000,3.666667,91.306698,69.816047,"PF-RichGate(b=0,p=0,d=0)",3,2,0.000000,2
0.000000,5.000000,1.000000,0.000000,3.666667,91.306698,69.816047,"PF-RichGate(b=0,p=0,d=5)",3,2,0.000000,2
0.000000,10.000000,0.996667,0.000000,3.666667,91.323928,69.831844,"PF-RichGate(b=0,p=0,d=10)",3,2,0.000000,2
0.000000,20.000000,0.986667,0.000000,3.666667,91.323928,69.870894,"PF-RichGate(b=0,p=0,d=20)",3,2,0.000000,2
0.000000,40.000000,0.983333,0.000000,3.666667,91.323928,69.910323,"PF-RichGate(b=0,p=0,d=40)",3,2,0.000000,2
0.001000,80.000000,0.190000,0.000000,38.000000,108.987553,88.519596,"PF-RichGate(b=0.001,p=0,d=80)",3,3,0.000000,2
0.002000,80.000000,0.176667,0.000000,38.333333,108.987553,89.030050,"PF-RichGate(b=0.002,p=0,d=80)",3,3,0.000000,2
0.001000,0.000000,0.280000,0.000000,38.000000,113.813343,89.329454,"PF-RichGate(b=0.001,p=0,d=0)",3,3,0.000000,2
0.001000,5.000000,0.280000,0.000000,38.000000,113.813343,89.329454,"PF-RichGate(b=0.001,p=0,d=5)",3,3,0.000000,2
0.001000,10.000000,0.276667,0.000000,38.000000,113.813343,89.338531,"PF-RichGate(b=0.001,p=0,d=10)",3,3,0.000000,2
0.001000,20.000000,0.266667,0.000000,38.000000,113.813343,89.361699,"PF-RichGate(b=0.001,p=0,d=20)",3,3,0.000000,2
0.001000,40.000000,0.263333,0.000000,38.000000,113.813343,89.384405,"PF-RichGate(b=0.001,p=0,d=40)",3,3,0.000000,2
0.002000,0.000000,0.263333,0.000000,38.333333,113.857799,89.930090,"PF-RichGate(b=0.002,p=0,d=0)",3,3,0.000000,2
0.002000,5.000000,0.263333,0.000000,38.333333,113.857799,89.930090,"PF-RichGate(b=0.002,p=0,d=5)",3,3,0.000000,2
0.002000,10.000000,0.260000,0.000000,38.333333,113.857799,89.939051,"PF-RichGate(b=0.002,p=0,d=10)",3,3,0.000000,2
0.005000,80.000000,0.143333,0.000000,38.333333,108.987553,89.941057,"PF-RichGate(b=0.005,p=0,d=80)",3,3,0.000000,2
0.002000,20.000000,0.250000,0.000000,38.333333,113.857799,89.961965,"PF-RichGate(b=0.002,p=0,d=20)",3,3,0.000000,2
0.002000,40.000000,0.246667,0.000000,38.333333,113.857799,89.984379,"PF-RichGate(b=0.002,p=0,d=40)",3,3,0.000000,2
0.005000,0.000000,0.196667,0.000000,38.333333,112.904795,90.321828,"PF-RichGate(b=0.005,p=0,d=0)",3,3,0.000000,2
