blocked_threshold,disagreement_threshold_m,mean_blocked_epoch_frac,mean_catastrophic_rate_pct,mean_outlier_rate_pct,mean_p95,mean_rms_2d,method,n_segments,pf_rms_wins,positive_threshold,robust_rms_wins
0.000000,0.000000,1.000000,0.000000,3.666667,91.306698,69.816047,"PF-RichGate(b=0,p=0,d=0)",3,2,0.000000,2
0.000000,5.000000,1.000000,0.000000,3.666667,91.306698,69.816047,"PF-RichGate(b=0,p=0,d=5)",3,2,0.000000,2
0.000000,10.000000,0.996667,0.000000,3.666667,91.323928,69.831844,"PF-RichGate(b=0,p=0,d=10)",3,2,0.000000,2
0.000000,20.000000,0.986667,0.000000,3.666667,91.323928,69.870894,"PF-RichGate(b=0,p=0,d=20)",3,2,0.000000,2
0.000000,40.000000,0.983333,0.000000,3.666667,91.323928,69.910323,"PF-RichGate(b=0,p=0,d=40)",3,2,0.000000,2
0.000000,80.000000,0.550000,0.000000,9.666667,93.423837,68.565905,"PF-RichGate(b=0,p=0,d=80)",3,3,0.000000,2
0.000000,0.000000,0.193333,0.000000,38.666667,114.011426,91.421777,"PF-RichGate(b=0,p=0.25,d=0)",3,2,0.250000,2
0.000000,5.000000,0.193333,0.000000,38.666667,114.011426,91.421777,"PF-RichGate(b=0,p=0.25,d=5)",3,2,0.250000,2
0.000000,10.000000,0.190000,0.000000,38.666667,114.011426,91.430211,"PF-RichGate(b=0,p=0.25,d=10)",3,2,0.250000,2
0.000000,20.000000,0.180000,0.000000,38.666667,114.011426,91.452186,"PF-RichGate(b=0,p=0.25,d=20)",3,2,0.250000,2
0.000000,40.000000,0.176667,0.000000,38.666667,114.011426,91.473284,"PF-RichGate(b=0,p=0.25,d=40)",3,2,0.250000,2
0.000000,80.000000,0.133333,0.000000,38.666667,108.987553,90.875719,"PF-RichGate(b=0,p=0.25,d=80)",3,2,0.250000,2
0.000000,0.000000,0.180000,0.000000,38.666667,114.011426,91.428355,"PF-RichGate(b=0,p=0.5,d=0)",3,2,0.500000,2
0.000000,5.000000,0.180000,0.000000,38.666667,114.011426,91.428355,"PF-RichGate(b=0,p=0.5,d=5)",3,2,0.500000,2
0.000000,10.000000,0.176667,0.000000,38.666667,114.011426,91.436765,"PF-RichGate(b=0,p=0.5,d=10)",3,2,0.500000,2
0.000000,20.000000,0.166667,0.000000,38.666667,114.011426,91.458696,"PF-RichGate(b=0,p=0.5,d=20)",3,2,0.500000,2
0.000000,40.000000,0.163333,0.000000,38.666667,114.011426,91.479733,"PF-RichGate(b=0,p=0.5,d=40)",3,2,0.500000,2
0.000000,80.000000,0.130000,0.000000,38.666667,108.987553,90.969999,"PF-RichGate(b=0,p=0.5,d=80)",3,2,0.500000,2
0.000000,0.000000,0.136667,0.000000,38.666667,109.616582,91.496883,"PF-RichGate(b=0,p=0.75,d=0)",3,2,0.750000,2
0.000000,5.000000,0.136667,0.000000,38.666667,109.616582,91.496883,"PF-RichGate(b=0,p=0.75,d=5)",3,2,0.750000,2
0.000000,10.000000,0.136667,0.000000,38.666667,109.616582,91.496883,"PF-RichGate(b=0,p=0.75,d=10)",3,2,0.750000,2
0.000000,20.000000,0.130000,0.000000,38.666667,109.616582,91.519444,"PF-RichGate(b=0,p=0.75,d=20)",3,2,0.750000,2
0.000000,40.000000,0.130000,0.000000,38.666667,109.616582,91.519444,"PF-RichGate(b=0,p=0.75,d=40)",3,2,0.750000,2
0.000000,80.000000,0.113333,0.000000,38.666667,108.987553,91.236455,"PF-RichGate(b=0,p=0.75,d=80)",3,2,0.750000,2
0.001000,0.000000,0.280000,0.000000,38.000000,113.813343,89.329454,"PF-RichGate(b=0.001,p=0,d=0)",3,3,0.000000,2
0.001000,5.000000,0.280000,0.000000,38.000000,113.813343,89.329454,"PF-RichGate(b=0.001,p=0,d=5)",3,3,0.000000,2
0.001000,10.000000,0.276667,0.000000,38.000000,113.813343,89.338531,"PF-RichGate(b=0.001,p=0,d=10)",3,3,0.000000,2
0.001000,20.000000,0.266667,0.000000,38.000000,113.813343,89.361699,"PF-RichGate(b=0.001,p=0,d=20)",3,3,0.000000,2
0.001000,40.000000,0.263333,0.000000,38.000000,113.813343,89.384405,"PF-RichGate(b=0.001,p=0,d=40)",3,3,0.000000,2
0.001000,80.000000,0.190000,0.000000,38.000000,108.987553,88.519596,"PF-RichGate(b=0.001,p=0,d=80)",3,3,0.000000,2
0.001000,0.000000,0.193333,0.000000,38.666667,114.011426,91.421777,"PF-RichGate(b=0.001,p=0.25,d=0)",3,2,0.250000,2
0.001000,5.000000,0.193333,0.000000,38.666667,114.011426,91.421777,"PF-RichGate(b=0.001,p=0.25,d=5)",3,2,0.250000,2
0.001000,10.000000,0.190000,0.000000,38.666667,114.011426,91.430211,"PF-RichGate(b=0.001,p=0.25,d=10)",3,2,0.250000,2
0.001000,20.000000,0.180000,0.000000,38.666667,114.011426,91.452186,"PF-RichGate(b=0.001,p=0.25,d=20)",3,2,0.250000,2
0.001000,40.000000,0.176667,0.000000,38.666667,114.011426,91.473284,"PF-RichGate(b=0.001,p=0.25,d=40)",3,2,0.250000,2
0.001000,80.000000,0.133333,0.000000,38.666667,108.987553,90.875719,"PF-RichGate(b=0.001,p=0.25,d=80)",3,2,0.250000,2
0.001000,0.000000,0.180000,0.000000,38.666667,114.011426,91.428355,"PF-RichGate(b=0.001,p=0.5,d=0)",3,2,0.500000,2
