blocked_x,blocked_y,blocked_z,city,epoch,gps_tow,robust_x,robust_y,robust_z,run,segment_label,start_epoch,truth_x,truth_y,truth_z
-3961664.389411,3349281.952403,3698205.190989,tokyo,0,177161.600000,-3961673.647841,3349284.310312,3698209.788745,run2,tokyo_run2_seg808,808,-3961619.844000,3349310.527000,3698202.506000
-3961637.435356,3349296.041666,3698190.337836,tokyo,1,177161.799999,-3961671.911932,3349286.143664,3698212.033745,run2,tokyo_run2_seg808,808,-3961619.661000,3349311.248000,3698201.978000
-3961604.825925,3349332.742197,3698154.663987,tokyo,2,177162.000000,-3961671.629968,3349286.260397,3698211.688019,run2,tokyo_run2_seg808,808,-3961619.472000,3349312.003000,3698201.425000
-3961611.842269,3349328.213089,3698148.800022,tokyo,3,177162.200000,-3961670.812162,3349282.656946,3698209.496870,run2,tokyo_run2_seg808,808,-3961619.272000,3349312.794000,3698200.847000
-3961615.814427,3349323.408256,3698148.924908,tokyo,4,177162.399999,-3961670.727674,3349282.382932,3698210.508528,run2,tokyo_run2_seg808,808,-3961619.063000,3349313.623000,3698200.245000
-3961616.543985,3349322.453638,3698150.871870,tokyo,5,177162.600000,-3961670.224135,3349282.876244,3698210.748321,run2,tokyo_run2_seg808,808,-3961618.843000,3349314.489000,3698199.619000
-3961616.971595,3349321.952776,3698152.321784,tokyo,6,177162.799999,-3961671.195938,3349283.803142,3698212.377905,run2,tokyo_run2_seg808,808,-3961618.611000,3349315.388000,3698198.970000
-3961617.357355,3349321.844643,3698152.944730,tokyo,7,177163.000000,-3961670.722935,3349283.285627,3698214.491838,run2,tokyo_run2_seg808,808,-3961618.371000,3349316.322000,3698198.300000
-3961617.169065,3349321.111210,3698154.543456,tokyo,8,177163.200000,-3961668.724626,3349283.689248,3698216.332594,run2,tokyo_run2_seg808,808,-3961618.122000,3349317.286000,3698197.608000
-3961617.317511,3349320.925576,3698155.662565,tokyo,9,177163.399999,-3961665.919464,3349283.734638,3698216.380869,run2,tokyo_run2_seg808,808,-3961617.865000,3349318.286000,3698196.899000
-3961616.984803,3349320.618958,3698156.475340,tokyo,10,177163.600000,-3961666.710856,3349284.113813,3698221.028226,run2,tokyo_run2_seg808,808,-3961617.606000,3349319.319000,3698196.172000
-3961616.674142,3349320.094708,3698157.200082,tokyo,11,177163.799999,-3961667.830147,3349285.036159,3698225.565324,run2,tokyo_run2_seg808,808,-3961617.339000,3349320.381000,3698195.425000
-3961616.601405,3349319.600941,3698158.097880,tokyo,12,177164.000000,-3961667.828840,3349285.303813,3698227.919330,run2,tokyo_run2_seg808,808,-3961617.065000,3349321.477000,3698194.659000
-3961616.509688,3349319.334055,3698158.476403,tokyo,13,177164.200000,-3961668.359086,3349285.690286,3698230.055158,run2,tokyo_run2_seg808,808,-3961616.786000,3349322.604000,3698193.875000
-3961616.591088,3349319.247515,3698158.755421,tokyo,14,177164.399999,-3961668.258744,3349285.868888,3698230.235664,run2,tokyo_run2_seg808,808,-3961616.497000,3349323.757000,3698193.070000
-3961616.465364,3349318.884400,3698159.253874,tokyo,15,177164.600000,-3961667.965835,3349286.579295,3698232.046947,run2,tokyo_run2_seg808,808,-3961616.203000,3349324.941000,3698192.245000
-3961616.430302,3349318.368537,3698159.778484,tokyo,16,177164.799999,-3961668.479256,3349287.196202,3698233.775317,run2,tokyo_run2_seg808,808,-3961615.901000,3349326.153000,3698191.397000
