epoch,gps_tow,satellite_count,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_10k,est_x_pf_10k,est_y_pf_10k,est_z_pf_10k,error_2d_pf_100k,est_x_pf_100k,est_y_pf_100k,est_z_pf_100k
0,187470.000000,9,53.852061,-3961781.538621,3348953.268437,3698311.796883,53.852061,-3961781.538621,3348953.268437,3698311.796883,54.496165,-3961781.358145,3348951.507651,3698308.569133,53.878134,-3961781.405688,3348952.770351,3698310.427089
1,187470.199999,9,53.958920,-3961781.813853,3348953.346871,3698311.962086,53.959075,-3961781.815233,3348953.347691,3698311.962827,52.637954,-3961780.828200,3348953.422481,3698308.616512,52.963610,-3961780.552468,3348953.089670,3698309.446354
2,187470.399999,8,47.301391,-3961808.840269,3348981.734051,3698316.197860,47.710490,-3961802.475150,3348975.705266,3698314.673490,50.727465,-3961783.254364,3348957.119172,3698308.157793,51.196767,-3961781.799475,3348955.896391,3698309.245613
3,187470.600000,9,53.470434,-3961783.367995,3348954.899826,3698312.216942,52.802002,-3961789.128399,3348959.685716,3698314.138062,50.913968,-3961781.567254,3348955.740276,3698307.786378,51.285101,-3961781.422137,3348955.521046,3698309.087759
4,187470.800000,9,53.576468,-3961783.549235,3348955.023973,3698312.737061,53.536743,-3961785.857384,3348956.684982,3698313.668316,52.390916,-3961783.576935,3348955.525369,3698309.084620,51.669766,-3961781.022122,3348954.947061,3698309.577740
5,187471.000000,9,53.601183,-3961782.827554,3348954.441106,3698312.259950,53.655941,-3961784.069563,3348955.272881,3698312.879963,52.402283,-3961784.034345,3348955.966943,3698309.809510,51.868264,-3961780.956065,3348954.659679,3698309.536232
6,187471.199999,9,53.553223,-3961782.821722,3348954.450437,3698312.102491,53.594552,-3961783.297938,3348954.753899,3698312.371671,52.159735,-3961784.039251,3348956.327554,3698310.089611,51.891008,-3961780.782199,3348954.378204,3698308.965133
7,187471.399999,9,53.672160,-3961782.764948,3348954.283902,3698312.130926,53.662902,-3961782.921518,3348954.406000,3698312.202523,52.583902,-3961786.071538,3348957.192558,3698310.500083,51.921495,-3961781.076207,3348954.577660,3698309.192905
8,187471.600000,9,53.700699,-3961782.776072,3348954.277836,3698312.206840,53.687698,-3961782.752624,3348954.271734,3698312.178618,52.666425,-3961784.645958,3348956.122656,3698310.197472,51.908931,-3961780.389197,3348954.226174,3698309.354934
9,187471.800000,9,53.323647,-3961782.246219,3348954.128070,3698311.168566,53.399800,-3961782.421681,3348954.199478,3698311.383582,53.839240,-3961785.109125,3348954.905951,3698309.777639,52.355432,-3961780.523244,3348953.818667,3698309.523841
10,187472.000000,9,53.452213,-3961782.132635,3348953.952101,3698311.325934,53.434635,-3961782.159772,3348953.984714,3698311.311031,54.391921,-3961785.006168,3348954.242847,3698310.068311,52.759144,-3961780.453880,3348953.275607,3698309.447203
11,187472.200000,9,53.465666,-3961782.520460,3348954.247865,3698311.632769,53.433691,-3961782.252122,3348954.081030,3698311.459255,53.277276,-3961783.507909,3348954.452798,3698309.240972,52.969146,-3961780.985474,3348953.440959,3698309.823402
12,187472.399999,9,53.571513,-3961782.211876,3348953.892017,3698311.454003,53.538430,-3961782.162395,3348953.891697,3698311.415078,53.575655,-3961783.765426,3348954.420962,3698309.936002,52.935406,-3961781.176591,3348953.605641,3698309.866307
13,187472.600000,9,53.566141,-3961782.151223,3348953.877337,3698311.504643,53.549881,-3961782.068113,3348953.829485,3698311.437383,54.001526,-3961784.778917,3348954.538446,3698309.932693,52.978723,-3961781.219802,3348953.597325,3698309.932100
14,187472.799999,9,53.694507,-3961782.006340,3348953.648633,3698311.533268,53.661840,-3961781.960473,3348953.645864,3698311.480063,54.919079,-3961785.175686,3348953.766607,3698310.288165,53.149512,-3961781.695146,3348953.722554,3698310.108585
15,187473.000000,9,53.682129,-3961781.908973,3348953.604600,3698311.524682,53.671688,-3961781.851708,3348953.570816,3698311.478613,54.465569,-3961783.968280,3348953.581134,3698310.352628,53.276381,-3961781.677620,3348953.495796,3698309.865449
16,187473.200000,9,53.754831,-3961782.539935,3348954.067850,3698312.175046,53.706407,-3961782.123427,3348953.805020,3698311.894364,54.323980,-3961784.227796,3348953.959162,3698310.552221,52.977732,-3961781.625057,3348953.813239,3698309.836032
17,187473.399999,9,53.676306,-3961782.367207,3348954.039127,3698312.096363,53.667208,-3961782.186804,3348953.915500,3698311.989836,54.269224,-3961784.709047,3348954.409938,3698310.916950,53.197469,-3961781.776479,3348953.637292,3698309.821271
18,187473.600000,9,53.766815,-3961782.311371,3348953.945559,3698312.256834,53.737873,-3961782.192448,3348953.883611,3698312.159537,54.677625,-3961785.171044,3348954.401301,3698311.711788,53.443813,-3961782.316686,3348953.762530,3698310.187829
19,187473.799999,9,53.704594,-3961782.306834,3348953.979706,3698312.127684,53.705413,-3961782.216235,3348953.918462,3698312.099260,54.539081,-3961785.846289,3348955.085426,3698312.136917,53.428380,-3961782.515719,3348953.962608,3698310.425778
20,187474.000000,9,53.610030,-3961782.323363,3348954.056918,3698311.971228,53.623077,-3961782.242304,3348953.992522,3698311.963875,54.615589,-3961785.635675,3348954.827497,3698311.986009,53.497935,-3961782.773451,3348954.005404,3698310.316191
21,187474.200000,9,53.777895,-3961782.399504,3348953.968491,3698312.206412,53.740421,-3961782.287106,3348953.922879,3698312.117650,54.796441,-3961786.366604,3348955.168335,3698312.430841,53.543117,-3961783.016627,3348954.156729,3698310.543858
22,187474.399999,9,53.732121,-3961782.555202,3348954.151428,3698312.341940,53.720842,-3961782.383006,3348954.036128,3698312.238731,55.202233,-3961786.840814,3348955.062157,3698312.792973,53.687696,-3961782.950379,3348954.037689,3698310.899875
23,187474.600000,9,53.800567,-3961782.538265,3348954.090479,3698312.446651,53.777641,-3961782.429696,3348954.032849,3698312.368494,55.391710,-3961787.523834,3348955.363329,3698313.236554,53.733395,-3961782.782040,3348953.948414,3698311.143705
24,187474.799999,9,53.804918,-3961782.364433,3348953.971922,3698312.399222,53.799471,-3961782.362730,3348953.974778,3698312.390117,55.423277,-3961787.420313,3348955.295136,3698313.369573,53.401747,-3961782.626126,3348954.210985,3698310.992466
25,187475.000000,9,53.987489,-3961782.001463,3348953.536541,3698312.360367,53.963176,-3961782.146054,3348953.662381,3698312.410241,55.372242,-3961786.517023,3348954.870389,3698313.605935,53.354889,-3961782.222062,3348953.993185,3698310.863665
26,187475.200000,9,54.147118,-3961782.059450,3348953.455343,3698312.615442,54.114084,-3961782.059763,3348953.482487,3698312.574178,55.572296,-3961787.308770,3348955.094356,3698313.550883,53.491475,-3961782.329700,3348953.950491,3698311.071671
27,187475.399999,9,54.437037,-3961782.848341,3348953.864780,3698313.646271,54.345373,-3961782.403465,3348953.617338,3698313.294224,55.921124,-3961787.055242,3348954.614661,3698313.902210,53.417438,-3961782.230782,3348954.031498,3698311.256275
28,187475.600000,9,54.336869,-3961783.344652,3348954.373422,3698314.013726,54.309257,-3961782.850255,3348954.040287,3698313.722163,56.686164,-3961787.586069,3348954.048487,3698314.015064,53.428273,-3961782.306814,3348954.129617,3698311.495971
29,187475.799999,9,54.426284,-3961782.913620,3348953.983636,3698313.876178,54.407545,-3961782.876668,3348953.976018,3698313.846066,56.431220,-3961786.812618,3348953.902103,3698314.058702,53.241437,-3961782.159863,3348954.321135,3698311.690388
30,187476.000000,8,67.985603,-3961811.103226,3348966.784867,3698353.336302,62.343666,-3961793.443674,3348957.837504,3698335.270859,56.287728,-3961787.045471,3348954.328305,3698314.494100,53.657916,-3961782.713637,3348954.381798,3698312.519433
31,187476.200000,8,67.990404,-3961811.132818,3348966.803621,3698353.362725,65.829205,-3961801.871123,3348961.830411,3698345.360955,55.929416,-3961787.036169,3348954.813901,3698314.729705,54.057611,-3961783.517681,3348954.733276,3698313.779504
32,187476.399999,9,54.225877,-3961782.988309,3348954.206005,3698313.685943,56.888083,-3961792.685304,3348959.181593,3698322.586822,55.634085,-3961787.049543,3348955.220631,3698314.901422,54.014325,-3961783.513475,3348954.762990,3698313.713853
33,187476.600000,9,54.089382,-3961783.415141,3348954.615111,3698313.704336,54.962159,-3961788.095967,3348957.210398,3698316.981799,56.089433,-3961787.487993,3348955.026728,3698315.234007,53.948069,-3961783.381895,3348954.775697,3698313.743964
34,187476.799999,9,54.245763,-3961783.623621,3348954.643181,3698314.027089,54.528969,-3961785.818983,3348955.939924,3698315.328728,56.345843,-3961786.655339,3348954.232277,3698315.225334,53.979888,-3961782.999779,3348954.511794,3698313.710864
35,187477.000000,8,67.795115,-3961811.474113,3348967.176585,3698353.357753,62.345133,-3961795.273486,3348959.090070,3698336.311470,56.987577,-3961786.519515,3348953.662834,3698316.162695,54.487334,-3961783.742784,3348954.674051,3698314.858723
36,187477.200000,8,67.880110,-3961811.348529,3348967.045390,3698353.408086,65.783782,-3961802.886168,3348962.566472,3698345.927127,57.795580,-3961786.398669,3348952.753858,3698316.555366,54.630723,-3961783.910465,3348954.833158,3698315.621601
37,187477.399999,9,53.641010,-3961782.403839,3348954.254003,3698312.621854,56.451654,-3961792.817602,3348959.606814,3698322.026381,57.611487,-3961787.160937,3348953.396275,3698316.535214,54.551812,-3961783.960620,3348954.936072,3698315.563328
38,187477.600000,9,53.555816,-3961782.150092,3348954.127076,3698312.336614,54.475144,-3961787.391945,3348957.073720,3698315.887450,57.551908,-3961787.396819,3348953.463855,3698316.060494,54.481852,-3961783.834757,3348954.923594,3698315.480559
39,187477.799999,8,67.764257,-3961811.384981,3348967.169612,3698353.346322,62.335945,-3961795.960910,3348959.580117,3698336.718534,57.462396,-3961787.432113,3348953.706008,3698316.460297,54.722989,-3961784.229355,3348955.128844,3698316.350054
40,187478.000000,8,67.715440,-3961811.308829,3348967.187001,3698353.329646,65.675216,-3961803.144151,3348962.860808,3698346.055501,57.101234,-3961787.372247,3348954.318675,3698317.198977,54.971668,-3961784.582312,3348955.275693,3698317.125925
41,187478.200000,9,53.993533,-3961782.673707,3348954.187515,3698313.295723,56.751231,-3961793.151218,3348959.637742,3698322.692296,57.141928,-3961788.262992,3348954.861386,3698317.488865,54.909059,-3961784.470326,3348955.264895,3698317.051099
42,187478.399999,9,54.176890,-3961782.922397,3348954.229716,3698313.695065,55.035235,-3961787.989379,3348957.098967,3698317.111764,57.749198,-3961788.086623,3348954.268649,3698318.249955,54.938244,-3961784.763617,3348955.364777,3698316.974171
43,187478.600000,9,54.115316,-3961782.962805,3348954.279677,3698313.541586,54.443921,-3961785.347214,3348955.670642,3698314.983842,57.635817,-3961788.336481,3348954.574916,3698318.355160,54.876006,-3961784.695034,3348955.328426,3698316.746710
44,187478.799999,9,54.832724,-3961784.565645,3348955.039515,3698315.889421,54.738598,-3961784.762859,3348955.210327,3698315.725040,57.512979,-3961787.762443,3348954.420782,3698318.421632,54.850093,-3961784.687976,3348955.395427,3698316.872822
45,187479.000000,9,54.834484,-3961784.201981,3348954.746065,3698315.599492,54.819250,-3961784.403208,3348954.895134,3698315.662210,57.469669,-3961787.309159,3348954.107303,3698318.055029,54.848584,-3961784.643295,3348955.373894,3698316.876032
46,187479.200000,9,54.763029,-3961784.040543,3348954.686738,3698315.423560,54.773044,-3961784.151453,3348954.754082,3698315.480756,57.452690,-3961787.681024,3348954.176919,3698317.536546,54.740387,-3961784.652339,3348955.499197,3698316.852251
47,187479.399999,9,54.531208,-3961784.095727,3348954.928954,3698315.218374,54.566150,-3961784.059803,3348954.871781,3698315.232293,57.438334,-3961787.611206,3348954.169928,3698317.587239,54.715968,-3961784.596133,3348955.442986,3698316.681505
48,187479.600000,9,54.491125,-3961783.715975,3348954.685067,3698314.958133,54.503532,-3961783.819556,3348954.746702,3698315.018909,57.515482,-3961787.274210,3348953.998697,3698317.942103,54.834690,-3961784.743266,3348955.354038,3698316.589858
49,187479.799999,9,54.205985,-3961783.782904,3348954.943252,3698314.572380,54.252680,-3961783.754499,3348954.887626,3698314.624469,56.880288,-3961786.343816,3348954.079487,3698317.437842,54.774188,-3961784.761459,3348955.401160,3698316.480291
50,187480.000000,9,54.296506,-3961784.713391,3348955.612318,3698315.413180,54.233199,-3961784.161181,3348955.265590,3698315.043309,57.362465,-3961786.610056,3348953.638517,3698317.382535,54.845761,-3961784.621367,3348955.166287,3698316.247455
51,187480.200000,9,54.347625,-3961785.285995,3348956.045587,3698315.984050,54.267554,-3961784.669232,3348955.668788,3698315.568523,57.410060,-3961787.163570,3348953.917665,3698317.471974,54.563619,-3961784.389413,3348955.326575,3698316.100775
52,187480.399999,9,54.225159,-3961785.053668,3348955.976216,3698315.705100,54.208970,-3961784.838778,3348955.839877,3698315.589907,57.553670,-3961787.014857,3348953.761307,3698317.785812,54.560181,-3961784.337205,3348955.272323,3698316.006367
53,187480.600000,9,54.337816,-3961785.180862,3348955.978448,3698315.918728,54.289579,-3961784.984706,3348955.881137,3698315.771798,57.272883,-3961786.230819,3348953.515315,3698317.319504,54.506678,-3961784.200189,3348955.213894,3698315.858547
54,187480.799999,9,54.082372,-3961785.247729,3348956.226053,3698315.607399,54.105103,-3961785.108489,3348956.112211,3698315.580227,57.307214,-3961787.446335,3348954.192230,3698317.452716,54.411042,-3961783.841836,3348955.039868,3698315.571888
55,187481.000000,9,54.209590,-3961785.293645,3348956.196394,3698315.926797,54.167991,-3961785.162887,3348956.133286,3698315.797510,57.815820,-3961788.258502,3348954.128008,3698317.723773,54.371541,-3961783.929514,3348955.204521,3698315.793910
56,187481.200000,9,54.203546,-3961784.903974,3348955.873127,3698315.557142,54.199055,-3961785.023598,3348955.967865,3698315.630531,56.932900,-3961787.798318,3348954.602911,3698316.659492,54.232527,-3961783.724497,3348955.173625,3698315.530608
57,187481.399999,9,54.338309,-3961785.143253,3348955.972873,3698315.972026,54.293993,-3961785.044185,3348955.934618,3698315.855597,56.488127,-3961787.378248,3348954.838981,3698316.481206,54.204814,-3961783.766655,3348955.209190,3698315.464997
58,187481.600000,9,54.762179,-3961785.568423,3348955.924643,3698316.677988,54.644983,-3961785.286303,3348955.823626,3698316.408277,56.308266,-3961788.068331,3348955.542421,3698316.798898,54.375750,-3961783.933910,3348955.186179,3698315.739463
59,187481.799999,9,54.851170,-3961785.558846,3348955.875021,3698316.867529,54.795060,-3961785.398838,3348955.805636,3698316.715256,55.946314,-3961787.881611,3348956.035324,3698317.377471,54.347033,-3961783.747971,3348955.143975,3698315.813423
60,187482.000000,9,54.838612,-3961785.337334,3348955.705911,3698316.656422,54.831759,-3961785.363339,3348955.733618,3698316.673139,55.678069,-3961787.079381,3348955.891509,3698317.337098,54.404820,-3961783.770037,3348955.027228,3698315.608353
61,187482.200000,9,54.456171,-3961784.295334,3348955.151880,3698315.225442,54.573909,-3961784.852201,3348955.464936,3698315.689187,55.722206,-3961786.891873,3348955.912371,3698317.881256,54.405584,-3961783.505036,3348954.918438,3698315.688998
62,187482.399999,9,54.789011,-3961784.640345,3348955.215749,3698316.026443,54.744859,-3961784.681490,3348955.269385,3698315.956781,55.892995,-3961786.722723,3348955.633849,3698317.872015,54.413873,-3961783.470239,3348954.923290,3698315.731646
63,187482.600000,9,55.636864,-3961785.437914,3348955.201410,3698317.685923,55.423787,-3961784.980778,3348955.038417,3698317.167114,55.405435,-3961786.774048,3348956.147809,3698317.478498,54.358693,-3961783.665807,3348955.172328,3698315.885549
64,187482.799999,9,56.095975,-3961784.875915,3348954.160193,3698316.969914,56.001568,-3961785.009549,3348954.375010,3698317.064652,55.819832,-3961786.976075,3348955.888200,3698317.743083,54.519132,-3961783.633803,3348954.958631,3698315.747753
65,187483.000000,9,56.095005,-3961784.420280,3348953.710705,3698316.195081,56.126477,-3961784.761957,3348953.953429,3698316.487986,56.520574,-3961787.477558,3348955.342637,3698317.604088,54.581932,-3961783.574051,3348954.895996,3698315.748329
66,187483.200000,9,55.887705,-3961782.388287,3348952.066029,3698313.556462,56.055051,-3961783.657458,3348952.878643,3698314.545125,56.883747,-3961787.109640,3348954.732577,3698317.519306,54.659877,-3961783.690826,3348954.908610,3698315.711523
67,187483.399999,8,65.483644,-3961779.218406,3348938.304321,3698311.262571,63.599172,-3961782.471005,3348942.871924,3698313.030645,57.335932,-3961786.852702,3348954.036730,3698317.270409,55.076406,-3961783.889975,3348954.534589,3698315.550715
68,187483.600000,9,55.622576,-3961779.145272,3348949.681476,3698310.225816,57.086594,-3961779.731277,3348948.445866,3698310.797392,57.539023,-3961786.933571,3348953.861379,3698317.110426,55.179068,-3961783.801932,3348954.344777,3698315.270631
69,187483.799999,9,54.935200,-3961777.987247,3348949.687511,3698309.459130,55.353988,-3961778.441138,3348949.540707,3698309.773165,57.378439,-3961787.305751,3348954.245352,3698316.788026,55.186332,-3961783.502613,3348954.191947,3698315.108923
70,187484.000000,9,54.539219,-3961778.080790,3348950.230816,3698309.263388,54.681413,-3961778.032501,3348950.038305,3698309.277230,57.570566,-3961786.762746,3348953.691659,3698316.469801,55.308386,-3961783.551272,3348954.107467,3698314.965714
71,187484.200000,9,54.687462,-3961778.107117,3348950.243318,3698309.593085,54.666070,-3961777.884417,3348950.086385,3698309.404010,57.419242,-3961786.444321,3348953.642110,3698316.033213,55.192777,-3961783.428794,3348954.139985,3698314.588465
72,187484.399999,9,54.883613,-3961778.162204,3348950.266501,3698310.069392,54.816480,-3961777.845182,3348950.083182,3698309.788269,57.103389,-3961785.466992,3348953.308055,3698315.217192,55.323569,-3961783.320636,3348953.910044,3698314.251340
