epoch,tow,tdcp_used,tdcp_last_velocity_used,dd_pr_anchor_used,dd_pr_n,dd_pr_kept,dd_pr_shift_m,dd_pr_robust_rms_m,height_hold_used,height_hold_effective_alpha,height_hold_reference_alt_m,height_hold_correction_m,widelane_anchor_used,widelane_reason,widelane_candidate_pairs,widelane_fixed_pairs,widelane_fix_rate,widelane_n_dd,widelane_anchor_kept,widelane_anchor_shift_m,widelane_anchor_robust_rms_m,ppc_segment_distance_m,wls_error_2d_m,wls_error_3d_m,wls_ppc_pass,wls_ppc_pass_distance_m,fused_error_2d_m,fused_error_3d_m,fused_ppc_pass,fused_ppc_pass_distance_m,dt,tdcp_postfit_rms_m,tdcp_velocity_error_mps
0,187730.0,False,False,True,9,8,100.06933369431245,0.47587788214577764,True,1.0,39.34772379603237,0.0,False,low_fix_rate,7,0,0.0,0,0,,,0.0,88.69883344797152,100.03831917881787,False,0.0,0.2550064024411293,0.2806288859009746,True,0.0,,,
1,187730.20000004768,False,False,True,9,8,0.8859290384188225,0.407840220327918,True,1.0,39.34772379603237,0.03303963918956318,False,low_fix_rate,7,0,0.0,0,0,,,0.6138477008043491,87.77371694397434,99.44066361954566,False,0.0,0.681934765143585,0.6917237396236897,False,0.0,0.20000004768371582,,
2,187730.39999890327,False,False,True,9,8,1.37590908323635,0.45480216582609234,True,1.0,39.34772379603237,0.06388305205278699,False,low_fix_rate,7,0,0.0,0,0,,,0.6558208598424372,88.18598168104002,99.809332347839,False,0.0,1.089546202806751,1.0954684053532375,False,0.0,0.1999988555908203,,
3,187730.59999990463,False,False,True,9,8,1.5880213281087734,0.47572479058984746,True,1.0,39.34772379603237,0.09527584926875524,False,low_fix_rate,7,0,0.0,0,0,,,0.6992495978334358,88.30482771439668,99.68682626898907,False,0.0,1.4031104764796871,1.4076938739989897,False,0.0,0.20000100135803223,,
4,187730.79999899864,True,False,True,9,7,1.089973024590795,0.5304385137920667,True,1.0,39.34772379603237,0.06449865123245324,False,ok,7,6,0.8571428571428571,6,6,1.1111349804274,0.1520311175771697,0.7462801081653736,88.97764215992348,99.62062391378711,False,0.0,1.080602192455732,1.086555982905313,False,0.0,0.19999909400939941,0.010810149163333234,0.04743601424809455
5,187731.0,True,False,True,9,7,1.1331038905554183,0.5530917681200243,True,1.0,39.34772379603237,0.034519387651116014,False,ok,7,6,0.8571428571428571,6,6,1.1581012205521073,0.15993318223284952,0.7955677217969698,90.47802325571254,95.25849760741295,False,0.0,0.7989322396629681,0.8068927500442596,False,0.0,0.20000100135803223,0.01107720246396901,0.2892789342950335
6,187731.20000004768,False,True,True,9,7,1.3957302971501617,0.580667565103087,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.7364850803718154,0.02671908940048351,0.8441854062581183,90.20468511609906,94.94208336082814,False,0.0,0.18793921683128162,0.23829586860365454,True,0.8441854062581183,0.20000004768371582,,
7,187731.39999890327,False,True,True,8,7,1.2121794535379724,0.5151824939869352,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.35687386476219374,0.02422046297411743,0.9049607724549391,86.84353909976814,93.50207210560023,False,0.0,0.17574704104586367,0.23369870871933585,True,0.9049607724549391,0.1999988555908203,,
8,187731.59999990463,False,True,True,8,7,1.459800704833715,0.5410950560096747,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.4426491257485582,0.02587567878650781,0.9714267858376802,87.56338470433073,94.6770308302464,False,0.0,0.16644318183668388,0.22158139542914135,True,0.9714267858376802,0.20000100135803223,,
9,187731.79999899864,False,True,True,8,7,1.6454215769404776,0.5407809591491776,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.5423074612938829,0.02321047641762394,1.0278448327079819,87.82997725669777,94.86918384972113,False,0.0,0.12307048313514601,0.17833717155713955,True,1.0278448327079819,0.19999909400939941,,
10,187732.0,False,True,True,7,6,0.873169161360235,0.5439304317341275,True,1.0,39.34772379603237,0.23811935404976386,True,ok,6,5,0.8333333333333334,5,5,0.3651891639806097,0.022938825950087397,1.0923419797324034,102.97263315302348,106.74468834719882,False,0.0,0.10317401036394773,0.1413762518257986,True,1.0923419797324034,0.20000100135803223,,
11,187732.20000004768,False,True,True,7,6,0.5759414126914273,0.5295210678427602,True,1.0,39.34772379603237,0.23615908347097408,True,ok,6,5,0.8333333333333334,5,5,0.4995835433261002,0.020418925193725228,1.153922440797086,100.08676801345138,104.18498673309134,False,0.0,0.1385709996876395,0.166170221015849,True,1.153922440797086,0.20000004768371582,,
12,187732.39999890327,False,True,True,7,6,0.7738993857958435,0.5064601103429854,True,1.0,39.34772379603237,0.22684711617901146,True,ok,6,5,0.8333333333333334,5,5,0.5570689121209472,0.02655027438299802,1.2147341273960288,99.56323512422662,103.79643340586269,False,0.0,0.15748328449032933,0.1787049433391548,True,1.2147341273960288,0.1999988555908203,,
13,187732.59999990463,False,True,True,8,6,1.0045267199137746,0.5816705334093011,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.6172456178624414,0.027990338998035855,1.2749376454219687,89.103413064059,96.83544167445034,False,0.0,0.157011018483416,0.2168663623539868,True,1.2749376454219687,0.20000100135803223,,
14,187732.79999899864,False,True,True,8,6,1.422791646808111,0.5573537596690782,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.5505412459689001,0.029576557851839005,1.331520934901766,88.67495097558756,96.64964821144825,False,0.0,0.14069322323878017,0.2075142482581149,True,1.331520934901766,0.19999909400939941,,
15,187733.0,False,True,True,8,6,1.5477407177373699,0.5443123090790521,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.6160245662659913,0.029136189738106198,1.390482649758601,88.20038669689627,95.94428178654216,False,0.0,0.15752882804432405,0.22311528735210048,True,1.390482649758601,0.20000100135803223,,
16,187733.20000004768,True,False,True,8,6,1.6353455236889385,0.5312255360599555,True,1.0,39.34772379603237,0.21054886163591516,True,ok,6,5,0.8333333333333334,5,5,0.49463406600037757,0.032764999340569055,1.444438299176233,77.61182750677239,84.44893360843751,False,0.0,0.1257256835842895,0.14350244073874927,True,1.444438299176233,0.20000004768371582,0.018029476596992475,0.47022765782504755
17,187733.39999890327,True,False,True,6,6,1.4382051615112958,0.20565969598116718,True,1.0,39.34772379603237,0.20775160016619446,True,ok,6,5,0.8333333333333334,5,5,0.6227341196670817,0.02355727142423334,1.4908846365582484,63.17278090880393,69.18016449179203,False,0.0,0.10599049703045262,0.12746630818536128,True,1.4908846365582484,0.1999988555908203,0.003930122073494778,0.07329468421887259
18,187733.59999990463,False,True,True,6,6,1.4838524318073165,0.1979112712171798,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.6530362340448284,0.024132144531937367,1.5438118413784814,63.66969609122106,72.31578973095144,False,0.0,0.10807777929954261,0.16653730455693722,True,1.5438118413784814,0.20000100135803223,,
19,187733.79999899864,False,True,True,6,6,1.599734712304674,0.2041142623285529,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.5210858302660489,0.03663737300550544,1.5891711676209832,64.75820934022566,74.45767733923029,False,0.0,0.12610753592291415,0.19063159943881458,True,1.5891711676209832,0.19999909400939941,,
20,187734.0,False,True,True,6,6,1.49767479733572,0.22986725220742488,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.4953517177469792,0.02669608019219104,1.6318906210996906,62.022025122318276,71.07605141887514,False,0.0,0.10364589140714767,0.1821301611570718,True,1.6318906210996906,0.20000100135803223,,
21,187734.20000004768,False,True,True,7,7,2.842186477981373,0.463691067068238,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.9276630084464275,0.027029171311821854,1.6793522560438945,80.71109610703249,85.78353194365036,False,0.0,0.09305486243847795,0.1707799108359981,True,1.6793522560438945,0.20000004768371582,,
22,187734.39999890327,False,True,True,8,6,1.3361101744314638,0.5535276316858054,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.46236114384605687,0.02803696400307087,1.7207353081902212,71.71793113605717,78.06381072975425,False,0.0,0.10640980456788161,0.17690828171309878,True,1.7207353081902212,0.1999988555908203,,
23,187734.59999990463,False,True,True,7,6,1.3088351121661366,0.4846329097578147,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.47576441457703056,0.02762343968680153,1.765037676346186,58.66143022373156,69.76590905942102,False,0.0,0.14949055430553015,0.21386828876186478,True,1.765037676346186,0.20000100135803223,,
24,187734.79999899864,False,True,True,7,6,1.2063311249074562,0.49290302769443645,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.45734190667776586,0.031895404255571906,1.8025118586001536,75.32972497974633,88.85194511139373,False,0.0,0.12473976810940436,0.2010450661614367,True,1.8025118586001536,0.19999909400939941,,
25,187735.0,False,True,True,7,6,1.178580553036645,0.45923945152289564,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.4459623327773643,0.03714685117048154,1.8403763203048285,76.1153244395597,89.32982236151462,False,0.0,0.11490972772422571,0.19528726469318133,True,1.8403763203048285,0.20000100135803223,,
26,187735.20000004768,False,True,True,8,6,1.3920905668602201,0.5463607183885448,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.5042085799911377,0.03630944855700062,1.881368916138608,80.38558099085641,93.26581006833091,False,0.0,0.17477655278839835,0.2403374050647834,True,1.881368916138608,0.20000004768371582,,
27,187735.39999890327,False,True,True,8,6,1.6092180063263972,0.5363261135799149,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.5411618119862912,0.018992435279141285,1.9166992465214545,81.94639267184327,94.90153310138882,False,0.0,0.18447800870004716,0.23972427278294126,True,1.9166992465214545,0.1999988555908203,,
28,187735.59999990463,False,True,True,9,7,2.242369636203265,0.5840104236305701,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.7982040062848462,0.02220043286966734,1.9472539639863808,88.69429974555594,97.85816397270906,False,0.0,0.2013842228061852,0.25955630392934786,True,1.9472539639863808,0.20000100135803223,,
29,187735.79999899864,False,True,True,9,7,2.1939194741963832,0.5946311516189285,True,0.0,39.34772379603237,0.0,True,ok,6,5,0.8333333333333334,5,5,0.844989795311835,0.018431797916907647,1.9819175058252478,89.14125602694494,98.4138864296872,False,0.0,0.16108743708221437,0.22455668052586492,True,1.9819175058252478,0.19999909400939941,,
