city,run,epoch,gps_tow,sat_count,los_count,nlos_count,reflection_count,excess_delay_m_max,excess_delay_m_p90
tokyo,run2,0,177000.0,25,25,0,0,0.0,0.0
tokyo,run2,200,177040.0,25,25,0,0,0.0,0.0
tokyo,run2,400,177080.0,19,19,0,19,50.30323650315404,50.30323650315404
tokyo,run2,600,177120.0,21,21,0,0,0.0,0.0
tokyo,run2,800,177160.0,22,21,1,22,17.0522656776011,17.0522656776011
tokyo,run2,1000,177200.0,20,19,1,20,17.235414903610945,17.235414903610945
tokyo,run2,1200,177240.0,19,11,8,19,38.55958428233862,38.55958428233862
tokyo,run2,1400,177280.0,16,14,2,0,0.0,0.0
tokyo,run2,1600,177320.0,22,22,0,22,17.469120021909475,17.469120021909475
tokyo,run2,1800,177360.0,22,22,0,22,16.40578258410096,16.40578258410096
tokyo,run2,2000,177400.0,23,22,1,23,17.5610867254436,17.5610867254436
tokyo,run2,2200,177440.0,24,22,2,24,17.524990428239107,17.524990428239107
tokyo,run2,2400,177480.0,18,18,0,18,18.71429367363453,18.71429367363453
tokyo,run2,2600,177520.0,21,20,1,21,19.056228540837765,19.056228540837765
tokyo,run2,2800,177560.0,21,20,1,21,19.1203590631485,19.1203590631485
tokyo,run2,3000,177600.0,16,16,0,16,55.90905599296093,55.90905599296093
tokyo,run2,3200,177640.0,17,14,3,17,26.21324296295643,26.21324296295643
tokyo,run2,3400,177680.0,13,11,2,0,0.0,0.0
tokyo,run2,3600,177720.0,16,13,3,16,17.929707244038582,17.929707244038582
tokyo,run2,3800,177760.0,18,15,3,18,17.971634481102228,17.971634481102228
tokyo,run2,4000,177800.0,18,18,0,0,0.0,0.0
tokyo,run2,4200,177840.0,21,21,0,0,0.0,0.0
tokyo,run2,4400,177880.0,18,18,0,18,6.172485843300819,6.172485843300819
tokyo,run2,4600,177924.199999094,12,11,1,12,195.33448224142194,195.33448224142194
tokyo,run2,4800,177964.40000009537,15,13,2,15,195.1516957655549,195.1516957655549
tokyo,run2,5000,178004.39999890327,8,8,0,8,31.553279049694538,31.553279049694538
tokyo,run2,5200,178044.39999890327,19,14,5,19,323.15333500131965,323.15333500131965
tokyo,run2,5400,178084.40000009537,13,12,1,0,0.0,0.0
tokyo,run2,5600,178124.39999890327,9,9,0,0,0.0,0.0
tokyo,run2,5800,178164.39999890327,12,12,0,0,0.0,0.0
tokyo,run2,6000,178204.40000009537,10,9,1,0,0.0,0.0
tokyo,run2,6200,178244.39999890327,10,7,3,0,0.0,0.0
tokyo,run2,6400,178284.39999890327,20,20,0,20,214.41207094490528,214.41207094490528
tokyo,run2,6600,178329.0,18,15,3,18,93.13813132420182,93.13813132420182
tokyo,run2,6800,178369.0,17,14,3,17,49.63135093450546,49.63135093450546
tokyo,run2,7000,178409.0,13,12,1,13,18.61233200505376,18.61233200505376
tokyo,run2,7200,178449.0,13,13,0,13,740.204340390861,740.204340390861
tokyo,run2,7400,178489.0,14,14,0,0,0.0,0.0
tokyo,run2,7600,178529.0,18,18,0,18,261.0859215669334,261.0859215669334
tokyo,run2,7800,178569.0,18,17,1,0,0.0,0.0
tokyo,run2,8000,178609.0,18,13,5,0,0.0,0.0
tokyo,run2,8200,178649.0,24,24,0,24,18.90163165330887,18.90163165330887
tokyo,run2,8400,178689.0,17,17,0,17,19.177970990538597,19.177970990538597
tokyo,run2,8600,178729.0,23,23,0,23,17.538580372929573,17.538580372929573
tokyo,run2,8800,178769.0,20,20,0,0,0.0,0.0
tokyo,run2,9000,178809.0,21,21,0,0,0.0,0.0
