city,run,epoch,gps_tow,sat_count,los_count,nlos_count,reflection_count,excess_delay_m_max,excess_delay_m_p90
nagoya,run1,0,550380.0,16,16,0,16,53.640489380806684,53.640489380806684
nagoya,run1,60,550392.0,17,17,0,17,53.632207840681076,53.632207840681076
nagoya,run1,120,550404.0,17,16,1,17,53.62091547250748,53.62091547250748
nagoya,run1,180,550416.0,16,16,0,16,53.61056736856699,53.61056736856699
nagoya,run1,240,550428.0,15,15,0,15,53.59040282294154,53.59040282294154
nagoya,run1,300,550440.0,17,17,0,17,53.76204797625542,53.76204797625542
nagoya,run1,360,550452.0,19,19,0,0,0.0,0.0
nagoya,run1,420,550464.0,19,19,0,19,69.57301684841514,69.57301684841514
nagoya,run1,480,550476.0,21,21,0,21,61.31668617576361,61.31668617576361
nagoya,run1,540,550488.0,21,20,1,21,110.80078312009573,110.80078312009573
nagoya,run1,600,550500.0,21,20,1,0,0.0,0.0
nagoya,run1,660,550512.0,20,19,1,20,92.34819860756397,92.34819860756397
nagoya,run1,720,550524.0,19,18,1,0,0.0,0.0
nagoya,run1,780,550536.0,18,18,0,18,69.17436663806438,69.17436663806438
nagoya,run1,840,550548.0,18,18,0,18,69.07057127729058,69.07057127729058
nagoya,run1,900,550560.0,17,17,0,17,69.05663161352277,69.05663161352277
nagoya,run1,960,550572.0,17,17,0,0,0.0,0.0
nagoya,run1,1020,550584.0,19,19,0,0,0.0,0.0
nagoya,run1,1080,550610.5999999046,9,8,1,0,0.0,0.0
nagoya,run1,1140,550623.5999999046,10,7,3,10,66.70836782827973,66.70836782827973
nagoya,run1,1200,550635.599998951,10,6,4,10,72.9314975142479,72.9314975142479
nagoya,run1,1260,550648.7999999523,12,12,0,0,0.0,0.0
nagoya,run1,1320,550660.7999989986,15,14,1,0,0.0,0.0
nagoya,run1,1380,550672.7999989986,16,16,0,16,72.53438159450889,72.53438159450889
nagoya,run1,1440,550684.7999989986,16,16,0,16,72.72036289051175,72.72036289051175
nagoya,run1,1500,550696.7999999523,16,16,0,0,0.0,0.0
nagoya,run1,1560,550708.7999999523,15,15,0,0,0.0,0.0
nagoya,run1,1620,550720.7999989986,16,16,0,0,0.0,0.0
nagoya,run1,1680,550732.7999989986,14,13,1,0,0.0,0.0
nagoya,run1,1740,550744.7999989986,12,10,2,0,0.0,0.0
nagoya,run1,1800,550756.7999999523,11,10,1,0,0.0,0.0
nagoya,run1,1860,550768.7999999523,12,11,1,0,0.0,0.0
nagoya,run1,1920,550780.7999989986,12,11,1,0,0.0,0.0
nagoya,run1,1980,550792.7999989986,12,11,1,0,0.0,0.0
nagoya,run1,2040,550804.7999989986,13,11,2,0,0.0,0.0
nagoya,run1,2100,550816.7999999523,14,11,3,0,0.0,0.0
nagoya,run1,2160,550828.7999999523,13,11,2,0,0.0,0.0
nagoya,run1,2220,550840.7999989986,14,11,3,0,0.0,0.0
nagoya,run1,2280,550852.7999989986,16,11,5,0,0.0,0.0
nagoya,run1,2340,550864.7999989986,16,11,5,0,0.0,0.0
nagoya,run1,2400,550876.7999999523,14,9,5,14,11.428903967142105,11.428903967142105
nagoya,run1,2460,550888.7999999523,9,6,3,9,10.26867325603962,10.26867325603962
nagoya,run1,2520,550900.7999989986,13,7,6,13,10.347775109112263,10.347775109112263
nagoya,run1,2580,550912.7999989986,11,6,5,11,10.2087407335639,10.2087407335639
nagoya,run1,2640,550924.7999989986,12,6,6,12,42.484791930764914,42.484791930764914
nagoya,run1,2700,550936.7999999523,8,7,1,0,0.0,0.0
nagoya,run1,2760,550948.7999999523,10,10,0,0,0.0,0.0
