label,span_id,start_epoch,end_epoch,start_tow,end_tow,n_epochs,distance_m,median_error_2d_m,max_error_2d_m,median_error_3d_m,max_error_3d_m,tdcp_used_epochs,last_velocity_epochs,dd_pr_anchor_epochs,high_dd_blend_epochs,widelane_anchor_epochs,rsp_correction_epochs,height_released_epochs
dd1_age15_height,0,0,13,177161.59999990463,177164.20000004768,14,15.15637508991103,3.2431584931718542,45.19586487358606,26.72342154502531,52.21312478034475,1,1,11,11,4,0,1
dd1_age15_height,1,22,25,177166.0,177166.59999990463,4,6.953636841642539,0.3602595334945655,0.5487016500534921,27.283571042722528,27.37596702634638,4,0,4,4,0,0,0
dd1_age15_height,2,27,27,177167.0,177167.0,1,1.8309240838624727,0.36351829335241,0.36351829335241,27.502572659770333,27.502572659770333,1,0,1,1,0,0,0
dd1_age15_height,3,29,29,177167.39999890327,177167.39999890327,1,1.8701157719053003,0.6989302057058019,0.6989302057058019,27.63907493052319,27.63907493052319,0,1,1,1,0,0,0
dd1_age15_height,4,32,34,177168.0,177168.39999890327,3,5.724426095578692,1.2416724092676157,1.2551816942366572,27.978546784947305,28.06764634065726,2,1,2,2,2,0,0
dd1_age15_height,5,39,47,177169.39999890327,177171.0,9,17.665171428262415,5.789033068181919,6.100226382086382,11.136699015809997,28.536424540972465,0,9,7,7,0,0,8
dd1_age15_height,6,50,77,177171.59999990463,177177.0,28,50.86393285696635,3.30074270120908,8.354858348282097,29.652474093217528,30.71209122702632,1,27,16,16,0,0,25
dd1_age15_height,7,79,82,177177.39999890327,177178.0,4,5.7108880583830315,4.497585070821282,4.781814700107363,9.105953589709506,9.301900408560117,0,4,1,1,0,0,4
dd1_age15_height,8,84,84,177178.39999890327,177178.39999890327,1,1.3003053486520637,5.225191770745611,5.225191770745611,10.300779186513868,10.300779186513868,0,1,1,1,0,0,1
dd1_age15_height,9,89,113,177179.39999890327,177184.20000004768,25,19.45118981608825,4.5444763488419015,13.676897671410641,6.646485120327419,14.07933231104426,0,25,6,6,0,0,25
dd1_age15_height,10,122,127,177186.0,177187.0,6,5.322267426529306,1.869437260327639,1.9713079700621254,3.9562571412376744,4.17682047455634,0,6,6,6,0,0,6
dd1_age15_height,11,131,199,177187.79999899864,177201.39999890327,69,104.49623647380466,5.083036623109224,9.763933139556158,30.491030666344276,31.85767031842597,26,32,15,15,0,0,31
dd1_age15_noheight,0,0,1,177161.59999990463,177161.79999899864,2,0.912202828614286,22.723776154838465,45.19586487358606,27.70411557128333,52.21312478034475,0,0,1,1,0,0,0
dd1_age15_noheight,1,4,10,177162.39999890327,177163.59999990463,7,8.198090837692279,1.4906723515258922,1.519434212827284,3.5231741614348584,3.5822426071060423,0,0,7,7,7,0,0
dd1_age15_noheight,2,43,47,177170.20000004768,177171.0,5,9.855002952538909,5.959668941256393,6.099959329443223,11.07337103417321,11.197532524430633,0,5,3,3,0,0,0
dd1_age15_noheight,3,50,57,177171.59999990463,177173.0,8,15.789655984827817,1.825353121628051,2.2902012726406515,3.6254140197405818,4.7246289323260084,0,8,8,8,0,0,0
dd1_age15_noheight,4,62,73,177174.0,177176.20000004768,12,21.04580648239973,1.3059195703457054,2.3880109432761714,3.4564250998134645,3.619637044491184,1,11,11,11,9,0,0
dd1_age15_noheight,5,76,76,177176.79999899864,177176.79999899864,1,1.5526003992251123,1.807095486870767,1.807095486870767,3.609104198454142,3.609104198454142,0,1,1,1,0,0,0
dd1_age15_noheight,6,79,82,177177.39999890327,177178.0,4,5.7108880583830315,4.4976713684814476,4.781814698335694,9.106119431044156,9.301900421033096,0,4,1,1,0,0,0
dd1_age15_noheight,7,84,84,177178.39999890327,177178.39999890327,1,1.3003053486520637,5.22519177590575,5.22519177590575,10.300779191105665,10.300779191105665,0,1,1,1,0,0,0
dd1_age15_noheight,8,89,113,177179.39999890327,177184.20000004768,25,19.45118981608825,4.543458439234892,13.675095277780349,6.646048327073862,14.077962790183449,0,25,6,6,0,0,0
dd1_age15_noheight,9,122,127,177186.0,177187.0,6,5.322267426529306,1.8694372620600253,1.9713079690278177,3.9562571396622124,4.176820476673104,0,6,6,6,0,0,0
dd1_age15_noheight,10,131,172,177187.79999899864,177196.0,42,58.03424249685891,6.520883635581598,9.763866005006953,10.184096406152221,17.706325176004295,6,25,11,11,0,0,0
shift3_age15_height,0,0,13,177161.59999990463,177164.20000004768,14,15.15637508991103,9.322424222457458,45.19586487358606,28.142968452464665,52.21312478034475,1,1,7,5,3,0,1
shift3_age15_height,1,22,25,177166.0,177166.59999990463,4,6.953636841642539,0.3602595413031129,0.49240881913204176,27.283571043433476,27.375967026740508,4,0,4,3,0,1,0
shift3_age15_height,2,27,27,177167.0,177167.0,1,1.8309240838624727,0.34316066986892874,0.34316066986892874,27.502311115364495,27.502311115364495,1,0,1,0,0,0,0
shift3_age15_height,3,29,29,177167.39999890327,177167.39999890327,1,1.8701157719053003,0.6500883361866452,0.6500883361866452,27.637882962853453,27.637882962853453,0,1,1,0,0,0,0
shift3_age15_height,4,33,34,177168.20000004768,177168.39999890327,2,3.8240890202559346,1.235560240807244,1.246202057124549,28.023197256589015,28.067646340387768,2,0,2,1,2,0,0
shift3_age15_height,5,43,47,177170.20000004768,177171.0,5,9.855002952538909,5.364367386216647,5.510870591615743,10.12174547874623,10.247869903330981,0,5,3,1,0,0,5
shift3_age15_height,6,51,113,177171.79999899864,177184.20000004768,63,83.05744317976078,2.083487213248134,16.726665301684527,9.036725000280837,30.41360473150195,1,62,23,3,0,0,60
shift3_age15_height,7,122,128,177186.0,177187.20000004768,7,6.301713188227009,0.7134277403106529,1.708016169452912,3.4147483471873867,3.514790729361985,0,7,7,1,0,0,7
shift3_age15_height,8,131,199,177187.79999899864,177201.39999890327,69,104.49623647380466,5.103178689780182,9.763933190285469,30.30584117768667,31.857670333839298,26,32,17,8,0,0,32
shift3_age15_noheight,0,0,10,177161.59999990463,177163.59999990463,11,11.064930054488384,32.913234100870376,45.19586487358606,37.238754903368886,52.21312478034475,0,0,5,4,4,0,0
shift3_age15_noheight,1,43,47,177170.20000004768,177171.0,5,9.855002952538909,5.3642335818475155,5.5105277408363875,10.122012094181315,10.248585139502666,0,5,3,1,0,0,0
shift3_age15_noheight,2,51,58,177171.79999899864,177173.20000004768,8,15.766780829934653,1.8926507797392313,1.9248025727232416,3.5519689372682133,3.6826442807053192,0,8,8,0,0,0,0
shift3_age15_noheight,3,64,73,177174.39999890327,177176.20000004768,10,17.252541755019767,1.295249017983198,1.3605878168648897,3.4564253186411467,3.5698021684834162,1,9,9,0,9,0,0
shift3_age15_noheight,4,81,84,177177.79999899864,177178.39999890327,4,5.413517474417198,2.0887438954317283,3.201063192225342,5.139787138501121,7.104900182248755,0,4,4,0,0,0,0
shift3_age15_noheight,5,91,113,177179.79999899864,177184.20000004768,23,17.20258028861239,3.9435057659169797,12.605248605338087,5.450128783201722,12.947370357186971,0,23,4,1,0,0,0
shift3_age15_noheight,6,122,128,177186.0,177187.20000004768,7,6.301713188227009,0.7133884499065368,1.7080161665793867,3.415095898732577,3.5147907231219615,0,7,7,1,0,0,0
