city,run,window_index,epoch_count,sat_count_mean,nlos_count_mean,utd_candidate_sat_count_mean,utd_candidate_sat_count_max,utd_candidate_nlos_sat_count_mean,utd_candidate_nlos_sat_count_max,utd_candidate_count_total_mean,utd_candidate_count_total_max,utd_candidate_count_nlos_mean,utd_candidate_count_nlos_max,utd_min_excess_path_m_mean,utd_min_excess_path_m_min,utd_min_edge_distance_m_mean,utd_min_edge_distance_m_min,utd_min_fresnel_v_mean,utd_min_fresnel_v_min,utd_score_sum_mean,utd_score_sum_max,utd_score_nlos_sum_mean,utd_score_nlos_sum_max,utd_edge_count_total,utd_edge_boundary_count
nagoya,run1,0,5,15.2,2.2,15.2,16,2.2,3,423.2,601,146.8,325,0.0129341907799243,6.539002060890198e-05,0.3919646082186694,0.0264082489235748,0.3016675304211579,0.0370743471381977,102.09297412570557,148.9327739954747,38.24301323428333,85.04713139294145,50000,4563
nagoya,run1,1,5,18.4,2.8,16.6,19,2.8,4,596.4,760,248.2,387,0.0035793229937553,7.487833499908447e-06,0.2369967508240643,0.0313149627298047,0.1782934365205233,0.0125434905587937,128.34541101449753,166.05990985686157,63.726008863577725,101.34700036427222,50000,4563
nagoya,run1,2,5,18.0,4.0,14.6,17,4.0,5,589.6,659,299.8,425,0.0011097729206085,9.529292583465576e-06,0.3469478753980076,0.0611357920916715,0.121360234627987,0.0141563111822672,124.90709440515582,149.60862899811738,74.10040287627336,112.27763263870538,50000,4563
nagoya,run1,3,4,14.5,1.25,14.25,18,1.25,2,402.75,636,66.75,96,0.0243421299383044,0.0008354969322681,1.521381493129932,0.1916683238751041,0.5123673471338711,0.1325214768702989,74.18824230184309,128.47727170418332,14.146263337748586,22.951846697026912,50000,4563
nagoya,run1,4,5,12.2,2.6,9.6,11,2.6,4,221.8,315,107.8,170,0.0051674649119377,2.527981996536255e-05,0.5572656058153693,0.0929239084766288,0.2078201436556762,0.0230518373920208,47.09978329011189,69.76648799088143,26.965376418500377,45.55567985789323,50000,4563
nagoya,run1,5,5,14.4,3.6,13.6,15,3.6,5,329.8,399,112.4,236,0.019227447360754,7.450580596923828e-09,1.09352002693502,0.0007781176196632,0.4835207552277981,0.0002659559776422,63.91415632832651,91.5815122790108,28.34558832403629,67.45946427770039,50000,4563
nagoya,run1,6,5,11.2,3.4,11.2,12,3.4,4,327.8,394,163.8,226,0.0008383855223655,2.166628837585449e-05,0.294564398979327,0.0519130667711927,0.1004630469143576,0.0213403550005162,80.35888978781959,109.09113459772156,50.69893248922799,77.8060642857831,50000,4563
nagoya,run1,7,5,13.2,5.2,13.2,15,5.2,7,394.2,585,227.2,420,0.0003660999238491,0.0001173987984657,0.2100957464759507,0.1415961970777884,0.0844553040168908,0.0496755547832739,97.2228326284742,143.05330108800942,66.16166482275877,112.14063055662892,50000,4563
nagoya,run1,8,5,11.0,6.2,11.0,13,6.2,9,345.2,440,261.4,345,0.0002768278121948,9.5367431640625e-06,0.2336449443615028,0.0509381215870351,0.0660052350308215,0.0141583459874666,82.08889936885015,107.38856223024564,68.75039019659425,91.85773068929272,50000,4563
nagoya,run1,9,5,10.0,2.8,9.0,12,2.6,4,120.8,185,86.4,132,0.0037363722920417,6.258487701416016e-06,0.7397429023610189,0.0439390876015695,0.2397506394052937,0.0114715058033371,29.30054276908045,45.37147149221109,24.086471951699487,38.94501739842407,50000,4563
nagoya,run1,10,5,13.2,4.2,12.2,13,4.2,5,190.4,215,156.4,180,0.0119905821979045,0.0100818239152431,1.83658331288715,1.5652517481276436,0.5010431210604362,0.4603416237020249,46.46731122888282,53.16400640553868,41.000061879279095,47.6668386430458,50000,4563
nagoya,run1,11,5,9.2,2.8,8.2,12,2.8,4,153.4,262,87.4,136,0.0043623872101306,1.0058283805847169e-07,0.8849911345835203,0.0030070793292025,0.2375619162836342,0.0014425303446146,35.7089460490002,62.73254362497425,23.785922730467483,35.87265563216783,50000,4563
nagoya,run1,12,5,10.2,4.2,10.2,11,4.2,5,440.6,594,213.0,331,0.0031088769435882,1.862645149230957e-08,0.7195468436813512,0.0026913628652395,0.2045293615036738,0.0006023354158929,93.11239707430528,138.22901089976978,55.415375360412256,89.73101876554955,50000,4563
nagoya,run1,13,5,11.4,5.4,11.4,12,5.4,6,391.2,483,269.2,361,0.0009733848273754,5.701929330825806e-05,0.2068522551650026,0.0577684295706326,0.1108834802793545,0.0346206181664313,102.0754059976252,125.76744780314752,80.33811809726906,104.04196755921777,50000,4563
