sat_count,los_count,nlos_count,utd_candidate_sat_count,utd_candidate_nlos_sat_count,utd_candidate_count_total,utd_candidate_count_nlos,utd_min_excess_path_m,utd_min_edge_distance_m,utd_min_fresnel_v,utd_score_sum,utd_score_nlos_sum,city,run,epoch,gps_tow,utd_edge_count_total,utd_edge_boundary_count
15,13,2,15,2,361,81,6.539002060890198e-05,0.02640824892357482,0.03707434713819774,85.9915941303365,21.70933083383167,nagoya,run1,0,550380.0,50000,4563
16,13,3,16,3,430,154,8.736923336982727e-05,0.03052607451864092,0.042854752390204746,103.96182503783274,40.02110556838615,nagoya,run1,60,550392.0,50000,4563
16,13,3,16,3,601,325,0.00025455281138420105,0.12843162437355074,0.0731488374143534,148.9327739954747,85.04713139294145,nagoya,run1,120,550404.0,50000,4563
15,13,2,15,2,398,122,0.0021628960967063904,0.3405216254015108,0.21321956938758407,95.11504704249599,31.286379217843326,nagoya,run1,180,550416.0,50000,4563
14,13,1,14,1,326,52,0.06210074573755264,1.4339354678760698,1.1420401457754497,76.46363042238792,13.151119158414051,nagoya,run1,240,550428.0,50000,4563
16,14,2,16,2,426,118,0.012918330729007721,0.5351245778359962,0.52105640724007,104.71306658697267,30.517086912067157,nagoya,run1,300,550440.0,50000,4563
18,14,4,15,4,600,215,2.2038817405700684e-05,0.03610286298606329,0.021524779593940103,130.32729968887486,57.91818510657663,nagoya,run1,360,550452.0,50000,4563
18,16,2,17,2,503,143,0.004939250648021698,0.5346082583739884,0.3222032911830253,86.11221030276589,30.24091203271001,nagoya,run1,420,550464.0,50000,4563
20,17,3,19,3,760,387,7.487833499908447e-06,0.031314962729804746,0.012543490558793793,166.05990985686157,101.34700036427222,nagoya,run1,480,550476.0,50000,4563
20,17,3,16,3,693,378,9.506940841674805e-06,0.047833092194469046,0.014139214026787486,154.51456863701276,98.60685990226263,nagoya,run1,540,550488.0,50000,4563
20,16,4,15,4,618,425,9.529292583465576e-06,0.06113579209167153,0.014156311182267243,149.60862899811738,112.27763263870538,nagoya,run1,600,550500.0,50000,4563
19,14,5,11,5,577,393,0.0009106062352657318,0.5487305329596511,0.1383508865792866,123.70412653329036,94.4229207344055,nagoya,run1,660,550512.0,50000,4563
17,13,4,13,4,439,201,0.0007164329290390015,0.4918318563094753,0.12271707942432615,81.17510743604358,45.47227456938949,nagoya,run1,720,550524.0,50000,4563
17,12,5,17,5,655,395,0.00011438131332397461,0.06153996268917312,0.04903359582042988,138.37708981566126,100.56092516180559,nagoya,run1,780,550536.0,50000,4563
17,15,2,17,2,659,85,0.003797914832830429,0.571501232940067,0.2825433001336256,131.67051924266653,17.768261277060823,nagoya,run1,840,550548.0,50000,4563
16,15,1,16,1,636,61,0.00273972749710083,0.6155233985702299,0.23997577763802758,128.47727170418332,14.133003307666707,nagoya,run1,900,550560.0,50000,4563
16,14,2,16,2,305,96,0.0008354969322681427,0.1916683238751041,0.13252147687029892,51.03444159473288,15.499673846089415,nagoya,run1,960,550572.0,50000,4563
18,17,1,18,1,559,93,0.0044865794479846954,0.38824331450054594,0.30707655865935485,101.73582490927072,22.951846697026912,nagoya,run1,1020,550584.0,50000,4563
8,7,1,7,1,111,17,0.08930671587586403,4.890090935573848,1.369895575367803,15.505430999185432,4.000529500211307,nagoya,run1,1080,550610.5999999046,50000,4563
9,6,3,7,3,125,61,0.00011220574378967285,0.16064555964047156,0.048564285863602064,27.81537743835613,16.129170467437184,nagoya,run1,1140,550624.0,50000,4563
9,5,4,9,4,184,126,0.0009028874337673187,0.3870791556224378,0.13776309188299285,47.40740041936838,31.84848276628357,nagoya,run1,1200,550636.0,50000,4563
13,11,2,10,2,225,121,2.527981996536255e-05,0.09292390847662885,0.02305183739202086,44.993362458139444,30.95677342428172,nagoya,run1,1260,550649.3999989033,50000,4563
15,13,2,11,2,315,170,0.0006560124456882477,0.2784108419606446,0.11742857196926891,69.76648799088143,45.55567985789323,nagoya,run1,1320,550661.3999989033,50000,4563
15,13,2,11,2,260,61,0.024140939116477966,1.867268563376664,0.7122929311704964,45.51628814381407,10.336775576606158,nagoya,run1,1380,550673.3999989033,50000,4563
15,12,3,14,3,285,41,0.06477398425340652,2.353412407464504,1.1664166333635835,45.939945580431285,6.400204980701587,nagoya,run1,1440,550685.4000000954,50000,4563
15,12,3,14,3,292,42,0.024331286549568176,1.4348595313948185,0.7150525423870918,47.48152617298806,6.310393744602543,nagoya,run1,1500,550697.3999989033,50000,4563
14,11,3,13,3,301,65,0.004688780754804611,1.208582604263702,0.31393838928703177,50.27853493402478,11.03089568667122,nagoya,run1,1560,550709.3999989033,50000,4563
15,11,4,15,4,399,178,0.0023431777954101562,0.4699674739324128,0.22193025512364123,84.28926267517762,50.526982930505724,nagoya,run1,1620,550721.3999989033,50000,4563
13,8,5,12,5,372,236,7.450580596923828e-09,0.0007781176196632554,0.00026595597764229157,91.58151227901081,67.45946427770039,nagoya,run1,1680,550733.3999989033,50000,4563
11,7,4,11,4,292,144,0.003100939095020294,0.7378190716155023,0.2553058473095574,58.73163410933659,35.48491694162185,nagoya,run1,1740,550745.4000000954,50000,4563
10,8,2,10,2,379,211,0.0008682981133460999,0.4625634130408876,0.13509869729332358,89.62474906218532,58.293590137701834,nagoya,run1,1800,550757.3999989033,50000,4563
12,8,4,12,4,394,226,2.1666288375854492e-05,0.05191306677119274,0.021340355000516276,109.09113459772155,77.8060642857831,nagoya,run1,1860,550769.3999989033,50000,4563
12,8,4,12,4,305,137,6.655976176261902e-05,0.09104536305408853,0.0374052801909666,76.23174654359447,44.99188107825382,nagoya,run1,1920,550781.3999989033,50000,4563
11,8,3,11,3,269,101,0.0001344643533229828,0.12948108041496434,0.05316505477742448,68.11518462626002,36.918210002779375,nagoya,run1,1980,550793.3999989033,50000,4563
