city,run,window_index,epoch_count,sat_count_mean,nlos_count_mean,utd_candidate_sat_count_mean,utd_candidate_sat_count_max,utd_candidate_nlos_sat_count_mean,utd_candidate_nlos_sat_count_max,utd_candidate_count_total_mean,utd_candidate_count_total_max,utd_candidate_count_nlos_mean,utd_candidate_count_nlos_max,utd_min_excess_path_m_mean,utd_min_excess_path_m_min,utd_min_edge_distance_m_mean,utd_min_edge_distance_m_min,utd_min_fresnel_v_mean,utd_min_fresnel_v_min,utd_score_sum_mean,utd_score_sum_max,utd_score_nlos_sum_mean,utd_score_nlos_sum_max,utd_edge_count_total,utd_edge_boundary_count
nagoya,run3,0,5,15.8,0.8,2.0,3,0.8,1,135.8,177,118.2,161,0.06773432344198227,1.0721385478973389e-05,1.7446024667648945,0.06529828935856131,0.5771364659759919,0.015006404482098843,33.17441100288526,42.00283651806825,28.530859654936968,39.457197658699556,50000,8285
nagoya,run3,1,5,15.2,0.8,8.8,12,0.8,1,144.4,224,45.0,101,0.0248631626367569,0.0005881041288375854,2.2928136376038277,0.3506651208905733,0.6628357118892865,0.11118454568720146,25.03169467733475,39.737691853369775,10.98825121366781,23.13398237971597,50000,8285
nagoya,run3,2,5,15.2,1.6,9.6,11,1.6,3,215.6,331,111.2,213,0.045910829305648805,0.00011079758405685425,2.0201696659745383,0.11143856074412746,0.622494497715273,0.04825848145513309,40.407897187883634,67.02559814796781,25.23775831158358,50.21625179384638,50000,8285
nagoya,run3,3,5,12.8,4.2,11.6,14,4.2,6,693.2,1199,369.2,732,0.0029344208538532256,4.500150680541992e-06,0.27585888996143065,0.02281558843220497,0.1541909438934016,0.009728438364743573,141.44187882103333,255.6335753038011,88.93397300766627,176.67689458711743,50000,8285
nagoya,run3,4,5,12.0,5.4,12.0,14,5.4,7,904.4,1071,419.2,669,0.0019299566745758056,8.396804332733154e-06,0.35259080184992075,0.035482149251048214,0.15029118532562263,0.013283888974797028,202.21623980206124,250.87521594241696,108.63535038020814,178.32173138376186,50000,8285
nagoya,run3,5,5,11.8,7.0,11.8,14,7.0,9,751.6,1108,528.0,708,0.0004875041544437408,4.470348358154297e-08,0.1642856029180111,0.002265941444556655,0.07366113809957013,0.0009770857402255472,177.89123415068997,261.2855358552649,136.11662651212083,191.24763575273926,50000,8285
nagoya,run3,6,5,10.8,3.8,10.8,13,3.8,6,568.8,886,261.0,571,0.004664724320173263,2.6673078536987305e-05,0.43737467138993635,0.053195551809922186,0.2484834150057104,0.02368107565946935,118.3249836579027,189.28594964437005,61.320991136727756,129.64030315402385,50000,8285
nagoya,run3,7,5,12.0,5.2,12.0,14,5.2,7,936.2,1385,427.6,543,0.0002583913505077362,2.127140760421753e-06,0.10231289196262602,0.01575861814012254,0.05292188021587283,0.006689430914129058,210.17782980427538,321.7625556899372,107.82616748497412,135.7807400175719,50000,8285
nagoya,run3,8,5,13.6,5.4,12.6,15,5.4,8,835.8,1450,399.0,683,0.0003243386745452881,3.966689109802246e-05,0.14828015354901816,0.03349241994441915,0.0719938112732826,0.02887533829155619,176.82419521187256,305.95862393832897,96.79614273319652,179.2405698709322,50000,8285
nagoya,run3,9,5,12.0,5.0,12.0,14,5.0,8,709.8,939,345.8,594,0.00044307857751846313,0.0001763850450515747,0.22364246724418932,0.1356905950909512,0.09128978854897639,0.0608904643666639,157.58981237295558,217.22464920953618,86.51288698491433,146.3729037286201,50000,8285
nagoya,run3,10,5,12.2,5.8,12.2,13,5.8,7,1067.0,1423,619.0,896,0.0005808241665363311,1.1246651411056519e-05,0.20539932077819004,0.05391091984663709,0.09934267414309235,0.015374115231600047,240.30485925664198,311.9364797575351,156.9702495244971,234.22188159692766,50000,8285
nagoya,run3,11,5,11.2,8.2,11.2,13,8.2,10,1118.2,1287,882.8,1053,0.0015412196516990662,0.00020573660731315613,0.30692200793693514,0.18189033599819648,0.16016506360677352,0.0657615928894355,236.7979131577922,279.280596073492,196.99633818247258,239.72400164427972,50000,8285
nagoya,run3,12,5,11.4,6.0,11.4,13,6.0,10,942.6,1555,675.6,1321,0.00011536404490470886,5.543231964111328e-06,0.11045543670929421,0.03578440104104101,0.044720260945959725,0.01079126452149854,208.71723971773804,349.4473839168963,164.05460454936622,309.9722370088118,50000,8285
nagoya,run3,13,5,11.4,4.8,11.4,14,4.8,7,708.6,937,419.4,631,0.00016126930713653565,4.0084123611450195e-06,0.12319695242601256,0.032348202327394285,0.041902134924951415,0.00918241978712824,156.6758648633009,214.36988466268988,105.72866428138477,162.12218070953853,50000,8285
nagoya,run3,14,5,12.4,4.2,12.4,16,4.2,6,825.4,921,399.6,563,0.00017559826374053956,1.3336539268493652e-06,0.10259452642005451,0.02514077521655422,0.0510989526065714,0.005306820148353566,179.58014344467696,203.9993115317271,94.68317501976287,142.4067191344714,50000,8285
nagoya,run3,15,5,13.2,4.6,13.2,15,4.6,6,257.4,415,81.8,145,0.028587400913238525,0.0003330633044242859,0.7878516591207733,0.10159957005228451,0.6436133915124939,0.08367187531852481,51.82534455315316,79.29198920928104,20.994958465381565,36.792958609786986,50000,8285
nagoya,run3,16,5,14.4,2.8,11.6,14,2.8,5,329.4,614,88.6,183,0.006680036336183548,6.669759750366211e-05,0.5975686111057783,0.12325897147435742,0.33535791401148546,0.037444023827865595,68.5175021170251,131.74574679493298,24.059493027259926,47.52455740670881,50000,8285
nagoya,run3,17,2,15.0,3.0,14.0,15,3.0,4,518.5,681,301.0,380,0.0008389446884393692,2.5331974029541016e-06,0.2047940772450763,0.01266989078663944,0.09747808999194231,0.0072973401615259725,105.1062606038605,130.11660792449743,69.92603649755861,84.14710856690328,50000,8285
