sat_count,los_count,nlos_count,utd_candidate_sat_count,utd_candidate_nlos_sat_count,utd_candidate_count_total,utd_candidate_count_nlos,utd_min_excess_path_m,utd_min_edge_distance_m,utd_min_fresnel_v,utd_score_sum,utd_score_nlos_sum,city,run,epoch,gps_tow,utd_edge_count_total,utd_edge_boundary_count
22,21,1,13,1,59,18,0.04369828850030899,2.175516307752048,0.958213819863045,6.494334751575967,3.337639254012911,tokyo,run3,0,179460.0,50000,35
22,21,1,13,1,59,18,0.04630535468459129,2.239549510283083,0.9863717760133027,6.515355338814746,3.3537160171919345,tokyo,run3,60,179472.0,50000,35
22,21,1,13,1,60,19,0.048985909670591354,2.3035387280068536,1.0145073950164056,6.61264356467741,3.446018812551601,tokyo,run3,120,179484.0,50000,35
22,21,1,12,1,54,18,0.05198194086551666,2.372218242356822,1.0450566225803066,6.329085290930488,3.427473222643995,tokyo,run3,180,179496.0,50000,35
19,18,1,12,1,42,7,0.6346070468425751,5.655570907992402,3.629554017221469,5.237662934347382,1.8810979716202254,tokyo,run3,240,179508.0,50000,35
19,18,1,13,1,45,2,0.16996674984693527,3.113710576974862,1.887355605182277,8.168331351299074,0.39854860709847617,tokyo,run3,300,179520.0,50000,35
22,20,2,8,1,44,12,0.011294972151517868,1.5035467875131374,0.4872459000557172,10.69326550511753,2.6833628353438392,tokyo,run3,360,179532.0,50000,35
21,18,3,8,3,47,18,0.006555825471878052,0.8529232357982376,0.37120900905037013,15.811312483652511,6.595599016885802,tokyo,run3,420,179544.0,50000,35
20,17,3,8,3,24,19,0.0029093511402606964,0.5643889208807178,0.2472919926073981,7.121565996714655,6.716744014514046,tokyo,run3,480,179556.0,50000,35
18,17,1,7,1,18,12,0.10494577884674072,3.48301453209946,1.4845788256111063,3.460408725062298,2.8145348021135335,tokyo,run3,540,179568.0,50000,35
19,18,1,8,1,18,4,0.004554737359285355,0.527206581287452,0.3094091790749768,5.185427127942841,2.0073073277685403,tokyo,run3,600,179580.0,50000,35
21,21,0,21,0,107,0,0.002248648554086685,0.37506458889492994,0.21740554698222223,18.72384692186856,0.0,tokyo,run3,660,179592.0,50000,35
21,12,9,21,9,275,146,0.00038807839155197144,0.13102973795621714,0.09031871017020329,98.94375117407183,53.035750010459736,tokyo,run3,720,179604.0,50000,35
20,10,10,20,10,385,221,9.384751319885254e-05,0.05422452415996567,0.04441455076990246,116.7688929659616,71.47674930087514,tokyo,run3,780,179616.0,50000,35
14,12,2,14,2,388,62,0.013850238174200058,1.9770443642702493,0.5395551395456288,80.37485906884228,14.677035992763436,tokyo,run3,840,179628.0,50000,35
14,11,3,14,3,301,79,3.1888484954833984e-06,0.025186991189750492,0.008185905942321617,66.63458209206999,18.09451457812056,tokyo,run3,900,179640.0,50000,35
17,11,6,17,6,411,185,6.096065044403076e-05,0.07661599021911793,0.03579710817394175,94.21569098666254,45.582599509295676,tokyo,run3,960,179652.0,50000,35
18,12,6,18,6,410,171,6.092339754104614e-05,0.07658929942303809,0.035784637251187246,95.15526819942377,44.524570680395236,tokyo,run3,1020,179664.0,50000,35
19,12,7,19,7,454,215,6.0871243476867676e-05,0.07656257539396437,0.0357721508019372,104.14945025133889,53.40400251320965,tokyo,run3,1080,179676.0,50000,35
17,10,7,17,7,457,295,0.0006363317370414734,0.1780879933959957,0.1156523903427053,117.67588145398726,82.2380387155904,tokyo,run3,1140,179688.0,50000,35
13,12,1,13,1,303,27,0.0022782310843467712,0.4181191836130159,0.21883172372916554,58.32426293019623,10.565362560304196,tokyo,run3,1200,179700.0,50000,35
17,11,6,14,6,347,185,0.00029186904430389404,0.20215948311979634,0.07832666831477895,91.75548155016368,60.06921465086231,tokyo,run3,1260,179712.0,50000,35
19,9,10,19,10,500,397,7.308274507522583e-05,0.1003407306988502,0.039192712402316546,150.68910069684082,136.7537762941888,tokyo,run3,1320,179724.0,50000,35
11,8,3,11,3,326,172,0.0008100047707557678,0.2100112770385533,0.13048429091342886,86.47619680612931,60.411797284761406,tokyo,run3,1380,179736.0,50000,35
17,9,8,17,8,484,234,2.7567148208618164e-07,0.004890318741004685,0.0023875030365896927,111.25414181883801,65.87330907753463,tokyo,run3,1440,179748.0,50000,35
17,13,4,17,4,436,188,5.840137600898743e-05,0.07873500482000385,0.03503819930943472,84.3807349281177,54.2196733345385,tokyo,run3,1500,179760.0,50000,35
20,12,8,20,8,635,378,8.195638656616211e-08,0.005646353259893989,0.0012943515044742465,155.96273282523728,107.16837727188785,tokyo,run3,1560,179772.0,50000,35
18,13,5,18,5,517,244,0.0006605535745620728,0.23791107954120308,0.1178341424277842,119.47257416759248,65.07357817532386,tokyo,run3,1620,179784.0,50000,35
19,13,6,19,6,587,314,0.0004905164241790771,0.20481229707323825,0.10154151991573972,132.78128789090326,78.40022173605111,tokyo,run3,1680,179796.0,50000,35
18,13,5,18,5,553,281,0.0003457479178905487,0.17178190303582655,0.08525032513515896,125.95229948020807,71.64352699987874,tokyo,run3,1740,179808.0,50000,35
18,13,5,18,5,492,219,0.005198284983634949,0.8504564765748494,0.33055194988551956,114.67141999135708,60.30788412960247,tokyo,run3,1800,179820.0,50000,35
17,15,2,17,2,371,105,0.00806107372045517,0.8559839156190377,0.41163331994459856,78.45078760047477,30.597578709600135,tokyo,run3,1860,179832.0,50000,35
17,15,2,17,2,243,60,2.7433037757873535e-05,0.05740523919518171,0.024013787826974255,53.886468665059056,18.12871425352027,tokyo,run3,1920,179844.0,50000,35
13,11,2,13,2,334,81,0.0005513802170753479,0.15325036513014278,0.10765636108413391,71.76992807000302,24.174624834176903,tokyo,run3,1980,179856.0,50000,35
17,17,0,17,0,486,0,0.026038922369480133,1.2604888516689408,0.7396677150635104,87.73209981494247,0.0,tokyo,run3,2040,179868.0,50000,35
18,17,1,18,1,481,20,0.002505980432033539,0.3442248668248976,0.22950645391570404,85.86109683821272,4.221669814541746,tokyo,run3,2100,179880.0,50000,35
