sat_count,los_count,nlos_count,utd_candidate_sat_count,utd_candidate_nlos_sat_count,utd_candidate_count_total,utd_candidate_count_nlos,utd_min_excess_path_m,utd_min_edge_distance_m,utd_min_fresnel_v,utd_score_sum,utd_score_nlos_sum,city,run,epoch,gps_tow,utd_edge_count_total,utd_edge_boundary_count
22,22,0,3,0,12,0,3.1643782891333103,19.636431219981024,8.068380153663059,0.9505935206103319,0.0,tokyo,run1,0,187470.0,50000,11
22,22,0,3,0,12,0,3.1450716964900494,19.5912752585977,8.044263521755322,0.9531841800321992,0.0,tokyo,run1,60,187482.0,50000,11
18,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,tokyo,run1,120,187494.0,50000,11
21,21,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,tokyo,run1,180,187506.0,50000,11
20,20,0,2,0,4,0,6.714770729653537,23.636070987642828,11.428419865016522,0.2508758361749635,0.0,tokyo,run1,240,187518.0,50000,11
22,22,0,1,0,3,0,5.629102531820536,21.662552027021476,10.532611118186757,0.23023487571393722,0.0,tokyo,run1,300,187530.0,50000,11
20,20,0,1,0,4,0,5.385588865727186,19.503403704466244,10.3210280067363,0.3426563356536163,0.0,tokyo,run1,360,187542.0,50000,11
20,20,0,1,0,2,0,7.549515753984451,21.925261518906186,11.910973828156589,0.1424322948262065,0.0,tokyo,run1,420,187554.0,50000,11
19,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,tokyo,run1,480,187566.0,50000,11
19,18,1,5,1,9,2,2.685589376837015,14.550148398665549,7.388618598770173,0.8452511622082464,0.18037400600643433,tokyo,run1,540,187578.0,50000,11
20,19,1,2,1,6,2,3.502461515367031,17.23083877127664,8.441096035713722,0.6678959583265531,0.2673626893500019,tokyo,run1,600,187590.0,50000,11
21,20,1,2,1,6,2,3.4798517525196075,17.258393241837,8.414484837714003,0.6708611632561723,0.26633334700648187,tokyo,run1,660,187602.0,50000,11
21,20,1,2,1,6,2,3.4527880027890205,17.280602457065797,8.382434822610616,0.6750467127793187,0.2655348718183166,tokyo,run1,720,187614.0,50000,11
21,20,1,2,1,9,2,3.225421492010355,16.700631897926712,8.084607570954198,0.9985335600425831,0.24711992464222365,tokyo,run1,780,187626.0,50000,11
17,17,0,10,0,28,0,3.8436440490186214,14.542069111844661,8.693318695976997,2.434193268511202,0.0,tokyo,run1,840,187638.0,50000,11
17,17,0,11,0,26,0,2.9888253211975098,14.331933339729362,7.779262397351811,2.66383915799535,0.0,tokyo,run1,900,187650.0,50000,11
18,18,0,10,0,47,0,1.8723162561655045,7.629919441995319,6.199872146935559,5.238210553459963,0.0,tokyo,run1,960,187662.0,50000,11
20,20,0,9,0,21,0,1.3320754207670689,13.718007776982917,5.268354466420272,1.9528178883915603,0.0,tokyo,run1,1020,187674.0,50000,11
18,18,0,7,0,30,0,3.1213022945448756,13.003721298832362,7.945003870478647,3.196982327635804,0.0,tokyo,run1,1080,187686.0,50000,11
20,20,0,8,0,43,0,1.082423023879528,12.279074809921065,4.751551852538346,4.942446252498273,0.0,tokyo,run1,1140,187698.0,50000,11
19,19,0,18,0,104,0,1.8271936774253845,7.099634601060284,6.12577257253768,12.0022156024975,0.0,tokyo,run1,1200,187710.0,50000,11
19,19,0,16,0,89,0,4.226436525583267,10.359466850529941,9.10482140516587,8.399806213296568,0.0,tokyo,run1,1260,187722.0,50000,11
16,16,0,13,0,45,0,4.129429239779711,12.694779656744457,9.133759059105506,3.7198366402240373,0.0,tokyo,run1,1320,187734.0,50000,11
18,18,0,13,0,32,0,2.3803116716444492,13.624895275957023,6.968404166212583,3.29404514024154,0.0,tokyo,run1,1380,187746.0,50000,11
21,21,0,20,0,164,0,0.9641950093209743,5.742943548129964,4.446313862460555,18.61087375865013,0.0,tokyo,run1,1440,187758.0,50000,11
18,18,0,12,0,65,0,1.4871211722493172,17.605088139341838,5.57667839971407,3.85889250555931,0.0,tokyo,run1,1500,187770.0,50000,11
21,21,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,tokyo,run1,1560,187782.0,50000,11
21,19,2,2,1,11,8,0.04281173273921013,3.6848905072930793,0.9485711621770152,1.9617964024228722,1.7457388580609834,tokyo,run1,1620,187794.0,50000,11
18,16,2,14,2,59,9,0.018637463450431824,1.8089611197026088,0.6258757766253034,10.027062611736945,4.061102591907303,tokyo,run1,1680,187806.0,50000,11
18,18,0,18,0,101,0,0.1678415760397911,2.4963057405777276,1.8740801433627423,12.790529686327643,0.0,tokyo,run1,1740,187818.0,50000,11
17,17,0,17,0,192,0,1.1626631021499634e-05,0.018518512458302668,0.015635543367526546,30.358514957612805,0.0,tokyo,run1,1800,187830.0,50000,11
19,19,0,19,0,114,0,0.1698627881705761,6.165623823266967,1.889248454300641,19.352329402380224,0.0,tokyo,run1,1860,187842.0,50000,11
18,18,0,18,0,111,0,0.1625933088362217,4.887728380676936,1.8483948954966163,19.559733127294816,0.0,tokyo,run1,1920,187854.0,50000,11
19,19,0,19,0,92,0,1.062151487916708,4.896878740082723,4.617723497306343,12.803628684905128,0.0,tokyo,run1,1980,187866.0,50000,11
