city,run,config,systems,weight_scale,n_epochs,median_satellites,rms_2d,p95,time_ms
nagoya,run1,G,G,-,300,7,55.102444,85.073923,0.020181
nagoya,run1,"G,J","G,J",-,300,10,55.577672,81.314036,0.034698
nagoya,run1,"G,E","G,E",-,300,12,26.364609,39.905890,0.051744
nagoya,run1,"G,E,J","G,E,J",-,300,15,28.169734,40.586846,0.043526
nagoya,run1,"G,E,J scaled","G,E,J","E=0.1,J=2.0",300,15,50.293363,70.423363,0.059708
nagoya,run2,G,G,-,300,7,79.843424,86.881040,0.022504
nagoya,run2,"G,J","G,J",-,300,10,77.784505,84.970751,0.035333
nagoya,run2,"G,E","G,E",-,300,15,55.943828,56.922575,0.058362
nagoya,run2,"G,E,J","G,E,J",-,300,18,55.869934,57.160563,0.069365
nagoya,run2,"G,E,J scaled","G,E,J","E=0.1,J=2.0",300,18,70.658006,76.401225,0.093152
nagoya,run3,G,G,-,300,8,68.730415,70.023898,0.022978
nagoya,run3,"G,J","G,J",-,300,11,68.150322,69.485382,0.054168
nagoya,run3,"G,E","G,E",-,300,13,61.727503,63.365987,0.056644
nagoya,run3,"G,E,J","G,E,J",-,300,16,61.129637,62.843180,0.066508
nagoya,run3,"G,E,J scaled","G,E,J","E=0.1,J=2.0",300,16,66.109919,67.503314,0.087827
tokyo,run1,G,G,-,300,9,54.588227,65.476222,0.023883
tokyo,run1,"G,J","G,J",-,300,12,55.844469,64.885448,0.054463
tokyo,run1,"G,E","G,E",-,300,16,72.093081,77.887103,0.057773
tokyo,run1,"G,E,J","G,E,J",-,300,19,71.769948,77.055530,0.070032
tokyo,run1,"G,E,J scaled","G,E,J","E=0.1,J=2.0",300,19,58.115400,65.407709,0.094325
tokyo,run2,G,G,-,300,11,56.327158,61.644728,0.024830
tokyo,run2,"G,J","G,J",-,300,14,56.065660,61.522686,0.057510
tokyo,run2,"G,E","G,E",-,300,20,39.013058,44.131900,0.063530
tokyo,run2,"G,E,J","G,E,J",-,300,23,39.115800,43.947643,0.077751
tokyo,run2,"G,E,J scaled","G,E,J","E=0.1,J=2.0",300,23,52.920852,58.290148,0.102663
tokyo,run3,G,G,-,300,9,70.999639,72.919286,0.023301
tokyo,run3,"G,J","G,J",-,300,13,70.383395,72.398321,0.037130
tokyo,run3,"G,E","G,E",-,300,18,53.801862,56.040486,0.054880
tokyo,run3,"G,E,J","G,E,J",-,300,22,53.626272,55.897393,0.078011
tokyo,run3,"G,E,J scaled","G,E,J","E=0.1,J=2.0",300,22,66.821588,68.886672,0.100483
