scope,scope_id,evaluation_role,epochs_baseline,epochs_candidate,epochs_delta,reference_coverage_baseline,reference_coverage_candidate,reference_coverage_delta,pass_0p5_baseline,pass_0p5_candidate,pass_0p5_delta,pass_1m_baseline,pass_1m_candidate,pass_1m_delta,pass_3m_baseline,pass_3m_candidate,pass_3m_delta,error_p50_m_baseline,error_p50_m_candidate,error_p50_m_delta,error_p95_m_baseline,error_p95_m_candidate,error_p95_m_delta,error_p99_m_baseline,error_p99_m_candidate,error_p99_m_delta,ms_per_epoch_baseline,ms_per_epoch_candidate,ms_per_epoch_delta,mode_abstention_rate_baseline,mode_abstention_rate_candidate,mode_abstention_rate_delta,ffbsi_abstention_rate_baseline,ffbsi_abstention_rate_candidate,ffbsi_abstention_rate_delta,doppler_update_rate_baseline,doppler_update_rate_candidate,doppler_update_rate_delta,doppler_known_rows_mean_baseline,doppler_known_rows_mean_candidate,doppler_known_rows_mean_delta,doppler_unknown_rows_mean_baseline,doppler_unknown_rows_mean_candidate,doppler_unknown_rows_mean_delta,doppler_clock_groups_mean_baseline,doppler_clock_groups_mean_candidate,doppler_clock_groups_mean_delta,doppler_clock_fit_rms_p95_mps_baseline,doppler_clock_fit_rms_p95_mps_candidate,doppler_clock_fit_rms_p95_mps_delta,doppler_clock_drift_span_p95_mps_baseline,doppler_clock_drift_span_p95_mps_candidate,doppler_clock_drift_span_p95_mps_delta
pooled,all,diagnostic,58598,58598,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4130857708454215e-05,1.7065428854227107e-05,-1.7065428854227107e-05,46.427233599743055,46.49882405758711,0.07159045784405293,152.87541905112323,152.08636805836883,-0.7890509927543974,233.7522615126366,232.21711583191188,-1.5351456807247246,20.240168166734197,19.406673296676576,-0.8334948700576206,,,,,,,1.0,1.0,0.0,25.762851923306755,25.762851923306755,0.0,4.890782127674105,4.890782127674105,0.0,2.997046319851121,3.997029246555463,0.9999829267043423,1.409720271734721,1.4803985032192868,0.07067823148456576,1.4731660754951896,1.7031702819798715,0.2300042064846819
pooled_holdout,all_after_development,holdout,57398,57398,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.484441966619046e-05,1.742220983309523e-05,-1.742220983309523e-05,47.29238834131881,47.35723858584271,0.0648502445238961,154.25889848329197,153.2581263628429,-1.000772120449085,234.06358009868205,232.41428004034464,-1.6493000583374169,20.240168166734197,19.406673296676576,-0.8334948700576206,,,,,,,1.0,1.0,0.0,25.70338672848652,25.70338672848652,0.0,4.871747049903261,4.871747049903261,0.0,2.996984539227136,3.996967108818044,0.9999825695909079,1.427273681788966,1.4931132559553808,0.06583957416641484,1.4923899252588058,1.723140469309065,0.2307505440502593
run,nagoya_run1,diagnostic,7583,7583,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07870081220324,48.576515944340194,-0.5021848678630434,221.4540730345775,217.3901984790968,-4.063874555480709,240.80426506043025,239.9272200032228,-0.8770450572074537,25.59957419225257,20.88470925752245,-4.714864934730123,,,,,,,1.0,1.0,0.0,20.72667195347608,20.72667195347608,0.0,4.51268834258525,4.51268834258525,0.0,2.992598466825271,3.992598466825271,1.0,1.5376202340531453,1.760459362113246,0.22283912806010076,1.6893115040628948,2.1067789633961342,0.4174674593332395
run_holdout,nagoya_run1_after_development,holdout,7383,7383,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2151174008283,49.87806119607794,-0.33705620475036113,222.0293122488505,218.2682875624885,-3.761024686361992,241.5776070144036,240.1097910497011,-1.4678159647025097,25.59957419225257,20.88470925752245,-4.714864934730123,,,,,,,1.0,1.0,0.0,20.64078197121912,20.64078197121912,0.0,4.500814553353244,4.500814553353244,0.0,2.9923975020363835,3.992397502036384,1.0000000000000004,1.5681108223713038,1.7981672254454313,0.23005640307412745,1.717296468821563,2.1462446244515325,0.42894815562996946
run,nagoya_run2,diagnostic,9438,9438,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001059546514091,0.0001059546514091,41.79500841048487,41.88122511219168,0.08621670170681028,143.88625219874982,144.95350087815518,1.0672486794053668,197.9884923901589,198.51871119970428,0.5302188095453744,14.884246895575242,18.89641080739446,4.0121639118192185,,,,,,,1.0,1.0,0.0,21.87411178279775,21.87411178279775,0.0,5.063739526991197,5.063739526991197,0.0,2.99586382437162,3.9958638243716194,0.9999999999999996,1.7384142205649264,1.7291537890278632,-0.00926043153706324,2.235745535462792,2.5204136273337685,0.2846680918709765
run_holdout,nagoya_run2_after_development,holdout,9238,9238,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001082485386447,0.0001082485386447,43.32556928136904,43.184057097277815,-0.14151218409122635,145.27667453521534,146.2483539555515,0.9716794203361587,199.40781319745795,199.5032068276345,0.09539363017654523,14.884246895575242,18.89641080739446,4.0121639118192185,,,,,,,1.0,1.0,0.0,21.80637122115072,21.80637122115072,0.0,5.020587279228518,5.020587279228518,0.0,2.9957741900530936,3.9957741900530936,1.0,1.753310595955892,1.7410032019258843,-0.012307394030007579,2.2740471930289274,2.539070960903503,0.2650237678745757
run,nagoya_run3,diagnostic,5201,5201,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.52638339020798,41.0399834216862,-0.4863999685217806,106.37912731254676,110.33690056958076,3.957773257034006,134.99540458404206,133.9607017433901,-1.0347028406519598,13.23448561817419,16.53682395690145,3.3023383387272602,,,,,,,1.0,1.0,0.0,20.6616035377812,20.6616035377812,0.0,4.771582388002307,4.771582388002307,0.0,2.990771005575851,3.990771005575851,1.0,1.4641765301403915,1.6943302944022949,0.23015376426190337,1.9846485747583813,2.3996029191920343,0.414954344433653
run_holdout,nagoya_run3_after_development,holdout,5001,5001,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.42022032348305,42.031556482101365,-0.3886638413816854,107.69487838895796,110.61261334651724,2.9177349575592757,135.31047122697373,134.37311730934317,-0.9373539176305599,13.23448561817419,16.53682395690145,3.3023383387272602,,,,,,,1.0,1.0,0.0,20.579284143171364,20.579284143171364,0.0,4.762447510497901,4.762447510497901,0.0,2.990401919616077,3.990401919616077,1.0,1.4912677614244798,1.7165391794363396,0.2252714180118598,2.05559101992381,2.446658277697054,0.39106725777324414
run,tokyo_run1,diagnostic,11924,11924,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.4638951660682,70.81093013903774,0.34703497296953856,213.18468447131696,211.94700773992065,-1.2376767313963057,254.0867065840649,252.64422683615356,-1.4424797479113352,21.37951741866075,19.40925673433104,-1.970260684329709,,,,,,,1.0,1.0,0.0,24.08462635242808,24.08462635242808,0.0,4.320556906818753,4.320556906818753,0.0,2.9974838547345466,3.9973999832256975,0.9999161284911509,1.3611148137170077,1.4918866594167437,0.130771845699736,1.3790411051895186,1.4965665549965792,0.11752544980706059
run_holdout,tokyo_run1_after_development,holdout,11724,11724,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.24741299616973,71.45320257340128,0.2057895772315561,213.48699673170532,212.70703158830133,-0.7799651434039845,254.22161667270828,252.9642587101552,-1.2573579625530726,21.37951741866075,19.40925673433104,-1.970260684329709,,,,,,,1.0,1.0,0.0,23.973641559327817,23.973641559327817,0.0,4.308965281924422,4.308965281924422,0.0,2.997440928090079,3.997355625693082,0.9999146976030029,1.3678011236740086,1.5083370989053733,0.14053597523136463,1.3907700996454988,1.504688109807907,0.11391801016240821
run,tokyo_run2,diagnostic,9151,9151,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000109277674571,0.0,-0.000109277674571,32.23535421269694,31.80656059757748,-0.42879361511946,73.97432982330196,77.67846335886912,3.7041335355671663,97.33846745012768,103.85921357732434,6.520746127196659,22.5222381925386,21.39816427715925,-1.124073915379352,,,,,,,1.0,1.0,0.0,30.16719484209376,30.16719484209376,0.0,5.2910064473828,5.2910064473828,0.0,3.0,4.0,1.0,1.444958400146825,1.4231693681724291,-0.021789031974395856,1.2089468077903405,1.3148355041966369,0.10588869640629639
run_holdout,tokyo_run2_after_development,holdout,8951,8951,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001117193609652,0.0,-0.0001117193609652,32.60949172155645,32.256268935172976,-0.35322278638347626,74.15951422748006,78.09678630403346,3.9372720765533984,97.5667440364074,104.03926159958336,6.4725175631759555,22.5222381925386,21.39816427715925,-1.124073915379352,,,,,,,1.0,1.0,0.0,30.0607753323651,30.0607753323651,0.0,5.256954530220087,5.256954530220087,0.0,3.0,4.0,1.0,1.4516673258250652,1.4304939515806236,-0.021173374244441545,1.2310337864508512,1.3276069247872757,0.09657313833642456
run,tokyo_run3,diagnostic,15301,15301,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.535520554212144e-05,0.0,-6.535520554212144e-05,42.27652967093667,42.50916123870852,0.232631567771854,90.47600447454866,97.14309427577388,6.667089801225217,118.3121802537968,135.74567128793606,17.433491034139266,23.8209466832038,19.31467474675083,-4.506271936452972,,,,,,,1.0,1.0,0.0,31.05712044964381,31.05712044964381,0.0,5.2166525063721325,5.2166525063721325,0.0,3.0,4.0,1.0,1.0734399251580709,1.068040572136458,-0.005399353021612763,0.9614950884585484,0.9810851839267514,0.019590095468203006
run_holdout,tokyo_run3_after_development,holdout,15101,15101,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.622078008078935e-05,0.0,-6.622078008078935e-05,42.5223232448357,42.73980073434993,0.21747748951423063,91.15072654919184,97.57456576644144,6.4238392172495935,118.3916638967556,135.77843679897387,17.38677290221827,23.8209466832038,19.31467474675083,-4.506271936452972,,,,,,,1.0,1.0,0.0,31.011456194953976,31.011456194953976,0.0,5.2064763922919015,5.2064763922919015,0.0,3.0,4.0,1.0,1.0815628552579353,1.0719257899237726,-0.009637065334162642,0.968061703837236,0.9911248995556434,0.023063195718407425
blocked_span,nagoya_run1_seg0,development,100,100,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.853259080333206,22.535236138130983,-0.31802294220222294,25.435648535432783,26.057111536610968,0.621463001178185,26.02827464900163,26.557358696955948,0.5290840479543171,25.59957419225257,20.88470925752245,-4.714864934730123,,,,,,,1.0,1.0,0.0,23.67,23.67,0.0,5.29,5.29,0.0,3.0,4.0,1.0,0.1566522573470722,0.1424380086184871,-0.014214248728585094,0.1142055679049625,0.1201230999166467,0.005917532011684198
blocked_span,nagoya_run2_seg983,holdout,100,100,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34192178494674,40.66940085552631,3.327479070579571,51.44384728508152,48.60521137667788,-2.8386359084036386,52.0557522931609,48.96785271856278,-3.0878995745981186,14.884246895575242,18.89641080739446,4.0121639118192185,,,,,,,1.0,1.0,0.0,20.73,20.73,0.0,5.41,5.41,0.0,3.0,4.0,1.0,0.6863253566731284,0.6935613580268097,0.007236001353681298,0.7837197079335549,0.7964709652407197,0.012751257307164754
blocked_span,nagoya_run3_seg235,holdout,100,100,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.706335216397417,23.794237349862392,6.087902133464976,24.322080040833896,29.53593377698557,5.213853736151673,25.022538208613867,30.143010737187733,5.120472528573867,13.23448561817419,16.53682395690145,3.3023383387272602,,,,,,,1.0,1.0,0.0,22.99,22.99,0.0,4.77,4.77,0.0,3.0,4.0,1.0,0.6854237316237733,0.7952681985396122,0.10984446691583882,1.0925982498423092,1.1567699654305763,0.06417171558826706
blocked_span,tokyo_run1_seg1463,holdout,100,100,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.72176094074263,66.0855021030286,-4.636258837714024,76.6062822537761,72.48686777289868,-4.119414480877424,77.159101536749,74.36774382171282,-2.7913577150361846,21.37951741866075,19.40925673433104,-1.970260684329709,,,,,,,1.0,1.0,0.0,29.8,29.8,0.0,4.76,4.76,0.0,3.0,4.0,1.0,1.5585693695316558,1.4549763705198733,-0.10359299901178254,1.6881601188454023,1.5607307752666002,-0.1274293435788021
blocked_span,tokyo_run2_seg808,holdout,100,100,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.33225755831548,41.95753642076647,0.6252788624509904,46.54517415938426,47.99351973336594,1.4483455739816833,48.16898507042188,48.44909928490288,0.2801142144809958,22.5222381925386,21.39816427715925,-1.124073915379352,,,,,,,1.0,1.0,0.0,29.59,29.59,0.0,5.46,5.46,0.0,3.0,4.0,1.0,1.4755015636639512,1.3423706304577672,-0.13313093320618408,1.0203184588088174,1.0093824462378491,-0.010936012570968323
blocked_span,tokyo_run3_seg774,holdout,100,100,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.83533407293811,42.48962151463867,-2.3457125582994394,54.69315848239814,51.60507598180097,-3.0880825005971673,55.26756392656652,52.47978576262969,-2.787778163936828,23.8209466832038,19.31467474675083,-4.506271936452972,,,,,,,1.0,1.0,0.0,31.04,31.04,0.0,5.46,5.46,0.0,3.0,4.0,1.0,1.109985606276223,0.9492342348513432,-0.16075137142487983,1.0480994195516813,0.925266777127794,-0.12283264242388725
